"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.979291660E-2,2.816099457E-1,1.235411417E-1,1.781357172E-1
2.981391666E-2,2.373191875E-1,2.352235454E-1,1.780547333E-1
3.983491659E-2,2.658796931E-1,2.314684635E-1,2.067669010E-1
4.985591664E-2,3.593461928E-1,2.927098614E-1,5.331403524E-2
5.987691670E-2,2.999954190E-1,3.588617510E-1,-4.201078266E-2
6.989891664E-2,1.170972177E-1,3.358114421E-1,-9.164107203E-2
7.991991669E-2,9.043895759E-2,3.204461288E-1,-7.399563700E-2
8.994091663E-2,-1.291051329E-1,2.038006085E-1,-1.220898628E-2
9.996191668E-2,-2.120313685E-1,1.059936476E-1,-1.015737373E-1
1.099829166E-1,-6.578066446E-2,1.336802137E-1,-2.969245344E-1
1.200049167E-1,-1.056690540E-1,1.568047822E-2,-2.676557118E-1
1.300259166E-1,-8.001483388E-2,-4.700342774E-2,-2.299540347E-1
1.400469167E-1,-1.524567926E-1,-1.126086026E-1,-1.530687037E-1
1.500679166E-1,-3.775317644E-1,-1.974090171E-1,-1.309548265E-1
1.600899167E-1,-3.709771087E-1,-1.851286948E-1,-2.344505435E-1
1.701109166E-1,-2.726043566E-1,-2.164212388E-1,-2.080939266E-1
1.801319167E-1,-4.663583522E-1,-3.525654691E-1,-1.685094461E-1
1.901529166E-1,-4.599381825E-1,-4.862263870E-1,-2.127316457E-1
2.001739166E-1,-3.907410631E-1,-2.066353387E-1,-3.863553590E-1
2.101959167E-1,-6.209833655E-1,9.777187765E-2,-5.050488666E-1
2.202169166E-1,-9.132605329E-1,1.090955955E-1,-4.314791992E-1
2.302379167E-1,-1.429578007E0,1.614065409E-2,-5.357865098E-1
2.402589166E-1,-1.971046110E0,-3.888907117E-1,-8.885481530E-1
2.502809167E-1,-2.550818008E0,-9.344528890E-1,-9.826222515E-1
2.603019166E-1,-3.293286926E0,-1.168762515E0,-1.088690743E0
2.703229167E-1,-3.738431945E0,-1.178195828E0,-1.277932954E0
2.803439166E-1,-2.735057926E0,-8.043652046E-1,-1.087698763E0
2.903649167E-1,-1.651364213E0,-4.063855809E-1,-1.170257063E0
3.003869166E-1,-1.199714604E0,-3.721606582E-1,-1.600428825E0
3.104079167E-1,-5.069152978E-1,-6.673649418E-1,-1.471114727E0
3.204289166E-1,-9.709301591E-3,-6.558085048E-1,-1.124532129E0
3.304499167E-1,7.607286036E-2,-5.922030777E-1,-6.983326730E-1
3.404709166E-1,4.857360980E-1,-5.973749399E-1,-3.235963163E-1
3.504929167E-1,1.135457067E0,-5.285555506E-1,-2.261913514E-1
3.605139167E-1,1.599818083E0,-3.793451321E-1,-2.673776767E-1
3.705349166E-1,2.290296484E0,1.001160264E-1,-6.948684901E-2
3.805559167E-1,3.075287524E0,5.996097457E-1,3.278899267E-1
3.905779166E-1,3.306607176E0,6.917332131E-1,7.216762197E-1
4.005989167E-1,3.227829978E0,5.607889116E-1,9.327145118E-1
4.106199166E-1,2.287174363E0,4.048904479E-1,7.394602337E-1
4.206409167E-1,9.245740181E-1,1.706492347E-1,4.697419167E-1
4.306619166E-1,-5.655046910E-2,-2.136455655E-2,3.273455510E-1
4.406839167E-1,-4.011067146E-1,-1.015702289E-1,3.604393297E-1
4.507049166E-1,-3.655176365E-1,-1.798662007E-2,4.506513423E-1
4.607259167E-1,-3.887696743E-2,-5.025447965E-2,5.387454933E-1
4.707469166E-1,-1.111230590E0,-4.423979974E-1,4.884857512E-1
4.807679167E-1,-2.046223762E0,4.167854387E-1,5.029318821E-1
4.907899166E-1,-2.316979960E0,8.830792522E-1,7.327116698E-2
