"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
8.739916608E-3,7.568785629E0,6.105996460E0,-1.290894770E0
1.876291656E-2,7.567077073E0,6.104383214E0,-1.308420337E0
2.878591651E-2,7.562189970E0,6.106867111E0,-1.324974681E0
3.880891670E-2,7.556098341E0,6.111657735E0,-1.337571338E0
4.883191665E-2,7.550530622E0,6.116548346E0,-1.346641685E0
5.885491660E-2,7.546603632E0,6.120318046E0,-1.351523087E0
6.887791655E-2,7.544524947E0,6.122428306E0,-1.353548563E0
7.890091650E-2,7.543367198E0,6.123404791E0,-1.355588071E0
8.892491669E-2,7.541732901E0,6.124544413E0,-1.359542836E0
9.894791665E-2,7.539073003E0,6.126263494E0,-1.366516956E0
1.089709166E-1,7.535078185E0,6.128792415E0,-1.377164443E0
1.189939165E-1,7.530145474E0,6.131624222E0,-1.391478720E0
1.290169165E-1,7.524630380E0,6.134162498E0,-1.410001091E0
1.390399167E-1,7.518542259E0,6.136448175E0,-1.432353534E0
1.490629166E-1,7.512813157E0,6.137689539E0,-1.456890936E0
1.590859166E-1,7.508006746E0,6.137117096E0,-1.483816049E0
1.691089165E-1,7.503699687E0,6.135314984E0,-1.512779939E0
1.791329165E-1,7.500105988E0,6.133018198E0,-1.539681224E0
1.891559167E-1,7.498014439E0,6.129278319E0,-1.564565074E0
1.991789166E-1,7.497143204E0,6.124405834E0,-1.587647542E0
2.092019166E-1,7.497180042E0,6.118691350E0,-1.609350945E0
2.192249165E-1,7.498504436E0,6.111413906E0,-1.630700591E0
2.292479165E-1,7.500742750E0,6.102640159E0,-1.653100543E0
2.392709167E-1,7.503449426E0,6.092670656E0,-1.677417651E0
2.492939166E-1,7.506650777E0,6.080758708E0,-1.706068716E0
2.593169166E-1,7.509669110E0,6.066793218E0,-1.742133319E0
2.693409165E-1,7.513151127E0,6.049170295E0,-1.787784139E0
2.793639165E-1,7.518511854E0,6.025092046E0,-1.845624796E0
2.893869167E-1,7.522967432E0,5.997698425E0,-1.915378717E0
2.994099166E-1,7.521672859E0,5.972471198E0,-1.997523765E0
3.094329166E-1,7.514056275E0,5.950189798E0,-2.090535863E0
3.194559165E-1,7.504459825E0,5.926505651E0,-2.189923034E0
3.294789165E-1,7.499548164E0,5.891829323E0,-2.297663537E0
3.395019167E-1,7.501233916E0,5.838203924E0,-2.425486741E0
3.495249166E-1,7.507025583E0,5.770736995E0,-2.565014462E0
3.595489166E-1,7.522157593E0,5.694525556E0,-2.688047189E0
3.695719165E-1,7.548171855E0,5.611302136E0,-2.788271973E0
3.795949165E-1,7.572285773E0,5.537260598E0,-2.869723395E0
3.896179167E-1,7.587429476E0,5.481502719E0,-2.936010063E0
3.996409166E-1,7.588552727E0,5.449335431E0,-2.992439202E0
4.096639166E-1,7.572583981E0,5.444332554E0,-3.041594990E0
4.196869165E-1,7.552796418E0,5.454718963E0,-3.072033256E0
4.297099165E-1,7.539127382E0,5.468203812E0,-3.081626490E0
4.397339167E-1,7.533870150E0,5.477453522E0,-3.078044194E0
4.497569166E-1,7.534418619E0,5.479783638E0,-3.072555412E0
4.597799166E-1,7.537625817E0,5.476239640E0,-3.071013502E0
4.698029165E-1,7.541314241E0,5.469039963E0,-3.074784663E0
4.798259167E-1,7.544335497E0,5.460073258E0,-3.083294701E0
4.898489167E-1,7.546511246E0,5.451568483E0,-3.093003710E0
4.998719166E-1,7.547913408E0,5.445525386E0,-3.100220636E0
5.098949166E-1,7.549268208E0,5.442779533E0,-3.101740327E0
5.199179165E-1,7.551745673E0,5.442642124E0,-3.095946906E0
5.299419167E-1,7.555877901E0,5.443492309E0,-3.084342522E0
5.399649167E-1,7.561960759E0,5.444000432E0,-3.068507385E0
5.499879166E-1,7.570053890E0,5.443813321E0,-3.048820102E0
5.600109166E-1,7.578776182E0,5.444409737E0,-3.025992865E0
5.700339165E-1,7.586430187E0,5.448517991E0,-2.999307927E0
5.800569167E-1,7.591757001E0,5.458496849E0,-2.967519831E0
5.900799166E-1,7.593071455E0,5.473955718E0,-2.935498724E0
6.001029166E-1,7.589768363E0,5.492085595E0,-2.910071230E0
6.101259165E-1,7.582817777E0,5.510441174E0,-2.893439702E0
6.201499165E-1,7.573010243E0,5.528576898E0,-2.884514804E0
6.301729167E-1,7.560230568E0,5.548421178E0,-2.879937311E0
6.401959166E-1,7.544065940E0,5.571688419E0,-2.877401959E0
6.502186665E-1,7.524074310E0,5.597903826E0,-2.878864932E0
6.602416665E-1,7.500951496E0,5.625253007E0,-2.885892701E0
6.702646667E-1,7.475602646E0,5.652316260E0,-2.898759791E0
6.802876666E-1,7.448876193E0,5.678262695E0,-2.916790850E0
6.903106666E-1,7.421297216E0,5.702798781E0,-2.939135107E0
7.003346665E-1,7.393453944E0,5.726323299E0,-2.963475312E0
7.103576665E-1,7.365401343E0,5.750057148E0,-2.987275234E0
7.203806667E-1,7.337110174E0,5.774706670E0,-3.009264273E0
7.304036666E-1,7.309662759E0,5.799649138E0,-3.028040267E0
7.404266666E-1,7.284188780E0,5.823500515E0,-3.043604386E0
7.504496665E-1,7.260736767E0,5.845248649E0,-3.057915446E0
7.604726665E-1,7.239131890E0,5.865421543E0,-3.070490468E0
7.704956667E-1,7.219264221E0,5.885047722E0,-3.079693401E0
7.805186666E-1,7.201876355E0,5.906059107E0,-3.080187783E0
7.905426666E-1,7.187674638E0,5.929865461E0,-3.067599312E0
8.005656665E-1,7.176478390E0,5.955673901E0,-3.043715483E0
8.105886665E-1,7.168936066E0,5.979723499E0,-3.014190552E0
8.206116667E-1,7.164855879E0,6.000211558E0,-2.983014953E0
8.306346666E-1,7.162395371E0,6.020231255E0,-2.948392419E0
8.406576666E-1,7.156951028E0,6.045774232E0,-2.909090652E0
8.506806665E-1,7.143605343E0,6.082580116E0,-2.864827229E0
8.607036667E-1,7.122831940E0,6.128640972E0,-2.818000972E0
8.707266666E-1,7.098337954E0,6.177700281E0,-2.772304982E0
8.807506666E-1,7.073176800E0,6.225027645E0,-2.730445934E0
8.907736666E-1,7.046047474E0,6.271588438E0,-2.693786523E0
9.007966665E-1,7.014851409E0,6.320585766E0,-2.660483414E0
9.108196667E-1,6.978307480E0,6.374128135E0,-2.628657312E0
9.208426666E-1,6.934848050E0,6.433839902E0,-2.598009131E0
9.308656666E-1,6.883699531E0,6.500095287E0,-2.568962795E0
9.408886665E-1,6.824237441E0,6.573624024E0,-2.540353246E0
9.509116665E-1,6.754304157E0,6.656480239E0,-2.511329714E0
9.609346667E-1,6.676348493E0,6.747523726E0,-2.476566555E0
9.709586666E-1,6.604263434E0,6.839543697E0,-2.416693698E0
9.809816666E-1,6.548885624E0,6.925527003E0,-2.320620875E0
9.910046665E-1,6.504660793E0,7.004576097E0,-2.204860331E0
1.001027666E0,6.455106810E0,7.083335752E0,-2.096208539E0
1.011050667E0,6.388257347E0,7.169491552E0,-2.006162149E0
1.021073667E0,6.302636569E0,7.264919280E0,-1.932312984E0
1.031096667E0,6.202262680E0,7.366870163E0,-1.870099779E0
1.041119667E0,6.093436056E0,7.469272451E0,-1.821014889E0
1.051142666E0,5.981820311E0,7.567879896E0,-1.783576044E0
1.061166667E0,5.872641100E0,7.661087437E0,-1.748129346E0
1.071189667E0,5.774058214E0,7.746411762E0,-1.699836607E0
