"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.739916608E-3,1.155601665E-1,-1.260312796E-1,3.032750636E-2
1.876291656E-2,1.445551515E-1,-1.211771294E-1,-3.368562460E-2
2.878591651E-2,1.529225409E-1,-6.996214390E-2,-8.086486161E-2
3.880891670E-2,1.426312625E-1,-2.533270046E-2,-9.346154332E-2
4.883191665E-2,1.236058995E-1,4.325326066E-3,-8.189436793E-2
5.885491660E-2,1.017743722E-1,4.414304346E-2,-5.561269447E-2
6.887791655E-2,9.061386436E-2,5.189337581E-2,-3.352736682E-2
7.890091650E-2,8.154653013E-2,3.034982085E-2,-2.706380561E-2
8.892491669E-2,7.423135638E-2,-9.259374812E-3,-3.106227517E-2
9.894791665E-2,7.063841075E-2,-5.731265619E-2,-4.090019315E-2
1.089709166E-1,7.171911746E-2,-1.056471691E-1,-5.138665810E-2
1.189939165E-1,8.833899349E-2,-1.410198957E-1,-5.169811472E-2
1.290169165E-1,1.050886735E-1,-1.914188862E-1,-5.214286223E-2
1.390399167E-1,1.094314381E-1,-2.244816869E-1,-4.695875943E-2
1.490629166E-1,1.118924618E-1,-2.455414236E-1,-2.682046592E-2
1.590859166E-1,1.276442558E-1,-2.793910205E-1,-5.784219131E-3
1.691089165E-1,1.287284195E-1,-2.696622312E-1,-2.140505239E-5
1.791329165E-1,1.326376498E-1,-2.343991399E-1,1.116154157E-2
1.891559167E-1,1.318677366E-1,-2.113867551E-1,3.230490908E-2
1.991789166E-1,1.334625483E-1,-1.851489246E-1,4.094067216E-2
2.092019166E-1,1.473663747E-1,-1.639400423E-1,5.331558734E-2
2.192249165E-1,1.668507606E-1,-1.522098780E-1,7.206897438E-2
2.292479165E-1,1.948991716E-1,-1.516162604E-1,8.082491159E-2
2.392709167E-1,2.196260095E-1,-1.607206315E-1,9.492154419E-2
2.492939166E-1,2.558148801E-1,-2.199192345E-1,1.131106690E-1
2.593169166E-1,2.944665849E-1,-2.945457995E-1,1.337513775E-1
2.693409165E-1,3.566103876E-1,-4.023558795E-1,1.914013624E-1
2.793639165E-1,4.169538915E-1,-5.094368458E-1,2.552164197E-1
2.893869167E-1,4.867497385E-1,-6.173135042E-1,2.341614664E-1
2.994099166E-1,5.260407925E-1,-7.544031739E-1,1.697312742E-1
3.094329166E-1,5.072391033E-1,-8.853278756E-1,1.475266367E-1
3.194559165E-1,4.564476013E-1,-9.958165884E-1,2.267415673E-1
3.294789165E-1,5.184494257E-1,-1.121522665E0,4.192002118E-1
3.395019167E-1,6.842929721E-1,-1.320162773E0,6.197860241E-1
3.495249166E-1,6.473197937E-1,-1.298121333E0,7.152861953E-1
3.595489166E-1,5.368728042E-1,-1.062592268E0,8.971049190E-1
3.695719165E-1,4.072479308E-1,-8.859403133E-1,9.272798896E-1
3.795949165E-1,3.301285505E-1,-7.283660769E-1,7.371554971E-1
3.896179167E-1,2.725781798E-1,-5.837960839E-1,4.972510040E-1
3.996409166E-1,1.621938795E-1,-6.058796644E-1,1.627701074E-1
4.096639166E-1,5.857402086E-2,-5.021561384E-1,-9.510031343E-2
4.196869165E-1,-4.190127179E-2,-2.865333259E-1,-1.636036783E-1
4.297099165E-1,-1.027688831E-1,-8.606814593E-2,-1.201619282E-1
4.397339167E-1,-9.292572737E-2,1.547511667E-2,-3.998506442E-2
4.497569166E-1,-4.199356586E-2,2.431041934E-2,3.039722517E-2
4.597799166E-1,2.216283605E-2,2.267585602E-3,6.687200814E-2
4.698029165E-1,7.158071548E-2,-3.483317792E-2,8.233751357E-2
4.798259167E-1,9.264966846E-2,-6.305477768E-2,8.323220909E-2
4.898489167E-1,8.123350143E-2,-6.174130365E-2,6.610435247E-2
4.998719166E-1,4.624903947E-2,-3.295048326E-2,4.010217637E-2
5.098949166E-1,1.873586094E-3,3.001436964E-2,1.554996334E-2
5.199179165E-1,-3.827070072E-2,9.509969503E-2,7.296558935E-3
5.299419167E-1,-7.391338050E-2,1.278224885E-1,1.813349314E-2
5.399649167E-1,-1.007400379E-1,1.628589928E-1,4.126997292E-2
5.499879166E-1,-1.174556315E-1,1.991174072E-1,4.950127006E-2
5.600109166E-1,-1.319167167E-1,2.252509296E-1,2.984434180E-2
5.700339165E-1,-1.673125178E-1,2.675344646E-1,-2.318851463E-2
5.800569167E-1,-1.837312579E-1,3.080327213E-1,-9.929086268E-2
5.900799166E-1,-1.645708829E-1,2.701556683E-1,-1.656986475E-1
6.001029166E-1,-1.320318431E-1,1.811290979E-1,-1.939132363E-1
6.101259165E-1,-1.028230935E-1,9.016191214E-2,-1.997961700E-1
6.201499165E-1,-9.012284130E-2,1.042784378E-2,-2.074218094E-1
6.301729167E-1,-8.781521022E-2,-1.605276577E-2,-2.503743172E-1
6.401959166E-1,-7.602644712E-2,-4.317169264E-2,-3.021060824E-1
6.502186665E-1,-6.290213019E-2,-1.019894630E-1,-3.338158131E-1
6.602416665E-1,-5.903543159E-2,-1.784542650E-1,-3.411172926E-1
6.702646667E-1,-5.223398656E-2,-2.473459840E-1,-3.354330361E-1
6.802876666E-1,-3.396969289E-2,-3.000707924E-1,-3.264758289E-1
6.903106666E-1,-1.752014644E-2,-3.344673812E-1,-3.138231337E-1
7.003346665E-1,4.368091933E-3,-3.277730346E-1,-3.162501454E-1
7.103576665E-1,1.744501293E-2,-2.991432548E-1,-3.352291584E-1
7.203806667E-1,1.555438153E-2,-2.678296864E-1,-3.456822038E-1
7.304036666E-1,1.605532318E-2,-2.169366777E-1,-3.442747295E-1
7.404266666E-1,4.970699176E-2,-1.630653292E-1,-3.322541416E-1
7.504496665E-1,6.773659587E-2,-1.334216893E-1,-3.153936863E-1
7.604726665E-1,4.981260002E-2,-1.169263721E-1,-2.914947271E-1
7.704956667E-1,-3.270012140E-2,-1.126250997E-1,-2.618335187E-1
7.805186666E-1,-1.287516057E-1,-2.259181067E-2,-2.532381415E-1
7.905426666E-1,-1.884293258E-1,1.089489013E-1,-2.691417336E-1
8.005656665E-1,-2.588165402E-1,1.740598381E-1,-2.493846267E-1
8.105886665E-1,-2.996108532E-1,1.744699627E-1,-1.823110580E-1
8.206116667E-1,-3.255845904E-1,1.782006621E-1,-1.339740157E-1
8.306346666E-1,-3.294344544E-1,2.368509322E-1,-1.607393175E-1
8.406576666E-1,-3.715176582E-1,2.689244449E-1,-2.764944732E-1
8.506806665E-1,-4.471215904E-1,2.680986226E-1,-4.144193232E-1
8.607036667E-1,-4.825517833E-1,2.383731306E-1,-4.933130145E-1
8.707266666E-1,-4.778305292E-1,2.062380910E-1,-4.966731071E-1
8.807506666E-1,-3.940864503E-1,2.073483318E-1,-4.996300340E-1
8.907736666E-1,-3.596192896E-1,1.654839814E-1,-5.339472294E-1
9.007966665E-1,-3.449023366E-1,1.521715522E-1,-5.919874310E-1
9.108196667E-1,-3.074010313E-1,1.611264348E-1,-6.899145246E-1
9.208426666E-1,-2.298455387E-1,2.192472219E-1,-8.222859502E-1
9.308656666E-1,-1.055433080E-1,3.107819259E-1,-9.673906565E-1
9.408886665E-1,2.795647457E-2,4.518720508E-1,-1.149473429E0
9.509116665E-1,8.116323501E-2,5.122250915E-1,-1.327067971E0
9.609346667E-1,-1.064403728E-1,5.384552479E-1,-1.353020906E0
9.709586666E-1,-4.212313294E-1,7.454938889E-1,-1.204326510E0
9.809816666E-1,-6.752666831E-1,9.848766923E-1,-1.008189321E0
9.910046665E-1,-7.182461023E-1,1.009288907E0,-9.398536086E-1
1.001027666E0,-6.581307650E-1,8.213746548E-1,-1.045200825E0
1.011050667E0,-6.140698195E-1,5.718154311E-1,-1.228411436E0
1.021073667E0,-5.921307206E-1,3.897954226E-1,-1.396154881E0
1.031096667E0,-5.449631810E-1,2.554429471E-1,-1.497727394E0
1.041119667E0,-4.830374420E-1,9.841720760E-2,-1.506881595E0
1.051142666E0,-4.873520136E-1,-4.956160858E-2,-1.459415197E0
1.061166667E0,-5.490465164E-1,-5.711612105E-2,-1.363422155E0
1.071189667E0,-6.434515715E-1,1.621222198E-1,-1.199066281E0
1.081212667E0,-6.803432703E-1,5.183346272E-1,-9.643751979E-1
1.091235667E0,-7.220478654E-1,8.773564696E-1,-6.812161803E-1
1.101258666E0,-7.465947270E-1,1.181575298E0,-3.881331086E-1
1.111281667E0,-7.422814369E-1,1.236296892E0,-1.305409968E-1
1.121304667E0,-7.080395818E-1,1.045781255E0,1.089635342E-1
1.131327667E0,-5.741555095E-1,7.377734184E-1,3.292628527E-1
1.141351667E0,-4.415130019E-1,5.074461699E-1,5.108802915E-1
1.151374666E0,-2.502887249E-1,3.682661653E-1,6.395274997E-1
1.161397667E0,-8.700264990E-2,2.668743730E-1,7.046153545E-1
1.171420667E0,3.905675560E-2,1.342670918E-1,7.122053504E-1
1.181443667E0,1.737427711E-1,-9.334526956E-2,7.155271173E-1
1.191466667E0,2.542594373E-1,-2.770146728E-1,8.261827826E-1
1.201489666E0,3.224501908E-1,-4.251787364E-1,1.079799533E0
1.211512667E0,3.201881051E-1,-5.911967158E-1,1.370850801E0
1.221535667E0,3.041112125E-1,-7.435944676E-1,1.615803003E0
1.231559667E0,3.004712164E-1,-7.834758162E-1,1.786041856E0
1.241582667E0,2.953238487E-1,-6.674639583E-1,1.846684098E0
1.251605666E0,3.026060164E-1,-5.007434487E-1,1.810975313E0
1.261628667E0,3.024209440E-1,-3.998143971E-1,1.744214892E0
1.271651667E0,2.464397103E-1,-2.001284510E-1,1.696071625E0
1.281674667E0,2.200670987E-1,-3.391921055E-4,1.724457145E0
1.291697667E0,1.971055865E-1,-4.496386740E-3,1.832636595E0
1.301720667E0,2.821004391E-1,-7.534563541E-2,1.940070033E0
1.311743667E0,3.834720552E-1,-2.416555136E-1,1.986549377E0
1.321767667E0,3.682677448E-1,-4.142868817E-1,1.936757684E0
1.331790667E0,4.492099881E-1,-4.305135310E-1,1.862511396E0
1.341813667E0,5.594500899E-1,-4.083159566E-1,1.815370798E0
1.351836667E0,6.457998753E-1,-4.972444773E-1,1.763325691E0
1.361859667E0,7.453303337E-1,-6.599667668E-1,1.672703147E0
1.371882667E0,7.702223659E-1,-8.810656071E-1,1.542131901E0
1.381905667E0,9.130849242E-1,-1.036430478E0,1.425292730E0
1.391928667E0,9.271003604E-1,-9.235556126E-1,1.304775596E0
1.401951667E0,8.639904261E-1,-4.883979261E-1,1.208020329E0
1.411975667E0,7.970521450E-1,-1.071642935E-1,1.188398361E0
1.421998667E0,6.552205086E-1,9.256936610E-2,1.272010088E0
1.432021667E0,6.361413598E-1,2.968191803E-1,1.401103973E0
1.442044667E0,5.940206647E-1,5.233179331E-1,1.448239803E0
1.452067667E0,6.295280457E-1,5.860362053E-1,1.392380714E0
