"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.739916608E-3,-4.413560236E-1,-6.754387772E-1,5.760896131E-2
1.876291656E-2,-2.880139625E-1,-3.219079328E-1,9.219889641E-2
2.878591651E-2,2.229701203E-1,-1.793434596E-1,2.425752497E-1
3.880891670E-2,3.476152164E-1,-1.223138112E-1,2.828650506E-1
4.883191665E-2,3.150362849E-2,-9.696554661E-2,2.381967084E-1
5.885491660E-2,-2.905914152E-1,-3.367469966E-2,2.017638771E-1
6.887791655E-2,-3.283322686E-1,-2.555817962E-3,2.175610073E-1
7.890091650E-2,-2.452942050E-1,-7.927421093E-2,2.279830845E-1
8.892491669E-2,-1.739032102E-1,-1.534607595E-1,1.237129037E-1
9.894791665E-2,-1.251409400E-1,-1.216507369E-1,2.103974372E-3
1.089709166E-1,-8.192826211E-2,-1.490689158E-2,-6.658326790E-2
1.189939165E-1,1.743054986E-3,5.052052796E-2,-1.066065820E-1
1.290169165E-1,7.596410215E-2,-4.708178043E-3,-1.020046771E-1
1.390399167E-1,-2.183174908E-2,7.862750888E-2,-1.188703859E-1
1.490629166E-1,-7.208505929E-2,2.077656054E-1,-8.669915155E-2
1.590859166E-1,-1.156304437E-1,2.712061411E-1,-6.156986520E-2
1.691089165E-1,-4.743846059E-3,2.360357237E-1,-9.098501444E-2
1.791329165E-1,1.513838285E-1,1.777097476E-1,-1.028526695E-1
1.891559167E-1,1.982328898E-1,6.454215109E-2,-1.162898634E-1
1.991789166E-1,2.952036989E-1,-6.515552402E-2,-1.824215801E-1
2.092019166E-1,4.873660094E-1,-1.594342750E-1,-1.126676595E-1
2.192249165E-1,5.034072608E-1,-4.171052814E-1,-1.587533668E-2
2.292479165E-1,3.640517396E-1,-5.825697899E-1,8.320734054E-3
2.392709167E-1,2.183929199E-1,-6.890569425E-1,7.080861211E-2
2.492939166E-1,3.691230297E-2,-7.781854659E-1,8.658673882E-2
2.593169166E-1,-9.408871651E-2,-8.377165532E-1,1.275907771E-1
2.693409165E-1,-1.896316355E-1,-7.031884933E-1,1.581230369E-1
2.793639165E-1,-3.497699153E-1,-7.874848777E-1,2.396143658E-1
2.893869167E-1,-4.173935491E-1,-9.242986143E-1,3.105655038E-1
2.994099166E-1,-4.815141159E-1,-8.176418924E-1,3.976507178E-1
3.094329166E-1,-6.780700243E-1,-4.630491936E-1,3.719598064E-1
3.194559165E-1,-9.064786398E-1,-2.693186599E-1,2.026545542E-1
3.294789165E-1,-1.061135740E0,-1.014199555E-1,1.529231080E-1
3.395019167E-1,-1.045307912E0,2.300277096E-1,2.765554664E-1
