"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.618100004E-2,8.386649191E-2,2.456005365E-1,-2.439968586E-1
2.620399999E-2,9.780090302E-2,1.753304452E-1,-2.455226183E-1
3.622699995E-2,9.910424799E-2,1.713138670E-1,-1.794221550E-1
4.624999990E-2,9.393856674E-2,1.997839659E-1,-1.118368134E-1
5.627300008E-2,7.410920411E-2,1.875150502E-1,-7.799336314E-2
6.629700004E-2,4.828376696E-2,1.775645614E-1,-6.710387021E-2
7.631999999E-2,3.439538181E-2,1.749591976E-1,-5.517930537E-2
8.634299994E-2,3.225914016E-2,1.684683859E-1,-2.994354069E-2
9.636599990E-2,2.717809379E-2,1.430301368E-1,-1.345984871E-3
1.063890001E-1,7.997605018E-3,8.813107759E-2,9.147519246E-3
1.164130000E-1,-2.333022282E-2,3.219857067E-2,2.051522210E-2
1.264360000E-1,-6.392107159E-2,-1.308048517E-2,4.437071830E-2
1.364589999E-1,-8.919180930E-2,-5.597229302E-2,7.035917789E-2
1.464819999E-1,-9.604358673E-2,-9.590293467E-2,8.882394433E-2
1.565059999E-1,-8.828180283E-2,-1.370708644E-1,9.420219809E-2
1.665290000E-1,-8.173710108E-2,-1.734997034E-1,9.038931131E-2
1.765520000E-1,-7.321285456E-2,-2.136425972E-1,5.376312137E-2
1.865749999E-1,-6.251990795E-2,-2.149797678E-1,2.677915990E-2
1.965979999E-1,-4.642403126E-2,-1.882424355E-1,2.237216383E-2
2.066219999E-1,-3.984437510E-2,-1.591793150E-1,1.709590852E-2
2.166450000E-1,-4.938488454E-2,-1.267161667E-1,-9.456072934E-3
2.266680000E-1,-5.687747523E-2,-9.190478921E-2,-2.874524519E-2
2.366909999E-1,-6.664914638E-2,-6.304970384E-2,-1.944229007E-2
2.467139999E-1,-7.715807110E-2,-5.404369533E-2,1.793039218E-2
2.567379999E-1,-1.012727246E-1,-8.776278049E-2,9.089780599E-2
2.667610000E-1,-1.443023235E-1,-1.807084978E-1,1.464751065E-1
2.767840000E-1,-1.775710732E-1,-2.883036733E-1,2.266061604E-1
2.868069999E-1,-2.138719112E-1,-3.846637607E-1,3.530807495E-1
2.968309999E-1,-2.482557297E-1,-4.224803746E-1,4.239690304E-1
3.068540001E-1,-2.855458856E-1,-4.709266722E-1,3.784169257E-1
3.168770000E-1,-2.658297122E-1,-4.434058368E-1,2.685607374E-1
3.269000000E-1,-2.231924236E-1,-3.618178368E-1,1.732460409E-1
3.369229999E-1,-1.990322322E-1,-3.512381613E-1,1.704662293E-1
3.469469999E-1,-1.837188900E-1,-3.611717522E-1,2.081315666E-1
3.569700001E-1,-1.663303077E-1,-3.340096474E-1,2.154438049E-1
3.669930000E-1,-1.040924117E-1,-1.700446606E-1,1.759477854E-1
3.770160000E-1,-5.564126000E-2,-5.023410916E-2,1.012607589E-1
3.870389999E-1,-4.068370163E-2,2.295913920E-2,4.512213916E-2
3.970629999E-1,-4.661669210E-2,6.626666337E-2,1.972303726E-2
4.070860001E-1,-4.917240143E-2,8.665170521E-2,5.441418849E-3
4.171090000E-1,-4.436033592E-2,7.915890217E-2,-4.269265570E-3
4.271320000E-1,-4.052268341E-2,6.050591171E-2,-1.079138182E-2
4.371559999E-1,-4.409904405E-2,4.024751112E-2,-9.227840230E-3
4.471789999E-1,-4.541410133E-2,2.446782589E-2,-1.271269098E-2
4.572020001E-1,-3.949655965E-2,5.176685750E-3,-1.688426547E-2
4.672250000E-1,-3.503292054E-2,-2.257158980E-2,-2.207235806E-2
4.772480000E-1,-3.570403531E-2,-5.820761621E-2,-2.832892165E-2
4.872719999E-1,-3.409911320E-2,-9.102886915E-2,-3.143957630E-2
4.972949999E-1,-2.596448362E-2,-1.215518937E-1,-3.098816983E-2
5.073180001E-1,-1.782895438E-2,-1.442089379E-1,-1.764900982E-2
5.173410000E-1,-3.583972808E-3,-1.496987790E-1,1.087344438E-2
5.273650000E-1,8.410118520E-3,-1.389760971E-1,4.037943855E-2
5.373879999E-1,-1.572557725E-2,-5.486841127E-2,5.848866701E-2
5.474109999E-1,-1.164156124E-1,1.737836748E-1,4.534835368E-2
5.574340001E-1,-2.386765480E-1,4.483350813E-1,-3.472980577E-3
5.674570000E-1,-2.775372565E-1,4.480165243E-1,-4.777914658E-2
5.774810000E-1,-2.653802037E-1,2.005963176E-1,-1.846466772E-2
5.875039999E-1,-1.746099442E-1,-1.152275577E-1,8.072434366E-2
5.975269999E-1,-5.053672940E-2,-3.826549947E-1,1.611411572E-1
6.075500001E-1,3.645493835E-2,-5.592518449E-1,1.765174568E-1
6.175730000E-1,6.274087727E-2,-6.313116550E-1,1.245056540E-1
6.275970000E-1,-1.026029233E-2,-5.955560803E-1,2.053034306E-2
6.376199999E-1,-1.160943136E-1,-5.224877596E-1,-1.074172333E-1
6.476429999E-1,-1.764474064E-1,-5.620659590E-1,-2.360784113E-1
6.576660001E-1,-2.298608273E-1,-6.063168049E-1,-3.094444871E-1
6.676900000E-1,-2.305871546E-1,-5.368271470E-1,-3.073941469E-1
6.777130000E-1,-1.930738688E-1,-3.843822777E-1,-2.532094419E-1
6.877359999E-1,-1.362840682E-1,-2.032803893E-1,-1.987509727E-1
6.977589999E-1,-7.374906540E-2,-6.264924258E-2,-1.839845330E-1
7.077820001E-1,-4.870058224E-2,4.734389856E-2,-2.172056437E-1
7.178060000E-1,-1.084108464E-2,1.270496547E-1,-2.672041059E-1
7.278290000E-1,3.016065434E-2,1.539819390E-1,-2.947354019E-1
7.378519999E-1,4.872288555E-2,1.246120632E-1,-2.991424203E-1
7.478749999E-1,4.087701067E-2,3.893199190E-2,-2.778839171E-1
7.578990001E-1,-3.029064089E-2,-5.448823795E-2,-2.274199575E-1
7.679220000E-1,-1.310824901E-1,-1.408934295E-1,-1.618156135E-1
7.779450000E-1,-2.224174589E-1,-2.532053292E-1,-1.131343618E-1
7.879679999E-1,-3.042207360E-1,-3.741547167E-1,-8.015506715E-2
7.979909999E-1,-3.726781011E-1,-4.751819968E-1,-4.737075791E-2
8.080150001E-1,-4.068013430E-1,-5.593370795E-1,-7.418488618E-3
8.180380000E-1,-4.044633508E-1,-6.820816398E-1,6.360349059E-2
8.280603334E-1,-4.045120180E-1,-8.300125599E-1,1.710513383E-1
8.380833333E-1,-4.209426641E-1,-9.489642382E-1,2.792776823E-1
8.481073333E-1,-4.340014458E-1,-1.017956018E0,3.531746268E-1
8.581303332E-1,-4.409661293E-1,-1.036252737E0,3.854350746E-1
8.681533332E-1,-4.246183634E-1,-9.914011955E-1,3.863162994E-1
8.781763334E-1,-3.857000172E-1,-9.027121067E-1,3.565706611E-1
8.881993333E-1,-3.175311685E-1,-8.120094538E-1,3.030324280E-1
8.982233333E-1,-2.183452100E-1,-7.345173359E-1,2.439350188E-1
9.082463332E-1,-1.103924215E-1,-6.697823405E-1,1.861583740E-1
9.182693332E-1,-2.776226029E-2,-6.337490082E-1,1.330336332E-1
9.282923334E-1,1.088792458E-2,-5.964062214E-1,8.259987086E-2
9.383163333E-1,3.726840019E-2,-5.334395170E-1,1.478433143E-2
9.483393333E-1,4.176527262E-2,-4.563153088E-1,-8.751849085E-2
9.583623332E-1,4.035113379E-2,-3.662775755E-1,-2.394243926E-1
9.683853332E-1,1.418410614E-2,-2.826070189E-1,-4.244274199E-1
9.784083334E-1,-1.599696651E-2,-1.842993647E-1,-5.954657197E-1
9.884323333E-1,-2.035609260E-2,-1.120112538E-1,-6.988670230E-1
9.984553333E-1,-4.259588197E-2,-1.132938266E-1,-7.108834982E-1
1.008478333E0,-1.085792407E-1,-1.746916026E-1,-6.517398357E-1
1.018501333E0,-1.943735033E-1,-2.289958596E-1,-5.538122058E-1
1.028525333E0,-2.653899789E-1,-2.723467946E-1,-4.499337375E-1
1.038548333E0,-3.165034950E-1,-2.851307690E-1,-3.698106706E-1
1.048571333E0,-3.222656548E-1,-2.499146610E-1,-3.291639686E-1
1.058594333E0,-3.399120271E-1,-2.033359706E-1,-3.023752272E-1
1.068617333E0,-3.153528273E-1,-1.103038341E-1,-2.646719515E-1
1.078641333E0,-2.502600849E-1,5.827564746E-3,-2.074363828E-1
1.088664333E0,-1.714666933E-1,1.032499969E-1,-1.437069774E-1
1.098687333E0,-1.129280180E-1,1.971386671E-1,-6.195859611E-2
1.108710333E0,-8.336672187E-2,2.864785194E-1,-1.711931778E-3
1.118734333E0,-8.001220226E-2,3.151655495E-1,-2.318599727E-3
