"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.345625147E-3,-1.052311707E-1,7.580386505E0,5.986950073E0
1.136862510E-2,-5.852828979E-2,7.464826813E0,6.211333466E0
2.139162505E-2,1.017883301E-1,7.492219849E0,6.152056732E0
3.141562501E-2,6.131250000E-1,8.136779480E0,6.220314789E0
4.143862519E-2,9.749226379E-1,8.590485992E0,6.619983673E0
5.146162515E-2,5.468128967E-1,7.911647644E0,6.735243988E0
6.148462510E-2,-4.065545654E-1,6.882088623E0,6.309678955E0
7.150762505E-2,-8.687933350E-1,6.962321777E0,5.845793610E0
8.153062500E-2,-8.171507263E-1,7.849526825E0,5.727988586E0
9.155362519E-2,-9.827064514E-1,8.321046295E0,5.838758240E0
1.015776251E-1,-1.209634552E0,8.248447266E0,5.920787659E0
1.116006251E-1,-1.117575989E0,7.999963989E0,5.899980927E0
1.216236250E-1,-6.083349609E-1,7.918084259E0,5.758824463E0
1.316466250E-1,-1.157093811E-1,7.862400055E0,5.765410767E0
1.416696252E-1,1.179547119E-1,7.640860748E0,5.870641937E0
1.516926251E-1,2.248324585E-1,7.590265961E0,5.825885010E0
1.617156251E-1,1.442999268E-1,7.766449585E0,5.796546021E0
1.717386250E-1,-2.037263489E-1,7.835306396E0,5.849386139E0
1.817626250E-1,-5.062472534E-1,7.835905151E0,5.832770691E0
1.917856252E-1,-8.178991699E-1,7.821085968E0,5.828130341E0
2.018086251E-1,-9.630972290E-1,7.914192352E0,5.848937073E0
2.118316251E-1,-8.635542297E-1,8.032147064E0,5.827531586E0
2.218546250E-1,-8.461903381E-1,7.915539551E0,5.851332092E0
2.318776250E-1,-8.500822449E-1,7.769593048E0,5.840255127E0
2.419006252E-1,-7.912545776E-1,7.623047791E0,5.764662323E0
2.519246251E-1,-8.714877319E-1,7.550299072E0,5.662574615E0
2.619476251E-1,-1.137185211E0,7.436685333E0,5.714965668E0
2.719706250E-1,-1.450483704E0,7.313341827E0,5.647456055E0
2.819936250E-1,-1.755848694E0,7.101083221E0,5.465284882E0
2.920166252E-1,-2.088457031E0,6.845863953E0,5.200635223E0
3.020396251E-1,-2.539319458E0,6.813531189E0,4.869224396E0
3.120626251E-1,-3.045866089E0,6.850803680E0,4.594844971E0
3.220856250E-1,-3.543431396E0,6.678062897E0,4.589905243E0
3.321096250E-1,-3.878135376E0,6.281986542E0,4.775818634E0
3.421330000E-1,-4.143383789E0,5.756279755E0,4.662953339E0
3.521560000E-1,-3.788771210E0,5.370382233E0,4.868475952E0
3.621790002E-1,-2.911445618E0,5.922134857E0,4.004921722E0
3.722020001E-1,-1.504671021E0,6.419849854E0,3.636986847E0
3.822250001E-1,2.353106689E-1,7.382947083E0,3.891906738E0
3.922480000E-1,2.196831665E0,9.087302856E0,4.115092621E0
4.022710002E-1,4.449048157E0,1.121707397E1,3.940854950E0
4.122950002E-1,6.440806274E0,1.246727417E1,3.412753143E0
4.223180001E-1,7.718998260E0,1.149669250E1,4.129911804E0
4.323410001E-1,7.972720642E0,9.229507141E0,5.648503876E0
4.423640000E-1,7.554789734E0,7.695646820E0,6.554420013E0
4.523870002E-1,6.064339142E0,6.301745453E0,6.951544189E0
4.624100002E-1,5.733227692E0,6.833140411E0,6.878645782E0
4.724330001E-1,5.045108643E0,7.573650513E0,6.134094086E0
4.824570001E-1,4.084406433E0,7.684719543E0,5.896987152E0
4.924800000E-1,3.318449249E0,7.667954407E0,5.933660889E0
5.025030002E-1,2.594853973E0,7.661218414E0,5.730533295E0
5.125260002E-1,1.977238312E0,7.706723785E0,5.547763367E0
5.225490001E-1,1.519789581E0,7.764803009E0,5.450765076E0
5.325720001E-1,1.240919495E0,7.797285461E0,5.317991180E0
5.425950000E-1,1.134640503E0,7.743547211E0,5.076393585E0
5.526180002E-1,1.227148132E0,7.633376312E0,4.953349457E0
5.626420001E-1,1.424886932E0,7.491621094E0,5.006189575E0
5.726650001E-1,1.584155731E0,7.363936615E0,5.012177124E0
5.826880001E-1,1.715582428E0,7.318281555E0,4.841981049E0
5.927110000E-1,1.998943176E0,7.354206848E0,4.625231781E0
6.027340002E-1,2.440674591E0,7.394024048E0,4.393513641E0
6.127570001E-1,3.014281769E0,7.349416809E0,4.225712585E0
6.227800001E-1,3.718417511E0,7.286996613E0,4.168082428E0
6.328040001E-1,4.474944305E0,7.380552063E0,4.190535736E0
6.428270000E-1,5.071004791E0,7.596253510E0,4.190535736E0
6.528500002E-1,5.480104065E0,7.755222931E0,4.215982819E0
6.628730001E-1,5.866450653E0,7.837701416E0,4.180656281E0
6.728960001E-1,6.292913818E0,7.877518616E0,4.102069702E0
6.829190000E-1,6.770869904E0,7.871231689E0,3.946992188E0
6.929420000E-1,7.340585175E0,7.786956940E0,3.759881287E0
7.029650002E-1,7.935747528E0,7.785909119E0,3.534300385E0
7.129890001E-1,8.484057312E0,7.825726318E0,3.358565826E0
7.230120001E-1,8.849597168E0,7.770341492E0,3.252885590E0
7.330350000E-1,9.015302582E0,7.635471954E0,3.323239288E0
7.430580000E-1,8.981921997E0,7.521409149E0,3.404819641E0
7.530810002E-1,8.802594910E0,7.381300507E0,3.410657501E0
7.631040001E-1,8.594527588E0,7.221133575E0,3.363355865E0
7.731270001E-1,8.420738983E0,7.063810730E0,3.166664886E0
7.831510000E-1,8.280181274E0,6.837481384E0,2.853815460E0
7.931740000E-1,8.155939636E0,6.553222504E0,2.623743896E0
8.031970002E-1,8.089926910E0,6.337970123E0,2.442021790E0
8.132200001E-1,8.069120178E0,6.195316772E0,2.334245911E0
8.232430001E-1,8.028255157E0,6.045178986E0,2.176174622E0
8.332660000E-1,7.928562469E0,5.937552795E0,2.029030609E0
8.432890000E-1,7.774233398E0,5.916895752E0,1.854942627E0
8.533120002E-1,7.574099579E0,5.917344818E0,1.670376434E0
8.633360001E-1,7.405999146E0,5.877527618E0,1.486708374E0
8.733590001E-1,7.283254395E0,5.739963684E0,1.319955139E0
8.833820000E-1,7.295528870E0,5.699547729E0,1.188678131E0
8.934050000E-1,7.415728912E0,5.804030457E0,1.032552795E0
