"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.013962506E-2,3.485805050E-1,1.806074118E-1,-4.068568998E-1,-8.248273756E-1,1.391989660E2,5.286044198E1,8.190772443E-1,-1.337740332E2
3.016262501E-2,3.491351997E-1,1.813820920E-1,-4.074853303E-1,-8.241121014E-1,1.391311416E2,5.297415949E1,8.264291513E-1,-1.336682788E2
4.018562520E-2,3.501897981E-1,1.836432072E-1,-4.076685216E-1,-8.230726758E-1,1.390021511E2,5.311236567E1,9.615082598E-1,-1.334231736E2
5.020862515E-2,3.517777860E-1,1.872706389E-1,-4.074666593E-1,-8.216768776E-1,1.388078179E2,5.327791795E1,1.207682151E0,-1.330405425E2
6.023162510E-2,3.534057080E-1,1.909844190E-1,-4.072203004E-1,-8.202445169E-1,1.386084690E2,5.344554611E1,1.460048046E0,-1.326469357E2
7.025562506E-2,3.545880957E-1,1.936937449E-1,-4.071867094E-1,-8.191147285E-1,1.384635963E2,5.358672325E1,1.635883755E0,-1.323590620E2
8.027862501E-2,3.551992040E-1,1.951170545E-1,-4.074849300E-1,-8.183635241E-1,1.383886928E2,5.369844639E1,1.712064452E0,-1.322081223E2
9.030162520E-2,3.553609425E-1,1.953457644E-1,-4.081487639E-1,-8.179078535E-1,1.383688653E2,5.378862885E1,1.688717350E0,-1.321758980E2
1.003246251E-1,3.553058776E-1,1.947042682E-1,-4.089827447E-1,-8.176680590E-1,1.383756159E2,5.385190613E1,1.591822864E0,-1.322181512E2
1.103476251E-1,3.551659922E-1,1.935105957E-1,-4.098687873E-1,-8.175686346E-1,1.383927640E2,5.389189401E1,1.448217825E0,-1.323018683E2
1.203706251E-1,3.550806238E-1,1.922197115E-1,-4.107753766E-1,-8.174551542E-1,1.384032286E2,5.392951917E1,1.291856208E0,-1.323850758E2
1.303936250E-1,3.551564670E-1,1.913644677E-1,-4.116091255E-1,-8.172033900E-1,1.383939316E2,5.398213493E1,1.168691359E0,-1.324252164E2
1.404166252E-1,3.554621792E-1,1.912582365E-1,-4.122852242E-1,-8.167543785E-1,1.383564541E2,5.405616425E1,1.106931402E0,-1.323966794E2
1.504406251E-1,3.559670563E-1,1.918137425E-1,-4.128051793E-1,-8.161413526E-1,1.382945507E2,5.414706299E1,1.100385279E0,-1.323078556E2
1.604636251E-1,3.565451636E-1,1.928448125E-1,-4.132004430E-1,-8.154457400E-1,1.382236527E2,5.424872035E1,1.137953099E0,-1.321833457E2
1.704866251E-1,3.571425530E-1,1.942207174E-1,-4.135237304E-1,-8.146936716E-1,1.381503725E2,5.436056953E1,1.208282061E0,-1.320365115E2
1.805096250E-1,3.577800030E-1,1.956624031E-1,-4.138552470E-1,-8.139001097E-1,1.380721583E2,5.447730169E1,1.281299991E0,-1.318810377E2
1.905326252E-1,3.583947569E-1,1.968232327E-1,-4.142707095E-1,-8.131380946E-1,1.379967095E2,5.458911610E1,1.326174011E0,-1.317441847E2
2.005556251E-1,3.588685297E-1,1.974539602E-1,-4.147854911E-1,-8.125135205E-1,1.379385504E2,5.468403900E1,1.327152302E0,-1.316538570E2
2.105786251E-1,3.591337176E-1,1.974473432E-1,-4.153663169E-1,-8.121011557E-1,1.379059916E2,5.475212403E1,1.280686340E0,-1.316241169E2
2.206026250E-1,3.592590413E-1,1.969611793E-1,-4.159412420E-1,-8.118695377E-1,1.378906036E2,5.479350751E1,1.200563892E0,-1.316381784E2
2.306256250E-1,3.592231322E-1,1.961525815E-1,-4.165010892E-1,-8.117941792E-1,1.378950128E2,5.481568228E1,1.102289603E0,-1.316891480E2
2.406486252E-1,3.589924835E-1,1.950455523E-1,-4.170418754E-1,-8.118853217E-1,1.379233322E2,5.481960940E1,9.900885382E-1,-1.317792768E2
2.506716251E-1,3.584773015E-1,1.935581585E-1,-4.176101308E-1,-8.121767040E-1,1.379865774E2,5.480655101E1,8.594316071E-1,-1.319231820E2
2.606946251E-1,3.577070679E-1,1.916223748E-1,-4.182962604E-1,-8.126222383E-1,1.380811084E2,5.478396828E1,6.977737631E-1,-1.321213383E2
2.707176250E-1,3.566175086E-1,1.890360545E-1,-4.191897947E-1,-8.132461592E-1,1.382147793E2,5.475237575E1,4.861519329E-1,-1.323922877E2
2.807406250E-1,3.550496037E-1,1.855540083E-1,-4.203462620E-1,-8.141366799E-1,1.384070310E2,5.470676258E1,2.088493666E-1,-1.327673837E2
2.907636252E-1,3.527660242E-1,1.809394447E-1,-4.218322229E-1,-8.153983669E-1,1.386868177E2,5.464513410E1,-1.455713687E-1,-1.332856615E2
3.007876251E-1,3.494255493E-1,1.748765889E-1,-4.237305065E-1,-8.171734236E-1,1.390956336E2,5.456548328E1,-5.910467131E-1,-1.340014739E2
3.108106251E-1,3.448453249E-1,1.670464315E-1,-4.260710790E-1,-8.195368081E-1,1.396552918E2,5.446256321E1,-1.149192079E0,-1.349505671E2
3.208336250E-1,3.388408741E-1,1.571132728E-1,-4.289695915E-1,-8.224884784E-1,1.403874608E2,5.434491853E1,-1.848519185E0,-1.361685263E2
3.308566250E-1,3.322826348E-1,1.453450087E-1,-4.322982021E-1,-8.255793807E-1,1.411852383E2,5.422239314E1,-2.711256044E0,-1.375402688E2
3.408800000E-1,3.254516843E-1,1.315776563E-1,-4.357406303E-1,-8.287934572E-1,1.420141152E2,5.406294711E1,-3.756919760E0,-1.390393389E2
3.509030000E-1,3.186238527E-1,1.156408898E-1,-4.393730037E-1,-8.318999750E-1,1.428405565E2,5.388398129E1,-5.024754144E0,-1.406406356E2
3.609260002E-1,3.102885969E-1,9.619478693E-2,-4.439279085E-1,-8.351020818E-1,1.438467529E2,5.375352531E1,-6.593623826E0,-1.425786438E2
3.709500001E-1,3.007428836E-1,7.380638100E-2,-4.486945063E-1,-8.383195301E-1,1.449955442E2,5.364290899E1,-8.403108398E0,-1.447839611E2
3.809730001E-1,2.908894773E-1,4.915841930E-2,-4.532796830E-1,-8.411328111E-1,1.461775695E2,5.355469920E1,-1.042865680E1,-1.471196693E2
