"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.292499162E-4,2.091750183E0,8.095914459E0,5.425617371E0
9.093750035E-3,2.134710846E0,7.956404572E0,6.095175018E0
1.911575010E-2,2.162103882E0,8.280630341E0,6.350094910E0
2.913875005E-2,2.185155945E0,8.551866302E0,6.387068024E0
3.916074999E-2,2.302062836E0,8.266709290E0,6.512207794E0
4.918375006E-2,2.258054352E0,8.058641968E0,6.526727600E0
5.920575000E-2,2.180964661E0,8.210576019E0,6.296506348E0
6.922875007E-2,2.031425629E0,8.116721191E0,6.032156067E0
7.925075002E-2,1.908531189E0,7.858657837E0,5.836662598E0
8.927375008E-2,1.866618347E0,7.655081177E0,5.732628937E0
9.929575003E-2,1.839674377E0,7.535330200E0,5.634732513E0
1.093187501E-1,1.965412903E0,7.800728302E0,5.526058502E0
1.193407500E-1,2.087259521E0,7.688312073E0,5.536087646E0
1.293637500E-1,2.049537964E0,7.303162994E0,5.569019165E0
1.393857501E-1,1.957180023E0,7.229366455E0,5.473817139E0
1.494087500E-1,1.939217377E0,7.284002838E0,5.451363831E0
1.594307501E-1,2.148033142E0,7.226073303E0,5.550906830E0
1.694537500E-1,2.358794861E0,7.125632172E0,5.710924072E0
1.794757501E-1,2.392624512E0,7.068301392E0,5.739364929E0
1.894987500E-1,2.208208008E0,7.056026917E0,5.589077454E0
1.995207501E-1,2.206561432E0,7.049440613E0,5.565576324E0
2.095437500E-1,2.227667542E0,7.310946808E0,5.622008972E0
2.195667500E-1,2.324815521E0,7.756570129E0,5.464536438E0
2.295887501E-1,2.416574707E0,7.924221497E0,5.309608612E0
2.396117500E-1,2.431393890E0,8.110284576E0,5.239554291E0
2.496337501E-1,2.417323151E0,8.342002716E0,5.271587677E0
2.596567500E-1,2.433040466E0,8.414751434E0,5.464835815E0
2.696787501E-1,2.443368988E0,8.328530731E0,5.592969360E0
2.797017500E-1,2.567910004E0,8.172704773E0,5.704487457E0
2.897237501E-1,2.563868408E0,8.101452942E0,5.679938507E0
2.997467500E-1,2.305355988E0,7.954458618E0,5.545218658E0
3.097687501E-1,1.905238037E0,7.610623627E0,5.449717255E0
3.197917501E-1,1.343755646E0,7.106022949E0,5.295238495E0
3.298137500E-1,6.996450806E-1,6.260581055E0,5.250930634E0
3.398367501E-1,-4.370910645E-2,5.034031677E0,5.094954987E0
3.498577500E-1,-6.045927429E-1,3.613036652E0,4.905149689E0
3.598807501E-1,-1.145567780E0,2.836601257E0,4.091890869E0
3.699027500E-1,-1.309177551E0,3.902384949E0,2.223027191E0
3.799257501E-1,-1.225501556E0,5.792205048E0,5.514532471E-1
3.899477500E-1,-2.094444580E0,6.656058655E0,8.345146179E-1
3.999707501E-1,-4.059558105E-1,7.559579773E0,1.089284821E0
4.099927500E-1,2.135908356E0,8.246052246E0,4.567002869E-1
4.200157501E-1,4.680167542E0,8.742719421E0,-1.050814819E-1
4.300377500E-1,7.400760040E0,9.138646088E0,-1.722917175E-1
4.400607500E-1,1.004830444E1,9.265582123E0,1.511856079E-1
4.500827501E-1,1.210038712E1,9.160500641E0,1.010847931E0
4.601057500E-1,1.298938843E1,8.730145569E0,2.039808197E0
4.701277501E-1,1.279135025E1,8.076005859E0,2.868784332E0
4.801507500E-1,1.161988632E1,7.409741364E0,3.177143097E0
4.901727501E-1,9.992021484E0,6.799610138E0,3.069067841E0
5.001957500E-1,8.508905640E0,6.229146423E0,2.745440826E0
5.102177501E-1,7.416477356E0,5.776038666E0,2.472857666E0
5.202407500E-1,6.611451416E0,5.565127258E0,2.263443146E0
5.302627500E-1,6.002817078E0,5.600154419E0,2.033670959E0
5.402857501E-1,5.559289398E0,5.805078278E0,1.810185699E0
5.503077500E-1,5.241051178E0,6.127807159E0,1.562899933E0
5.603307501E-1,4.971910858E0,6.489455109E0,1.388512573E0
5.703527500E-1,4.762496338E0,6.857389984E0,1.372346191E0
5.803757501E-1,4.610412598E0,7.290140076E0,1.359472961E0
5.903977500E-1,4.591701508E0,7.647147675E0,1.324445801E0
6.004207501E-1,4.754862213E0,7.753127289E0,1.350940704E0
6.104427500E-1,5.127736816E0,7.799231415E0,1.448687439E0
6.204657500E-1,5.716911621E0,8.096812592E0,1.450483704E0
6.304877501E-1,6.464008026E0,8.745264130E0,1.210382996E0
6.405107500E-1,7.404202881E0,9.329948273E0,8.660989380E-1
6.505327501E-1,8.474477234E0,9.518406372E0,6.273454285E-1
