"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.082750063E-3,1.042985022E-1,4.311649799E-1,3.623541892E-1
1.410475001E-2,1.384460926E-1,5.076184869E-1,3.522908986E-1
2.412775008E-2,1.768764853E-1,5.955260396E-1,3.065645397E-1
3.414975002E-2,2.224322557E-1,7.221239209E-1,2.736225724E-1
4.417275009E-2,2.627454996E-1,8.646736741E-1,2.376348674E-1
5.419475003E-2,2.852729261E-1,9.489935637E-1,2.011442333E-1
6.421775010E-2,2.901054323E-1,9.759929180E-1,2.143302113E-1
7.423975004E-2,2.732540071E-1,9.708189368E-1,2.471898794E-1
8.426275000E-2,2.432920337E-1,9.403447509E-1,2.935128212E-1
9.428475006E-2,2.099202275E-1,8.737199306E-1,3.345974088E-1
1.043077500E-1,1.746517867E-1,8.015100956E-1,3.359337449E-1
1.143297501E-1,1.545380056E-1,7.488763928E-1,3.544384539E-1
1.243527500E-1,1.380075961E-1,7.184019089E-1,3.797785342E-1
1.343747501E-1,1.044989005E-1,6.722576022E-1,3.947630823E-1
1.443977500E-1,7.240279764E-2,6.253072023E-1,4.144679606E-1
1.544197501E-1,5.432179570E-2,6.271556616E-1,4.331311285E-1
1.644427500E-1,5.433768779E-2,6.783430576E-1,4.346641898E-1
1.744647501E-1,6.258363277E-2,7.208048105E-1,4.080698788E-1
1.844877501E-1,5.873114616E-2,7.452939749E-1,4.034124911E-1
1.945097500E-1,5.536277965E-2,8.001266122E-1,4.318017960E-1
2.045327501E-1,6.544870883E-2,8.749839067E-1,4.387274683E-1
2.145547500E-1,7.653624564E-2,8.847830296E-1,4.409370720E-1
2.245777501E-1,9.105892479E-2,8.575837016E-1,4.729364514E-1
2.345997500E-1,9.575754404E-2,7.844802141E-1,5.020661354E-1
2.446227501E-1,1.012300104E-1,6.627430916E-1,5.172505975E-1
2.546447500E-1,1.172425300E-1,5.689806342E-1,5.034072399E-1
2.646677501E-1,1.485435069E-1,4.936788082E-1,4.827285409E-1
2.746897500E-1,1.850993931E-1,4.442417622E-1,4.389813244E-1
2.847127500E-1,2.165840268E-1,3.526981175E-1,3.715415597E-1
2.947347501E-1,2.140116841E-1,1.851243228E-1,2.961184382E-1
3.047577500E-1,1.875262856E-1,-3.546525910E-2,2.280365229E-1
3.147797501E-1,1.267255247E-1,-3.015318513E-1,1.740566492E-1
3.248027500E-1,7.562287897E-2,-5.662499070E-1,1.706141084E-1
3.348247501E-1,4.056742787E-2,-8.201972246E-1,2.852155268E-1
3.448477500E-1,2.423848584E-2,-1.079406738E0,5.573362708E-1
3.548687501E-1,7.717301138E-3,-1.680858612E0,8.928343654E-1
3.648917500E-1,-2.349416167E-1,-3.045580387E0,8.323283792E-1
3.749137501E-1,-6.146546006E-1,-5.014655590E0,-1.470466610E-2
