"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.178091671E-2,-1.478662898E-1,-2.764177644E-1,-1.323844707E-1
2.180291677E-2,-1.287659213E-2,-3.496254891E-1,-2.232233047E-1
3.182391671E-2,-5.411831975E-2,-2.544252169E-1,-3.707006085E-1
4.184591677E-2,5.136289246E-1,6.029239476E-1,-1.693634319E-1
5.186791671E-2,1.946188573E0,1.385748594E0,6.425481892E-1
6.188891677E-2,1.561824776E0,-1.338938125E0,6.402274293E-1
7.191091671E-2,-4.392872787E-1,-2.815148993E0,-2.413192677E-1
8.193291677E-2,-7.045134723E-1,-4.902849394E-1,-4.213684863E-1
9.195491672E-2,1.033391578E-1,1.468719415E0,-1.655954862E-1
1.019759168E-1,3.425418797E-1,8.319126070E-1,2.761289120E-2
1.119979167E-1,1.907766666E-1,-2.696718317E-1,8.932674408E-2
1.220199168E-1,1.870155913E-1,-1.231447005E-1,-2.338108581E-1
1.320419167E-1,3.437563464E-1,2.017189997E-1,-3.815998185E-1
1.420629168E-1,3.251677555E-1,-2.120141923E-2,-2.915585446E-1
1.520849167E-1,8.373373613E-2,-3.409458822E-1,-2.321718836E-1
1.621069168E-1,-1.407411651E-1,-4.701284176E-1,-2.258627379E-1
1.721279167E-1,-3.325888954E-1,-3.723933774E-1,-3.456493825E-1
1.821499168E-1,-5.821062519E-1,-3.556200546E-1,-4.337675071E-1
1.921719167E-1,-8.821974921E-1,-6.286616367E-1,-4.512799180E-1
2.021929168E-1,-1.032200354E0,-8.286364120E-1,-5.155484194E-1
2.122149167E-1,-1.044138761E0,-7.171422887E-1,-5.910102457E-1
2.222369168E-1,-1.170439642E0,-6.163655269E-1,-6.677227914E-1
2.322589167E-1,-1.391879108E0,-8.231733584E-1,-7.838759762E-1
2.422799168E-1,-1.493067367E0,-1.066291814E0,-8.352794337E-1
2.523019167E-1,-1.491094663E0,-9.910287935E-1,-8.565609598E-1
2.623239168E-1,-1.587667277E0,-1.011425636E0,-8.782868743E-1
2.723449167E-1,-1.798317021E0,-1.337354114E0,-7.592282081E-1
2.823643751E-1,-1.924704587E0,-1.493600487E0,-7.468952608E-1
2.923863750E-1,-2.053251677E0,-1.425098017E0,-9.003226912E-1
3.024083751E-1,-2.208507531E0,-9.452024102E-1,-1.007467071E0
3.124293750E-1,-2.336933729E0,-2.634673512E-1,-1.184659925E0
3.224513751E-1,-2.218618683E0,9.697022438E-2,-1.360075809E0
3.324733750E-1,-1.892108407E0,5.620466477E-1,-1.465005848E0
3.424943751E-1,-1.283367941E0,1.477365108E0,-1.710516985E0
3.525163750E-1,-1.285926975E0,1.956085424E0,-1.916000422E0
3.625383751E-1,-1.921281627E0,1.265751450E0,-1.275705750E0
3.725603750E-1,-2.684989680E0,3.270914894E-1,-6.715293288E-1
3.825813751E-1,-3.696596287E0,-4.072410285E-1,-8.244574070E-1
3.926033750E-1,-3.068985980E0,1.150746074E0,-1.653858635E0
4.026253751E-1,-1.527092900E0,3.045940349E0,-1.758123261E0
4.126463750E-1,7.864063588E-1,3.800334079E0,-1.584625847E0
4.226683751E-1,3.673721979E0,3.095779091E0,-7.723411739E-1
4.326903750E-1,5.767955475E0,1.721041389E0,3.312371653E-1
4.427123751E-1,6.199920870E0,4.837886828E-1,1.210884102E0
4.527333750E-1,4.963302003E0,-2.025487196E-1,1.693506265E0
4.627553751E-1,3.110498287E0,-3.289813095E-1,1.871169235E0
4.727773750E-1,1.894447878E0,-3.354114926E-1,1.813895758E0
4.827983751E-1,1.309449447E0,-4.621031141E-1,1.781772324E0
4.928203750E-1,1.069280911E0,-6.973734373E-1,1.861435960E0
5.028423751E-1,8.683875382E-1,-8.666047221E-1,1.883337876E0
5.128643750E-1,6.262812352E-1,-8.511201257E-1,1.924698156E0
5.228853751E-1,2.325846970E-1,-7.308493316E-1,1.933402321E0
5.329073750E-1,-1.801293254E-1,-6.102750671E-1,1.898226348E0
5.429293751E-1,-4.706777635E-1,-6.331733483E-1,1.854184828E0
5.529503750E-1,-5.735077751E-1,-7.445768398E-1,1.795590464E0
5.629723751E-1,-5.250761649E-1,-8.621052897E-1,1.698958502E0
5.729943750E-1,-2.847936085E-1,-8.637764239E-1,1.630631448E0
5.830163751E-1,1.222620633E-1,-7.892103910E-1,1.618608403E0
5.930373750E-1,5.368018788E-1,-7.678025651E-1,1.578164674E0
6.030593751E-1,8.695970348E-1,-8.124963427E-1,1.550349762E0
6.130813750E-1,1.110108802E0,-8.383322650E-1,1.405991655E0
6.231033751E-1,1.301325325E0,-8.960770279E-1,1.242495612E0
6.331243750E-1,1.484359547E0,-1.013694355E0,1.155685509E0
6.431463751E-1,1.677835143E0,-1.099790513E0,1.085784677E0
6.531683750E-1,1.837335784E0,-1.172766688E0,9.907779479E-1
6.631893751E-1,2.028585928E0,-1.244113829E0,9.513647908E-1
6.732113750E-1,2.204506136E0,-1.301007237E0,9.705503824E-1
6.832333751E-1,2.255573086E0,-1.295676330E0,9.528286412E-1
6.932543750E-1,2.231332576E0,-1.220982243E0,8.821781963E-1
7.032763751E-1,2.092211821E0,-1.067894536E0,7.978478980E-1
7.132983750E-1,1.953845941E0,-8.090850770E-1,7.099765259E-1
7.233203751E-1,1.775968963E0,-5.229685360E-1,6.692582703E-1
7.333413750E-1,1.557733918E0,-2.941646487E-1,6.762766832E-1
7.433633751E-1,1.247084799E0,-5.157653511E-2,6.231254929E-1
7.533853750E-1,9.359304804E-1,2.067201233E-1,5.207512718E-1
7.634063751E-1,7.756197077E-1,3.866290087E-1,3.875294799E-1
7.734283750E-1,6.492882746E-1,3.995080858E-1,3.386333084E-1
7.834503751E-1,5.254664665E-1,3.761127913E-1,3.587793052E-1
7.934723750E-1,3.686906281E-1,4.494380450E-1,3.155175108E-1
8.034933751E-1,2.852070066E-1,6.426277113E-1,2.309316891E-1
8.135153750E-1,2.520228884E-1,7.648122990E-1,1.653393781E-1
8.235373751E-1,2.625779897E-1,8.239674103E-1,6.820718586E-2
8.335583750E-1,2.928767994E-1,8.285001719E-1,-1.643476903E-2
8.435803751E-1,3.305597654E-1,8.713579237E-1,-1.837282866E-1
8.536023750E-1,2.874882978E-1,9.330518961E-1,-3.243725342E-1
8.636243751E-1,1.553874171E-1,9.398247260E-1,-4.348539197E-1
8.736453750E-1,-4.383949935E-3,9.796530354E-1,-5.894157100E-1
8.836673751E-1,-1.295941794E-1,9.614331114E-1,-7.312159520E-1
8.936893750E-1,-2.778421462E-1,8.716707498E-1,-7.256067181E-1
9.037113751E-1,-4.369978014E-1,7.914639080E-1,-6.888774329E-1
9.137323750E-1,-4.597560418E-1,6.637636417E-1,-6.796973044E-1
9.237543751E-1,-4.346185693E-1,5.271481258E-1,-6.402303529E-1
9.337763750E-1,-4.392624280E-1,3.747591609E-1,-6.103300309E-1
9.437973751E-1,-5.002857247E-1,2.635474581E-1,-6.823139334E-1
9.538193750E-1,-4.755797768E-1,2.488592523E-1,-7.621202409E-1
9.638413751E-1,-3.901987338E-1,2.420343822E-1,-8.535496438E-1
9.738633750E-1,-3.065873507E-1,1.432070822E-1,-8.242714655E-1
9.838843751E-1,-3.454467764E-1,3.203104734E-3,-8.055369866E-1
9.939063750E-1,-3.717931607E-1,-1.183184087E-1,-8.489812142E-1
1.003928375E0,-4.067235500E-1,-2.214141762E-1,-9.415256810E-1
1.013949375E0,-4.211269963E-1,-3.163226724E-1,-9.359503609E-1
1.023971375E0,-5.060402620E-1,-4.282471508E-1,-9.336670232E-1
1.033993375E0,-5.963130856E-1,-5.559035629E-1,-1.026516715E0
1.044015375E0,-6.528732026E-1,-6.464406806E-1,-1.130252752E0
1.054036375E0,-6.195089900E-1,-6.023152524E-1,-1.257326782E0
1.064058375E0,-5.718740630E-1,-3.707824695E-1,-1.350425565E0
1.074080375E0,-5.563280708E-1,1.488642633E-2,-1.470008141E0
1.084101375E0,-5.860003513E-1,4.940645796E-1,-1.552395995E0
1.094123375E0,-3.840182269E-1,8.625333059E-1,-1.601841804E0
1.104145375E0,-1.934218007E-1,1.017346526E0,-1.505725858E0
1.114167375E0,-4.824332982E-1,1.105706141E0,-1.469560829E0
1.124188375E0,-7.259253913E-1,1.239948272E0,-1.515644490E0
1.134210375E0,-7.855979812E-1,1.464644490E0,-1.479277732E0
1.144232375E0,-7.706548369E-1,1.742910560E0,-1.401229683E0
1.154253375E0,-6.680677772E-1,1.943015143E0,-1.340630894E0
1.164275375E0,-4.011657715E-1,2.060533653E0,-1.206399872E0
1.174297375E0,-2.400732261E-1,2.137314611E0,-1.038730963E0
1.184319375E0,1.162420624E-1,2.148030803E0,-9.285635734E-1
1.194340375E0,3.979919028E-1,2.112706019E0,-7.940776134E-1
1.204362375E0,5.018343598E-1,2.082612154E0,-6.551471847E-1
1.214384375E0,7.709150380E-1,2.003246727E0,-5.521128130E-1
1.224405375E0,7.327461684E-1,1.924678860E0,-4.381260216E-1
1.234427375E0,7.861938125E-1,1.853159811E0,-3.540337050E-1
1.244449375E0,1.035888047E0,1.764099115E0,-2.289851511E-1
1.254471375E0,1.169699239E0,1.689417307E0,-1.121443337E-1
1.264492375E0,1.272255893E0,1.553719804E0,-1.182950199E-2
1.274514375E0,1.435872681E0,1.426870893E0,1.043885869E-1
1.284535917E0,1.466598630E0,1.332803226E0,1.197462988E-1
1.294556917E0,1.443917865E0,1.127902172E0,9.197904110E-2
1.304578917E0,1.244174055E0,9.287553620E-1,2.750120938E-2
1.314600917E0,1.018266293E0,8.444835359E-1,-1.214226955E-1
1.324622917E0,8.734617519E-1,8.970014727E-1,-3.262050515E-1
1.334643917E0,7.540347111E-1,9.081029963E-1,-4.914111131E-1
1.344665917E0,5.352991444E-1,7.899985957E-1,-5.977760589E-1
1.354687917E0,1.545664680E-1,6.805621076E-1,-7.161956245E-1
1.364708917E0,-1.916512638E-1,8.106468683E-1,-9.699174213E-1
1.374730917E0,-4.246481895E-1,1.104063658E0,-1.235549996E0
1.384752917E0,-6.603658247E-1,1.416353506E0,-1.411679242E0
1.394774917E0,-9.860036963E-1,1.655311083E0,-1.522815515E0
1.404795917E0,-1.373883424E0,1.732611859E0,-1.597868621E0
1.414817917E0,-1.782531293E0,1.713772130E0,-1.669486488E0
1.424839917E0,-2.127852062E0,1.765041102E0,-1.759531855E0
1.434860917E0,-2.377021801E0,1.906699256E0,-1.829306095E0
1.444882917E0,-2.511349887E0,2.233108376E0,-1.808936734E0
1.454904917E0,-2.586681320E0,2.604842772E0,-1.746963850E0
1.464926917E0,-2.447971916E0,2.783538945E0,-1.452912637E0
1.474947917E0,-2.137146211E0,2.786820987E0,-1.087543520E0
1.484969917E0,-1.691553880E0,2.667871664E0,-7.830000633E-1
1.494991917E0,-1.302643872E0,2.478290314E0,-5.076026380E-1
1.505012917E0,-1.083246401E0,2.322981250E0,-4.008897829E-1
1.515034917E0,-8.804807496E-1,2.149557511E0,-2.991394597E-1
1.525056917E0,-6.520996159E-1,1.942351484E0,-8.202708006E-2
1.535078917E0,-4.113808572E-1,1.756407688E0,2.454737145E-1
1.545099917E0,-2.310509723E-1,1.492910516E0,5.779785562E-1
1.555121917E0,-2.248079002E-1,1.154311121E0,7.763313138E-1
1.565143917E0,-2.159897143E-1,8.868390119E-1,7.114061701E-1
1.575164917E0,-2.541527367E-1,7.337530589E-1,6.331271553E-1
1.585186917E0,-3.790410769E-1,6.351964849E-1,5.911055553E-1
1.595208917E0,-5.872522402E-1,5.192695874E-1,5.299705768E-1
1.605230917E0,-7.763880318E-1,3.141024846E-1,4.395954269E-1
1.615251917E0,-7.918562561E-1,6.167233765E-2,3.295864964E-1
1.625273917E0,-6.834599876E-1,-2.379185271E-1,2.846523982E-1
1.635295917E0,-5.317691803E-1,-4.383382756E-1,1.607832277E-1
1.645316917E0,-2.557227141E-1,-5.651801705E-1,1.929581165E-3
1.655338917E0,5.187065005E-3,-7.710986406E-1,-5.184199870E-2
1.665360917E0,3.025314295E-1,-8.935808516E-1,-1.237674290E-1
1.675382917E0,5.856056643E-1,-9.011915874E-1,-2.665979505E-1
1.685403917E0,7.652052319E-1,-8.857602006E-1,-4.018639290E-1
1.695425917E0,8.012942469E-1,-9.098349416E-1,-5.615765315E-1
1.705447917E0,8.112912315E-1,-9.059781182E-1,-7.111752051E-1
1.715468917E0,8.909800100E-1,-9.364994144E-1,-6.926418704E-1
1.725490917E0,8.676987362E-1,-1.123831925E0,-5.976439118E-1
1.735512917E0,7.653093123E-1,-1.505721180E0,-6.546156728E-1
1.745534917E0,7.381542581E-1,-1.989917999E0,-7.812254333E-1
1.755555917E0,8.048534471E-1,-2.382266754E0,-9.208054876E-1
1.765577917E0,9.412371209E-1,-2.590117144E0,-1.018042930E0
1.775599917E0,1.092459859E0,-2.624511636E0,-9.943926966E-1
1.785620917E0,1.283249828E0,-2.516748036E0,-9.949475974E-1
1.795642917E0,1.463925283E0,-2.357187461E0,-1.071809832E0
1.805664917E0,1.670165935E0,-2.177631163E0,-1.296913016E0
