"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.500833064E-4,-8.854087830E-1,7.921826477E0,4.762047272E0
9.170916863E-3,-3.760180664E-1,8.526419220E0,4.784201202E0
1.919291681E-2,1.868115234E-1,9.084009705E0,5.246140594E0
2.921491675E-2,5.289999390E-1,9.292226715E0,5.387596436E0
3.923691669E-2,3.020718384E-1,8.880133667E0,5.292394409E0
4.925791686E-2,-1.869612122E-1,8.378227386E0,5.108127594E0
5.927991681E-2,-4.590953064E-1,8.532706146E0,4.941524048E0
6.930191675E-2,-5.155279541E-1,8.953630829E0,4.998256073E0
7.932391670E-2,-7.619155884E-1,9.037456512E0,5.187911682E0
8.934591687E-2,-8.896000671E-1,8.930578766E0,5.278473358E0
9.936691681E-2,-7.783813477E-1,8.712781677E0,5.276078339E0
1.093889168E-1,-8.258326721E-1,8.411757660E0,5.298381958E0
1.194109167E-1,-8.116122437E-1,8.181237030E0,5.392685852E0
1.294329169E-1,-5.267546082E-1,8.270451508E0,5.423821106E0
1.394549168E-1,-5.875282288E-1,8.479416962E0,5.466781769E0
1.494759168E-1,-4.836442566E-1,8.625812531E0,5.601950684E0
1.594979167E-1,-3.495231628E-1,8.811276855E0,5.652246094E0
1.695199169E-1,-3.903881836E-1,8.917555847E0,5.486241302E0
1.795419168E-1,-6.857240295E-1,8.640182648E0,5.397475891E0
1.895639168E-1,-1.010249176E0,8.100704498E0,5.426964569E0
1.995849167E-1,-9.217831421E-1,7.831863556E0,5.431006165E0
2.096069169E-1,-7.822732544E-1,7.854316864E0,5.410049744E0
2.196289168E-1,-7.845185852E-1,8.016579437E0,5.377567291E0
2.296509168E-1,-9.171427917E-1,7.937244415E0,5.277575226E0
2.396719167E-1,-1.061891785E0,7.679480438E0,5.136119385E0
2.496939169E-1,-1.271905060E0,7.518415375E0,4.957840118E0
2.597159168E-1,-1.614392853E0,7.342680817E0,4.737498322E0
2.697379168E-1,-2.302062836E0,6.827601929E0,4.610711975E0
2.797599167E-1,-3.266058197E0,6.205944672E0,4.430337067E0
2.897809169E-1,-4.295916595E0,5.605543213E0,4.282594299E0
2.998029168E-1,-4.847669220E0,5.163213043E0,4.301006012E0
3.098249168E-1,-5.336402893E0,4.976251831E0,4.391417999E0
3.198469167E-1,-5.636678467E0,5.316045227E0,4.089346161E0
3.298689169E-1,-5.671106873E0,6.219416656E0,3.447929993E0
3.398899168E-1,-5.833818512E0,6.817123718E0,1.717079315E0
3.499119168E-1,-6.072122955E0,7.354955292E0,-3.573069763E-1
3.599339167E-1,-5.955216064E0,8.297545166E0,-3.245251465E-1
3.699559169E-1,-4.162843323E0,8.773704987E0,2.404000854E-1
3.799779168E-1,-1.335971832E0,9.026828613E0,-3.450325012E-1
3.899989168E-1,1.101559296E0,9.760752411E0,-1.104253693E0
4.000209167E-1,3.027903442E0,1.097487762E1,-1.569336548E0
4.100429169E-1,5.364694061E0,1.200683167E1,-1.692530365E0
4.200649168E-1,7.691754913E0,1.203347626E1,-9.876461792E-1
4.300869168E-1,9.289682007E0,1.139131165E1,7.593708801E-1
4.401079167E-1,9.743837585E0,1.065409470E1,2.631677399E0
4.501299169E-1,8.695866852E0,9.907447357E0,3.840413818E0
4.601519168E-1,6.885381775E0,9.266180878E0,4.346960449E0
4.701739168E-1,5.194048920E0,8.838520203E0,4.370910645E0
4.801949167E-1,4.310137024E0,8.601712646E0,4.121678925E0
4.902169169E-1,4.123175812E0,8.446934509E0,3.998185730E0
5.002389168E-1,4.200115814E0,8.321794739E0,3.944297791E0
5.102609168E-1,4.306095428E0,8.288414154E0,3.883224792E0
5.202829167E-1,4.302353210E0,8.385262756E0,3.796405334E0
5.303039167E-1,4.088597717E0,8.652307434E0,3.557352448E0
5.403259168E-1,3.788022766E0,9.078620911E0,3.158132629E0
5.503479168E-1,3.485202484E0,9.455088043E0,2.721790009E0
5.603699167E-1,3.259172516E0,9.666897583E0,2.287992096E0
5.703919167E-1,3.183579712E0,9.639504547E0,1.955084381E0
5.804130419E-1,3.262465668E0,9.550140381E0,1.823507996E0
5.904350418E-1,3.358565826E0,9.467063141E0,1.844015350E0
6.004570418E-1,3.461252289E0,9.365873566E0,1.879641266E0
6.104790417E-1,3.683989105E0,9.312285004E0,1.832938385E0
6.205010419E-1,4.007167053E0,9.296567688E0,1.597777405E0
6.305220418E-1,4.364923096E0,9.341324615E0,1.332978058E0
6.405440418E-1,4.761747894E0,9.295519867E0,1.131047974E0
6.505660417E-1,5.225184174E0,9.065897369E0,1.091380463E0
6.605880419E-1,5.698499908E0,8.836873627E0,1.115929413E0
6.706090418E-1,6.036796417E0,8.737480316E0,1.174906769E0
6.806310418E-1,6.337221680E0,8.638835449E0,1.245260468E0
6.906530417E-1,6.617738342E0,8.474477234E0,1.244661713E0
7.006750419E-1,6.759044495E0,8.260871429E0,1.174158325E0
7.106970418E-1,6.727609863E0,8.200696564E0,1.060394897E0
7.207180418E-1,6.595434723E0,8.320597229E0,9.219328308E-1
7.307400417E-1,6.473588104E0,8.436605988E0,7.601193237E-1
7.407620419E-1,6.273454285E0,8.429869995E0,5.927673340E-1
7.507840418E-1,6.093977509E0,8.369994507E0,4.927752686E-1
