"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.292991685E-2,-4.059761662E-1,8.353417066E0,5.127544443E0
2.295191679E-2,-3.979953746E-1,8.353039920E0,5.128784637E0
3.297391674E-2,-4.027106789E-1,8.353039920E0,5.128415093E0
4.299591668E-2,-4.162909835E-1,8.352855733E0,5.127630982E0
5.301691685E-2,-4.315825122E-1,8.352354627E0,5.127184255E0
6.303891679E-2,-4.451350059E-1,8.351144253E0,5.127997018E0
7.306091674E-2,-4.526903029E-1,8.349634502E0,5.129792697E0
8.308291668E-2,-4.526935189E-1,8.348309523E0,5.131948566E0
9.310491686E-2,-4.481727076E-1,8.347020212E0,5.134442988E0
1.031259168E-1,-4.413367643E-1,8.346380526E0,5.136073776E0
1.131479167E-1,-4.337074269E-1,8.347368706E0,5.135118341E0
1.231699167E-1,-4.278438391E-1,8.349647951E0,5.131903542E0
1.331919169E-1,-4.254089123E-1,8.352137110E0,5.128053735E0
1.432139168E-1,-4.281133957E-1,8.354276022E0,5.124342508E0
1.532349167E-1,-4.362496501E-1,8.356005628E0,5.120834763E0
1.632569167E-1,-4.460013440E-1,8.356761088E0,5.118761925E0
1.732789169E-1,-4.536524623E-1,8.355885175E0,5.119519724E0
1.833009168E-1,-4.588148228E-1,8.353962026E0,5.122197164E0
1.933229167E-1,-4.621881911E-1,8.351600336E0,5.125743501E0
2.033439167E-1,-4.637286401E-1,8.348708888E0,5.130313100E0
2.133659169E-1,-4.643942725E-1,8.345791127E0,5.134997304E0
2.233879168E-1,-4.638777441E-1,8.343592574E0,5.138615561E0
2.334099167E-1,-4.606471940E-1,8.342474586E0,5.140722898E0
2.434309167E-1,-4.522290307E-1,8.342629538E0,5.141216403E0
2.534529169E-1,-4.349040962E-1,8.343612455E0,5.141117585E0
2.634749168E-1,-4.014069691E-1,8.345834396E0,5.140235240E0
2.734969168E-1,-3.411495115E-1,8.350487026E0,5.137030966E0
2.835189167E-1,-2.461142769E-1,8.357634662E0,5.130835256E0
2.935399169E-1,-1.133654790E-1,8.367166793E0,5.119937215E0
3.035619168E-1,5.394699176E-2,8.378824387E0,5.101812601E0
3.135839168E-1,2.565947897E-1,8.391928582E0,5.074031310E0
3.236059167E-1,4.972577441E-1,8.404935713E0,5.034471973E0
3.336279169E-1,7.760450196E-1,8.415945436E0,4.980535501E0
3.436489168E-1,1.098261831E0,8.419419267E0,4.913583128E0
3.536709168E-1,1.458345724E0,8.416571088E0,4.823965777E0
3.636929167E-1,1.824177209E0,8.416390994E0,4.698175796E0
3.737149169E-1,2.181534472E0,8.424658372E0,4.527930604E0
3.837369168E-1,2.543196747E0,8.438144975E0,4.308823155E0
3.937579168E-1,2.917313883E0,8.447882343E0,4.044585140E0
4.037799167E-1,3.291023469E0,8.444425469E0,3.754591311E0
4.138019169E-1,3.628192342E0,8.428690612E0,3.468358410E0
4.238239168E-1,3.886755049E0,8.414698225E0,3.212801464E0
4.338459168E-1,4.038112857E0,8.418469679E0,3.009834961E0
4.438669167E-1,4.093394481E0,8.444901432E0,2.857247191E0
4.538889169E-1,4.081830735E0,8.487690187E0,2.744789739E0
4.639109168E-1,4.036154625E0,8.535637355E0,2.662413288E0
4.739329168E-1,3.981122970E0,8.579459898E0,2.603771270E0
4.839539167E-1,3.927337649E0,8.615713220E0,2.565462652E0
4.939759169E-1,3.876390567E0,8.645131146E0,2.543893442E0
5.039979168E-1,3.825431498E0,8.670094079E0,2.536069868E0
5.140199168E-1,3.771339783E0,8.693047324E0,2.538512835E0
5.240419167E-1,3.714524435E0,8.715004204E0,2.546986327E0
5.340629169E-1,3.659194572E0,8.735062492E0,2.558334603E0
5.440849168E-1,3.610420607E0,8.751780267E0,2.570463190E0
5.541069168E-1,3.572355818E0,8.764044217E0,2.581843626E0
5.641289167E-1,3.547213083E0,8.771394167E0,2.591531585E0
5.741509169E-1,3.534344531E0,8.774575637E0,2.598335406E0
5.841720419E-1,3.531371222E0,8.774904251E0,2.601263984E0
5.941940418E-1,3.536158045E0,8.773418473E0,2.599775575E0
6.042160417E-1,3.547625312E0,8.770533457E0,2.593879243E0
6.142380417E-1,3.565714843E0,8.765924681E0,2.584635672E0
6.242600419E-1,3.590683039E0,8.758634958E0,2.574767326E0
6.342810418E-1,3.622393366E0,8.747773170E0,2.567259793E0
6.443030417E-1,3.660053820E0,8.733508303E0,2.562411867E0
6.543250417E-1,3.701592440E0,8.717184631E0,2.558319693E0
6.643470419E-1,3.745097771E0,8.699895583E0,2.553851543E0
6.743680418E-1,3.789267346E0,8.682139928E0,2.549115883E0
6.843900417E-1,3.832803082E0,8.664351529E0,2.544550377E0
6.944120417E-1,3.874061913E0,8.647385833E0,2.539779342E0
7.044340419E-1,3.912098636E0,8.632064958E0,2.533586263E0
7.144560418E-1,3.947551181E0,8.618715765E0,2.524024604E0
7.244770417E-1,3.981897141E0,8.607505483E0,2.508276590E0
7.344990417E-1,4.016945352E0,8.598424172E0,2.483413060E0
7.445210419E-1,4.055346356E0,8.590672519E0,2.447571090E0
7.545430418E-1,4.098735327E0,8.583357652E0,2.400507436E0
7.645650418E-1,4.147383869E0,8.575502502E0,2.344364517E0
7.745860417E-1,4.200078100E0,8.566739280E0,2.281757941E0
7.846080419E-1,4.257010100E0,8.556538228E0,2.213508070E0
7.946300418E-1,4.318669281E0,8.544400578E0,2.139725126E0
8.046520418E-1,4.384832280E0,8.530200030E0,2.060353559E0
8.146740417E-1,4.456024470E0,8.513519678E0,1.974819026E0
8.246950419E-1,4.531842976E0,8.494283507E0,1.882989382E0
8.347170418E-1,4.612091626E0,8.472050055E0,1.785803687E0
8.447390418E-1,4.695383751E0,8.446739212E0,1.685844512E0
8.547610417E-1,4.779683351E0,8.418670823E0,1.586412610E0
8.647830419E-1,4.861853396E0,8.389155248E0,1.490150484E0
8.748040418E-1,4.939841804E0,8.359361930E0,1.398264852E0
8.848260418E-1,5.013521984E0,8.329641702E0,1.310628976E0
8.948480417E-1,5.083516663E0,8.299992810E0,1.226413137E0
9.048700419E-1,5.150904654E0,8.270100090E0,1.144440290E0
9.148920418E-1,5.217548879E0,8.238999919E0,1.064044583E0
9.249130418E-1,5.285337405E0,8.205544490E0,9.850626601E-1
9.349350417E-1,5.354260290E0,8.169639663E0,9.082896687E-1
9.449570419E-1,5.422376844E0,8.132412779E0,8.353455804E-1
9.549790418E-1,5.487111368E0,8.095481181E0,7.686979931E-1
9.650000418E-1,5.548297802E0,8.059307381E0,7.071572178E-1
9.750220417E-1,5.607337139E0,8.023406062E0,6.471796956E-1
9.850440419E-1,5.665717494E0,7.987098945E0,5.848201639E-1
9.950660418E-1,5.724355711E0,7.949874401E0,5.170345623E-1
1.005088042E0,5.784189684E0,7.910962350E0,4.426262581E-1
1.015109042E0,5.845740400E0,7.869679254E0,3.627179531E-1
1.025131042E0,5.908761690E0,7.825901735E0,2.790747392E-1
1.035153042E0,5.973793253E0,7.778988354E0,1.929626664E-1
1.045175042E0,6.040797667E0,7.728738552E0,1.070486771E-1
1.055197042E0,6.109052215E0,7.675613090E0,2.296031424E-2
1.065218042E0,6.177245952E0,7.620642246E0,-5.949969504E-2
1.075240042E0,6.244794742E0,7.564310755E0,-1.408027893E-1
1.085262042E0,6.311591579E0,7.506729714E0,-2.212055037E-1
1.095284042E0,6.378672007E0,7.447057709E0,-2.999809654E-1
1.105306042E0,6.446911352E0,7.384529924E0,-3.770509405E-1
1.115327042E0,6.516417205E0,7.319025906E0,-4.519641518E-1
1.125349042E0,6.587763176E0,7.249973212E0,-5.247462358E-1
1.135371042E0,6.662456678E0,7.175586689E0,-5.989451731E-1
1.145393042E0,6.741163124E0,7.094448386E0,-6.794250434E-1
1.155414042E0,6.822278039E0,7.006975209E0,-7.712915987E-1
1.165436042E0,6.901607798E0,6.916287233E0,-8.768538679E-1
1.175458042E0,6.974916680E0,6.826034875E0,-9.959340227E-1
1.185480042E0,7.039162962E0,6.739209570E0,-1.126665339E0
1.195502042E0,7.092022961E0,6.658499867E0,-1.266380464E0
1.205523042E0,7.132310277E0,6.585967496E0,-1.411137205E0
1.215545042E0,7.160005029E0,6.522973103E0,-1.556033840E0
1.225567042E0,7.177319804E0,6.468160719E0,-1.698553436E0
1.235589042E0,7.187424962E0,6.418387465E0,-1.838840272E0
1.245611042E0,7.192157114E0,6.372083949E0,-1.976235076E0
1.255632042E0,7.192740081E0,6.329869975E0,-2.105546835E0
1.265654042E0,7.190661981E0,6.292887506E0,-2.220366708E0
1.275676042E0,7.187186980E0,6.261889077E0,-2.317148798E0
1.285698042E0,7.183202688E0,6.237280485E0,-2.394586837E0
1.295719042E0,7.178776930E0,6.220189658E0,-2.451637390E0
1.305741042E0,7.172885275E0,6.211622318E0,-2.490294648E0
1.315763042E0,7.164356527E0,6.211650969E0,-2.514656195E0
1.325785042E0,7.151832376E0,6.220523534E0,-2.528344527E0
1.335807042E0,7.135697569E0,6.237670494E0,-2.531679778E0
1.345828042E0,7.117656569E0,6.261632384E0,-2.523300134E0
1.355850042E0,7.098609264E0,6.290601245E0,-2.504831703E0
1.365872042E0,7.078309486E0,6.322545753E0,-2.481747480E0
1.375894042E0,7.054894896E0,6.356791726E0,-2.460850409E0
1.385916042E0,7.025683960E0,6.394773484E0,-2.445963982E0
1.395937042E0,6.988360013E0,6.439090117E0,-2.436605514E0
1.405959042E0,6.941879911E0,6.491740785E0,-2.429755208E0
1.415981042E0,6.887877367E0,6.552132583E0,-2.421323669E0
1.426003042E0,6.829310485E0,6.617805585E0,-2.408586972E0
1.436024042E0,6.767954482E0,6.684313570E0,-2.398094436E0
1.446046042E0,6.704561893E0,6.747928938E0,-2.397996933E0
1.456068042E0,6.638182547E0,6.811375905E0,-2.403286179E0
1.466090042E0,6.568436959E0,6.878737584E0,-2.403065300E0
1.476112042E0,6.493393793E0,6.953060372E0,-2.393098575E0
