"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.292991685E-2,-1.520202775E-2,-3.369091749E-1,-4.661416635E-2
2.295191679E-2,4.169804975E-3,-1.232325882E-1,-5.306753889E-2
3.297391674E-2,7.610868197E-4,1.586979181E-1,-3.169582039E-2
4.299591668E-2,-5.913060624E-3,3.027477562E-1,4.240343813E-3
5.301691685E-2,-1.578087173E-2,2.940565348E-1,1.925524324E-3
6.303891679E-2,-2.877576649E-2,2.001641244E-1,-1.417514868E-2
7.306091674E-2,-2.736823820E-2,6.860964745E-2,1.013351604E-3
8.308291668E-2,-2.559137903E-2,-2.924607508E-2,1.657792926E-2
9.310491686E-2,-2.535124309E-2,-7.681032270E-2,2.392410114E-2
1.031259168E-1,-8.677383885E-4,-8.288845420E-2,4.154304415E-2
1.131479167E-1,3.167326748E-2,-5.233811587E-2,5.284784362E-2
1.231699167E-1,4.656912386E-2,-1.070811599E-2,4.566742852E-2
1.331919169E-1,4.376373813E-2,2.390207723E-2,1.736705191E-2
1.432139168E-1,3.917165101E-2,7.864841074E-2,-1.947298646E-2
1.532349167E-1,3.301121294E-2,1.015691981E-1,-5.659135431E-2
1.632569167E-1,6.989733316E-3,3.688421100E-2,-8.421765268E-2
1.732789169E-1,-2.277954668E-2,-2.902373672E-2,-9.229598939E-2
1.833009168E-1,-3.419997916E-2,-4.981716350E-2,-8.064997196E-2
1.933229167E-1,-4.544259608E-2,-6.463038921E-2,-7.008405030E-2
2.033439167E-1,-5.433995277E-2,-7.617918402E-2,-5.766279623E-2
2.133659169E-1,-4.685393721E-2,-9.407857060E-2,-5.989225209E-2
2.233879168E-1,-2.897853218E-2,-1.126903370E-1,-5.210144073E-2
2.334099167E-1,-6.577693392E-3,-1.574660093E-1,-3.322588652E-2
2.434309167E-1,1.494490914E-2,-2.651852965E-1,-1.871059090E-2
2.534529169E-1,2.509315126E-2,-4.471553564E-1,6.446693093E-3
2.634749168E-1,5.709742382E-2,-7.330000997E-1,8.525948226E-2
2.734969168E-1,1.025221124E-1,-1.139202833E0,2.154087275E-1
2.835189167E-1,1.435859352E-1,-1.596676111E0,3.794986308E-1
2.935399169E-1,1.951182187E-1,-2.039806843E0,5.487796068E-1
3.035619168E-1,2.556439042E-1,-2.390228987E0,7.360030413E-1
3.135839168E-1,3.031360209E-1,-2.884537458E0,8.932000995E-1
3.236059167E-1,3.453465700E-1,-3.626361370E0,9.055345058E-1
3.336279169E-1,2.728949785E-1,-4.780518532E0,7.143443227E-1
3.436489168E-1,7.499894500E-2,-6.352380753E0,4.064451158E-1
3.536709168E-1,-6.945112348E-2,-7.628958702E0,-1.823886763E-3
3.636929167E-1,-5.605462939E-2,-8.311566353E0,-3.614185452E-1
3.737149169E-1,2.841346152E-2,-8.774773598E0,-4.954238832E-1
3.837369168E-1,1.153888479E-1,-9.184973717E0,-3.369916379E-1
3.937579168E-1,1.124881953E-1,-9.317439079E0,1.271341741E-2
4.037799167E-1,-4.786179960E-2,-9.035780907E0,2.805137038E-1
4.138019169E-1,-3.187894523E-1,-8.319420815E0,2.019293904E-1
4.238239168E-1,-5.164793730E-1,-7.046049118E0,-2.435796410E-1
4.338459168E-1,-5.682685971E-1,-5.527083397E0,-8.064080477E-1
4.438669167E-1,-4.938787818E-1,-4.204377651E0,-1.231452584E0
4.538889169E-1,-3.834936321E-1,-3.147131443E0,-1.419024348E0
4.639109168E-1,-3.151558638E-1,-2.396076441E0,-1.371007562E0
4.739329168E-1,-3.346163332E-1,-1.925671458E0,-1.226315260E0
4.839539167E-1,-4.121763706E-1,-1.650993347E0,-1.093249321E0
4.939759169E-1,-5.027353764E-1,-1.487619281E0,-1.017128825E0
5.039979168E-1,-5.903632045E-1,-1.387917638E0,-1.005120635E0
5.140199168E-1,-6.568552256E-1,-1.353069663E0,-1.038099766E0
5.240419167E-1,-7.234818935E-1,-1.418093085E0,-1.066419244E0
5.340629169E-1,-8.029988408E-1,-1.592651725E0,-1.070729136E0
5.440849168E-1,-9.107109308E-1,-1.879617453E0,-1.052761793E0
5.541069168E-1,-1.029355764E0,-2.232184410E0,-1.018179417E0
5.641289167E-1,-1.149626493E0,-2.607844114E0,-9.826105237E-1
5.741509169E-1,-1.241838455E0,-2.943119526E0,-9.549795985E-1
5.841720419E-1,-1.292925954E0,-3.194676161E0,-9.326633811E-1
5.941940418E-1,-1.304604411E0,-3.344248056E0,-8.963025212E-1
6.042160417E-1,-1.287001491E0,-3.406565666E0,-8.395734429E-1
6.142380417E-1,-1.260162711E0,-3.387640238E0,-7.536408901E-1
6.242600419E-1,-1.253799796E0,-3.313472509E0,-6.502460241E-1
6.342810418E-1,-1.267320991E0,-3.224853754E0,-5.477409959E-1
6.443030417E-1,-1.268572450E0,-3.141488075E0,-4.642690420E-1
6.543250417E-1,-1.244303346E0,-3.045555830E0,-4.050620198E-1
6.643470419E-1,-1.194056988E0,-2.900319815E0,-3.457244039E-1
6.743680418E-1,-1.125938892E0,-2.703725338E0,-2.878623009E-1
6.843900417E-1,-1.046319604E0,-2.484569073E0,-2.378824800E-1
6.944120417E-1,-9.479585290E-1,-2.249921560E0,-2.025782168E-1
7.044340419E-1,-8.331885934E-1,-2.028616905E0,-1.737476289E-1
7.144560418E-1,-7.110694647E-1,-1.858362317E0,-1.443248838E-1
7.244770417E-1,-5.863235593E-1,-1.762938261E0,-1.170594394E-1
7.344990417E-1,-4.676550329E-1,-1.750765324E0,-8.460707217E-2
7.445210419E-1,-3.619773388E-1,-1.789724946E0,-3.718976304E-2
7.545430418E-1,-2.805347443E-1,-1.858697653E0,1.937286556E-2
7.645650418E-1,-2.329195440E-1,-1.918399572E0,6.559495628E-2
7.745860417E-1,-1.927273422E-1,-1.948708177E0,1.157854125E-1
7.846080419E-1,-1.481281817E-1,-1.963521242E0,1.849879026E-1
7.946300418E-1,-9.227270633E-2,-1.953388572E0,2.538542151E-1
8.046520418E-1,-1.827251539E-2,-1.907393932E0,3.425316215E-1
8.146740417E-1,7.487902790E-2,-1.847401857E0,4.322909415E-1
8.246950419E-1,1.632978320E-1,-1.783650041E0,5.226150155E-1
8.347170418E-1,2.352457047E-1,-1.714629531E0,6.063427329E-1
8.447390418E-1,2.669272125E-1,-1.650539517E0,6.668326855E-1
8.547610417E-1,2.668920159E-1,-1.579859376E0,6.953970194E-1
8.647830419E-1,2.457342595E-1,-1.507002234E0,6.856729984E-1
8.748040418E-1,2.294761688E-1,-1.420782924E0,6.664202809E-1
8.848260418E-1,2.268127352E-1,-1.329766154E0,6.496011019E-1
8.948480417E-1,2.438329607E-1,-1.227114201E0,6.399602890E-1
9.048700419E-1,2.844051421E-1,-1.115938663E0,6.471138000E-1
9.148920418E-1,3.323559165E-1,-9.993832707E-1,6.827824712E-1
9.249130418E-1,3.770813048E-1,-8.893446922E-1,7.252479196E-1
9.349350417E-1,4.047360718E-1,-7.853778601E-1,7.574916482E-1
9.449570419E-1,4.115572274E-1,-6.696736217E-1,7.488025427E-1
9.549790418E-1,3.920565546E-1,-5.787014365E-1,7.203068137E-1
9.650000418E-1,3.781958818E-1,-5.307959318E-1,6.916171312E-1
9.750220417E-1,3.778394163E-1,-5.347163677E-1,6.850925684E-1
9.850440419E-1,4.047341645E-1,-5.672559738E-1,6.873978376E-1
