"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.292991685E-2,2.995799012E-2,1.730021542E-1,-3.433432406E-1
2.295191679E-2,5.848069711E-1,7.309697843E-1,1.173559570E-1
3.297391674E-2,9.317106179E-1,9.391862100E-1,2.591813421E-1
4.299591668E-2,7.183627488E-1,5.272779340E-1,1.647628427E-1
5.301691685E-2,2.446214462E-1,2.587275982E-2,-1.905607581E-2
6.303891679E-2,-1.396022737E-2,1.815618932E-1,-1.864729697E-1
7.306091674E-2,-6.283772428E-2,6.039963269E-1,-1.315366244E-1
8.308291668E-2,-3.092221060E-1,6.891469896E-1,5.596253157E-2
9.310491686E-2,-4.414272134E-1,5.835585541E-1,1.440303701E-1
1.031259168E-1,-3.370446565E-1,3.664011508E-1,1.400045621E-1
1.131479167E-1,-3.921252086E-1,6.438895404E-2,1.632636166E-1
1.231699167E-1,-3.837684411E-1,-1.684109205E-1,2.607823098E-1
1.331919169E-1,-1.013455862E-1,-8.168560266E-2,2.957673705E-1
1.432139168E-1,-1.594148696E-1,1.251403552E-1,3.424386764E-1
1.532349167E-1,-4.739446029E-2,2.698063177E-1,4.811153358E-1
1.632569167E-1,9.647818118E-2,4.545157671E-1,5.334835839E-1
1.732789169E-1,6.326438829E-2,5.616706717E-1,3.667215782E-1
1.833009168E-1,-2.269090971E-1,2.862200367E-1,2.752781421E-1
1.933229167E-1,-5.480609484E-1,-2.508964223E-1,3.012210685E-1
2.033439167E-1,-4.580543558E-1,-5.168453318E-1,3.006930649E-1
2.133659169E-1,-3.178789819E-1,-4.914748478E-1,2.750518548E-1
2.233879168E-1,-3.206409508E-1,-3.270137215E-1,2.389517301E-1
2.334099167E-1,-4.564955612E-1,-4.052301711E-1,1.368529129E-1
2.434309167E-1,-6.096627540E-1,-6.631496841E-1,-5.097602606E-3
2.534529169E-1,-8.370010733E-1,-8.251970798E-1,-1.832774663E-1
2.634749168E-1,-1.212985884E0,-1.003153580E0,-4.027375031E-1
2.734969168E-1,-1.960913178E0,-1.522885097E0,-5.263189906E-1
2.835189167E-1,-3.019943920E0,-2.151689991E0,-7.004981893E-1
2.935399169E-1,-4.182551071E0,-2.761624165E0,-8.373435009E-1
3.035619168E-1,-4.901616216E0,-3.215611344E0,-8.008071738E-1
3.135839168E-1,-5.592998012E0,-3.415676751E0,-6.826138955E-1
3.236059167E-1,-6.133936211E0,-3.088889902E0,-9.451258117E-1
3.336279169E-1,-6.447152258E0,-2.196528779E0,-1.532605509E0
3.436489168E-1,-6.932080563E0,-1.602295548E0,-3.196503813E0
3.536709168E-1,-7.530468825E0,-1.061616966E0,-5.181273338E0
3.636929167E-1,-7.779392982E0,-1.188458276E-1,-5.022700943E0
3.737149169E-1,-6.344377502E0,3.490477842E-1,-4.287529934E0
3.837369168E-1,-3.879168579E0,5.886836386E-1,-4.653855656E0
3.937579168E-1,-1.815754295E0,1.312870068E0,-5.148838833E0
4.037799167E-1,-2.631203189E-1,2.530452155E0,-5.323927274E0
4.138019169E-1,1.736501719E0,3.578141053E0,-5.160888775E0
4.238239168E-1,3.804999864E0,3.618778033E0,-4.200447351E0
4.338459168E-1,5.251569149E0,2.972841967E0,-2.250464081E0
4.438669167E-1,5.650443397E0,2.209193264E0,-2.255697924E-1
4.538889169E-1,4.614035825E0,1.419756585E0,1.095624079E0
4.639109168E-1,2.849226565E0,7.305429375E-1,1.684546869E0
4.739329168E-1,1.212925365E0,2.590597200E-1,1.767139375E0
4.839539167E-1,3.827990824E-1,-1.400115788E-2,1.556215688E0
4.939759169E-1,2.467849526E-1,-1.981972218E-1,1.454291703E0
5.039979168E-1,3.746846089E-1,-3.482993406E-1,1.408228215E0
5.140199168E-1,5.347562304E-1,-4.046320009E-1,1.344711958E0
5.240419167E-1,5.878290680E-1,-3.297402781E-1,1.249419300E0
5.340629169E-1,4.294031453E-1,-8.275505841E-2,9.990178442E-1
5.440849168E-1,1.776015741E-1,3.268394744E-1,5.876694390E-1
5.541069168E-1,-8.715333402E-2,6.910438263E-1,1.399460900E-1
5.641289167E-1,-2.880402750E-1,8.955034161E-1,-3.035389048E-1
5.741509169E-1,-3.507648191E-1,8.649289101E-1,-6.432504398E-1
5.841720419E-1,-2.689055541E-1,7.752361304E-1,-7.777562803E-1
5.941940418E-1,-1.775919262E-1,6.936458373E-1,-7.557599321E-1
6.042160417E-1,-8.637302309E-2,5.953401089E-1,-7.142379767E-1
6.142380417E-1,1.182742622E-1,5.463603222E-1,-7.516969943E-1
6.242600419E-1,4.164840147E-1,5.379327303E-1,-9.769896287E-1
6.342810418E-1,7.425294372E-1,5.935508609E-1,-1.234282028E0
6.443030417E-1,1.101694074E0,5.620115644E-1,-1.431363893E0
6.543250417E-1,1.523591441E0,3.487121540E-1,-1.466939230E0
6.643470419E-1,1.953401845E0,1.369774586E-1,-1.437922423E0
6.743680418E-1,2.247529071E0,5.534038782E-2,-1.374209699E0
6.843900417E-1,2.504418597E0,-2.551607966E-2,-1.299289910E0
6.944120417E-1,2.743677014E0,-1.729074293E-1,-1.295117044E0
7.044340419E-1,2.846946444E0,-3.711923593E-1,-1.359427646E0
7.144560418E-1,2.780059267E0,-4.180180317E-1,-1.463629706E0
7.244770417E-1,2.613537582E0,-2.869082540E-1,-1.586343759E0
7.344990417E-1,2.456642460E0,-1.618187696E-1,-1.723294028E0
7.445210419E-1,2.218107636E0,-1.608031082E-1,-1.854803609E0
7.545430418E-1,1.995242181E0,-2.133631450E-1,-1.907731875E0
7.645650418E-1,1.953329047E0,-1.706316930E-1,-1.862666506E0
7.745860417E-1,2.092835719E0,-1.762374187E-1,-1.753057818E0
7.846080419E-1,2.167929170E0,-4.526902664E-1,-1.548740315E0
7.946300418E-1,2.090402985E0,-8.267495155E-1,-1.198482158E0
