"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.292991685E-2,8.725476601E-1,4.878988515E-1,2.473807166E-2,1.830690512E-3,5.848788518E1,5.845731525E1,2.371800684E0,1.567666002E0
2.295191679E-2,8.725852129E-1,4.878798854E-1,2.381766878E-2,1.020248762E-3,5.847907601E1,5.844998540E1,2.325149320E0,1.434919279E0
3.297391674E-2,8.725745077E-1,4.878895160E-1,2.401502140E-2,8.800683438E-4,5.848158739E1,5.845182738E1,2.352712372E0,1.431986091E0
4.299591668E-2,8.725509476E-1,4.878753125E-1,2.511016511E-2,1.418831508E-3,5.848711405E1,5.845516738E1,2.432097970E0,1.547265058E0
5.301691685E-2,8.725363226E-1,4.878285716E-1,2.643711649E-2,2.193954199E-3,5.849054450E1,5.845586289E1,2.521492475E0,1.699119276E0
6.303891679E-2,8.725584076E-1,4.877243214E-1,2.755339685E-2,2.776423646E-3,5.848536416E1,5.844811016E1,2.600725501E0,1.819722777E0
7.306091674E-2,8.726097846E-1,4.875959421E-1,2.815820412E-2,3.072673844E-3,5.847331133E1,5.843454518E1,2.644898969E0,1.882914629E0
8.308291668E-2,8.726724569E-1,4.874805230E-1,2.820505035E-2,3.160550023E-3,5.845860559E1,5.841974738E1,2.644917653E0,1.893986685E0
9.310491686E-2,8.727454974E-1,4.873668529E-1,2.791427924E-2,3.117602384E-3,5.844146277E1,5.840337607E1,2.618485754E0,1.873038276E0
1.031259168E-1,8.727932919E-1,4.873062879E-1,2.747945020E-2,3.056910922E-3,5.843024277E1,5.839329650E1,2.578518946E0,1.842403882E0
1.131479167E-1,8.727653064E-1,4.873799817E-1,2.705505251E-2,3.092735744E-3,5.843681274E1,5.840107928E1,2.533915154E0,1.822412857E0
1.231699167E-1,8.726708975E-1,4.875623932E-1,2.679547007E-2,3.234686330E-3,5.845897154E1,5.842406972E1,2.499635461E0,1.822589463E0
1.331919169E-1,8.725578596E-1,4.877665526E-1,2.674143781E-2,3.384897698E-3,5.848549268E1,5.845086466E1,2.485400763E0,1.835172217E0
1.432139168E-1,8.724490365E-1,4.879479315E-1,2.696787175E-2,3.500042888E-3,5.851101461E1,5.847589587E1,2.501211396E0,1.859916930E0
1.532349167E-1,8.723462403E-1,4.881024629E-1,2.748145218E-2,3.561535140E-3,5.853511373E1,5.849866358E1,2.548777825E0,1.895348097E0
1.632569167E-1,8.722862232E-1,4.881824577E-1,2.797836352E-2,3.427339574E-3,5.854917971E1,5.851130486E1,2.605790548E0,1.910067909E0
1.732789169E-1,8.723098676E-1,4.881299005E-1,2.820414419E-2,3.033645862E-3,5.854363864E1,5.850485190E1,2.650524418E0,1.883209432E0
1.833009168E-1,8.723895673E-1,4.879882239E-1,2.823653404E-2,2.557850089E-3,5.852495743E1,5.848562818E1,2.680708061E0,1.836997117E0
