"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.142858330E-2,4.688029679E-1,7.605239077E-1,-2.259626997E-1,3.882886842E-1,1.240867548E2,1.157159973E2,-5.336658539E1,1.955555381E0
2.145258326E-2,4.681740658E-1,7.608588066E-1,-2.257434518E-1,3.885188771E-1,1.241683273E2,1.158110720E2,-5.337819167E1,1.947384668E0
3.147658333E-2,4.676167844E-1,7.614121526E-1,-2.255317482E-1,3.882286697E-1,1.242405845E2,1.159415516E2,-5.333388246E1,1.884698601E0
4.149958328E-2,4.671224177E-1,7.621869802E-1,-2.252941243E-1,3.874404235E-1,1.243046640E2,1.161049596E2,-5.323373840E1,1.774213649E0
5.152358324E-2,4.666955070E-1,7.632195148E-1,-2.249159617E-1,3.861399878E-1,1.243599847E2,1.162955675E2,-5.306842814E1,1.630724009E0
6.154758332E-2,4.663486305E-1,7.643928830E-1,-2.244203147E-1,3.845230740E-1,1.244049239E2,1.164923198E2,-5.286066422E1,1.476130628E0
7.157158328E-2,4.660776289E-1,7.655864818E-1,-2.239279552E-1,3.827600687E-1,1.244400267E2,1.166850257E2,-5.263707633E1,1.314289092E0
8.159458323E-2,4.658570507E-1,7.667120345E-1,-2.235498348E-1,3.809924957E-1,1.244685940E2,1.168706161E2,-5.242047167E1,1.144314060E0
9.161858330E-2,4.656657146E-1,7.677032019E-1,-2.233527983E-1,3.793426047E-1,1.244933711E2,1.170455986E2,-5.222857101E1,9.688035527E-1
1.016425833E-1,4.654814538E-1,7.685686031E-1,-2.233197130E-1,3.778326464E-1,1.245172293E2,1.172120557E2,-5.206260444E1,7.898586321E-1
1.116655833E-1,4.652700084E-1,7.693331048E-1,-2.234521805E-1,3.764565044E-1,1.245446042E2,1.173778229E2,-5.192201949E1,6.029008667E-1
1.216895833E-1,4.650194559E-1,7.700126595E-1,-2.237453751E-1,3.752003913E-1,1.245770376E2,1.175464970E2,-5.180492133E1,4.056174600E-1
1.317135833E-1,4.647563963E-1,7.705790710E-1,-2.241717748E-1,3.741075025E-1,1.246110848E2,1.177084472E2,-5.171414501E1,2.083964734E-1
1.417365833E-1,4.645545498E-1,7.710434029E-1,-2.246522067E-1,3.731119570E-1,1.246372058E2,1.178517689E2,-5.163727897E1,2.109555093E-2
1.517605833E-1,4.644344049E-1,7.714662833E-1,-2.251024404E-1,3.721147889E-1,1.246527523E2,1.179772698E2,-5.155806824E1,-1.540921893E-1
1.617845832E-1,4.643795508E-1,7.718763932E-1,-2.254838483E-1,3.711003775E-1,1.246598499E2,1.180877476E2,-5.147232864E1,-3.153635797E-1
1.718085833E-1,4.643512018E-1,7.722726368E-1,-2.258609151E-1,3.700807030E-1,1.246635180E2,1.181926056E2,-5.138562990E1,-4.735170015E-1
1.818315833E-1,4.643183747E-1,7.726033631E-1,-2.263787734E-1,3.691138912E-1,1.246677653E2,1.182995421E2,-5.131379430E1,-6.443540503E-1
1.918555832E-1,4.642287336E-1,7.728582883E-1,-2.271365527E-1,3.682266526E-1,1.246793631E2,1.184210142E2,-5.126613056E1,-8.430201965E-1
2.018795833E-1,4.639989016E-1,7.731254993E-1,-2.281737866E-1,3.673128720E-1,1.247090962E2,1.185832956E2,-5.123336001E1,-1.093403961E0
2.119025833E-1,4.634941825E-1,7.735788308E-1,-2.295788782E-1,3.661180616E-1,1.247743768E2,1.188360590E2,-5.119280874E1,-1.445346924E0
2.219265833E-1,4.626875498E-1,7.743074866E-1,-2.313013989E-1,3.645102699E-1,1.248786668E2,1.191914812E2,-5.112587109E1,-1.907262577E0
2.319505833E-1,4.616327459E-1,7.753146699E-1,-2.331008586E-1,3.625552831E-1,1.250149682E2,1.196216656E2,-5.102339294E1,-2.434493233E0
2.419735832E-1,4.604518755E-1,7.765521013E-1,-2.347705481E-1,3.603244504E-1,1.251674599E2,1.200865573E2,-5.087966257E1,-2.979772154E0
2.519975833E-1,4.593002497E-1,7.778877139E-1,-2.361154751E-1,3.580273681E-1,1.253160738E2,1.205309994E2,-5.070594953E1,-3.481551078E0
2.620215833E-1,4.583490954E-1,7.791278638E-1,-2.368692083E-1,3.560462819E-1,1.254387423E2,1.208836182E2,-5.052920731E1,-3.852981086E0
2.720445832E-1,4.576475243E-1,7.802172124E-1,-2.370352458E-1,3.544491639E-1,1.255291792E2,1.211325754E2,-5.035854642E1,-4.085446152E0
2.820685833E-1,4.571336593E-1,7.811326840E-1,-2.367077226E-1,3.533128111E-1,1.255953962E2,1.212905919E2,-5.020886047E1,-4.191574971E0
2.920925833E-1,4.566514836E-1,7.819038028E-1,-2.360370820E-1,3.526787697E-1,1.256575119E2,1.213925814E2,-5.009374409E1,-4.202621174E0
3.021155833E-1,4.560270359E-1,7.825767826E-1,-2.352314239E-1,3.525324359E-1,1.257379300E2,1.214823280E2,-5.002378157E1,-4.163458432E0
3.121395833E-1,4.552028385E-1,7.831578823E-1,-2.345098066E-1,3.527879037E-1,1.258440281E2,1.215864412E2,-5.000284098E1,-4.116206533E0
3.221635832E-1,4.542156592E-1,7.836534449E-1,-2.340877481E-1,3.532399023E-1,1.259710406E2,1.217215305E2,-5.002171240E1,-4.105027641E0
3.321875833E-1,4.532650423E-1,7.839404860E-1,-2.340079009E-1,3.538763566E-1,1.260932811E2,1.218532716E2,-5.008267963E1,-4.119549518E0
3.422105833E-1,4.524925538E-1,7.839768166E-1,-2.343496275E-1,3.545574708E-1,1.261925672E2,1.219683775E2,-5.017575573E1,-4.170921612E0
3.522345832E-1,4.518135259E-1,7.837637643E-1,-2.352339949E-1,3.553079797E-1,1.262798049E2,1.220870287E2,-5.031070080E1,-4.280804278E0
3.622585833E-1,4.511738157E-1,7.833125401E-1,-2.365345623E-1,3.562512314E-1,1.263619606E2,1.222057728E2,-5.049314861E1,-4.426389988E0
3.722815833E-1,4.505146443E-1,7.827795089E-1,-2.379909467E-1,3.572856784E-1,1.264465844E2,1.223304737E2,-5.069533424E1,-4.587522513E0
3.823055833E-1,4.496532997E-1,7.825385554E-1,-2.396799816E-1,3.577693873E-1,1.265571156E2,1.225421538E2,-5.084879530E1,-4.849330698E0
3.923295833E-1,4.482152861E-1,7.831394009E-1,-2.422259041E-1,3.565422027E-1,1.267415278E2,1.230173790E2,-5.085793745E1,-5.433965076E0
4.023525832E-1,4.461040029E-1,7.848371813E-1,-2.459010883E-1,3.529229475E-1,1.270120116E2,1.238224430E2,-5.065739562E1,-6.439793119E0
4.123765833E-1,4.434274937E-1,7.874722655E-1,-2.505891876E-1,3.470799771E-1,1.273544518E2,1.248978880E2,-5.025234322E1,-7.806955410E0
4.224005833E-1,4.402455594E-1,7.908632956E-1,-2.560084504E-1,3.393801009E-1,1.277609003E2,1.261671148E2,-4.966027417E1,-9.435018206E0
4.324235832E-1,4.366601007E-1,7.948768556E-1,-2.617189269E-1,3.301543507E-1,1.282180484E2,1.275410129E2,-4.888824702E1,-1.120206980E1
4.424475833E-1,4.328821573E-1,7.991832942E-1,-2.671576827E-1,3.202277405E-1,1.286987827E2,1.288933545E2,-4.799932215E1,-1.293414899E1
4.524715833E-1,4.291301500E-1,8.034568371E-1,-2.721741481E-1,3.102027016E-1,1.291752601E2,1.301488334E2,-4.705981005E1,-1.454849623E1
4.624955832E-1,4.256005253E-1,8.074283979E-1,-2.768231352E-1,3.004870892E-1,1.296226388E2,1.312691717E2,-4.612683233E1,-1.601895452E1
4.725185833E-1,4.223821814E-1,8.109351000E-1,-2.810260189E-1,2.915510406E-1,1.300298477E2,1.322363914E2,-4.525596860E1,-1.731376808E1
4.825425833E-1,4.196140238E-1,8.138629783E-1,-2.847400624E-1,2.836797742E-1,1.303795568E2,1.330366612E2,-4.448437894E1,-1.841774402E1
4.925665833E-1,4.173971470E-1,8.161699914E-1,-2.878635865E-1,2.770935230E-1,1.306592656E2,1.336627451E2,-4.383768266E1,-1.931460285E1
5.025895833E-1,4.157848561E-1,8.178854946E-1,-2.902071620E-1,2.719669542E-1,1.308624953E2,1.341109618E2,-4.333030090E1,-1.998022958E1
5.126135832E-1,4.148498547E-1,8.190353028E-1,-2.915950998E-1,2.684271827E-1,1.309802771E2,1.343734003E2,-4.297185713E1,-2.039107754E1
5.226375833E-1,4.145815373E-1,8.196714462E-1,-2.920415403E-1,2.664066312E-1,1.310140667E2,1.344626360E2,-4.275633077E1,-2.056022803E1
5.326605833E-1,4.147979719E-1,8.199190800E-1,-2.917271459E-1,2.656515598E-1,1.309868111E2,1.344236210E2,-4.265959365E1,-2.053842453E1
5.426845832E-1,4.152395760E-1,8.199384044E-1,-2.908882340E-1,2.658218436E-1,1.309311907E2,1.343135036E2,-4.264794447E1,-2.038969528E1
5.527085833E-1,4.157200027E-1,8.198667758E-1,-2.897090284E-1,2.665785956E-1,1.308706667E2,1.341741152E2,-4.268704971E1,-2.016544315E1
5.627315833E-1,4.161937701E-1,8.197451400E-1,-2.884063536E-1,2.676235898E-1,1.308109672E2,1.340257756E2,-4.275244879E1,-1.991115232E1
5.727555833E-1,4.166894065E-1,8.195796715E-1,-2.871107595E-1,2.687497220E-1,1.307484968E2,1.338723582E2,-4.282767582E1,-1.965219205E1
5.827795833E-1,4.172078391E-1,8.193688319E-1,-2.859197106E-1,2.698562190E-1,1.306831364E2,1.337194781E2,-4.290614566E1,-1.940639389E1
5.928035832E-1,4.177322355E-1,8.191265296E-1,-2.849409343E-1,2.708136637E-1,1.306170068E2,1.335766706E2,-4.297814487E1,-1.919558890E1
6.028265833E-1,4.182158548E-1,8.189045843E-1,-2.842465228E-1,2.714677986E-1,1.305560038E2,1.334574928E2,-4.302875001E1,-1.904006351E1
6.128505833E-1,4.186209650E-1,8.187461754E-1,-2.839173770E-1,2.716654726E-1,1.305048924E2,1.333744724E2,-4.304383284E1,-1.896080762E1
6.228745832E-1,4.188898830E-1,8.187149656E-1,-2.839118347E-1,2.713506988E-1,1.304709580E2,1.333362214E2,-4.301371034E1,-1.895867269E1
6.328975833E-1,4.189944282E-1,8.188454734E-1,-2.841776760E-1,2.705160016E-1,1.304577644E2,1.333449454E2,-4.293430393E1,-1.902863102E1
6.429215833E-1,4.188959732E-1,8.191519020E-1,-2.847344148E-1,2.691519188E-1,1.304701895E2,1.334073227E2,-4.280464704E1,-1.917577180E1
6.529455832E-1,4.185275044E-1,8.196503517E-1,-2.856455243E-1,2.672350591E-1,1.305166849E2,1.335361596E2,-4.262364113E1,-1.941307910E1
6.629685833E-1,4.177912253E-1,8.203867204E-1,-2.869526034E-1,2.647157891E-1,1.306095667E2,1.337478476E2,-4.238516743E1,-1.975304467E1
6.729925832E-1,4.166363911E-1,8.213718398E-1,-2.886324293E-1,2.616365509E-1,1.307551797E2,1.340460382E2,-4.209109855E1,-2.019141176E1
6.830165833E-1,4.150706409E-1,8.225709597E-1,-2.905613641E-1,2.582003553E-1,1.309524697E2,1.344185231E2,-4.175779896E1,-2.069929716E1
6.930395833E-1,4.131570897E-1,8.239311018E-1,-2.924824385E-1,2.547406469E-1,1.311933737E2,1.348382225E2,-4.141130603E1,-2.122159713E1
7.030635832E-1,4.110227786E-1,8.253595217E-1,-2.942020510E-1,2.515693020E-1,1.314617993E2,1.352734499E2,-4.108042292E1,-2.171086798E1
7.130875833E-1,4.088518787E-1,8.267577434E-1,-2.957032796E-1,2.487396469E-1,1.317345360E2,1.356955646E2,-4.077517407E1,-2.215294186E1
7.231115833E-1,4.068231349E-1,8.280900685E-1,-2.970557930E-1,2.460072298E-1,1.319891506E2,1.360830670E2,-4.047608679E1,-2.255843387E1
7.331345832E-1,4.050298655E-1,8.293850093E-1,-2.983851679E-1,2.429768345E-1,1.322140026E2,1.364299483E2,-4.014712110E1,-2.295563524E1
7.431585833E-1,4.033891466E-1,8.307583644E-1,-2.995875753E-1,2.395102405E-1,1.324195558E2,1.367446214E2,-3.976580215E1,-2.334025436E1
7.531825833E-1,4.018402974E-1,8.322456845E-1,-3.004858511E-1,2.357960442E-1,1.326134503E2,1.370276343E2,-3.934401300E1,-2.368411829E1
7.632055416E-1,4.003691932E-1,8.337916520E-1,-3.008430667E-1,2.323560289E-1,1.327974789E2,1.372706067E2,-3.892993868E1,-2.393696805E1
7.732295416E-1,3.990161477E-1,8.352742728E-1,-3.005725893E-1,2.296933649E-1,1.329666250E2,1.374653868E2,-3.857807927E1,-2.406807576E1
7.832535416E-1,3.978084455E-1,8.365814994E-1,-2.997927883E-1,2.280440165E-1,1.331175097E2,1.376150668E2,-3.832161279E1,-2.408511409E1
7.932765416E-1,3.967579564E-1,8.376389638E-1,-2.988276255E-1,2.272580410E-1,1.332486830E2,1.377326974E2,-3.815892467E1,-2.403744710E1
8.033005416E-1,3.958163063E-1,8.384604902E-1,-2.979910105E-1,2.269690453E-1,1.333662106E2,1.378387879E2,-3.806161662E1,-2.398310525E1
