"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
4.235041561E-3,2.941454990E-1,8.440249972E0,4.991168663E0
1.425804175E-2,3.233327896E-1,8.425496863E0,5.014234759E0
2.428004169E-2,3.474596073E-1,8.410281238E0,5.038107771E0
3.430304164E-2,3.610560283E-1,8.394661571E0,5.063140286E0
4.432604159E-2,3.646258996E-1,8.379106808E0,5.088586199E0
5.434904154E-2,3.676353884E-1,8.363647939E0,5.113740336E0
6.437104172E-2,3.791844799E-1,8.346692768E0,5.140528185E0
7.439404167E-2,4.012477787E-1,8.327619735E0,5.169705791E0
8.441704162E-2,4.308269423E-1,8.307169683E0,5.200135286E0
9.444004158E-2,4.633146938E-1,8.286276997E0,5.230587001E0
1.044620418E-1,4.970028786E-1,8.266107611E0,5.259328989E0
1.144850417E-1,5.325214611E-1,8.247303550E0,5.285311677E0
1.245080417E-1,5.676055225E-1,8.229729744E0,5.308998747E0
1.345310416E-1,6.022324047E-1,8.213528278E0,5.330230572E0
1.445530416E-1,6.368741973E-1,8.198699155E0,5.349001304E0
1.545760417E-1,6.718472712E-1,8.185152910E0,5.365443674E0
1.645990417E-1,7.088126376E-1,8.172345754E0,5.380190352E0
1.746220416E-1,7.502831376E-1,8.159648525E0,5.393820797E0
1.846440416E-1,8.005369594E-1,8.146192912E0,5.406919144E0
1.946670415E-1,8.653202350E-1,8.131567272E0,5.418942189E0
2.046900417E-1,9.522104444E-1,8.114609762E0,5.429780003E0
2.147130417E-1,1.067713419E0,8.094326940E0,5.438561937E0
2.247350416E-1,1.213841697E0,8.070597185E0,5.443174220E0
2.347580416E-1,1.391290585E0,8.043595328E0,5.440679798E0
2.447810418E-1,1.600696920E0,8.012331435E0,5.429218671E0
2.548030417E-1,1.841633487E0,7.974092984E0,5.409096648E0
2.648260416E-1,2.119363074E0,7.929630756E0,5.372648613E0
2.748490416E-1,2.429621307E0,7.880653893E0,5.313033911E0
2.848720415E-1,2.780351335E0,7.827685136E0,5.218534135E0
2.948940417E-1,3.183761853E0,7.759921169E0,5.087572292E0
3.049170417E-1,3.610640755E0,7.691497051E0,4.903085037E0
3.149400416E-1,4.034354852E0,7.634391974E0,4.655763310E0
3.249630416E-1,4.465244944E0,7.572995040E0,4.352863798E0
3.349850418E-1,4.891254073E0,7.488470614E0,4.029211933E0
3.450080417E-1,5.262797558E0,7.388251677E0,3.735346662E0
3.550310417E-1,5.527782846E0,7.307008123E0,3.505330355E0
3.650540416E-1,5.668435864E0,7.274942577E0,3.343671214E0
3.750760416E-1,5.703211595E0,7.294043092E0,3.241361312E0
3.850990417E-1,5.670876492E0,7.343981237E0,3.184842710E0
3.951220417E-1,5.608832272E0,7.402224183E0,3.159773943E0
4.051450416E-1,5.542706695E0,7.454200668E0,3.154267327E0
4.151670416E-1,5.486584534E0,7.494493831E0,3.156903252E0
4.251900415E-1,5.446367385E0,7.524280132E0,3.155691124E0
4.352130417E-1,5.422658095E0,7.546635792E0,3.143113179E0
4.452360417E-1,5.413444052E0,7.564126568E0,3.116845147E0
4.552587916E-1,5.416250716E0,7.578652221E0,3.076416329E0
4.652817918E-1,5.428849711E0,7.591557026E0,3.021913262E0
4.753047917E-1,5.450003768E0,7.603092998E0,2.954067727E0
4.853267916E-1,5.478699564E0,7.612451466E0,2.875854201E0
4.953497916E-1,5.514020255E0,7.618795695E0,2.790276399E0
5.053727916E-1,5.554925036E0,7.621747954E0,2.699606842E0
5.153957917E-1,5.600046245E0,7.621039857E0,2.606784632E0
5.254177917E-1,5.647379456E0,7.617183033E0,2.514303900E0
5.354407916E-1,5.695565776E0,7.610526563E0,2.424151675E0
5.454637916E-1,5.743459734E0,7.601117224E0,2.339182861E0
5.554867915E-1,5.789842772E0,7.588912915E0,2.263235716E0
5.655087917E-1,5.833177072E0,7.574372644E0,2.199782755E0
5.755317917E-1,5.871469318E0,7.558952367E0,2.150395563E0
5.855547916E-1,5.903092815E0,7.543700489E0,2.117114674E0
5.955777916E-1,5.927984412E0,7.528276704E0,2.102411411E0
6.055997917E-1,5.946791981E0,7.512450045E0,2.105911262E0
6.156227917E-1,5.961429316E0,7.495599539E0,2.124491521E0
6.256457916E-1,5.975043973E0,7.476270398E0,2.154142021E0
6.356687916E-1,5.991248946E0,7.452473985E0,2.191268770E0
6.456907915E-1,6.013398199E0,7.422449117E0,2.232130867E0
6.557137917E-1,6.044157477E0,7.385055004E0,2.272716976E0
6.657367917E-1,6.085003202E0,7.339968293E0,2.309479298E0
6.757587916E-1,6.136914198E0,7.287049237E0,2.339503873E0
6.857817916E-1,6.200135463E0,7.226231178E0,2.361354772E0
6.958047918E-1,6.273695190E0,7.158364885E0,2.373740344E0
7.058277917E-1,6.356649638E0,7.083895916E0,2.376450236E0
7.158497917E-1,6.447819425E0,7.002657040E0,2.371609034E0
7.258727916E-1,6.544569794E0,6.915339984E0,2.362790702E0
7.358957916E-1,6.643871303E0,6.823893625E0,2.351501336E0
7.459187917E-1,6.744679640E0,6.729475125E0,2.336567840E0
7.559407917E-1,6.848251371E0,6.631162380E0,2.316304606E0
7.659637916E-1,6.956889714E0,6.526189072E0,2.290553615E0
7.759867916E-1,7.071653600E0,6.412577087E0,2.259793168E0
