"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.235041561E-3,-2.701418698E-1,-1.216767430E-1,2.921600640E-1
1.425804175E-2,-2.790934741E-1,-7.116725296E-2,2.840238810E-1
2.428004169E-2,-2.881796658E-1,5.694330856E-2,2.695317566E-1
3.430304164E-2,-2.929602563E-1,2.471352220E-1,2.368008345E-1
4.432604159E-2,-2.847374976E-1,3.497910202E-1,2.248520255E-1
5.434904154E-2,-2.937369645E-1,2.714349926E-1,2.410746366E-1
6.437104172E-2,-3.321501315E-1,9.696943313E-2,2.638965845E-1
7.439404167E-2,-3.639599681E-1,-8.817458153E-2,2.654100955E-1
8.441704162E-2,-3.777764440E-1,-1.815431416E-1,2.705614269E-1
9.444004158E-2,-3.730332553E-1,-2.085883766E-1,2.633535862E-1
1.044620418E-1,-3.441302478E-1,-2.267676443E-1,2.764874995E-1
1.144850417E-1,-3.154597282E-1,-2.362115979E-1,2.806019783E-1
1.245080417E-1,-2.890979052E-1,-2.399637252E-1,2.641236782E-1
1.345310416E-1,-2.606451511E-1,-2.464466840E-1,2.612887323E-1
1.445530416E-1,-2.331243008E-1,-2.547594905E-1,2.562375069E-1
1.545760417E-1,-2.117540836E-1,-2.872286439E-1,2.460444719E-1
1.645990417E-1,-2.017054558E-1,-3.552947938E-1,2.369670868E-1
1.746220416E-1,-2.091584057E-1,-4.878705740E-1,2.271047682E-1
1.846440416E-1,-2.254340500E-1,-7.091199160E-1,2.178833038E-1
1.946670415E-1,-2.504111528E-1,-1.033183694E0,2.246996313E-1
2.046900417E-1,-2.929506004E-1,-1.439116001E0,2.708138525E-1
2.147130417E-1,-3.395262659E-1,-1.916574121E0,3.255497813E-1
2.247350416E-1,-3.817993999E-1,-2.407075882E0,3.702493310E-1
2.347580416E-1,-4.231671095E-1,-2.956034660E0,4.036415219E-1
2.447810418E-1,-4.986640215E-1,-3.482540846E0,4.421145916E-1
2.548030417E-1,-6.055436730E-1,-4.069736481E0,4.796967506E-1
2.648260416E-1,-7.063869238E-1,-4.857641220E0,4.359298348E-1
2.748490416E-1,-7.632600069E-1,-5.573745251E0,3.671278954E-1
2.848720415E-1,-7.873064876E-1,-6.351408958E0,6.264182925E-1
2.948940417E-1,-1.120549440E0,-7.442958832E0,5.408741832E-1
3.049170417E-1,-1.197981596E0,-8.549206734E0,7.988715172E-2
3.149400416E-1,-1.182553649E0,-9.103446007E0,-8.368473500E-3
3.249630416E-1,-1.111779094E0,-9.099895477E0,5.109271407E-1
3.349850418E-1,-1.120937586E0,-8.189565659E0,1.061031342E0
3.450080417E-1,-1.129923344E0,-6.610063076E0,1.057062745E0
3.550310417E-1,-1.004115820E0,-4.836538792E0,4.469108880E-1
3.650540416E-1,-7.479841709E-1,-3.243569851E0,-3.704468012E-1
3.750760416E-1,-4.897037745E-1,-1.965597749E0,-9.644621015E-1
3.850990417E-1,-3.261313438E-1,-1.095185637E0,-1.197764397E0
3.951220417E-1,-2.432179153E-1,-5.578383803E-1,-1.150682807E0
4.051450416E-1,-2.366558909E-1,-3.048404157E-1,-9.708579183E-1
4.151670416E-1,-2.723051012E-1,-3.188222647E-1,-7.841237783E-1
4.251900415E-1,-3.274040520E-1,-5.648951530E-1,-6.576792598E-1
4.352130417E-1,-4.328170419E-1,-9.548444748E-1,-6.102375984E-1
4.452360417E-1,-5.762456059E-1,-1.420231819E0,-6.229286194E-1
4.552587916E-1,-7.349987626E-1,-1.903668404E0,-6.672400236E-1
4.652817918E-1,-8.877462149E-1,-2.372081995E0,-7.199847698E-1
4.753047917E-1,-1.039234161E0,-2.800273657E0,-7.595201135E-1
4.853267916E-1,-1.196069121E0,-3.162641048E0,-7.721208930E-1
4.953497916E-1,-1.339792132E0,-3.451167822E0,-7.636749744E-1
5.053727916E-1,-1.466390610E0,-3.672282219E0,-7.323396802E-1
5.153957917E-1,-1.585558772E0,-3.813782930E0,-6.955276728E-1
5.254177917E-1,-1.678935528E0,-3.885243893E0,-6.556481719E-1
5.354407916E-1,-1.761517763E0,-3.900293827E0,-6.098360419E-1
5.454637916E-1,-1.843787074E0,-3.853589773E0,-5.637676120E-1
5.554867915E-1,-1.926560998E0,-3.735526562E0,-5.196282864E-1
5.655087917E-1,-1.990215063E0,-3.555119038E0,-4.875643551E-1
5.755317917E-1,-2.024123907E0,-3.318532944E0,-4.811680913E-1
5.855547916E-1,-2.058724403E0,-3.042942762E0,-4.801792502E-1
5.955777916E-1,-2.092905760E0,-2.746263027E0,-4.809927940E-1
6.055997917E-1,-2.111633778E0,-2.468945026E0,-4.760973752E-1
6.156227917E-1,-2.112027645E0,-2.238806009E0,-4.553262293E-1
6.256457916E-1,-2.102211714E0,-2.062300444E0,-4.034560919E-1
6.356687916E-1,-2.093697309E0,-1.942131996E0,-3.207646906E-1
6.456907915E-1,-2.094499350E0,-1.897487879E0,-2.207494378E-1
6.557137917E-1,-2.104319096E0,-1.923791528E0,-1.099215969E-1
6.657367917E-1,-2.111596346E0,-1.993614793E0,9.987945668E-4
6.757587916E-1,-2.126177788E0,-2.098474979E0,1.164589673E-1
6.857817916E-1,-2.143184900E0,-2.218702793E0,2.219108343E-1
6.958047918E-1,-2.135560274E0,-2.319851637E0,3.242799342E-1
7.058277917E-1,-2.114021778E0,-2.381009102E0,4.301160872E-1
7.158497917E-1,-2.081060648E0,-2.374263763E0,5.446474552E-1
7.258727916E-1,-2.040406466E0,-2.308831692E0,6.311751604E-1
7.358957916E-1,-1.982401252E0,-2.227591991E0,6.940049529E-1
7.459187917E-1,-1.910355449E0,-2.165229797E0,7.576486468E-1
7.559407917E-1,-1.842846274E0,-2.119319916E0,8.497750759E-1
7.659637916E-1,-1.796720862E0,-2.092101574E0,9.732733369E-1
7.759867916E-1,-1.755932331E0,-2.060048580E0,1.103455424E0
7.860097915E-1,-1.681470633E0,-2.015076160E0,1.218210459E0
7.960317917E-1,-1.594974279E0,-1.951149821E0,1.317070365E0
8.060547917E-1,-1.507067561E0,-1.879392743E0,1.403505325E0
8.160777916E-1,-1.426075101E0,-1.827938318E0,1.468933821E0
8.261007916E-1,-1.353886962E0,-1.818830848E0,1.504950166E0
8.361227917E-1,-1.283201933E0,-1.863229632E0,1.512605071E0
8.461457917E-1,-1.204013944E0,-1.898573756E0,1.514264226E0
8.561687917E-1,-1.129690766E0,-1.855489254E0,1.508691430E0
8.661917916E-1,-1.051712155E0,-1.768889427E0,1.477894902E0
8.762137915E-1,-9.684659839E-1,-1.685037255E0,1.423988342E0
8.862367917E-1,-8.878073692E-1,-1.584628105E0,1.363198757E0
8.962597917E-1,-7.898011208E-1,-1.489825010E0,1.321339607E0
9.062817916E-1,-6.638972759E-1,-1.402580619E0,1.276144624E0
9.163047916E-1,-5.342040658E-1,-1.290385485E0,1.215392470E0
9.263277918E-1,-3.802046180E-1,-1.175773978E0,1.145570517E0
9.363507917E-1,-1.854506582E-1,-1.028110385E0,1.082135558E0
9.463727917E-1,6.020771805E-3,-8.320953250E-1,1.044655204E0
9.563957916E-1,1.966305077E-1,-6.963137388E-1,1.050361514E0
9.664187916E-1,3.557873964E-1,-6.134087443E-1,1.071886063E0
9.764417917E-1,4.177923203E-1,-6.612285972E-1,1.081017137E0
9.864637917E-1,3.268408477E-1,-8.023039699E-1,1.066176414E0
9.964867916E-1,1.493213475E-1,-1.050664186E0,1.068400264E0
1.006509792E0,4.815637693E-2,-1.336765409E0,1.112888932E0
1.016532792E0,4.498457536E-2,-1.605165362E0,1.178020239E0
1.026554792E0,9.563071281E-2,-1.828796625E0,1.242414355E0
1.036577792E0,1.291717589E-1,-1.976013780E0,1.279466033E0
1.046600792E0,1.249956638E-1,-2.030409336E0,1.281394720E0
1.056623792E0,9.245558083E-2,-2.037141085E0,1.241675854E0
1.066645792E0,6.887382269E-2,-2.001287460E0,1.149393916E0
1.076668792E0,5.417900905E-2,-1.933832526E0,1.015699863E0
1.086691792E0,5.812794343E-2,-1.796394229E0,8.738370538E-1
1.096714792E0,1.013156548E-1,-1.561115742E0,7.533351183E-1
1.106736792E0,1.601523459E-1,-1.299582481E0,6.567595601E-1
1.116759792E0,2.185568959E-1,-1.053617716E0,5.715869665E-1
1.126782792E0,2.521334887E-1,-8.314167261E-1,5.076380968E-1
1.136804792E0,2.699524462E-1,-7.008144855E-1,4.852042198E-1
1.146827792E0,2.867905498E-1,-6.847476363E-1,4.659988284E-1
1.156850792E0,2.905386984E-1,-7.309811115E-1,4.016788006E-1
1.166873792E0,3.116990924E-1,-7.865173221E-1,2.906580269E-1
1.176895792E0,3.480061591E-1,-7.904515266E-1,1.630475074E-1
1.186918792E0,3.829241991E-1,-7.491118312E-1,6.486235559E-2
1.196941792E0,3.972369134E-1,-7.079179287E-1,4.493594170E-2
