"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.235041561E-3,8.212538707E-1,4.626948675E-1,-1.775431990E-1,-2.827260964E-1,6.957898260E1,5.940191896E1,-1.718228582E0,-3.897337889E1
1.425804175E-2,8.222162308E-1,4.611636725E-1,-1.782148511E-1,-2.820070079E-1,6.938546743E1,5.924200928E1,-1.888782980E0,-3.893625377E1
2.428004169E-2,8.232492079E-1,4.597266020E-1,-1.785137460E-1,-2.811493617E-1,6.917722560E1,5.907664033E1,-2.029779100E0,-3.886155415E1
3.430304164E-2,8.244088363E-1,4.585132047E-1,-1.780603197E-1,-2.800182246E-1,6.894279582E1,5.890422018E1,-2.109241521E0,-3.871219490E1
4.432604159E-2,8.256671305E-1,4.575441117E-1,-1.769075718E-1,-2.786231217E-1,6.868762698E1,5.872991715E1,-2.130105846E0,-3.849278173E1
5.434904154E-2,8.269264783E-1,4.566026143E-1,-1.757125611E-1,-2.771854084E-1,6.843140911E1,5.855735855E1,-2.147695161E0,-3.826653673E1
6.437104172E-2,8.281550800E-1,4.553491354E-1,-1.750789992E-1,-2.759775430E-1,6.818063214E1,5.837207776E1,-2.215197230E0,-3.809809067E1
7.439404167E-2,8.293166261E-1,4.536682032E-1,-1.751956933E-1,-2.751829274E-1,6.794279431E1,5.816838948E1,-2.344160975E0,-3.801766383E1
8.441704162E-2,8.304054056E-1,4.516924327E-1,-1.758731722E-1,-2.747167411E-1,6.771918899E1,5.795419158E1,-2.517075168E0,-3.800482134E1
9.444004158E-2,8.314498467E-1,4.496167110E-1,-1.767771273E-1,-2.743823901E-1,6.750407674E1,5.773844926E1,-2.707018780E0,-3.801891723E1
1.044620418E-1,8.324315100E-1,4.475815556E-1,-1.777953214E-1,-2.740751607E-1,6.730134179E1,5.753335362E1,-2.904012535E0,-3.804242608E1
1.144850417E-1,8.333441578E-1,4.456403771E-1,-1.789435069E-1,-2.737179240E-1,6.711237553E1,5.734608589E1,-3.111746930E0,-3.806830730E1
1.245080417E-1,8.341765792E-1,4.438040284E-1,-1.801300355E-1,-2.733871344E-1,6.693960981E1,5.717393925E1,-3.316980037E0,-3.809919816E1
1.345310416E-1,8.349276360E-1,4.420836783E-1,-1.813523784E-1,-2.730733933E-1,6.678339217E1,5.701814202E1,-3.519580625E0,-3.813406239E1
1.445530416E-1,8.355985085E-1,4.404709291E-1,-1.826344013E-1,-2.727729916E-1,6.664357898E1,5.687873801E1,-3.722312629E0,-3.817398691E1
1.545760417E-1,8.361822212E-1,4.389451921E-1,-1.840082410E-1,-2.725202159E-1,6.652171886E1,5.675478520E1,-3.927030530E0,-3.822454282E1
1.645990417E-1,8.366716515E-1,4.374198872E-1,-1.855913293E-1,-2.723972103E-1,6.641938936E1,5.664144965E1,-4.143465255E0,-3.830129102E1
1.746220416E-1,8.370196370E-1,4.357626731E-1,-1.876072553E-1,-2.726030345E-1,6.634654799E1,5.653386408E1,-4.386348203E0,-3.843844998E1
1.846440416E-1,8.372213939E-1,4.338233596E-1,-1.903031047E-1,-2.732073781E-1,6.630428316E1,5.642634912E1,-4.680779774E0,-3.865792544E1
1.946670415E-1,8.371669824E-1,4.314124650E-1,-1.941351910E-1,-2.744927306E-1,6.631568386E1,5.632019044E1,-5.060521447E0,-3.901701304E1
2.046900417E-1,8.368354131E-1,4.283068745E-1,-1.995144354E-1,-2.765029245E-1,6.638511911E1,5.621208202E1,-5.570201289E0,-3.954529988E1
2.147130417E-1,8.361954343E-1,4.243217846E-1,-2.067757684E-1,-2.792345671E-1,6.651895813E1,5.610292501E1,-6.248409896E0,-4.026379760E1
2.247350416E-1,8.351435754E-1,4.193786968E-1,-2.160824458E-1,-2.827809294E-1,6.673841759E1,5.600249904E1,-7.107717435E0,-4.119528014E1
2.347580416E-1,8.335346827E-1,4.134203863E-1,-2.275540699E-1,-2.872677775E-1,6.707286755E1,5.592562030E1,-8.153390119E0,-4.236550468E1
2.447810418E-1,8.312810275E-1,4.063153496E-1,-2.412244898E-1,-2.927292294E-1,6.753888751E1,5.587812468E1,-9.390938161E0,-4.378711818E1
2.548030417E-1,8.283872038E-1,3.978411410E-1,-2.569619070E-1,-2.991114634E-1,6.813316093E1,5.584962947E1,-1.082035194E1,-4.545432356E1
2.648260416E-1,8.243987210E-1,3.877252230E-1,-2.753794897E-1,-3.069234240E-1,6.894484373E1,5.588075815E1,-1.247661306E1,-4.747670255E1
2.748490416E-1,8.189597124E-1,3.759320659E-1,-2.964426354E-1,-3.163887210E-1,7.003841569E1,5.601266495E1,-1.433954858E1,-4.990124306E1
2.848720415E-1,8.119449384E-1,3.624663493E-1,-3.203713493E-1,-3.266891790E-1,7.142721049E1,5.630953839E1,-1.646443485E1,-5.269005644E1
2.948940417E-1,8.031845263E-1,3.461465452E-1,-3.476739056E-1,-3.379350751E-1,7.312942527E1,5.675028266E1,-1.893785889E1,-5.593267625E1
3.049170417E-1,7.910177427E-1,3.270342168E-1,-3.783466931E-1,-3.524107474E-1,7.543855381E1,5.748378409E1,-2.159584641E1,-5.997016025E1
3.149400416E-1,7.753789859E-1,3.063295274E-1,-4.109323683E-1,-3.688958971E-1,7.832118922E1,5.862345909E1,-2.428333394E1,-6.466145342E1
3.249630416E-1,7.578702368E-1,2.841579302E-1,-4.442924366E-1,-3.840456872E-1,8.144639859E1,6.011024356E1,-2.707605130E1,-6.960983995E1
3.349850418E-1,7.409370134E-1,2.611618404E-1,-4.758487198E-1,-3.954426692E-1,8.437740798E1,6.171728696E1,-2.990733978E1,-7.431230339E1
3.450080417E-1,7.263474919E-1,2.394144670E-1,-5.022908307E-1,-4.034899039E-1,8.683788201E1,6.317978810E1,-3.244384353E1,-7.839262547E1
3.550310417E-1,7.145345732E-1,2.219028624E-1,-5.216301756E-1,-4.100016763E-1,8.878986256E1,6.437195519E1,-3.429711824E1,-8.167584136E1
3.650540416E-1,7.049404859E-1,2.103931376E-1,-5.341471258E-1,-4.165098557E-1,9.035052761E1,6.531578820E1,-3.529751578E1,-8.420462856E1
3.750760416E-1,6.971727795E-1,2.046691846E-1,-5.412056165E-1,-4.232696623E-1,9.159877295E1,6.604036761E1,-3.554675716E1,-8.606199142E1
3.850990417E-1,6.911392685E-1,2.030702385E-1,-5.444595008E-1,-4.297126721E-1,9.255928073E1,6.655521151E1,-3.531497919E1,-8.734333530E1
3.951220417E-1,6.866397236E-1,2.035939131E-1,-5.454364226E-1,-4.354015167E-1,9.327060209E1,6.688390511E1,-3.487209975E1,-8.819448604E1
4.051450416E-1,6.834165434E-1,2.047814427E-1,-5.452491220E-1,-4.401247876E-1,9.377759169E1,6.706420317E1,-3.440269147E1,-8.875083667E1
4.151670416E-1,6.809389198E-1,2.056545990E-1,-5.447970970E-1,-4.440995515E-1,9.416588562E1,6.715772998E1,-3.400635568E1,-8.917448531E1
4.251900415E-1,6.784835603E-1,2.056477396E-1,-5.448563871E-1,-4.477728706E-1,9.454948710E1,6.724677143E1,-3.372347497E1,-8.963751385E1
4.352130417E-1,6.753912777E-1,2.043862950E-1,-5.459183085E-1,-4.517144966E-1,9.503091493E1,6.738866446E1,-3.355714645E1,-9.028502921E1
4.452360417E-1,6.712439013E-1,2.016523975E-1,-5.481566434E-1,-4.563904787E-1,9.567371511E1,6.760558686E1,-3.349259028E1,-9.120486986E1
4.552587916E-1,6.657972220E-1,1.973495204E-1,-5.515914640E-1,-4.620757092E-1,9.651296963E1,6.790619906E1,-3.351225205E1,-9.244261945E1
4.652817918E-1,6.589766607E-1,1.915242991E-1,-5.561441877E-1,-4.687983212E-1,9.755625251E1,6.829435835E1,-3.360054965E1,-9.400242502E1
4.753047917E-1,6.508160562E-1,1.842338426E-1,-5.616883316E-1,-4.764477688E-1,9.879368539E1,6.876710937E1,-3.374901668E1,-9.586693442E1
4.853267916E-1,6.414613366E-1,1.755184433E-1,-5.679925940E-1,-4.848763535E-1,1.001982516E2,6.930429089E1,-3.395082006E1,-9.799963976E1
4.953497916E-1,6.310979165E-1,1.654617627E-1,-5.748099521E-1,-4.938941090E-1,1.017376573E2,6.988545615E1,-3.419987314E1,-1.003557459E2
5.053727916E-1,6.199668601E-1,1.542695406E-1,-5.818988413E-1,-5.032254107E-1,1.033725711E2,7.049596193E1,-3.448922825E1,-1.028767592E2
5.153957917E-1,6.082243424E-1,1.420497362E-1,-5.890316054E-1,-5.127638168E-1,1.050775564E2,7.111669369E1,-3.480957538E1,-1.055255548E2
5.254177917E-1,5.961029904E-1,1.290883159E-1,-5.959749615E-1,-5.223133681E-1,1.068173964E2,7.173281184E1,-3.514697315E1,-1.082446629E2
5.354407916E-1,5.837700587E-1,1.155886803E-1,-6.025646212E-1,-5.317589879E-1,1.085677045E2,7.233196267E1,-3.549189101E1,-1.109940564E2
5.454637916E-1,5.714057261E-1,1.017273616E-1,-6.086272557E-1,-5.410358951E-1,1.103033808E2,7.289467150E1,-3.583619251E1,-1.137337558E2
5.554867915E-1,5.591991760E-1,8.767421145E-2,-6.139704646E-1,-5.501362226E-1,1.119991330E2,7.339388093E1,-3.617106275E1,-1.164224748E2
5.655087917E-1,5.473478803E-1,7.367460888E-2,-6.184275571E-1,-5.590436452E-1,1.136294879E2,7.380541181E1,-3.648521834E1,-1.190140870E2
5.755317917E-1,5.359509859E-1,5.999833586E-2,-6.219308453E-1,-5.677665750E-1,1.151831441E2,7.411983349E1,-3.676388800E1,-1.214778103E2
5.855547916E-1,5.252027453E-1,4.697658232E-2,-6.244095225E-1,-5.762533842E-1,1.166362141E2,7.432339901E1,-3.699478729E1,-1.237657004E2
5.955777916E-1,5.151754042E-1,3.466264296E-2,-6.258130336E-1,-5.845945142E-1,1.179816401E2,7.439661890E1,-3.717703341E1,-1.258627522E2
6.055997917E-1,5.059079365E-1,2.311602912E-2,-6.262034188E-1,-5.927833598E-1,1.192167165E2,7.434060250E1,-3.731502378E1,-1.277627865E2
6.156227917E-1,4.973467472E-1,1.227084421E-2,-6.257535433E-1,-6.007730377E-1,1.203507662E2,7.417558276E1,-3.742258912E1,-1.294844695E2
6.256457916E-1,4.894350725E-1,1.960987494E-3,-6.246622982E-1,-6.084787829E-1,1.213930854E2,7.392669205E1,-3.752278208E1,-1.310546907E2
6.356687916E-1,4.820782084E-1,-8.091436271E-3,-6.230963531E-1,-6.158620310E-1,1.223575575E2,7.361495568E1,-3.764221601E1,-1.325108930E2
6.456907915E-1,4.751592869E-1,-1.817281492E-2,-6.212097970E-1,-6.228899442E-1,1.232605566E2,7.326254883E1,-3.780576363E1,-1.338934270E2
6.557137917E-1,4.685117385E-1,-2.856279280E-2,-6.191505652E-1,-6.295503053E-1,1.241245329E2,7.289449017E1,-3.803349540E1,-1.352483346E2
6.657367917E-1,4.619453648E-1,-3.948525395E-2,-6.170335922E-1,-6.358591617E-1,1.249745805E2,7.253411441E1,-3.833700348E1,-1.366198913E2
6.757587916E-1,4.553665948E-1,-5.105325732E-2,-6.149412962E-1,-6.417802723E-1,1.258229519E2,7.220079655E1,-3.872457926E1,-1.380325160E2
6.857817916E-1,4.486852972E-1,-6.336426747E-2,-6.128870167E-1,-6.473298427E-1,1.266812695E2,7.190388021E1,-3.919945631E1,-1.395063700E2
6.958047918E-1,4.418944811E-1,-7.634319981E-2,-6.108894878E-1,-6.524683338E-1,1.275503618E2,7.165428741E1,-3.975606825E1,-1.410417338E2
7.058277917E-1,4.351084065E-1,-8.983815709E-2,-6.089377937E-1,-6.571183218E-1,1.284156157E2,7.145482793E1,-4.038921213E1,-1.426180174E2
7.158497917E-1,4.285007395E-1,-1.036840922E-1,-6.069369775E-1,-6.612596396E-1,1.292550983E2,7.129016089E1,-4.109200579E1,-1.442014405E2
7.258727916E-1,4.222427543E-1,-1.176198845E-1,-6.047626848E-1,-6.649351187E-1,1.300474737E2,7.113604489E1,-4.184613424E1,-1.457492127E2
7.358957916E-1,4.163838155E-1,-1.313985954E-1,-6.023970032E-1,-6.681892137E-1,1.307870156E2,7.098614162E1,-4.262950762E1,-1.472391704E2
7.459187917E-1,4.108765606E-1,-1.449668882E-1,-5.999112243E-1,-6.710227568E-1,1.314801783E2,7.085228435E1,-4.343498904E1,-1.486788340E2
7.559407917E-1,4.057580366E-1,-1.583926193E-1,-5.973721084E-1,-6.733638878E-1,1.321227233E2,7.074538595E1,-4.427386917E1,-1.500737845E2
7.659637916E-1,4.010702744E-1,-1.718762391E-1,-5.947375089E-1,-6.751951052E-1,1.327097929E2,7.066001049E1,-4.516686053E1,-1.514314764E2
7.759867916E-1,3.968316502E-1,-1.855477916E-1,-5.919408548E-1,-6.765372294E-1,1.332394831E2,7.058753424E1,-4.612567073E1,-1.527561894E2
7.860097915E-1,3.930906959E-1,-1.992998026E-1,-5.890188138E-1,-6.773596830E-1,1.337061025E2,7.053275987E1,-4.714446282E1,-1.540388142E2
7.960317917E-1,3.898517422E-1,-2.129971279E-1,-5.860350487E-1,-6.776509704E-1,1.341094506E2,7.050485128E1,-4.821143328E1,-1.552754503E2
8.060547917E-1,3.871457670E-1,-2.265152870E-1,-5.829897071E-1,-6.774452727E-1,1.344459663E2,7.049814703E1,-4.931520973E1,-1.564535582E2
8.160777916E-1,3.849255343E-1,-2.398153362E-1,-5.799228285E-1,-6.767647065E-1,1.347217652E2,7.051937295E1,-5.044839060E1,-1.575801537E2
8.261007916E-1,3.829670334E-1,-2.529818958E-1,-5.768697424E-1,-6.756905730E-1,1.349648219E2,7.058703871E1,-5.160237019E1,-1.586962106E2
8.361227917E-1,3.810721743E-1,-2.660707998E-1,-5.739660458E-1,-6.742056763E-1,1.351997772E2,7.074272928E1,-5.277043787E1,-1.598502465E2
8.461457917E-1,3.790800614E-1,-2.791351638E-1,-5.712874239E-1,-6.723187619E-1,1.354465776E2,7.101891162E1,-5.394602904E1,-1.610843753E2
8.561687917E-1,3.771240683E-1,-2.919993619E-1,-5.687701085E-1,-6.700854425E-1,1.356886916E2,7.139357784E1,-5.511712412E1,-1.623659413E2
8.661917916E-1,3.753525414E-1,-3.043869739E-1,-5.662953510E-1,-6.676591433E-1,1.359077926E2,7.181724402E1,-5.626079699E1,-1.636373217E2
