"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.443274994E-2,-2.087441224E0,-1.965399016E0,9.381678590E0
2.445475000E-2,-2.105479445E0,-1.963677303E0,9.378007708E0
3.447674995E-2,-2.122178509E0,-1.964400457E0,9.374091243E0
4.449775000E-2,-2.128261806E0,-1.965915325E0,9.372394381E0
5.451974995E-2,-2.125826733E0,-1.967609263E0,9.372592016E0
6.454175001E-2,-2.122926806E0,-1.969685902E0,9.372813041E0
7.456274994E-2,-2.120726937E0,-1.972442279E0,9.372731180E0
8.458475000E-2,-2.113752086E0,-1.976023553E0,9.373552129E0
9.460674995E-2,-2.099334314E0,-1.980065294E0,9.375938963E0
1.046277500E-1,-2.096603372E0,-1.983176159E0,9.375892770E0
1.146497499E-1,-2.127019565E0,-1.987360281E0,9.368152810E0
1.246717500E-1,-2.160788258E0,-1.998178945E0,9.358118404E0
1.346937499E-1,-2.165461645E0,-2.009077863E0,9.354703630E0
1.447147500E-1,-2.148043813E0,-2.010782034E0,9.358352292E0
1.547367499E-1,-2.123839410E0,-2.003576364E0,9.365419822E0
1.647587500E-1,-2.104547399E0,-1.994527798E0,9.371704409E0
1.747797499E-1,-2.095115694E0,-1.988616116E0,9.375072990E0
1.848017500E-1,-2.091572574E0,-1.984297217E0,9.376779208E0
1.948237499E-1,-2.088352074E0,-1.979203853E0,9.378573133E0
2.048447500E-1,-2.083986104E0,-1.974145281E0,9.380610303E0
2.148667499E-1,-2.073092741E0,-1.970045944E0,9.383885329E0
2.248887500E-1,-2.044900391E0,-1.966957152E0,9.390716631E0
2.349097499E-1,-2.001000519E0,-1.963469435E0,9.400897803E0
2.449317500E-1,-1.943144659E0,-1.959884068E0,9.413773956E0
2.549537499E-1,-1.866995346E0,-1.957550152E0,9.429656748E0
2.649747500E-1,-1.763816256E0,-1.958370955E0,9.449329705E0
2.749967499E-1,-1.627876386E0,-1.963478790E0,9.472637876E0
2.850187500E-1,-1.465957775E0,-1.971593994E0,9.497362243E0
2.950407499E-1,-1.283842151E0,-1.980213083E0,9.521901253E0
3.050617500E-1,-1.080686928E0,-1.990569233E0,9.544938698E0
3.150837499E-1,-8.596234390E-1,-2.004261804E0,9.564522192E0
3.251057500E-1,-6.256525134E-1,-2.022669277E0,9.578802847E0
3.351267499E-1,-3.831372707E-1,-2.044670888E0,9.586898902E0
3.451487500E-1,-1.372987357E-1,-2.066891038E0,9.588806264E0
3.551707499E-1,1.135806931E-1,-2.089913719E0,9.584125568E0
3.651917500E-1,3.905882680E-1,-2.114630630E0,9.571409628E0
3.752137499E-1,7.018491154E-1,-2.139604673E0,9.548067543E0
3.852357500E-1,1.056702235E0,-2.161661540E0,9.510347155E0
3.952567499E-1,1.446453218E0,-2.179436198E0,9.454836613E0
4.052787500E-1,1.874197070E0,-2.200628555E0,9.374471896E0
4.153007499E-1,2.343165838E0,-2.233341533E0,9.260554102E0
4.253227500E-1,2.842090916E0,-2.269737966E0,9.110812756E0
4.353437499E-1,3.374116496E0,-2.306331011E0,8.918086774E0
4.453657500E-1,3.906257267E0,-2.337249041E0,8.689909124E0
4.553877499E-1,4.412296067E0,-2.363665153E0,8.436873205E0
4.654087500E-1,4.867421992E0,-2.385114348E0,8.176523005E0
4.754307499E-1,5.254111519E0,-2.402035021E0,7.928470668E0
4.854527500E-1,5.568733236E0,-2.413265622E0,7.707234247E0
4.954737499E-1,5.813103581E0,-2.415811061E0,7.523814109E0
5.054957500E-1,5.988611267E0,-2.406807372E0,7.387821906E0
5.155177499E-1,6.097689321E0,-2.385082919E0,7.305180284E0
5.255387500E-1,6.146434634E0,-2.351908156E0,7.275023269E0
5.355607499E-1,6.146489013E0,-2.309578262E0,7.288526829E0
5.455827500E-1,6.112909623E0,-2.261792038E0,7.331626071E0
5.556047499E-1,6.061915471E0,-2.212606868E0,7.388751613E0
5.656257500E-1,6.008870115E0,-2.164416309E0,7.446132095E0
5.756477499E-1,5.966140417E0,-2.118241578E0,7.493618503E0
5.856697500E-1,5.942328801E0,-2.074080190E0,7.524827431E0
5.956907499E-1,5.942967317E0,-2.033148218E0,7.535486321E0
6.057127500E-1,5.971145634E0,-1.995930691E0,7.523149865E0
6.157347499E-1,6.027360765E0,-1.962366357E0,7.487065528E0
6.257557500E-1,6.109152787E0,-1.932523192E0,7.428304519E0
6.357777499E-1,6.211559753E0,-1.906576611E0,7.349665900E0
6.457997500E-1,6.328680652E0,-1.885089848E0,7.254676713E0
6.558207500E-1,6.453295927E0,-1.867526858E0,7.148665524E0
6.658427500E-1,6.575301005E0,-1.854279407E0,7.040111380E0
6.758652916E-1,6.686225610E0,-1.847281751E0,6.936716235E0
6.858872917E-1,6.779430812E0,-1.843455041E0,6.846684317E0
6.959082916E-1,6.850149377E0,-1.840684484E0,6.776683790E0
7.059302917E-1,6.898570755E0,-1.836556057E0,6.728512673E0
7.159522916E-1,6.926893498E0,-1.829990073E0,6.701147704E0
7.259732917E-1,6.938680315E0,-1.822146618E0,6.691083477E0
7.359952916E-1,6.939222937E0,-1.813898828E0,6.692761627E0
7.460172917E-1,6.933852269E0,-1.806293500E0,6.700379965E0
7.560382916E-1,6.928358225E0,-1.799754559E0,6.707819377E0
7.660602917E-1,6.928087499E0,-1.793835130E0,6.709683470E0
7.760822916E-1,6.937601504E0,-1.788781089E0,6.701196821E0
7.861032917E-1,6.959109317E0,-1.784735109E0,6.679941607E0
7.961252916E-1,6.989980862E0,-1.780534177E0,6.648756652E0
8.061472917E-1,7.025912002E0,-1.774814869E0,6.612312711E0
8.161692916E-1,7.063035389E0,-1.766511676E0,6.574882345E0
8.261902917E-1,7.099272339E0,-1.756744487E0,6.538369406E0
8.362122916E-1,7.136724924E0,-1.745171532E0,6.500587623E0
8.462342917E-1,7.177795767E0,-1.730474117E0,6.459164777E0
8.562552916E-1,7.223069589E0,-1.712667737E0,6.413278168E0
8.662772917E-1,7.270388181E0,-1.695505428E0,6.364182606E0
8.762992916E-1,7.316031547E0,-1.680645314E0,6.315632590E0
8.863202917E-1,7.355899617E0,-1.668571399E0,6.272377228E0
8.963422916E-1,7.387855235E0,-1.659919712E0,6.237015606E0
9.063642917E-1,7.413109944E0,-1.655157301E0,6.208249059E0
9.163862916E-1,7.434348201E0,-1.651870874E0,6.183679644E0
9.264072917E-1,7.453938712E0,-1.645013698E0,6.161884148E0
9.364292916E-1,7.472724062E0,-1.631151119E0,6.142788311E0
9.464512917E-1,7.490855108E0,-1.609939321E0,6.126278697E0
9.564722916E-1,7.508021949E0,-1.581514105E0,6.112653515E0
9.664942917E-1,7.525121546E0,-1.546937765E0,6.100461486E0
9.765162916E-1,7.544191071E0,-1.508684111E0,6.086473192E0
9.865372917E-1,7.567178230E0,-1.466933675E0,6.068114689E0
9.965592916E-1,7.594974723E0,-1.423502019E0,6.043683268E0
1.006581292E0,7.628551775E0,-1.382496373E0,6.010823670E0
1.016603292E0,7.667944466E0,-1.344569286E0,5.969159335E0
1.026624292E0,7.711945934E0,-1.310199645E0,5.919912915E0
1.036646292E0,7.759179742E0,-1.277929154E0,5.864991188E0
1.046668292E0,7.807661346E0,-1.243766796E0,5.807717126E0
1.056689292E0,7.855045427E0,-1.206729948E0,5.751361077E0
1.066711292E0,7.900070742E0,-1.169244252E0,5.697180192E0
1.076733292E0,7.944012567E0,-1.133654297E0,5.643012171E0
1.086754292E0,7.989317379E0,-1.101528890E0,5.585117719E0
1.096776292E0,8.038411771E0,-1.073710323E0,5.519707841E0
1.106798292E0,8.089904691E0,-1.051646147E0,5.448263637E0
1.116819292E0,8.137639021E0,-1.036629620E0,5.379622003E0
1.126841292E0,8.177053347E0,-1.029552297E0,5.320896077E0
1.136863292E0,8.207762339E0,-1.030947077E0,5.273129003E0
1.146885292E0,8.231868070E0,-1.039986214E0,5.233629892E0
1.156906292E0,8.249709095E0,-1.056547868E0,5.202125679E0
1.166928292E0,8.259475114E0,-1.077131383E0,5.182371445E0
1.176950292E0,8.258402735E0,-1.098470943E0,5.179599280E0
1.186971292E0,8.243340307E0,-1.119138876E0,5.199131904E0
1.196993292E0,8.215341500E0,-1.137984526E0,5.239204627E0
1.207015292E0,8.180674528E0,-1.153461228E0,5.289819295E0
1.217036292E0,8.146620929E0,-1.163428758E0,5.339953907E0
1.227058292E0,8.118375953E0,-1.167274544E0,5.381966152E0
1.237080292E0,8.097406084E0,-1.165173201E0,5.413916507E0
1.247102292E0,8.083378029E0,-1.156264749E0,5.436741114E0
1.257123292E0,8.074980842E0,-1.141536636E0,5.452308741E0
1.267145292E0,8.070825226E0,-1.121719180E0,5.462567096E0
1.277167292E0,8.072892802E0,-1.097817662E0,5.464365699E0
1.287188292E0,8.082740682E0,-1.069901228E0,5.455337598E0
1.297210292E0,8.098710598E0,-1.038488085E0,5.437694795E0
1.307232292E0,8.119009207E0,-1.004418333E0,5.413772081E0
1.317253292E0,8.142046652E0,-9.670464385E-1,5.385906590E0
1.327275292E0,8.165921418E0,-9.263035514E-1,5.356845344E0
1.337297292E0,8.187409351E0,-8.830546939E-1,5.331289503E0
1.347318292E0,8.203844120E0,-8.357058419E-1,5.313627403E0
1.357340292E0,8.215242682E0,-7.834104647E-1,5.303975405E0
1.367362292E0,8.224088935E0,-7.267966264E-1,5.298323486E0
1.377384292E0,8.233234565E0,-6.701321366E-1,5.291585739E0
