"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.049708342E-3,1.025098297E1,4.790787506E0,-3.597019958E-1
1.107170852E-2,1.083955902E1,4.474046173E0,-3.207829285E-1
2.109370846E-2,1.118968094E1,4.187242584E0,1.796264648E-2
3.111470840E-2,1.105047043E1,3.948489075E0,1.502874756E-1
4.113670834E-2,1.059272232E1,3.994443512E0,-1.086740112E-1
5.115870852E-2,1.011162277E1,4.237238617E0,-4.484674072E-1
6.118070846E-2,9.587861938E0,4.467010803E0,-6.122268677E-1
7.120270841E-2,9.245374146E0,4.446653137E0,-6.554869080E-1
8.122470835E-2,9.122330017E0,4.150568848E0,-7.084767151E-1
9.124670853E-2,9.028774567E0,3.766467590E0,-7.795788574E-1
1.012687085E-1,8.975036316E0,3.416195984E0,-9.584568787E-1
1.112907084E-1,9.135951691E0,3.139870605E0,-8.999285889E-1
1.213127084E-1,9.393416290E0,3.058589630E0,-9.108558655E-1
1.313347085E-1,9.292376404E0,3.381168823E0,-9.804611206E-1
1.413567085E-1,9.125473480E0,3.970493317E0,-1.110540619E0
1.513787084E-1,9.149273987E0,3.892655182E0,-1.176253967E0
1.614007084E-1,8.889414368E0,3.548221436E0,-1.125659180E0
1.714227085E-1,8.166417847E0,3.368894348E0,-1.069226532E0
1.814447085E-1,7.551795959E0,2.967129822E0,-5.668711853E-1
1.914657084E-1,7.383994904E0,2.747686157E0,-5.358856201E-1
2.014877084E-1,7.435487823E0,2.723436584E0,-7.361691284E-1
2.115097085E-1,7.573650513E0,2.776875458E0,-7.744894409E-1
2.215317085E-1,7.814948730E0,2.889141998E0,-8.523275757E-1
2.315537084E-1,8.078101501E0,3.003653870E0,-9.410929871E-1
2.415757084E-1,8.349038086E0,3.017874298E0,-9.442364502E-1
2.515977086E-1,8.628656616E0,2.993475037E0,-8.756790161E-1
2.616197085E-1,8.912616119E0,3.016826477E0,-8.785231018E-1
2.716417084E-1,9.132508850E0,3.184627533E0,-7.667056274E-1
2.816637084E-1,9.345815277E0,3.395988007E0,-5.926176453E-1
2.916857083E-1,9.544152832E0,3.623814240E0,-5.780978394E-1
3.017077085E-1,9.686806183E0,3.845353546E0,-5.081932068E-1
3.117297085E-1,9.796827393E0,3.951482849E0,-3.900888062E-1
3.217517084E-1,9.993668060E0,3.949686584E0,-2.231858826E-1
3.317737083E-1,1.026295807E1,3.866908722E0,-1.627116394E-1
3.417957085E-1,1.047686325E1,3.831582184E0,-6.496490479E-2
3.518167085E-1,1.055230637E1,3.982468414E0,1.841171265E-2
3.618387084E-1,1.051353699E1,4.168531494E0,6.421646118E-2
3.718607083E-1,1.037402710E1,4.310286713E0,1.601669312E-1
3.818827085E-1,1.013198044E1,4.366419983E0,2.758763123E-1
3.919047085E-1,9.875563660E0,4.335883484E0,3.525169373E-1
4.019267084E-1,9.685458984E0,4.180207214E0,3.019221497E-1
4.119487084E-1,9.559421082E0,3.990850983E0,2.222877502E-1
4.219707085E-1,9.507329407E0,3.780688019E0,2.386038208E-1
4.319927085E-1,9.529633026E0,3.577859802E0,5.463638306E-2
4.420147084E-1,9.557325439E0,3.419938202E0,-1.562750244E-1
4.520367084E-1,9.523495789E0,3.300636292E0,-2.865042114E-1
4.620587085E-1,9.493108978E0,3.200644226E0,-4.249662781E-1
4.720807085E-1,9.456884308E0,2.956801300E0,-6.167175293E-1
4.821027084E-1,9.462422791E0,2.659220123E0,-6.709048462E-1
4.921247084E-1,9.552385712E0,2.521057434E0,-3.977229309E-1
5.021457085E-1,9.803413696E0,2.546953583E0,2.439926147E-2
5.121677085E-1,1.012015503E1,2.664459229E0,2.459385681E-1
5.221897084E-1,1.022748184E1,2.658621368E0,2.938389587E-1
5.322117084E-1,1.031100815E1,2.646795959E0,4.481680298E-1
5.422337085E-1,1.044468018E1,2.667003937E0,8.117619324E-1
5.522557085E-1,1.042656784E1,2.516117706E0,1.180594940E0
5.622777084E-1,1.025262955E1,2.205214233E0,1.011895752E0
5.722997084E-1,1.040007294E1,1.870809631E0,3.079096985E-1
5.823217086E-1,1.141406433E1,1.652862854E0,-5.301974487E-1
5.923437085E-1,1.267683838E1,1.691183167E0,-1.021924896E0
6.023657084E-1,1.285691391E1,2.197280731E0,-1.157393188E0
6.123877084E-1,1.190848618E1,2.953957214E0,-9.710307312E-1
6.224097083E-1,1.023287064E1,3.466042328E0,-6.753955078E-1
6.324317085E-1,8.440198517E0,3.566184082E0,-5.107379150E-1
6.424537085E-1,6.747518463E0,3.630699921E0,-4.706213379E-1
6.524747084E-1,5.123695221E0,4.007167053E0,-4.902305603E-1
