"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.357770851E-2,6.751379540E-1,2.324304076E-1,-6.986082274E-1,-4.595087554E-2,9.507027191E1,1.025495919E2,-6.721330251E1,-8.708883308E1
2.359970845E-2,6.737237587E-1,2.320677339E-1,-7.000530635E-1,-4.654657910E-2,9.528975802E1,1.030894306E2,-6.717306017E1,-8.770751474E1
3.362070839E-2,6.728892722E-1,2.316962516E-1,-7.009464081E-1,-4.702231165E-2,9.541909242E1,1.034042435E2,-6.715062275E1,-8.809238529E1
4.364270833E-2,6.726516061E-1,2.312510966E-1,-7.013022118E-1,-4.730642356E-2,9.545590323E1,1.034978164E2,-6.715887873E1,-8.824700632E1
5.366470851E-2,6.728766070E-1,2.307229334E-1,-7.012527104E-1,-4.741969321E-2,9.542105432E1,1.034233254E2,-6.719531582E1,-8.822699236E1
6.368670845E-2,6.732917324E-1,2.301764995E-1,-7.010309758E-1,-4.746177684E-2,9.535673299E1,1.032785757E2,-6.724208611E1,-8.813257207E1
7.370870840E-2,6.736622664E-1,2.297107768E-1,-7.008197358E-1,-4.757938762E-2,9.529929305E1,1.031418788E2,-6.727544623E1,-8.804540110E1
8.373070834E-2,6.739603711E-1,2.293328671E-1,-7.006397055E-1,-4.783096216E-2,9.525306200E1,1.030200605E2,-6.728965071E1,-8.797643819E1
9.375270852E-2,6.743037415E-1,2.289595092E-1,-7.004076661E-1,-4.817787287E-2,9.519978991E1,1.028725885E2,-6.729634283E1,-8.788918544E1
1.037747085E-1,6.747642379E-1,2.285460697E-1,-7.000710603E-1,-4.858458996E-2,9.512831079E1,1.026750625E2,-6.730298554E1,-8.776019714E1
1.137967084E-1,6.753115569E-1,2.281460118E-1,-6.996462200E-1,-4.897756718E-2,9.504330188E1,1.024426359E2,-6.731072103E1,-8.759406854E1
1.238187084E-1,6.760597267E-1,2.276567712E-1,-6.990673752E-1,-4.919852203E-2,9.492700354E1,1.021448526E2,-6.734216635E1,-8.735629130E1
1.338407085E-1,6.774270126E-1,2.267398455E-1,-6.980624047E-1,-4.889384246E-2,9.471418710E1,1.016487560E2,-6.745822890E1,-8.691421148E1
1.438627085E-1,6.795608233E-1,2.253320353E-1,-6.964992834E-1,-4.807703654E-2,9.438133250E1,1.008851627E2,-6.766242359E1,-8.620507197E1
1.538847084E-1,6.820074267E-1,2.239381548E-1,-6.946084915E-1,-4.729405346E-2,9.399857939E1,9.997208635E1,-6.786131702E1,-8.534788361E1
1.639067084E-1,6.840794712E-1,2.229953508E-1,-6.928882047E-1,-4.705666133E-2,9.367348858E1,9.914963019E1,-6.797103506E1,-8.458688057E1
1.739287085E-1,6.855195026E-1,2.225031599E-1,-6.916071091E-1,-4.727586709E-2,9.344704643E1,9.854409493E1,-6.799975659E1,-8.404125681E1
1.839507085E-1,6.864559634E-1,2.222527234E-1,-6.907456275E-1,-4.746059673E-2,9.329956347E1,9.814441174E1,-6.800804071E1,-8.367798789E1
1.939717084E-1,6.869399989E-1,2.220333912E-1,-6.903387418E-1,-4.740224442E-2,9.322326258E1,9.794891919E1,-6.803198424E1,-8.349647866E1
2.039937084E-1,6.870721714E-1,2.217942289E-1,-6.903041182E-1,-4.711050393E-2,9.320241923E1,9.791647075E1,-6.807598269E1,-8.346073795E1
2.140157085E-1,6.869778046E-1,2.216078134E-1,-6.904869933E-1,-4.668073252E-2,9.321730106E1,9.798673514E1,-6.812652789E1,-8.351199735E1
2.240377085E-1,6.867243756E-1,2.215516527E-1,-6.907849926E-1,-4.626655544E-2,9.325725826E1,9.812043502E1,-6.816471099E1,-8.361685177E1
2.340597084E-1,6.863209460E-1,2.216625200E-1,-6.911712896E-1,-4.595028549E-2,9.332083837E1,9.830769003E1,-6.818055739E1,-8.376896286E1
2.440817084E-1,6.857375914E-1,2.219680846E-1,-6.916690439E-1,-4.569609784E-2,9.341271565E1,9.856220148E1,-6.817454984E1,-8.397676075E1
2.541037085E-1,6.849775784E-1,2.224543328E-1,-6.922816483E-1,-4.545259443E-2,9.353231232E1,9.888505910E1,-6.815171920E1,-8.423833939E1
2.641257085E-1,6.841252427E-1,2.230741444E-1,-6.929398135E-1,-4.522243049E-2,9.366629756E1,9.924088934E1,-6.811583868E1,-8.452255174E1
2.741477084E-1,6.832609583E-1,2.238506579E-1,-6.935576863E-1,-4.497884278E-2,9.380201123E1,9.959569925E1,-6.806752418E1,-8.479125538E1
2.841697084E-1,6.823334115E-1,2.248274111E-1,-6.941732410E-1,-4.469104302E-2,9.394749151E1,9.997100251E1,-6.800547530E1,-8.505972904E1
2.941917086E-1,6.812917733E-1,2.259812443E-1,-6.948409103E-1,-4.438693244E-2,9.411066117E1,1.003862261E2,-6.792879064E1,-8.535160370E1
3.042137085E-1,6.801476338E-1,2.272573877E-1,-6.955623590E-1,-4.411721368E-2,9.428963850E1,1.008339157E2,-6.783758766E1,-8.566818573E1
3.142357084E-1,6.789184842E-1,2.286304266E-1,-6.963244794E-1,-4.393225223E-2,9.448162543E1,1.013031567E2,-6.772975003E1,-8.600479765E1
3.242577084E-1,6.775701222E-1,2.301178100E-1,-6.971522224E-1,-4.385520780E-2,9.469189123E1,1.018043135E2,-6.760139394E1,-8.637215618E1
3.342797083E-1,6.761753777E-1,2.317061772E-1,-6.979791225E-1,-4.386643993E-2,9.490901666E1,1.023077025E2,-6.745584502E1,-8.674011942E1
3.443017085E-1,6.749010677E-1,2.333379557E-1,-6.986644935E-1,-4.392961806E-2,9.510706397E1,1.027499064E2,-6.730294602E1,-8.704728965E1
3.543227084E-1,6.739229447E-1,2.348808886E-1,-6.990871210E-1,-4.399888640E-2,9.525886715E1,1.030707761E2,-6.716004683E1,-8.724120764E1
3.643447084E-1,6.732740307E-1,2.362363944E-1,-6.992534535E-1,-4.403380507E-2,9.535947643E1,1.032674485E2,-6.703944139E1,-8.732423621E1
3.743667083E-1,6.729495843E-1,2.373473221E-1,-6.991930782E-1,-4.397918275E-2,9.540974929E1,1.033509469E2,-6.695046453E1,-8.730786704E1
3.843887085E-1,6.729578872E-1,2.382040411E-1,-6.989051731E-1,-4.379656046E-2,9.540846300E1,1.033227862E2,-6.689722028E1,-8.719136345E1
3.944107085E-1,6.732847150E-1,2.388559686E-1,-6.983848281E-1,-4.352250057E-2,9.535782057E1,1.031843252E2,-6.687240645E1,-8.697482842E1
4.044327084E-1,6.738871831E-1,2.393846165E-1,-6.976417370E-1,-4.320949700E-2,9.526441381E1,1.029449494E2,-6.686421422E1,-8.666489624E1
4.144547083E-1,6.747295089E-1,2.398866065E-1,-6.966720855E-1,-4.292317239E-2,9.513370291E1,1.026095910E2,-6.685849391E1,-8.626350232E1
4.244767085E-1,6.757525394E-1,2.404584339E-1,-6.954989069E-1,-4.265726792E-2,9.497476699E1,1.021979644E2,-6.684663904E1,-8.578152502E1
4.344987085E-1,6.768960045E-1,2.410835349E-1,-6.941859694E-1,-4.238253369E-2,9.479688106E1,1.017364629E2,-6.683094294E1,-8.524435568E1
4.445207084E-1,6.781573753E-1,2.417267169E-1,-6.927499209E-1,-4.205125946E-2,9.460035777E1,1.012306670E2,-6.681771706E1,-8.465671859E1
4.545427084E-1,6.795517828E-1,2.423727859E-1,-6.911783913E-1,-4.168026182E-2,9.438274462E1,1.006735279E2,-6.680630638E1,-8.401421752E1
4.645647085E-1,6.809274980E-1,2.430408978E-1,-6.896100228E-1,-4.131413215E-2,9.416767281E1,1.001220625E2,-6.679003459E1,-8.337579403E1
4.745867085E-1,6.820814366E-1,2.436968713E-1,-6.882563503E-1,-4.098593464E-2,9.398698253E1,9.965717541E1,-6.676833336E1,-8.282795543E1
4.846087084E-1,6.828627549E-1,2.442539262E-1,-6.872978045E-1,-4.074662484E-2,9.386448825E1,9.933981897E1,-6.674475904E1,-8.244328266E1
4.946307084E-1,6.832241009E-1,2.446865425E-1,-6.867969946E-1,-4.053726037E-2,9.380779539E1,9.919307655E1,-6.672728978E1,-8.224231117E1
5.046517085E-1,6.832003933E-1,2.449808118E-1,-6.867309926E-1,-4.027748827E-2,9.381151577E1,9.920771756E1,-6.672448696E1,-8.221052356E1
5.146737085E-1,6.828900871E-1,2.450740407E-1,-6.870288023E-1,-3.989085415E-2,9.386020092E1,9.935038795E1,-6.674806694E1,-8.231378003E1
5.246957084E-1,6.823577935E-1,2.448010344E-1,-6.876818888E-1,-3.941971560E-2,9.394366955E1,9.959882142E1,-6.680798301E1,-8.254748543E1
5.347177084E-1,6.813477653E-1,2.440508627E-1,-6.889692643E-1,-3.906072982E-2,9.410189567E1,1.000500258E2,-6.689536087E1,-8.303408541E1
5.447397085E-1,6.795257149E-1,2.428605725E-1,-6.911928266E-1,-3.893576442E-2,9.438681631E1,1.008327916E2,-6.699264311E1,-8.390888501E1
5.547617085E-1,6.768897035E-1,2.413840208E-1,-6.942919476E-1,-3.889427084E-2,9.479786197E1,1.019533449E2,-6.709349635E1,-8.515242399E1
5.647837084E-1,6.740401340E-1,2.397955904E-1,-6.976281235E-1,-3.850957548E-2,9.524068922E1,1.031928838E2,-6.721874091E1,-8.649626800E1
5.748057084E-1,6.716746632E-1,2.383184277E-1,-7.004685683E-1,-3.743426186E-2,9.560710389E1,1.042902239E2,-6.738825635E1,-8.763216044E1
5.848277085E-1,6.701829387E-1,2.372727222E-1,-7.023351257E-1,-3.580239911E-2,9.583762866E1,1.050658932E2,-6.757747827E1,-8.836440576E1
5.948497085E-1,6.697717751E-1,2.367146979E-1,-7.030048392E-1,-3.400178038E-2,9.590109451E1,1.053985505E2,-6.776023906E1,-8.859864009E1
6.048717084E-1,6.706412857E-1,2.363816746E-1,-7.023677263E-1,-3.230383136E-2,9.576684230E1,1.051886021E2,-6.794159628E1,-8.828002395E1
6.148937084E-1,6.729816791E-1,2.360376931E-1,-7.003100118E-1,-3.078580725E-2,9.540477710E1,1.043483945E2,-6.813414885E1,-8.734740958E1
6.249157086E-1,6.768227322E-1,2.356056879E-1,-6.968040684E-1,-2.941127208E-2,9.480828745E1,1.028486383E2,-6.833631566E1,-8.577483691E1
6.349377085E-1,6.819965107E-1,2.351841773E-1,-6.919364867E-1,-2.816262954E-2,9.400028976E1,1.007303601E2,-6.852067049E1,-8.359284726E1
6.449597084E-1,6.882784142E-1,2.349046172E-1,-6.858310521E-1,-2.698791258E-2,9.301203107E1,9.806874691E1,-6.865509506E1,-8.086041592E1
6.549807084E-1,6.952983933E-1,2.348533877E-1,-6.787780931E-1,-2.577374617E-2,9.189799987E1,9.502482284E1,-6.871724726E1,-7.772128431E1
6.650027086E-1,7.025345646E-1,2.350585165E-1,-6.712655438E-1,-2.439531241E-2,9.073858431E1,9.184593762E1,-6.870230512E1,-7.440989532E1
6.750247085E-1,7.094813768E-1,2.354129293E-1,-6.638526296E-1,-2.273042760E-2,8.961453126E1,8.877931896E1,-6.863524369E1,-7.117286759E1
6.850467084E-1,7.157433869E-1,2.357156912E-1,-6.570549541E-1,-2.069970815E-2,8.859168883E1,8.600989909E1,-6.856096050E1,-6.820651603E1
6.950687084E-1,7.210325425E-1,2.360096233E-1,-6.512119679E-1,-1.828951954E-2,8.772041004E1,8.366254006E1,-6.850617103E1,-6.563175439E1
7.050907083E-1,7.249928922E-1,2.362911432E-1,-6.467620404E-1,-1.583499245E-2,8.706348690E1,8.189169681E1,-6.848356918E1,-6.363170611E1
7.151127085E-1,7.273739362E-1,2.368093387E-1,-6.439427112E-1,-1.364554797E-2,8.666661746E1,8.081921260E1,-6.848342473E1,-6.233299639E1
7.251347085E-1,7.279446467E-1,2.377568631E-1,-6.429819528E-1,-1.193889563E-2,8.657127570E1,8.056209801E1,-6.850248021E1,-6.185464987E1
7.351567084E-1,7.265041517E-1,2.391032020E-1,-6.441321403E-1,-1.072919678E-2,8.681176047E1,8.121179862E1,-6.855964273E1,-6.229247307E1
7.451787083E-1,7.228939791E-1,2.404823312E-1,-6.476805677E-1,-1.011566511E-2,8.741213496E1,8.283471990E1,-6.867670913E1,-6.375249395E1
7.552007085E-1,7.172236686E-1,2.415371403E-1,-6.535644785E-1,-1.017521861E-2,8.834853095E1,8.538735028E1,-6.884196890E1,-6.622713708E1
7.652227085E-1,7.098113023E-1,2.421623678E-1,-6.613705595E-1,-1.069008451E-2,8.956087112E1,8.873673375E1,-6.902218611E1,-6.957295322E1
7.752447084E-1,7.012333860E-1,2.425815182E-1,-6.702988215E-1,-1.119662641E-2,9.094791463E1,9.262608168E1,-6.917000331E1,-7.347420545E1
7.852667083E-1,6.922238228E-1,2.432457525E-1,-6.793616583E-1,-1.119359184E-2,9.238719494E1,9.670875816E1,-6.924350816E1,-7.750341071E1
7.952887085E-1,6.833311328E-1,2.442067217E-1,-6.879755259E-1,-1.054920867E-2,9.379099774E1,1.007142097E2,-6.924072023E1,-8.137464001E1
8.053097085E-1,6.750567792E-1,2.452979879E-1,-6.957328219E-1,-9.109893792E-3,9.508288082E1,1.044223904E2,-6.920376978E1,-8.487015456E1
8.153317084E-1,6.681897510E-1,2.462583882E-1,-7.020245456E-1,-6.387080937E-3,9.614499559E1,1.075574264E2,-6.923225991E1,-8.769813503E1
8.253537084E-1,6.637768285E-1,2.465203519E-1,-7.061327886E-1,-2.124411899E-3,9.682288940E1,1.097826992E2,-6.945253425E1,-8.955206408E1
8.353757085E-1,6.625576888E-1,2.454499062E-1,-7.076460290E-1,2.959467409E-3,9.700954076E1,1.108089683E2,-6.991187147E1,-9.025745297E1
8.453977085E-1,6.647361540E-1,2.429175972E-1,-7.064365409E-1,8.018543296E-3,9.667582594E1,1.104373871E2,-7.057601192E1,-8.969569580E1
8.554197084E-1,6.700410935E-1,2.394521358E-1,-7.025241122E-1,1.294399260E-2,9.585952700E1,1.085805418E2,-7.137676440E1,-8.774151255E1
8.654417084E-1,6.778750547E-1,2.354301674E-1,-6.962326625E-1,1.783972838E-2,9.464437070E1,1.052658314E2,-7.223529577E1,-8.437920338E1
8.754637085E-1,6.874867699E-1,2.309632126E-1,-6.881141468E-1,2.273677071E-2,9.313701457E1,1.006222020E2,-7.306610820E1,-7.972309651E1
8.854857085E-1,6.981866957E-1,2.259952371E-1,-6.787495807E-1,2.757933823E-2,9.143659443E1,9.483969183E1,-7.379173938E1,-7.397050189E1
8.955077084E-1,7.093711838E-1,2.205852255E-1,-6.686418814E-1,3.244664596E-2,8.963244775E1,8.818959117E1,-7.435372671E1,-6.738000519E1
9.055297084E-1,7.204959709E-1,2.148364164E-1,-6.582791304E-1,3.740888946E-2,8.780911218E1,8.104377855E1,-7.471979066E1,-6.030869355E1
9.155517085E-1,7.310710999E-1,2.089419689E-1,-6.481323187E-1,4.245903022E-2,8.604747310E1,7.384879029E1,-7.488503585E1,-5.318789160E1
9.255737085E-1,7.407177760E-1,2.032205974E-1,-6.385816953E-1,4.745509657E-2,8.441480997E1,6.704756262E1,-7.486324780E1,-4.644639656E1
9.355957084E-1,7.491586939E-1,1.979637264E-1,-6.299515170E-1,5.227627457E-2,8.296489235E1,6.099308919E1,-7.470162971E1,-4.042419756E1
9.456177084E-1,7.561072552E-1,1.932676402E-1,-6.226795840E-1,5.674099560E-2,8.175557289E1,5.593519475E1,-7.448436632E1,-3.538020530E1
9.556387085E-1,7.612938464E-1,1.892522889E-1,-6.171670502E-1,6.099276968E-2,8.084321266E1,5.195551916E1,-7.431806082E1,-3.137674191E1
9.656607085E-1,7.646376087E-1,1.858028222E-1,-6.136632141E-1,6.499368571E-2,8.025047430E1,4.897942262E1,-7.428311641E1,-2.835392252E1
9.756832086E-1,7.661674761E-1,1.828708556E-1,-6.122633276E-1,6.840562061E-2,7.997806406E1,4.697090804E1,-7.441038334E1,-2.630869229E1
9.857052085E-1,7.658977152E-1,1.804794435E-1,-6.130317489E-1,7.085235054E-2,8.002615404E1,4.597571096E1,-7.471229435E1,-2.531635342E1
9.957272084E-1,7.641395594E-1,1.786350552E-1,-6.156162358E-1,7.208965557E-2,8.033899192E1,4.595354670E1,-7.514749984E1,-2.535510637E1
1.005749208E0,7.616741163E-1,1.775359708E-1,-6.189483446E-1,7.236346257E-2,8.077598523E1,4.664568628E1,-7.559653092E1,-2.612621871E1
1.015771208E0,7.593627199E-1,1.771611167E-1,-6.219325101E-1,7.198757590E-2,8.118390230E1,4.765105380E1,-7.594228063E1,-2.720167746E1
