"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.458083327E-3,-5.839356995E-1,8.086484070E0,5.557343445E0
1.248008327E-2,-4.822970581E-1,7.670798492E0,5.694158936E0
2.250208333E-2,-5.939648438E-1,7.689659271E0,5.538782043E0
3.252308327E-2,1.631607056E-2,8.679401093E0,5.898484039E0
4.254508333E-2,5.948629761E-1,7.746690674E0,6.775659943E0
5.256708327E-2,-8.258326721E-1,5.612728271E0,6.278094635E0
6.258908333E-2,-1.480122070E0,6.806944885E0,5.507197723E0
7.261008327E-2,-8.867559814E-1,8.947792969E0,5.513334961E0
8.263208333E-2,-5.032534790E-1,8.712033234E0,5.607938232E0
9.265408327E-2,-4.815486145E-1,7.977360992E0,5.692512360E0
1.026750833E-1,-3.722758484E-1,8.014483795E0,5.581892395E0
1.126970833E-1,-1.438508606E-1,8.162975006E0,5.408403168E0
1.227190833E-1,-1.660047913E-1,7.951015778E0,5.399421844E0
1.327410833E-1,-4.348457336E-1,7.514373779E0,5.500761108E0
1.427620833E-1,-6.358776855E-1,7.426356812E0,5.479804688E0
1.527840833E-1,-4.932243347E-1,7.864196320E0,5.457351379E0
1.628060833E-1,-3.252735901E-1,8.116272125E0,5.548661499E0
1.728270833E-1,-2.890489197E-1,8.073610840E0,5.635480957E0
1.828490833E-1,-2.847079468E-1,8.001011810E0,5.496569824E0
1.928710833E-1,-3.423381042E-1,8.050708466E0,5.386698303E0
2.028930833E-1,-3.388952637E-1,8.128546600E0,5.450765076E0
2.129140833E-1,-3.555107117E-1,8.129744110E0,5.398224335E0
2.229360833E-1,-4.200265503E-1,8.108638000E0,5.375022583E0
2.329580833E-1,-5.528004456E-1,8.063282318E0,5.375621338E0
2.429800833E-1,-6.804849243E-1,8.039481812E0,5.303471375E0
2.530010833E-1,-7.415579224E-1,8.043224030E0,5.254972229E0
2.630230833E-1,-8.416996765E-1,8.025710449E0,5.211562500E0
2.730450833E-1,-8.916957092E-1,8.059689789E0,5.098547516E0
2.830660833E-1,-8.364605713E-1,7.839647369E0,5.125491486E0
2.930880833E-1,-1.085692291E0,7.506739655E0,5.049898682E0
3.031100833E-1,-1.480421448E0,7.435038757E0,4.873265991E0
3.131320833E-1,-1.952839050E0,7.297624512E0,4.687352600E0
3.231530833E-1,-2.477797394E0,7.051536255E0,4.508474579E0
