"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.125008334E-2,-4.208730078E-1,6.210327744E-3,-6.270717788E-1
3.127108328E-2,3.902770682E-2,9.539059907E-1,-3.740697742E-1
4.129308334E-2,7.974855168E-1,3.966102058E-1,5.706169116E-1
5.131508328E-2,-4.380847257E-1,-1.910751377E0,2.640579200E-1
6.133708335E-2,-1.323107081E0,-1.154574246E0,-5.908646500E-1
7.135808328E-2,-7.633846282E-1,1.132897448E0,-6.333984661E-1
8.138008334E-2,-3.343171131E-1,1.145457267E0,-5.011595911E-1
9.140208329E-2,-2.756259783E-1,3.289286846E-1,-3.956910235E-1
1.014240833E-1,-2.041880962E-1,2.795431012E-1,-4.597659820E-1
1.114450833E-1,3.610229915E-2,4.390878886E-1,-6.264589906E-1
1.214670833E-1,5.045028828E-2,2.657834333E-1,-6.331867969E-1
1.314890833E-1,-1.957782835E-1,-1.853239918E-1,-5.333134300E-1
1.415100833E-1,-4.338459694E-1,-3.437718415E-1,-5.133773482E-1
1.515320833E-1,-3.275176784E-1,3.383842170E-2,-5.397681713E-1
1.615540833E-1,-1.358922519E-1,3.304185551E-1,-4.467401397E-1
1.715760833E-1,-9.069066195E-2,3.024840671E-1,-3.350074500E-1
1.815970833E-1,-8.165011737E-2,2.062967849E-1,-4.322676963E-1
1.916190833E-1,-1.384371063E-1,2.328981078E-1,-5.442763746E-1
2.016410833E-1,-1.417947603E-1,3.087236309E-1,-4.858825707E-1
2.116630833E-1,-1.631418483E-1,3.095106661E-1,-5.031838971E-1
2.216840833E-1,-2.142074647E-1,2.781000084E-1,-5.219943899E-1
2.317060833E-1,-3.480925684E-1,2.282185811E-1,-5.179650736E-1
2.417280833E-1,-4.957672888E-1,1.985363603E-1,-5.742872089E-1
2.517490833E-1,-5.577139340E-1,1.959939909E-1,-6.290645099E-1
2.617710833E-1,-6.736352766E-1,1.705966097E-1,-6.508249229E-1
2.717930833E-1,-7.591445929E-1,2.076919305E-1,-7.644795924E-1
2.818150833E-1,-7.236627381E-1,1.903327167E-2,-7.494446468E-1
