"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.706104169E-2,2.273584557E-1,-2.206598854E-1,4.133876216E-1
4.708204162E-2,-2.448094708E-1,-2.709514218E-1,3.780701467E-1
5.710304168E-2,-4.661838859E-1,3.381298631E-2,1.985217422E-1
6.712504162E-2,-2.152395165E-1,3.332291655E-1,-1.815002051E-1
7.714604167E-2,7.079750240E-2,4.759415001E-1,-4.788805300E-1
8.716704161E-2,-7.546533465E-2,3.040381839E-1,-3.913427415E-1
9.718804166E-2,-3.430766076E-1,-2.997772448E-2,-4.014271420E-1
1.072100417E-1,-3.212787724E-1,-1.059927705E-1,-5.271390626E-1
1.172310417E-1,-4.503700912E-2,-1.097924374E-2,-4.456203979E-1
1.272520417E-1,2.870450789E-1,5.368109420E-2,-1.712281090E-1
1.372730416E-1,4.213053364E-1,-2.060631886E-3,2.368508255E-1
1.472950417E-1,3.502189815E-1,-1.221810794E-1,2.292570466E-1
1.573160416E-1,2.134607935E-1,-1.612667924E-1,2.912743700E-1
1.673370417E-1,1.652364671E-1,-9.487217031E-2,3.963845032E-1
1.773580416E-1,3.486694694E-3,3.324463695E-2,4.138784954E-1
1.873800417E-1,-2.609577262E-1,1.615198307E-1,4.485475141E-1
1.974010416E-1,-4.167813456E-1,2.499330204E-1,3.253829330E-1
2.074220417E-1,-4.212743461E-1,2.259161668E-1,6.636092752E-2
2.174430416E-1,-2.470653266E-1,2.279213963E-1,-1.365333626E-1
2.274640417E-1,2.788420200E-2,3.679798260E-1,-3.402722830E-1
2.374860416E-1,2.919485539E-1,5.069554974E-1,-6.013703424E-1
2.475070417E-1,5.467631954E-1,4.477139204E-1,-4.559445342E-1
2.575280417E-1,6.859374529E-1,1.392124106E-1,1.556891334E-1
2.675490417E-1,5.978251755E-1,-2.781021280E-1,4.361783141E-1
2.775710417E-1,5.240374070E-1,-4.474635134E-1,5.308815730E-1
2.875920417E-1,5.008882803E-1,-2.575987932E-1,5.314651251E-1
2.976130417E-1,2.962094200E-1,7.857919626E-2,4.412229994E-1
3.076340416E-1,-8.766905844E-2,2.412520248E-1,2.901669073E-1
3.176560417E-1,-4.883711457E-1,1.697847969E-1,3.530855790E-1
3.276770416E-1,-8.017035520E-1,1.140306455E-1,5.198882228E-1
3.376980417E-1,-9.268544322E-1,2.342298111E-1,4.915184096E-1
3.477190416E-1,-7.509947437E-1,5.233176148E-1,5.123570091E-1
3.577410417E-1,-4.667428797E-1,7.165705041E-1,4.102125835E-1
3.677620416E-1,-1.864396405E-1,7.472118875E-1,2.743227071E-1
3.777830417E-1,1.072192240E-1,7.493306261E-1,-8.232967347E-2
3.878040416E-1,4.712224317E-1,7.895987193E-1,-4.485136002E-1
3.978260417E-1,7.792677855E-1,6.820123632E-1,-4.785630262E-1
4.078470416E-1,8.097890818E-1,4.032830483E-1,-4.778242305E-1
4.178680417E-1,8.355238473E-1,1.381974071E-1,-5.644095075E-1
