"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.661333403E-3,3.878732771E-2,1.289574802E-1,-8.097342402E-2
1.968433335E-2,5.017020926E-2,1.810321212E-1,-8.365655690E-2
2.970633341E-2,5.711069331E-2,1.990106851E-1,-8.463108540E-2
3.972833336E-2,5.033827201E-2,1.843294799E-1,-8.200946450E-2
4.975033342E-2,4.297672957E-2,1.618085355E-1,-7.899701595E-2
5.977233336E-2,3.732363880E-2,1.268897057E-1,-6.940244883E-2
6.979433342E-2,2.880655229E-2,8.540585637E-2,-4.857378453E-2
7.981733338E-2,2.059895732E-2,4.033131525E-2,-1.746034063E-2
8.983933332E-2,8.500142023E-3,-1.307114586E-2,6.883685011E-3
9.986133338E-2,-5.296896212E-3,-4.885710776E-2,6.867705379E-3
1.098833333E-1,-1.727725752E-2,-7.237927616E-2,6.233045831E-3
1.199053334E-1,-1.971378364E-2,-8.082975447E-2,1.610596664E-3
1.299273333E-1,-1.610367000E-2,-8.666776866E-2,-5.760219414E-3
1.399503334E-1,-1.107935049E-2,-8.971522748E-2,-1.512815431E-2
1.499723333E-1,-1.264241152E-2,-9.244710207E-2,-2.235150337E-2
1.599943334E-1,-1.353164017E-2,-9.605355561E-2,-2.205562592E-2
1.700163333E-1,-1.090158056E-2,-8.861514181E-2,-2.589800581E-2
1.800383334E-1,-6.246641278E-3,-5.945512652E-2,-3.692642227E-2
1.900603333E-1,1.850354252E-3,-1.541556045E-2,-4.076001421E-2
2.000833334E-1,8.437949233E-3,3.161692992E-2,-3.161578253E-2
2.101053334E-1,9.885489941E-3,6.430774182E-2,-2.772640623E-2
2.201273334E-1,1.344294101E-2,9.140034765E-2,-3.399734944E-2
2.301493334E-1,1.477403380E-2,1.230468303E-1,-4.282188788E-2
2.401713334E-1,1.679936796E-2,1.481175721E-1,-5.012188107E-2
2.501933334E-1,2.203338221E-2,1.589422673E-1,-5.932591856E-2
2.602163333E-1,2.556473389E-2,1.593595892E-1,-6.200985238E-2
2.702383334E-1,2.185487002E-2,1.356288940E-1,-5.186531320E-2
2.802603333E-1,1.399881020E-2,8.419579268E-2,-3.113207035E-2
2.902823334E-1,1.058324473E-3,-6.779588293E-3,-1.083375141E-2
3.003043333E-1,-2.498339489E-2,-1.185987964E-1,2.435672656E-2
3.103273334E-1,-5.161635578E-2,-2.040948719E-1,7.624530047E-2
3.203493333E-1,-6.468555331E-2,-2.727549076E-1,9.335530549E-2
3.303713334E-1,-5.638584495E-2,-2.909007967E-1,6.235785037E-2
3.403933333E-1,-2.887219377E-2,-2.166303098E-1,3.831509873E-2
3.504153334E-1,-1.755141653E-3,-1.376486719E-1,3.413547575E-2
3.604373334E-1,1.924628019E-2,-4.919204116E-2,3.487183899E-2
3.704603334E-1,4.210077971E-2,3.428874537E-2,2.328501269E-2
3.804823334E-1,6.317783892E-2,8.360835910E-2,2.071071882E-3
3.905043334E-1,6.802423298E-2,8.779186010E-2,-1.029922627E-2
4.005263334E-1,6.093862280E-2,5.388981849E-2,-8.591607213E-3
4.105483334E-1,4.591351748E-2,-9.650946595E-4,7.662917487E-4
4.205703334E-1,2.715926804E-2,-5.796233565E-2,1.026844978E-2
4.305933333E-1,6.169848144E-3,-1.020649895E-1,2.009650879E-2
4.406153334E-1,-5.502786953E-3,-1.183318421E-1,2.419378236E-2
4.506373333E-1,-7.679790724E-3,-1.081678197E-1,2.390326001E-2
4.606593334E-1,-8.707504719E-3,-7.926560193E-2,1.745894179E-2
4.706813333E-1,-3.794890828E-3,-4.943750054E-2,1.382768061E-2
4.807033334E-1,3.395644017E-3,-1.715972275E-2,1.057249866E-2
4.907263333E-1,1.091689896E-2,1.304171048E-2,5.732357968E-3
5.007483334E-1,1.321387570E-2,3.775851056E-2,-2.548741642E-3
5.107703333E-1,1.102078985E-2,4.506387934E-2,-8.913780563E-3
5.207923334E-1,2.093874151E-3,3.613802791E-2,-1.442253031E-2
5.308143334E-1,-9.146121331E-3,1.870450191E-2,-2.339480259E-2
5.408363334E-1,-2.068879455E-2,-3.096134169E-3,-2.659219317E-2
5.508593334E-1,-3.816647828E-2,-2.323084511E-2,-2.566099912E-2
5.608813334E-1,-6.372430176E-2,-5.007737130E-2,-3.047146648E-2
5.709033334E-1,-8.632197231E-2,-9.869790077E-2,-3.784969822E-2
5.809253334E-1,-1.067918241E-1,-1.720967442E-1,-5.131650344E-2
5.909473334E-1,-1.277088374E-1,-2.254052013E-1,-6.716602296E-2
6.009703333E-1,-1.558424681E-1,-2.576475739E-1,-8.467257768E-2
6.109923334E-1,-1.834412962E-1,-3.016528189E-1,-1.014246047E-1
6.210143333E-1,-2.085756809E-1,-3.298458457E-1,-1.240561455E-1
6.310363334E-1,-2.328936160E-1,-2.810446918E-1,-1.691798717E-1
6.410583333E-1,-2.417845726E-1,-1.910839081E-1,-2.433822006E-1
6.510803334E-1,-2.515451014E-1,-1.073064879E-1,-3.340080380E-1
6.611033333E-1,-2.678007483E-1,-6.123193726E-2,-4.135848880E-1
6.711253334E-1,-2.794224918E-1,-1.029667407E-1,-4.583654106E-1
6.811473334E-1,-2.888034880E-1,-2.676020265E-1,-4.554271400E-1
6.911693334E-1,-3.175563216E-1,-4.582674503E-1,-3.977269530E-1
7.011913334E-1,-3.518458605E-1,-6.109659076E-1,-2.914577723E-1
7.112143334E-1,-3.651396930E-1,-7.201941013E-1,-1.679674983E-1
7.212363334E-1,-3.616344333E-1,-7.209184766E-1,-6.553193927E-2
7.312583334E-1,-3.254265785E-1,-5.888262391E-1,3.225342371E-3
7.412803334E-1,-2.638758719E-1,-3.707152009E-1,1.438345481E-2
7.513063333E-1,-1.930184662E-1,-1.338692307E-1,-1.449805032E-2
7.613283334E-1,-1.214390844E-1,9.173911810E-2,-4.873751104E-2
7.713513334E-1,-4.948569834E-2,2.963805199E-1,-5.871089548E-2
7.813733334E-1,2.533954196E-2,4.804401100E-1,-4.475646466E-2
7.913953334E-1,9.267956764E-2,6.209404469E-1,2.540447284E-3
8.014173334E-1,1.502541900E-1,7.267643213E-1,6.726778299E-2
8.114393334E-1,1.885522604E-1,7.990463376E-1,1.257887483E-1
