"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.661333403E-3,4.185366797E-1,-3.193686332E-1,6.286914575E-1
1.968433335E-2,3.232913840E-1,1.375937551E-2,6.058703595E-1
2.970633341E-2,1.903572750E-1,2.092784263E-1,4.858457333E-1
3.972833336E-2,2.679135740E-2,2.376774757E-1,2.876444185E-1
4.975033342E-2,-5.637768388E-2,1.629592690E-1,1.160707390E-1
5.977233336E-2,-1.108614546E-1,7.745908901E-2,1.632221013E-2
6.979433342E-2,-1.216454744E-1,3.334579378E-2,-7.643772662E-2
7.981733338E-2,-1.269465601E-1,9.562097937E-3,-1.457102752E-1
8.983933332E-2,-1.204456258E-1,6.931611031E-2,-2.074796766E-1
9.986133338E-2,-2.562834620E-2,1.275689963E-1,-2.196132338E-1
1.098833333E-1,7.548463047E-2,1.545800628E-1,-1.654791266E-1
1.199053334E-1,1.771302885E-1,1.637233539E-1,-5.690597981E-2
1.299273333E-1,2.849400812E-1,1.173723292E-1,4.210141450E-2
1.399503334E-1,3.132411897E-1,9.228938207E-2,1.168431562E-1
1.499723333E-1,2.609051013E-1,1.030659467E-1,1.520732152E-1
1.599943334E-1,1.977540028E-1,1.103661954E-1,2.245494533E-1
1.700163333E-1,2.068095857E-1,5.887327552E-2,3.292032114E-1
1.800383334E-1,2.874994075E-1,-4.060569674E-2,3.976703060E-1
1.900603333E-1,3.636710858E-1,-1.668049827E-1,4.271560603E-1
2.000833334E-1,3.760946649E-1,-2.341489734E-1,4.296665624E-1
2.101053334E-1,2.903084099E-1,-2.437772910E-1,4.661809623E-1
2.201273334E-1,2.253540301E-1,-2.115044613E-1,4.927004242E-1
2.301493334E-1,1.532192695E-1,-1.472820067E-1,4.892488128E-1
2.401713334E-1,8.509979188E-2,-1.922009021E-2,4.754300880E-1
2.501933334E-1,-1.751241088E-3,9.385205045E-2,4.325495321E-1
2.602163333E-1,-6.543677509E-2,1.483736819E-1,3.495515218E-1
2.702383334E-1,-7.918182492E-2,1.251745614E-1,2.205034724E-1
2.802603333E-1,-1.145878851E-1,1.102393109E-1,9.746519119E-2
2.902823334E-1,-1.762976450E-1,1.838648191E-1,-1.511973023E-2
3.003043333E-1,-1.745879191E-1,2.326653886E-1,-1.498787552E-1
3.103273334E-1,-1.805351222E-1,3.462531075E-1,-2.722340816E-1
3.203493333E-1,-5.443289995E-2,3.013293882E-1,-3.019993329E-1
3.303713334E-1,1.235236001E-1,-8.679753095E-3,-1.428468937E-1
3.403933333E-1,2.131374425E-1,-2.630963454E-1,3.455762923E-2
3.504153334E-1,3.069472468E-1,-2.611128236E-1,1.178594023E-1
3.604373334E-1,3.992063695E-1,-1.184783301E-1,8.475714505E-2
3.704603334E-1,4.091606694E-1,1.189703733E-1,6.138406992E-2
