"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.067900658E-2,5.238122275E1,4.860331264E0,2.457716149E0,NaN,NaN,2.592778570E1,3.000000000E1
4.290997982E-2,5.238160954E1,4.859968230E0,-1.628167945E0,NaN,NaN,2.444792266E1,3.002644705E1
4.983559847E-1,5.238125503E1,4.860288343E0,2.475425980E0,NaN,NaN,2.497160378E1,3.000000000E1
3.502277136E0,5.238131197E1,4.860409847E0,8.373744965E0,0.000000000E0,NaN,4.764803334E1,6.400000000E1
4.513143063E0,5.238129191E1,4.860543916E0,1.063686371E0,0.000000000E0,NaN,1.412122110E1,4.000000000E0
5.513381004E0,5.238129585E1,4.860616279E0,2.720485687E0,0.000000000E0,NaN,1.399639228E1,4.000000000E0
6.512506962E0,5.238128644E1,4.860613034E0,4.427272797E0,0.000000000E0,NaN,1.399999021E1,4.000000000E0
7.508969069E0,5.238128004E1,4.860620882E0,6.003383636E0,0.000000000E0,NaN,1.399999997E1,4.000000000E0
8.511950970E0,5.238127057E1,4.860623488E0,5.689296722E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
9.487899661E0,5.238126839E1,4.860624326E0,6.250331879E0,0.000000000E0,NaN,1.400000000E1,3.000000000E0
1.048790729E1,5.238127082E1,4.860623740E0,7.913051605E0,0.000000000E0,NaN,1.400000000E1,3.000000000E0
1.148790073E1,5.238127145E1,4.860621560E0,8.398647308E0,0.000000000E0,NaN,1.400000000E1,3.000000000E0
1.248790658E1,5.238127316E1,4.860620219E0,8.912380219E0,0.000000000E0,NaN,1.400000000E1,3.000000000E0
1.348791409E1,5.238127698E1,4.860616950E0,9.341823578E0,0.000000000E0,NaN,1.400000000E1,3.000000000E0
1.448790658E1,5.238127497E1,4.860618711E0,9.503566742E0,0.000000000E0,NaN,1.400000000E1,3.000000000E0
1.548791349E1,5.238127497E1,4.860618711E0,9.503566809E0,0.000000000E0,NaN,4.734507981E0,3.821924989E0
1.648791564E1,5.238127671E1,4.860608690E0,9.903591225E0,0.000000000E0,NaN,4.670575332E0,3.970391883E0
1.748790646E1,5.238126627E1,4.860623479E0,9.314724036E0,0.000000000E0,NaN,4.733825331E0,3.960441352E0
1.848791349E1,5.238126625E1,4.860623405E0,9.267665930E0,0.000000000E0,NaN,4.733828164E0,4.029364438E0
1.948791897E1,5.238126625E1,4.860623238E0,9.228725501E0,0.000000000E0,NaN,4.733828133E0,4.029364438E0
2.048791289E1,5.238126521E1,4.860624486E0,9.287380286E0,0.000000000E0,NaN,4.733827786E0,3.997626783E0
2.148792315E1,5.238126520E1,4.860624411E0,9.269313881E0,0.000000000E0,NaN,4.733828222E0,3.907664344E0
2.248792970E1,5.238126641E1,4.860622661E0,9.199184486E0,0.000000000E0,NaN,4.733828172E0,3.832964871E0
2.348792458E1,5.238126167E1,4.860628731E0,9.325222083E0,0.000000000E0,NaN,4.733827784E0,3.879330237E0
