"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
9.661333403E-3,2.252125280E-2,7.985543578E-1,-2.644420138E-1,5.402537721E-1,1.774190363E2,-1.489733471E2,-6.101600964E1,-5.522236868E1
1.968433335E-2,2.277721061E-2,7.982433773E-1,-2.639747106E-1,5.409308612E-1,1.773896982E2,-1.489375311E2,-6.111774601E1,-5.523449715E1
2.970633341E-2,2.304123954E-2,7.978393155E-1,-2.634641858E-1,5.417639991E-1,1.773594348E2,-1.488778514E2,-6.123756189E1,-5.526649088E1
3.972833336E-2,2.330746011E-2,7.974295638E-1,-2.629653357E-1,5.425975584E-1,1.773289199E2,-1.488165996E2,-6.135715571E1,-5.530129757E1
4.975033342E-2,2.357016141E-2,7.970710627E-1,-2.624966627E-1,5.433394272E-1,1.772988083E2,-1.487684902E2,-6.146607682E1,-5.532587606E1
5.977233336E-2,2.380196908E-2,7.967785425E-1,-2.620710006E-1,5.439633691E-1,1.772722377E2,-1.487329908E2,-6.155951665E1,-5.533972547E1
6.979433342E-2,2.397399144E-2,7.965706532E-1,-2.617320768E-1,5.444232123E-1,1.772525197E2,-1.487097289E2,-6.162941450E1,-5.534494332E1
7.981733338E-2,2.405166809E-2,7.964437490E-1,-2.615239135E-1,5.447055541E-1,1.772436161E2,-1.486910008E2,-6.167070500E1,-5.535032434E1
8.983933332E-2,2.402522094E-2,7.964123918E-1,-2.614641493E-1,5.447813552E-1,1.772466476E2,-1.486789337E2,-6.167914252E1,-5.535458906E1
9.986133338E-2,2.396210603E-2,7.964889937E-1,-2.614924930E-1,5.446584339E-1,1.772538821E2,-1.486895632E2,-6.166175675E1,-5.534190678E1
1.098833333E-1,2.391129801E-2,7.966480769E-1,-2.615570409E-1,5.443969759E-1,1.772597059E2,-1.487248491E2,-6.162957267E1,-5.530952993E1
1.199053334E-1,2.387690618E-2,7.968496021E-1,-2.616333478E-1,5.440666711E-1,1.772636481E2,-1.487745842E2,-6.159085059E1,-5.526544384E1
1.299273333E-1,2.384082848E-2,7.970790917E-1,-2.616840504E-1,5.437076220E-1,1.772677834E2,-1.488323705E2,-6.155003688E1,-5.521111478E1
1.399503334E-1,2.380550942E-2,7.973327736E-1,-2.616884759E-1,5.433350439E-1,1.772718318E2,-1.488979473E2,-6.150958570E1,-5.514509802E1
1.499723333E-1,2.378289763E-2,7.976041361E-1,-2.616538944E-1,5.429541839E-1,1.772744237E2,-1.489712995E2,-6.147043530E1,-5.506896090E1
1.599943334E-1,2.377284561E-2,7.978896599E-1,-2.616169526E-1,5.425527984E-1,1.772755759E2,-1.490506060E2,-6.142997566E1,-5.498783454E1
1.700163333E-1,2.376580709E-2,7.981733503E-1,-2.615702118E-1,5.421581775E-1,1.772763827E2,-1.491299440E2,-6.139070090E1,-5.490602163E1
1.800383334E-1,2.378949361E-2,7.984159054E-1,-2.614774466E-1,5.418446892E-1,1.772736676E2,-1.492037102E2,-6.136323930E1,-5.482784741E1
1.900603333E-1,2.385347253E-2,7.985693200E-1,-2.613295111E-1,5.416871864E-1,1.772663341E2,-1.492603825E2,-6.135619855E1,-5.476438671E1
