"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.878541692E-3,5.087399215E-1,1.068216133E-1,3.583974820E-1
1.989954174E-2,4.618300492E-1,-1.724764895E-1,3.982696456E-1
2.992154169E-2,2.956591970E-1,-6.373532304E-1,4.155452442E-1
3.994354175E-2,4.057640219E-1,-6.214736545E-1,3.945525706E-1
4.996454169E-2,3.745083153E-1,-2.475064990E-1,2.524892038E-1
5.998654175E-2,3.139171278E-1,1.714859712E-1,8.517463624E-2
7.000854169E-2,2.427986133E-1,4.168260768E-1,1.436643344E-1
8.002954174E-2,2.007466078E-2,5.029438689E-1,1.970915133E-1
9.005154169E-2,-1.581016946E-1,5.282330766E-1,1.438146079E-1
1.000735417E-1,-2.251926470E-1,5.311637011E-1,3.023595214E-3
1.100945417E-1,-2.244313395E-1,5.334365138E-1,-8.486005604E-2
1.201165417E-1,-3.394039714E-1,4.214652577E-1,-2.674984217E-2
1.301385417E-1,-4.598051584E-1,2.483207238E-1,-4.309339464E-2
1.401595417E-1,-3.568485546E-1,1.344862524E-1,-8.409991801E-2
1.501815417E-1,-1.546413124E-1,-2.158382714E-2,-1.161952847E-1
1.602035417E-1,1.158853823E-1,-1.383997938E-1,-1.745727164E-1
1.702245417E-1,3.824839175E-1,-2.479245749E-1,-6.423868060E-2
1.802465417E-1,5.300565308E-1,-3.065434965E-1,4.604156077E-2
1.902685417E-1,5.232398468E-1,-2.147188219E-1,7.850939512E-2
2.002905417E-1,4.597355765E-1,-5.754654229E-2,9.813849807E-2
2.103115417E-1,2.972016925E-1,6.429539859E-2,2.185297447E-1
2.203335417E-1,1.120560408E-1,1.161452910E-1,2.459584486E-1
2.303555417E-1,2.272637308E-2,1.369008601E-1,2.263217443E-1
2.403765417E-1,1.712474048E-2,9.225473732E-2,2.093917161E-1
2.503985417E-1,-3.440618634E-2,3.387379736E-2,2.204499704E-1
2.604205417E-1,-1.008556992E-1,3.653749645E-2,2.042409039E-1
2.704415417E-1,-6.646296144E-2,4.052500516E-2,1.574199092E-1
2.804635417E-1,-5.774417818E-2,-5.297285020E-3,4.925635993E-2
2.904855417E-1,-4.623627305E-2,-6.120777637E-2,4.622808695E-3
3.005065417E-1,-1.206982255E-2,-2.963251948E-2,2.301347136E-2
3.105285417E-1,6.290493071E-2,1.314945245E-1,-2.283571601E-2
3.205505417E-1,1.041143525E-1,1.831122825E-1,-9.612822533E-3
3.305715417E-1,5.998132288E-2,2.267158467E-1,3.631705642E-3
3.405935417E-1,-8.009574473E-2,2.407161275E-1,2.849582076E-2
3.506155417E-1,-2.062435752E-1,6.621123880E-2,1.586601037E-1
3.606365417E-1,-4.408332825E-2,-1.124130133E-1,2.293441701E-1
3.706585417E-1,2.810353106E-1,-1.720402873E-1,8.678086638E-2
3.806805417E-1,3.139551347E-1,-1.071589977E-1,6.804814160E-2
3.907015417E-1,2.617757517E-1,-7.052385271E-2,9.220532835E-2
4.007235417E-1,1.927797765E-1,-1.938936710E-3,6.758094907E-2
4.107455417E-1,2.175906819E-1,4.334774852E-2,9.245149612E-2
4.207665417E-1,2.568079573E-1,4.154446721E-2,6.351538002E-2
4.307885417E-1,2.588398647E-1,2.333594531E-2,4.178069472E-2
4.408105417E-1,2.376057011E-1,2.761172175E-2,5.397740185E-2
4.508315417E-1,1.292942172E-1,6.540256888E-2,5.934923887E-2
4.608539167E-1,-3.951957643E-2,1.392441317E-1,5.672442377E-2
4.708759168E-1,-1.770156831E-1,1.919760767E-1,-9.144460559E-3
4.808979167E-1,-2.503882992E-1,1.961752546E-1,-3.938684464E-2
4.909189168E-1,-2.203926677E-1,1.914091891E-1,-8.070385516E-2
5.009409167E-1,-1.263366956E-1,1.647394538E-1,-8.435193300E-2
5.109629168E-1,-2.633468986E-2,1.173708674E-1,-5.750970483E-2
5.209839167E-1,6.039530575E-2,6.573878378E-2,-7.011103928E-2
5.310059168E-1,1.412921190E-1,2.705769807E-2,-9.415479004E-2
5.410279167E-1,2.437061012E-1,3.394191742E-2,-9.560899258E-2
5.510489168E-1,3.188206029E-1,3.880504668E-2,-1.241024745E-1
5.610709167E-1,3.649334997E-1,4.277618319E-2,-9.490966558E-2
5.710929168E-1,3.167237914E-1,5.979187310E-2,-6.795984864E-2
5.811139167E-1,2.158716005E-1,5.209752202E-2,-6.081104279E-2
5.911359168E-1,9.553999543E-2,7.137579203E-2,-8.660428047E-2
6.011579167E-1,6.307976246E-3,8.597833604E-2,-6.020994902E-2
6.111789168E-1,-5.608239949E-2,5.790819257E-2,3.063005447E-2
6.212009167E-1,-4.707300961E-2,2.083655298E-3,1.274155068E-1
6.312229168E-1,-7.210201621E-3,-1.878008723E-2,1.932276732E-1
6.412449167E-1,3.189246833E-2,4.758464098E-3,2.692970252E-1
6.512659168E-1,5.843882740E-2,7.163687021E-2,3.598201096E-1
6.612879167E-1,1.116245162E-1,1.165373468E-1,3.599820775E-1
6.713099168E-1,1.870430732E-1,2.085190192E-1,2.358848655E-1
6.813309167E-1,2.270403671E-1,2.810727328E-1,1.960167950E-1
