"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.951906204E-2,5.238194253E1,4.858386773E0,8.373989173E0,NaN,NaN,1.196791675E3,4.604922531E0
6.545660496E-1,5.238115342E1,4.860424032E0,2.464345141E0,NaN,NaN,2.599387253E1,3.000000000E1
3.195876598E0,5.238123132E1,4.860626283E0,6.865566254E0,0.000000000E0,NaN,4.542618626E1,4.800000000E1
4.195865631E0,5.238123197E1,4.860563670E0,6.554832458E-1,0.000000000E0,NaN,1.856155298E1,4.000000000E0
5.195856094E0,5.238124022E1,4.860642399E0,7.792015076E-1,0.000000000E0,NaN,1.813784523E1,4.000000000E0
6.195846081E0,5.238124140E1,4.860651048E0,8.520774841E-1,0.000000000E0,NaN,1.673504556E1,4.000000000E0
7.195836186E0,5.238124244E1,4.860652616E0,8.844871521E-1,0.000000000E0,NaN,1.738450581E1,4.000000000E0
8.195825696E0,5.238124228E1,4.860656259E0,1.051113129E0,0.000000000E0,NaN,1.532743212E1,4.000000000E0
9.196380377E0,5.238124156E1,4.860656848E0,1.191982269E0,0.000000000E0,NaN,1.477502055E1,4.000000000E0
1.019639289E1,5.238124307E1,4.860660033E0,1.519496918E0,2.199999988E-1,NaN,1.497316883E1,4.000000000E0
1.119638455E1,5.238123176E1,4.860673025E0,1.770656586E0,2.199999988E-1,NaN,1.400000000E1,4.000000000E0
1.219638169E1,5.238120959E1,4.860703703E0,2.098476410E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
1.319638908E1,5.238122157E1,4.860688280E0,2.121486664E0,0.000000000E0,1.792968750E2,1.400000000E1,4.000000000E0
1.419638038E1,5.238124571E1,4.860644611E0,2.723415375E0,0.000000000E0,4.500000000E1,1.400000000E1,4.000000000E0
1.519638622E1,5.238124571E1,4.860644611E0,2.723415445E0,0.000000000E0,NaN,8.133656076E0,4.000000000E0
1.619638932E1,5.238126773E1,4.860619029E0,3.453212806E0,2.700000107E-1,NaN,7.188854462E0,4.000000000E0
