"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.198166680E-3,1.006596771E1,-1.069525909E0,-2.529739380E-2
1.222016662E-2,1.062280975E1,-1.186133423E0,5.825885010E-1
2.224316669E-2,1.032373169E1,-9.807604980E-1,6.430627441E-1
3.226616664E-2,9.895621948E0,-7.538323975E-1,4.968168640E-1
4.228816670E-2,9.958940277E0,-6.072871399E-1,6.300398254E-1
5.231116666E-2,1.013976425E1,-5.592370605E-1,8.690927124E-1
6.233316672E-2,9.956694946E0,-5.647755432E-1,1.030606842E0
7.235616667E-2,9.551786957E0,-6.514453125E-1,1.087638245E0
8.237916662E-2,9.299860840E0,-6.782395935E-1,1.042432251E0
9.240116668E-2,9.157656555E0,-7.623646545E-1,8.270301819E-1
1.024241666E-1,8.986712036E0,-1.034049683E0,5.891748047E-1
1.124461667E-1,8.944350128E0,-1.243613892E0,4.608915710E-1
1.224691666E-1,9.019344177E0,-1.292113037E0,3.561094666E-1
1.324911667E-1,9.236243134E0,-1.347048798E0,2.802172852E-1
1.425141667E-1,9.551936646E0,-1.384321289E0,3.742218018E-1
1.525371667E-1,9.801617432E0,-1.379531250E0,4.849914551E-1
1.625591667E-1,9.914333038E0,-1.191671906E0,6.349795532E-1
1.725821666E-1,9.925260315E0,-9.852511597E-1,7.614665222E-1
1.826041667E-1,9.695488129E0,-9.403445435E-1,8.137078857E-1
1.926271666E-1,9.312135315E0,-1.045725403E0,8.140072632E-1
2.026501667E-1,9.075178070E0,-1.243015137E0,8.120613098E-1
2.126721666E-1,9.112600250E0,-1.353485413E0,7.694000244E-1
2.226951667E-1,9.422755280E0,-1.448537750E0,7.973918152E-1
2.327171667E-1,9.743987274E0,-1.588646393E0,8.087681580E-1
2.427401667E-1,9.709858246E0,-1.623673553E0,7.780819702E-1
2.527631667E-1,9.589508514E0,-1.452729034E0,6.971003723E-1
2.627851666E-1,9.514514465E0,-1.157692566E0,6.104306030E-1
2.728081667E-1,9.551786957E0,-8.794212341E-1,5.733078003E-1
2.828301666E-1,9.645941162E0,-8.090675354E-1,4.980143738E-1
2.928531667E-1,9.662855988E0,-1.002165985E0,4.417314148E-1
3.028761667E-1,9.476194153E0,-1.274749146E0,-1.377136230E-1
3.128981667E-1,9.117839355E0,-1.522483978E0,-6.066883850E-1
3.229211667E-1,9.014554138E0,-1.312171326E0,-5.185217285E-1
3.329431667E-1,9.318422241E0,-6.123765564E-1,-4.305047607E-1
3.429661667E-1,9.752818909E0,-8.337661743E-2,-5.409750366E-1
3.529891666E-1,1.013871643E1,1.948947144E-1,-6.559359741E-1
3.630111667E-1,1.039124130E1,9.834548950E-2,-7.033872986E-1
3.730341666E-1,1.058553726E1,-2.712359619E-1,-5.507048035E-1
3.830561667E-1,1.078103073E1,-5.839356995E-1,-3.053649902E-1
3.930791666E-1,1.085213287E1,-6.620732117E-1,-1.764830017E-1
4.031021667E-1,1.077624069E1,-5.520520020E-1,-2.658471680E-1
4.131241667E-1,1.071262299E1,-3.603007507E-1,-4.481680298E-1
4.231471666E-1,1.073627380E1,-1.661544800E-1,-6.310876465E-1
4.331691667E-1,1.077459412E1,-1.474433899E-1,-7.388635254E-1
4.431921666E-1,1.067954178E1,-2.998265076E-1,-7.137158203E-1
4.532141667E-1,1.043914169E1,-4.751119995E-1,-5.728587341E-1
4.632371666E-1,1.020697449E1,-5.281018066E-1,-4.805007935E-1
4.732601667E-1,9.967771912E0,-3.767665100E-1,-5.668711853E-1
4.832821666E-1,9.745035095E0,-1.666035461E-1,-7.595205688E-1
4.933051667E-1,9.551188202E0,2.829116821E-2,-8.768765259E-1
5.033271667E-1,9.397457886E0,1.933978271E-1,-9.379495239E-1
5.133501666E-1,9.299112396E0,3.065625000E-1,-9.431886292E-1
5.233731667E-1,9.261839905E0,3.631448364E-1,-9.488768005E-1
5.333951666E-1,9.257648621E0,3.350033569E-1,-9.520202637E-1
5.434181667E-1,9.337283020E0,1.749861145E-1,-8.665480042E-1
5.534401666E-1,9.463769989E0,-2.380050659E-1,-8.831634521E-1
5.634631667E-1,9.590855713E0,-6.927593994E-1,-7.432044983E-1
5.734861667E-1,9.565109253E0,-1.082099762E0,-4.432283020E-1
5.835081667E-1,9.413025513E0,-1.343007202E0,-2.088157654E-1
5.935311667E-1,9.294322357E0,-1.397793274E0,-4.984634399E-2
6.035531666E-1,9.205706635E0,-1.137484589E0,-2.499801636E-1
6.135761667E-1,9.203461304E0,-6.200106812E-1,-5.507048035E-1
6.235991666E-1,9.280700684E0,-4.490661621E-3,-9.072633362E-1
6.336211667E-1,9.337133331E0,5.572911072E-1,-1.288071442E0
6.436441666E-1,9.367520142E0,9.364526367E-1,-1.509011993E0
6.536661667E-1,9.449699249E0,1.137933655E0,-1.543141022E0
6.636891667E-1,9.592352600E0,1.148860931E0,-1.543290710E0
6.737121666E-1,9.788594513E0,1.115031281E0,-1.533560944E0
6.837341667E-1,1.003123993E1,1.049916687E0,-1.668580170E0
6.937571666E-1,1.037477554E1,1.025816803E0,-1.962568817E0
7.037791667E-1,1.075004517E1,1.011446686E0,-2.063758392E0
7.138021666E-1,1.098700241E1,9.798623657E-1,-1.860481110E0
7.238251667E-1,1.093550949E1,8.635542297E-1,-1.492396545E0
7.338471666E-1,1.056323364E1,6.909631348E-1,-1.166374512E0
7.438701667E-1,1.002719833E1,5.210664368E-1,-8.967851257E-1
7.538921667E-1,9.615554352E0,5.415737915E-1,-7.156617737E-1
7.639151666E-1,9.438023529E0,6.791377258E-1,-7.095245361E-1
7.739381667E-1,9.401798859E0,8.331674194E-1,-8.943901062E-1
7.839601666E-1,9.580377502E0,9.283694458E-1,-1.376537476E0
7.939831667E-1,9.697434082E0,9.119036865E-1,-1.864073639E0
8.040051666E-1,9.622440033E0,8.494834900E-1,-2.197879486E0
8.140281667E-1,9.411828003E0,7.759863281E-1,-2.446662140E0
8.240511667E-1,9.154962158E0,7.788304138E-1,-2.555336151E0
8.340731667E-1,8.821904755E0,8.557704163E-1,-2.561922455E0
8.440961667E-1,8.418044586E0,1.038839722E0,-2.563718719E0
8.541181666E-1,8.063731384E0,1.340761871E0,-2.599344635E0
8.641411667E-1,7.996072083E0,1.580114136E0,-2.428998871E0
8.741638333E-1,8.284372559E0,1.616338806E0,-2.023192749E0
8.841858333E-1,8.777447205E0,1.545086975E0,-1.682052155E0
8.942088333E-1,9.307494965E0,1.461860046E0,-1.507814484E0
9.042308333E-1,9.711055756E0,1.326391754E0,-1.487756195E0
9.142538334E-1,9.931547241E0,1.184935913E0,-1.707948303E0
9.242758333E-1,1.005474106E1,1.008752289E0,-2.040856018E0
9.342988334E-1,1.017104919E1,8.352630615E-1,-2.106419678E0
9.443218333E-1,1.038809784E1,7.396119690E-1,-1.762285309E0
9.543438334E-1,1.064975372E1,8.463400269E-1,-1.256337433E0
9.643668333E-1,1.076965439E1,1.195713501E0,-1.125958557E0
9.743888333E-1,1.080034058E1,1.583107910E0,-1.415755920E0
9.844118333E-1,1.082668579E1,1.747017059E0,-1.906585236E0
9.944348333E-1,1.081785416E1,1.635199585E0,-2.160157928E0
1.004456833E0,1.077504318E1,1.388063507E0,-2.036515045E0
1.014479833E0,1.061023590E1,1.073417816E0,-1.583107910E0
1.024501833E0,1.038435562E1,8.309220886E-1,-1.292861481E0
1.034524833E0,1.029708710E1,8.355624390E-1,-1.353784790E0
1.044547833E0,1.038854691E1,1.027014313E0,-1.728605347E0
1.054569833E0,1.046294220E1,9.882449341E-1,-2.212548981E0
1.064592833E0,1.049407745E1,7.458988953E-1,-2.443069611E0
1.074614833E0,1.043480072E1,4.724176025E-1,-2.217189331E0
1.084637833E0,1.028855484E1,2.799179077E-1,-1.668729858E0
1.094660833E0,1.005294479E1,1.770817566E-1,-1.116677856E0
1.104682833E0,9.634115753E0,2.201921082E-1,-8.797206116E-1
1.114705833E0,9.226064301E0,2.933898926E-1,-1.073268127E0
1.124727833E0,9.090296631E0,4.682263184E-1,-1.555116119E0
1.134750833E0,9.267378387E0,8.575666809E-1,-2.155816956E0
1.144773833E0,9.551637268E0,1.407073975E0,-2.636317749E0
1.154795833E0,9.831704865E0,2.023043060E0,-2.840942230E0
1.164818833E0,9.710457001E0,2.594704285E0,-2.791245575E0
1.174840833E0,9.285640411E0,2.887046356E0,-2.522704010E0
1.184863833E0,9.078770599E0,2.850971375E0,-2.210453339E0
1.194886833E0,9.394164734E0,2.655328217E0,-2.080373840E0
1.204908833E0,9.790690155E0,2.488125916E0,-2.101030884E0
1.214931833E0,9.769134979E0,2.279609528E0,-2.295626221E0
1.224953833E0,9.476343842E0,2.174228668E0,-2.430196381E0
1.234976833E0,9.327852631E0,2.071093140E0,-2.196981354E0
1.244999833E0,9.450447693E0,1.958676910E0,-1.851200409E0
1.255021833E0,9.542057190E0,1.744472351E0,-1.739981689E0
1.265044833E0,9.435329132E0,1.591340790E0,-1.664837952E0
1.275066833E0,9.360933838E0,1.546434174E0,-1.499731293E0
1.285089833E0,9.512418823E0,1.603764954E0,-1.433868256E0
1.295112833E0,9.854158173E0,1.649420013E0,-1.562301178E0
1.305134833E0,1.013302826E1,1.620230713E0,-1.594035187E0
1.315157833E0,1.002719833E1,1.412462769E0,-1.470991058E0
1.325179833E0,9.932445374E0,1.220412140E0,-1.344803467E0
1.335202833E0,1.009635452E1,1.173260193E0,-1.182690582E0
1.345224833E0,1.042581940E1,1.170865173E0,-1.088536377E0
1.355247833E0,1.096410004E1,1.203647003E0,-1.047371979E0
1.365270833E0,1.156734558E1,1.378932495E0,-9.346563721E-1
1.375292833E0,1.197584610E1,1.395547943E0,-8.475375366E-1
1.385315833E0,1.197120575E1,1.313069458E0,-8.541238403E-1
1.395337833E0,1.173185349E1,1.208736420E0,-7.334747314E-1
1.405360833E0,1.141720779E1,9.836045837E-1,-9.199868774E-1
1.415383833E0,1.103145996E1,8.087681580E-1,-1.290765839E0
1.425405833E0,1.075887680E1,7.572752380E-1,-1.596280518E0
1.435428833E0,1.071277267E1,8.002359009E-1,-1.942959595E0
1.445450833E0,1.051009415E1,9.699829102E-1,-2.129920807E0
1.455473833E0,9.995015259E0,1.218915253E0,-2.152673492E0
1.465496833E0,9.521250458E0,1.496587830E0,-2.146685944E0
1.475518833E0,9.014105072E0,1.613494720E0,-2.092798004E0
1.485541833E0,8.497529297E0,1.555415497E0,-2.411485291E0
1.495563833E0,8.273445282E0,1.432221680E0,-2.716700592E0
1.505586833E0,8.348439331E0,1.294058990E0,-2.625839539E0
1.515609833E0,8.740324402E0,1.125659180E0,-1.947001190E0
1.525631833E0,8.940907288E0,8.244854736E-1,-9.717791748E-1
1.535654833E0,8.842112732E0,4.974156189E-1,-2.041754150E-1
1.545676833E0,8.642727356E0,4.328997803E-1,6.900650024E-2
1.555699833E0,8.490194550E0,7.632627869E-1,-1.558259583E-1
1.565721833E0,8.201445007E0,1.365161133E0,-5.245092773E-1
1.575744833E0,7.529043274E0,1.863325195E0,-7.102729797E-1
1.585767833E0,6.700516205E0,2.047592010E0,-1.652563477E-1
1.595789833E0,5.870791626E0,2.059866486E0,-3.427871704E-1
1.605812833E0,5.025349731E0,1.896855469E0,-1.078956299E0
1.615834833E0,4.345613251E0,1.540446625E0,-1.396895142E0
1.625857833E0,3.956123199E0,1.431323547E0,-1.546284485E0
1.635880833E0,4.347409515E0,1.362766113E0,-2.149979095E0
1.645902833E0,5.917195129E0,1.024170227E0,-3.722309418E0
1.655925833E0,8.233777771E0,4.818479919E-1,-5.507347412E0
1.665947833E0,1.066083069E1,3.766168213E-1,-6.774462433E0
1.675970833E0,1.223810074E1,7.056326294E-1,-6.145470428E0
1.685993833E0,1.234228409E1,4.746629333E-1,-3.326382751E0
1.696015833E0,1.170041885E1,-5.149291992E-2,-3.755690002E-1
1.706038833E0,1.133053802E1,-4.134402466E-1,1.345252533E0
1.716060833E0,1.178529236E1,-5.113366699E-1,1.814676361E0
1.726083833E0,1.256546997E1,6.900650024E-2,1.328038330E0
1.736106833E0,1.322155563E1,1.238524475E0,1.649569702E-1
1.746128833E0,1.348126556E1,2.502346344E0,-1.031504974E0
1.756151833E0,1.306662781E1,3.422333221E0,-2.023492126E0
1.766173833E0,1.233973938E1,3.758234711E0,-2.986888733E0
1.776196833E0,1.170446045E1,3.666325836E0,-3.354374542E0
1.786218833E0,1.111842911E1,3.466491394E0,-2.718197479E0
1.796241833E0,1.042836411E1,3.313958588E0,-1.943258972E0
1.806264833E0,9.746681671E0,3.301534424E0,-1.798210602E0
1.816286833E0,9.325756989E0,3.594924316E0,-1.878443756E0
1.826309833E0,9.506281586E0,4.042343903E0,-2.032024384E0
1.836331833E0,9.888137512E0,4.449646912E0,-2.453996887E0
1.846354833E0,1.001163071E1,4.435576172E0,-2.565365295E0
1.856377833E0,1.004725662E1,3.942651215E0,-2.444566498E0
1.866399833E0,1.008587631E1,3.241958313E0,-2.275418243E0
1.876419292E0,1.025307861E1,2.536625061E0,-2.029180298E0
1.886441292E0,1.041504181E1,1.989512787E0,-1.839824066E0
1.896464292E0,1.061981598E1,1.715732117E0,-1.747466125E0
1.906487292E0,1.084150497E1,1.959724731E0,-1.646126862E0
1.916509292E0,1.120644608E1,2.470762024E0,-1.770667877E0
1.926532292E0,1.146675476E1,3.045417023E0,-1.802701263E0
1.936554292E0,1.167991150E1,3.444936218E0,-1.752854919E0
1.946577292E0,1.163096329E1,3.656147003E0,-1.669478302E0
1.956600292E0,1.131961075E1,3.737278290E0,-1.374741211E0
1.966622292E0,1.097008759E1,3.945644989E0,-1.500928802E0
1.976645292E0,1.065304688E1,4.408781891E0,-1.686692505E0
1.986667292E0,1.073372910E1,4.934338989E0,-2.034269714E0
1.996690292E0,1.137754028E1,5.372477875E0,-2.368225250E0
2.006712292E0,1.224962677E1,5.659730530E0,-2.211351471E0
2.016735292E0,1.281155823E1,5.764812012E0,-1.883982239E0
2.026758292E0,1.252969437E1,5.803581390E0,-1.691931610E0
2.036780292E0,1.145088776E1,5.797294464E0,-1.371448059E0
2.046803292E0,1.021296204E1,5.680537262E0,-1.345402222E0
2.056825292E0,9.681267700E0,5.200186157E0,-1.665287018E0
2.066848292E0,1.032403107E1,4.418960724E0,-2.223027191E0
2.076871292E0,1.152273834E1,3.784729614E0,-2.940036163E0
2.086893292E0,1.221340210E1,3.676654358E0,-3.182531891E0
2.096916292E0,1.199964661E1,4.262386322E0,-2.941533051E0
2.106938292E0,1.104687790E1,4.795278168E0,-2.181264038E0
2.116961292E0,9.937235413E0,4.730462952E0,-1.819316711E0
2.126984292E0,9.194779358E0,4.282893677E0,-2.229014740E0
