"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.673120831E-2,9.722978228E-1,1.225257728E-1,9.147822708E-2
2.675420826E-2,9.111558276E-1,-8.965769649E-2,7.860923633E-2
3.677620832E-2,6.549448711E-1,-9.735906422E-2,2.234162629E-1
4.679920827E-2,3.679576796E-1,-1.801439434E-2,3.629118249E-1
5.682120833E-2,9.656208873E-2,4.193915427E-3,2.880803284E-1
6.684420828E-2,2.588153064E-2,-2.469980836E-2,1.666937394E-1
7.686720823E-2,7.228678823E-2,-8.678934485E-2,9.518565416E-2
8.688920829E-2,1.040664053E-1,-1.113774714E-1,7.305628181E-2
9.691220825E-2,7.476191461E-2,-5.307254523E-2,5.144117206E-2
1.069352083E-1,7.654590011E-3,1.123744217E-1,1.635246947E-2
1.169572083E-1,-4.157428801E-2,3.165890130E-1,-5.401365459E-4
1.269802083E-1,-2.451386690E-2,4.067989790E-1,-1.828453571E-2
1.370022083E-1,5.192678332E-2,3.599823698E-1,8.501559198E-3
1.470252083E-1,1.074607140E-1,2.221123338E-1,4.278407693E-2
1.570472083E-1,1.337819552E-1,4.929845989E-2,5.230655998E-2
1.670702082E-1,1.435128915E-1,-6.518095940E-2,3.718609884E-2
1.770932083E-1,1.279417562E-1,-9.358088583E-2,3.004650235E-2
1.871152082E-1,1.365874493E-1,-1.285188764E-2,2.551432550E-3
1.971382083E-1,1.726220852E-1,4.662072748E-2,-3.584562466E-2
2.071612083E-1,1.461131483E-1,1.146454802E-1,-4.890947387E-2
2.171832083E-1,7.132433653E-2,1.955288449E-1,4.230460525E-4
2.272062083E-1,5.222382188E-2,2.140037075E-1,5.652634934E-2
2.372282083E-1,1.654229933E-1,1.585180163E-1,1.063035500E-1
2.472512083E-1,3.396442920E-1,1.050654021E-1,1.645991206E-1
2.572742082E-1,4.614377010E-1,1.011658940E-1,2.177698991E-1
2.672962083E-1,4.675129580E-1,9.272017568E-2,2.461522838E-1
2.773192083E-1,4.346358186E-1,-4.313081682E-2,2.124196967E-1
2.873412083E-1,3.722670776E-1,-1.611361071E-1,1.228722203E-1
2.973642083E-1,3.380743146E-1,-5.407680452E-2,1.932618794E-1
3.073872083E-1,7.279707474E-1,2.575119621E-1,3.665733513E-1
3.174092083E-1,8.839481485E-1,3.130052546E-1,5.191810021E-1
3.274322082E-1,5.583740115E-2,3.743823078E-1,3.538223282E-1
3.374542083E-1,-1.468528211E-1,2.527333251E-1,2.517366672E-1
3.474772082E-1,-2.553596020E-1,1.159941405E-2,2.766037059E-1
3.575002083E-1,-3.511334860E-1,-2.447998229E-1,3.152271965E-1
3.675222083E-1,-3.492033201E-1,-4.552744433E-1,2.837992895E-1
3.775452083E-1,-2.761043537E-1,-5.629544279E-1,9.519237846E-2
3.875672083E-1,-2.208914351E-1,-5.375944689E-1,-5.494043827E-2
3.975902083E-1,-2.762435174E-1,-3.796956727E-1,-1.391002902E-1
4.076132083E-1,-4.300399071E-1,-1.545354778E-1,-1.453123721E-1
4.176352082E-1,-5.684703988E-1,6.419687301E-2,-9.225254461E-2
4.276582083E-1,-6.123069745E-1,1.856982136E-1,-6.611095905E-2
4.376802082E-1,-5.191386098E-1,2.160856086E-1,3.393723965E-3
4.477032083E-1,-3.216126484E-1,1.694990873E-1,6.921071425E-2
4.577262083E-1,-1.152404344E-1,7.241104156E-2,1.374829504E-1
4.677482083E-1,6.624018252E-2,-8.146048486E-3,2.214665088E-1
4.777712083E-1,1.662199688E-1,-3.958126456E-2,2.658826898E-1
4.877942083E-1,2.479108340E-1,-3.027425140E-2,2.715261300E-1
4.978162083E-1,3.562322581E-1,-3.606854975E-3,2.790954968E-1
