"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.271708265E-3,7.161258087E0,-5.483097839E-1,7.753127289E0
1.329270832E-2,7.152576141E0,-5.995033264E-1,7.778125305E0
2.331370825E-2,7.187453613E0,-5.477110291E-1,7.665709076E0
3.333470831E-2,6.984026642E0,-4.273612976E-1,7.537276154E0
4.335570824E-2,6.619384918E0,-3.864962769E-1,7.310348053E0
5.337670830E-2,6.532715149E0,-5.270539856E-1,7.180418243E0
6.339870836E-2,6.469995575E0,-5.310955811E-1,7.041058044E0
7.341970829E-2,6.155499573E0,-5.873785400E-1,7.109465790E0
8.344070835E-2,5.971532135E0,-6.466552734E-1,7.259453888E0
9.346170828E-2,6.038742371E0,-5.963598633E-1,7.292086029E0
1.034827083E-1,6.327491913E0,-4.568499756E-1,7.156468048E0
1.135047083E-1,6.495442657E0,-3.695814514E-1,7.101532288E0
1.235257083E-1,6.423442383E0,-4.694238281E-1,7.142397308E0
1.335467083E-1,6.454128571E0,-6.692582703E-1,7.179520111E0
1.435677083E-1,6.559659119E0,-7.647596741E-1,7.259453888E0
1.535887083E-1,6.656358032E0,-7.280859375E-1,7.417225800E0
1.636107083E-1,6.721023560E0,-6.875202942E-1,7.605384521E0
1.736317083E-1,6.735842743E0,-7.122189331E-1,7.687863007E0
1.836527083E-1,6.771917725E0,-7.673043823E-1,7.782765656E0
1.936737082E-1,6.894812164E0,-7.499404907E-1,7.796686707E0
2.036947083E-1,7.167245636E0,-5.715115356E-1,7.915838928E0
2.137167084E-1,7.205865326E0,-6.096821594E-1,8.094866638E0
2.237377083E-1,7.057224426E0,-9.656419373E-1,8.210426331E0
2.337587083E-1,6.904990997E0,-1.408121796E0,8.177045746E0
2.437797083E-1,6.713090057E0,-1.653012543E0,8.031997375E0
2.538007083E-1,6.588249664E0,-1.501677246E0,7.772137756E0
2.638227083E-1,6.785539398E0,-1.082997894E0,7.445217590E0
2.738437083E-1,7.207511902E0,-6.279441833E-1,7.201524353E0
2.838647083E-1,7.545359344E0,-3.201841736E-1,7.199279022E0
2.938857083E-1,7.679630127E0,-1.284329224E-1,7.065307617E0
3.039067083E-1,7.640711060E0,1.440005493E-1,7.210954742E0
3.139287083E-1,7.122039642E0,-9.849517822E-2,7.464377747E0
3.239497083E-1,6.253545685E0,-6.520440674E-1,7.698191528E0
3.339702083E-1,5.127587128E0,-1.046174469E0,7.698939972E0
3.439912084E-1,4.124223633E0,-9.406439209E-1,7.516918488E0
3.540122083E-1,3.801794128E0,-6.366261292E-1,7.556136932E0
3.640332083E-1,4.439617767E0,-5.774990845E-1,7.653584290E0
3.740552083E-1,5.423521729E0,-6.825805664E-1,7.270081787E0
3.840762083E-1,6.565197601E0,-8.249345398E-1,7.155120850E0
3.940972083E-1,7.390281830E0,-1.000220032E0,7.048991547E0
4.041182083E-1,7.651189270E0,-1.197809143E0,6.886728973E0
4.141392083E-1,7.477700043E0,-1.334924011E0,6.869514771E0
4.241612083E-1,7.113208008E0,-1.531614990E0,6.924001465E0
4.341822083E-1,6.735992432E0,-1.750310211E0,6.858138428E0
4.442032083E-1,6.496789856E0,-1.887425079E0,6.684349823E0
4.542242083E-1,6.280789032E0,-1.956730957E0,6.637646942E0
4.642452083E-1,6.054609375E0,-1.878294067E0,6.431076508E0
4.742672083E-1,5.945785675E0,-1.658700714E0,6.447991333E0
4.842882083E-1,5.798941040E0,-1.417402496E0,6.388564911E0
4.943092084E-1,5.672753448E0,-1.191671906E0,6.346951447E0
5.043302083E-1,5.722899170E0,-1.033151550E0,6.469546509E0
5.143512083E-1,5.889802094E0,-8.006849670E-1,6.490652618E0
5.243732083E-1,6.205196228E0,-5.507048035E-1,6.605912933E0
5.343942083E-1,6.616391144E0,-3.911366272E-1,6.669830017E0
5.444152083E-1,7.060816956E0,-3.056643677E-1,6.638096008E0
5.544362083E-1,7.607031097E0,-2.212399292E-1,6.514153748E0
5.644572083E-1,8.126301270E0,-1.164578247E-1,6.240971832E0
5.744792083E-1,8.392597504E0,8.532257080E-3,6.037245483E0
5.845002083E-1,8.347690887E0,4.490661621E-4,5.880521393E0
5.945212083E-1,8.255931702E0,-7.379653931E-2,5.803581390E0
6.045422083E-1,8.372239838E0,-7.783813477E-2,5.883066101E0
6.145632083E-1,8.549620972E0,-2.439926147E-2,5.938151550E0
6.245842082E-1,8.649463348E0,1.064286804E-1,6.124214630E0
6.346062083E-1,8.634344788E0,3.022215271E-1,6.192322998E0
6.446272084E-1,8.629105682E0,4.366419983E-1,6.022875366E0
6.546482083E-1,8.784931641E0,4.433779907E-1,5.709277496E0
6.646692083E-1,8.876840515E0,4.251159668E-1,5.294340363E0
6.746902083E-1,8.721912689E0,4.998106384E-1,4.934488678E0
6.847122083E-1,8.176896057E0,7.476951599E-1,4.617747345E0
6.947332083E-1,7.410789185E0,1.091530151E0,4.380191345E0
7.047542083E-1,6.632258148E0,1.516047363E0,4.436623993E0
7.147752083E-1,6.070775757E0,1.774709473E0,5.130281525E0
7.247962083E-1,5.900579681E0,1.728455658E0,5.756579132E0
7.348182083E-1,6.284231873E0,1.675166473E0,5.914201355E0
7.448392083E-1,7.367828522E0,1.528471527E0,5.909710693E0
