"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.581970824E-2,8.719398640E-3,3.788923621E-1,3.783434257E-2
3.584070830E-2,-1.188175008E-2,4.272585511E-1,3.261587769E-2
4.586170835E-2,-6.044162903E-3,3.702486157E-1,9.209550917E-4
5.588270829E-2,-8.028047159E-5,2.521520853E-1,-3.126015142E-2
6.590470835E-2,-6.082186010E-3,1.353908777E-1,-7.963811979E-3
7.592570828E-2,-5.626785103E-3,7.898246497E-2,4.138855636E-2
8.594670834E-2,4.402068909E-3,5.349428952E-2,7.927551121E-2
9.596770827E-2,7.215432823E-3,1.477165893E-2,9.839621186E-2
1.059887083E-1,4.727133084E-3,-5.500384048E-2,1.158822477E-1
1.160107083E-1,9.401246905E-3,-1.333812028E-1,1.362391859E-1
1.260317083E-1,2.324316278E-2,-2.149174362E-1,1.479054689E-1
1.360527083E-1,2.868107334E-2,-2.818099260E-1,1.360120624E-1
1.460737083E-1,1.237959787E-2,-2.964714170E-1,1.175726056E-1
1.560947082E-1,-5.486484617E-3,-2.775430083E-1,9.132821858E-2
1.661167083E-1,-1.030431315E-2,-2.547478676E-1,5.803941935E-2
1.761377082E-1,9.636105970E-3,-2.578198314E-1,6.087803282E-3
1.861587083E-1,1.701603830E-2,-2.491908222E-1,-6.430546194E-2
1.961797083E-1,-8.946320042E-3,-1.936849505E-1,-1.553339064E-1
2.062007083E-1,-4.703217000E-2,-5.445840582E-2,-2.226201296E-1
2.162227083E-1,-8.416409045E-2,1.374979913E-1,-2.452215850E-1
2.262437083E-1,-1.000116095E-1,3.069301546E-1,-2.176501900E-1
2.362647083E-1,-9.545174241E-2,4.168547988E-1,-1.594002098E-1
2.462857083E-1,-8.029406518E-2,4.806251228E-1,-8.899707347E-2
2.563067083E-1,-4.941764101E-2,4.615020454E-1,-4.423519224E-2
2.663287083E-1,-1.569603942E-2,3.683542013E-1,-5.114112049E-2
2.763497083E-1,2.496856637E-2,2.311449498E-1,-1.272406727E-1
