"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.164408331E-2,5.724518264E0,-9.826965111E-1,7.905712720E0
2.166608337E-2,5.724276189E0,-9.823076713E-1,7.905936669E0
3.168708330E-2,5.731630232E0,-9.826761921E-1,7.900561323E0
4.170808336E-2,5.746603197E0,-9.846149095E-1,7.889434657E0
5.173008330E-2,5.762888278E0,-9.888186190E-1,7.877021018E0
6.175108335E-2,5.777620922E0,-9.951285687E-1,7.865425404E0
7.177308330E-2,5.788442949E0,-1.002416538E0,7.856538221E0
8.179408335E-2,5.794243972E0,-1.008170125E0,7.851524234E0
9.181508329E-2,5.794423481E0,-1.010234046E0,7.851126623E0
1.018370833E-1,5.789263313E0,-1.007847651E0,7.855238385E0
1.118580833E-1,5.780874898E0,-1.002131852E0,7.862144532E0
1.218790833E-1,5.773214461E0,-9.953998064E-1,7.868626170E0
1.319010834E-1,5.768994525E0,-9.898836894E-1,7.872415751E0
1.419220833E-1,5.768481724E0,-9.859341145E-1,7.873286986E0
1.519440834E-1,5.770218932E0,-9.838889777E-1,7.872270155E0
1.619650833E-1,5.772401698E0,-9.831060355E-1,7.870767421E0
1.719860834E-1,5.775491951E0,-9.819110839E-1,7.868649559E0
1.820080833E-1,5.778938300E0,-9.801413510E-1,7.866339909E0
1.920290834E-1,5.780468516E0,-9.782401288E-1,7.865452302E0
2.020510833E-1,5.779808366E0,-9.762536835E-1,7.866183788E0
2.120720834E-1,5.778278149E0,-9.740884595E-1,7.867576010E0
2.220930833E-1,5.778806153E0,-9.726292138E-1,7.867369019E0
2.321150834E-1,5.783092162E0,-9.724280696E-1,7.864243682E0
2.421360833E-1,5.792292171E0,-9.739490034E-1,7.857281987E0
2.521580834E-1,5.807508380E0,-9.775403633E-1,7.845595157E0
2.621790833E-1,5.829943562E0,-9.830331646E-1,7.828249977E0
2.722000834E-1,5.861841878E0,-9.907367981E-1,7.803418606E0
2.822220833E-1,5.905855039E0,-1.000710759E0,7.768883781E0
2.922430834E-1,5.962066078E0,-1.012570082E0,7.724284728E0
3.022650833E-1,6.027710429E0,-1.027555765E0,7.671176223E0
3.122860834E-1,6.098655866E0,-1.047998873E0,7.612108819E0
3.223070833E-1,6.170400032E0,-1.075030478E0,7.550269836E0
3.323290834E-1,6.241258346E0,-1.107825026E0,7.487023428E0
3.423500833E-1,6.314681833E0,-1.143129929E0,7.419848276E0
3.523720833E-1,6.416604064E0,-1.175836768E0,7.326711486E0
3.623930833E-1,6.569262001E0,-1.196672079E0,7.186715110E0
3.724144583E-1,6.775452366E0,-1.203388556E0,6.991509324E0
3.824364584E-1,7.024921483E0,-1.196726312E0,6.741989921E0
3.924574583E-1,7.283919223E0,-1.172864775E0,6.465680330E0
4.024784584E-1,7.510162030E0,-1.145998062E0,6.206468582E0
4.125004583E-1,7.696649033E0,-1.138847502E0,5.975008889E0
4.225214584E-1,7.858691166E0,-1.157789922E0,5.756439968E0
4.325434583E-1,8.006166131E0,-1.191192068E0,5.542423689E0
4.425644584E-1,8.131373144E0,-1.219215653E0,5.350737342E0
4.525854583E-1,8.221923126E0,-1.230670495E0,5.207833146E0
4.626074584E-1,8.274101340E0,-1.225173601E0,5.125845827E0
4.726284583E-1,8.295575239E0,-1.209607362E0,5.094739224E0
4.826504583E-1,8.298387165E0,-1.192470270E0,5.094201865E0
4.926714583E-1,8.293391304E0,-1.177872842E0,5.105719126E0
5.026924583E-1,8.288074431E0,-1.164770401E0,5.117345729E0
5.127144584E-1,8.286256531E0,-1.151296224E0,5.123335617E0
5.227354583E-1,8.288680787E0,-1.136498602E0,5.122717566E0
5.327574584E-1,8.293124086E0,-1.120662295E0,5.119013355E0
5.427784583E-1,8.298107083E0,-1.103897305E0,5.114579412E0
5.527994584E-1,8.302695978E0,-1.086754657E0,5.110803865E0
5.628214583E-1,8.304078845E0,-1.069693359E0,5.112154571E0
5.728424584E-1,8.301233590E0,-1.052593908E0,5.120320208E0
5.828644583E-1,8.296917760E0,-1.036340402E0,5.130620078E0
5.928854584E-1,8.291840622E0,-1.021569312E0,5.141777735E0
6.029064583E-1,8.282316678E0,-1.007783332E0,5.159816396E0
6.129284584E-1,8.266309340E0,-9.938653509E-1,5.188108149E0
6.229494583E-1,8.246500728E0,-9.780821078E-1,5.222517843E0
6.329714584E-1,8.228691863E0,-9.600325571E-1,5.253862427E0
6.429924583E-1,8.217127824E0,-9.413551616E-1,5.275297151E0
6.530134584E-1,8.211750725E0,-9.246579257E-1,5.286610928E0
6.630354583E-1,8.210050939E0,-9.144506606E-1,5.291026161E0
6.730564584E-1,8.212601495E0,-9.119658132E-1,5.287495027E0
6.830784583E-1,8.221955286E0,-9.154511192E-1,5.272332612E0
6.930994584E-1,8.234883479E0,-9.201541809E-1,5.251296085E0
7.031204583E-1,8.247535100E0,-9.207168292E-1,5.231304454E0
7.131424583E-1,8.256404741E0,-9.137161041E-1,5.218524780E0
7.231634583E-1,8.257493493E0,-8.963674884E-1,5.219809998E0
7.331854583E-1,8.250334747E0,-8.704457581E-1,5.235495154E0
7.432064583E-1,8.236114318E0,-8.436356896E-1,5.262206404E0
7.532274583E-1,8.216644844E0,-8.193984691E-1,5.296360576E0
7.632494584E-1,8.192629160E0,-7.943558677E-1,5.337220919E0
7.732704583E-1,8.165082343E0,-7.646321317E-1,5.383574136E0
7.832924584E-1,8.135048119E0,-7.312118590E-1,5.433453809E0
7.933134583E-1,8.107349274E0,-6.988218657E-1,5.478927605E0
8.033344584E-1,8.088288521E0,-6.727513969E-1,5.510271605E0
8.133564583E-1,8.078512561E0,-6.557234278E-1,5.526642054E0
8.233774584E-1,8.073651186E0,-6.464047933E-1,5.534837512E0
8.333994583E-1,8.072827898E0,-6.389428691E-1,5.536903918E0
8.434204584E-1,8.075890669E0,-6.294715492E-1,5.533521304E0
8.534414583E-1,8.078529518E0,-6.189634448E-1,5.530854973E0
8.634634584E-1,8.075529896E0,-6.103952639E-1,5.536185295E0
8.734844583E-1,8.059955252E0,-6.074860549E-1,5.559153158E0
8.835064584E-1,8.024425816E0,-6.109835304E-1,5.609936811E0
8.935274583E-1,7.966965228E0,-6.179163547E-1,5.690496240E0
9.035484584E-1,7.887772293E0,-6.252919594E-1,5.798979047E0
9.135704583E-1,7.789387627E0,-6.285044197E-1,5.930137357E0
9.235914584E-1,7.680654559E0,-6.257382482E-1,6.070593324E0
9.336134583E-1,7.572008615E0,-6.181437383E-1,6.206342282E0
9.436344584E-1,7.473407017E0,-6.044346488E-1,6.326053498E0
9.536554583E-1,7.391309186E0,-5.863817725E-1,6.423457586E0
9.636774583E-1,7.325426268E0,-5.687108290E-1,6.500061373E0
9.736984583E-1,7.275803872E0,-5.533106882E-1,6.556875844E0
9.837204583E-1,7.245525236E0,-5.414167572E-1,6.591308343E0
9.937414584E-1,7.237271306E0,-5.290196368E-1,6.601374325E0
1.003762458E0,7.249152848E0,-5.113273875E-1,6.589721993E0
1.013784458E0,7.276451744E0,-4.855405817E-1,6.561524380E0
1.023805458E0,7.310440439E0,-4.535860964E-1,6.525933548E0
1.033827458E0,7.348063763E0,-4.190896071E-1,6.485863749E0
1.043848458E0,7.385717493E0,-3.849598479E-1,6.445081758E0
1.053869458E0,7.418584692E0,-3.533344876E-1,6.409044784E0
1.063891458E0,7.446551925E0,-3.237849621E-1,6.378097810E0
1.073912458E0,7.472583729E0,-2.895426805E-1,6.349233030E0
1.083934458E0,7.498881581E0,-2.466171375E-1,6.319972978E0
1.093955458E0,7.521097493E0,-1.962393364E-1,6.295290712E0
1.103976458E0,7.534788748E0,-1.426055590E-1,6.280344644E0
1.113998458E0,7.542708802E0,-8.929738923E-2,6.271815310E0
1.124019458E0,7.550213118E0,-3.853357599E-2,6.263297086E0
1.134041458E0,7.567187585E0,6.584538126E-3,6.242894397E0
1.144062458E0,7.605388030E0,3.790707881E-2,6.196186838E0
1.154083458E0,7.668481826E0,5.021692499E-2,6.117839411E0
1.164105458E0,7.751634495E0,4.085805891E-2,6.012204198E0
1.174126458E0,7.847061639E0,8.079709997E-3,5.887245106E0
1.184148458E0,7.949548126E0,-4.168995325E-2,5.747960336E0
1.194169458E0,8.053236802E0,-1.059106537E-1,5.600915142E0
1.204190458E0,8.145124626E0,-1.775550339E-1,5.464570937E0
1.214212458E0,8.215239758E0,-2.420433906E-1,5.356057139E0
1.224233458E0,8.263240721E0,-2.893156441E-1,5.279321789E0
1.234255458E0,8.293678987E0,-3.208254670E-1,5.229536841E0
1.244276458E0,8.312028719E0,-3.451723228E-1,5.198761775E0
1.254297458E0,8.322923836E0,-3.700630427E-1,5.179584662E0
1.264319458E0,8.331979419E0,-3.996061729E-1,5.162802569E0
1.274340458E0,8.341665916E0,-4.354392991E-1,5.144230058E0
1.284362458E0,8.351100399E0,-4.767962169E-1,5.125221929E0
1.294383458E0,8.361478622E0,-5.237698238E-1,5.103669677E0
1.304404458E0,8.375295008E0,-5.769100871E-1,5.075205431E0
1.314426458E0,8.392715617E0,-6.343917619E-1,5.039442691E0
1.324447458E0,8.410395259E0,-6.953372906E-1,5.001786037E0
1.334469458E0,8.433414577E0,-7.616124102E-1,4.953137203E0
1.344490458E0,8.471575845E0,-8.358448595E-1,4.875435893E0
1.354511458E0,8.516729799E0,-9.178875078E-1,4.781098670E0
1.364533458E0,8.556249960E0,-1.008591637E0,4.691421385E0
1.374554333E0,8.586915098E0,-1.109296624E0,4.611991346E0
1.384576333E0,8.607929991E0,-1.210249460E0,4.546969723E0
1.394597333E0,8.617664436E0,-1.303634391E0,4.502499309E0
1.404618333E0,8.609192989E0,-1.387435808E0,4.493651887E0
1.414640333E0,8.586197060E0,-1.460751122E0,4.514368865E0
1.424661333E0,8.562864330E0,-1.526655382E0,4.536825389E0
1.434683333E0,8.548467316E0,-1.589439275E0,4.542410064E0
1.444704333E0,8.545981665E0,-1.652005798E0,4.524728377E0
1.454725333E0,8.548510585E0,-1.717123754E0,4.495614797E0
1.464747333E0,8.553381901E0,-1.791585560E0,4.457126378E0
1.474768333E0,8.568538468E0,-1.882421617E0,4.390074894E0
1.484790333E0,8.594555070E0,-1.988813460E0,4.291193799E0
1.494811333E0,8.624011003E0,-2.106931894E0,4.174131665E0
1.504832333E0,8.645186695E0,-2.235375634E0,4.062012767E0
1.514854333E0,8.647334377E0,-2.366353264E0,3.982472215E0
1.524875333E0,8.632232189E0,-2.489802020E0,3.939740763E0
1.534897333E0,8.603566214E0,-2.599345804E0,3.931683300E0
1.544918333E0,8.557688375E0,-2.695737154E0,3.966744374E0
1.554939333E0,8.493981791E0,-2.782302259E0,4.043161343E0
1.564961333E0,8.418538091E0,-2.861430582E0,4.144457923E0
1.574982333E0,8.337409143E0,-2.936418199E0,4.254543744E0
1.585004333E0,8.258886300E0,-3.009193522E0,4.355645319E0
1.595025333E0,8.193180553E0,-3.079062486E0,4.430268947E0
1.605046333E0,8.140479598E0,-3.150245613E0,4.477124732E0
1.615068333E0,8.093617088E0,-3.228800908E0,4.506030150E0
1.625089333E0,8.047631661E0,-3.319869538E0,4.522188931E0
1.635111333E0,7.999844706E0,-3.421214357E0,4.531432502E0
1.645132333E0,7.950644479E0,-3.525994122E0,4.537699840E0
1.655153333E0,7.901892149E0,-3.629153624E0,4.541525381E0
1.665175333E0,7.859533165E0,-3.724403598E0,4.537914433E0
1.675196333E0,7.824870871E0,-3.810574307E0,4.526259470E0
1.685218333E0,7.784770666E0,-3.892774757E0,4.525456355E0
1.695239333E0,7.727797151E0,-3.978849280E0,4.548188868E0
1.705260333E0,7.656865162E0,-4.071449880E0,4.586044911E0
1.715282333E0,7.583562128E0,-4.164692505E0,4.623960889E0
1.725303333E0,7.519349175E0,-4.251700828E0,4.649572863E0
1.735325333E0,7.464965976E0,-4.330954573E0,4.664034196E0
1.745346333E0,7.414112157E0,-4.406383071E0,4.674487849E0
1.755367333E0,7.363244305E0,-4.479322701E0,4.685552535E0
1.765389333E0,7.312485795E0,-4.548299672E0,4.698576915E0
1.775410333E0,7.268418839E0,-4.609959146E0,4.706853941E0
1.785432333E0,7.235984334E0,-4.663768733E0,4.703816605E0
1.795453333E0,7.210426154E0,-4.712770739E0,4.694214015E0
1.805474333E0,7.187139618E0,-4.759640558E0,4.682622203E0
1.815496333E0,7.164833075E0,-4.803824458E0,4.671672999E0
1.825517333E0,7.142958056E0,-4.842261130E0,4.665486352E0
1.835539333E0,7.123539453E0,-4.872677761E0,4.663507655E0
1.845560333E0,7.107360207E0,-4.896538494E0,4.663199506E0
1.855581333E0,7.092409462E0,-4.917496085E0,4.663909651E0
1.865603333E0,7.080363613E0,-4.935775650E0,4.662905099E0
1.875624333E0,7.073815901E0,-4.950155123E0,4.657596120E0
1.885646333E0,7.072401459E0,-4.962597998E0,4.646488456E0
1.895667333E0,7.075771794E0,-4.975161325E0,4.627885247E0
1.905688333E0,7.084880002E0,-4.987073273E0,4.601051205E0
1.915710333E0,7.097639796E0,-4.998614507E0,4.568746801E0
1.925731333E0,7.109316686E0,-5.011923940E0,4.535893050E0
1.935752333E0,7.118598556E0,-5.027947065E0,4.503488366E0
1.945774333E0,7.125960785E0,-5.047367422E0,4.469997269E0
1.955795333E0,7.129817024E0,-5.070864458E0,4.437130947E0
1.965817333E0,7.128548763E0,-5.097114363E0,4.409005255E0
1.975838333E0,7.122930173E0,-5.123421571E0,4.387540711E0
