"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.164408331E-2,2.483696924E-2,-3.083235423E-1,4.466607101E-2,-9.499076948E-1,1.771536003E2,-7.085639729E0,-3.569984898E1,-1.747201166E2
2.166608337E-2,2.468810657E-2,-3.083010675E-1,4.469364559E-2,-9.499175571E-1,1.771706639E2,-7.082666254E0,-3.569810772E1,-1.747391726E2
3.168708330E-2,2.462029229E-2,-3.087397002E-1,4.473076643E-2,-9.497751429E-1,1.771784372E2,-7.090068087E0,-3.575101317E1,-1.747408956E2
4.170808336E-2,2.461089354E-2,-3.096425911E-1,4.482854711E-2,-9.494767854E-1,1.771795146E2,-7.113829266E0,-3.585884517E1,-1.747260068E2
5.173008330E-2,2.471727219E-2,-3.106364138E-1,4.500956783E-2,-9.491407907E-1,1.771673208E2,-7.155029606E0,-3.597628567E1,-1.746906342E2
6.175108335E-2,2.498890863E-2,-3.115513376E-1,4.525060566E-2,-9.488222870E-1,1.771361839E2,-7.210713801E0,-3.608268684E1,-1.746312956E2
7.177308330E-2,2.541324310E-2,-3.122417662E-1,4.549625856E-2,-9.485722719E-1,1.770875433E2,-7.271088427E0,-3.616093597E1,-1.745540418E2
8.179408335E-2,2.587584691E-2,-3.126283371E-1,4.564967309E-2,-9.484250951E-1,1.770345154E2,-7.316991100E0,-3.620291150E1,-1.744797049E2
9.181508329E-2,2.626541023E-2,-3.126633084E-1,4.563223483E-2,-9.484037266E-1,1.769898595E2,-7.332174802E0,-3.620421248E1,-1.744275279E2
1.018370833E-1,2.655297818E-2,-3.123599776E-1,4.541277619E-2,-9.485061013E-1,1.769568952E2,-7.311255151E0,-3.616687269E1,-1.744026554E2
1.118580833E-1,2.678065545E-2,-3.118505907E-1,4.503653128E-2,-9.486852254E-1,1.769307960E2,-7.263917401E0,-3.610620663E1,-1.743955530E2
1.218790833E-1,2.701815294E-2,-3.113829925E-1,4.460222907E-2,-9.488525906E-1,1.769035709E2,-7.209755410E0,-3.605084683E1,-1.743890368E2
1.319010834E-1,2.729126452E-2,-3.111273403E-1,4.421927227E-2,-9.489465781E-1,1.768722631E2,-7.166802775E0,-3.602037073E1,-1.743725433E2
1.419220833E-1,2.758254139E-2,-3.110995339E-1,4.391175833E-2,-9.489615402E-1,1.768388727E2,-7.137721996E0,-3.601666872E1,-1.743471941E2
1.519440834E-1,2.788022458E-2,-3.112122346E-1,4.370266781E-2,-9.489255889E-1,1.768047476E2,-7.123978578E0,-3.602921030E1,-1.743147722E2
