"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
9.944749996E-3,9.742454768E-4,-8.536852595E-1,2.257916257E-2,-5.202988198E-1,1.798883597E2,-1.768596889E2,-6.266025605E1,-4.942035655E0
1.996674994E-2,9.978687853E-4,-8.534139181E-1,2.264423730E-2,-5.207407506E-1,1.798856526E2,-1.768374683E2,-6.271904237E1,-4.967485707E0
2.998875000E-2,9.968572610E-4,-8.529511879E-1,2.268828076E-2,-5.214964015E-1,1.798857686E2,-1.768168607E2,-6.282010535E1,-4.991463722E0
4.001174995E-2,9.617489362E-4,-8.524257853E-1,2.265793503E-2,-5.223562815E-1,1.798897917E2,-1.768110484E2,-6.293568369E1,-4.997235420E0
5.003375001E-2,9.411391272E-4,-8.519709786E-1,2.257241907E-2,-5.231014378E-1,1.798921534E2,-1.768116645E2,-6.303605069E1,-4.990829031E0
6.005574996E-2,9.091918161E-4,-8.516514634E-1,2.244585208E-2,-5.236269668E-1,1.798958143E2,-1.768246360E2,-6.310721934E1,-4.969705571E0
7.007775002E-2,8.585313042E-4,-8.514356715E-1,2.234377242E-2,-5.239823069E-1,1.799016195E2,-1.768419160E2,-6.315559179E1,-4.947962078E0
8.009974996E-2,8.004318735E-4,-8.513037097E-1,2.233142339E-2,-5.241972347E-1,1.799082773E2,-1.768517612E2,-6.318482258E1,-4.941818353E0
9.012275003E-2,7.364108106E-4,-8.512814140E-1,2.237083069E-2,-5.242318795E-1,1.799156135E2,-1.768596492E2,-6.318970162E1,-4.942529011E0
1.001447500E-1,6.956548081E-4,-8.513820185E-1,2.241656002E-2,-5.240665374E-1,1.799202838E2,-1.768656997E2,-6.316756877E1,-4.943766108E0
1.101667500E-1,6.920091057E-4,-8.515842391E-1,2.244639999E-2,-5.237365065E-1,1.799207016E2,-1.768691582E2,-6.312317310E1,-4.943263283E0
1.201887500E-1,6.708935346E-4,-8.518404077E-1,2.240324162E-2,-5.233216129E-1,1.799231213E2,-1.768877183E2,-6.306777590E1,-4.923075618E0
1.302107500E-1,5.917628265E-4,-8.520972084E-1,2.225661273E-2,-5.229096907E-1,1.799321890E2,-1.769322469E2,-6.301349566E1,-4.873126704E0
1.402337500E-1,5.087335350E-4,-8.523304912E-1,2.206615113E-2,-5.225376183E-1,1.799417034E2,-1.769824175E2,-6.296474881E1,-4.814188123E0
1.502557499E-1,4.488007164E-4,-8.524937681E-1,2.189343334E-2,-5.222784995E-1,1.799485712E2,-1.770229555E2,-6.293094116E1,-4.764376264E0
1.602777500E-1,4.416357521E-4,-8.525700118E-1,2.177715019E-2,-5.221590553E-1,1.799493923E2,-1.770420334E2,-6.291538170E1,-4.736263899E0
1.702997499E-1,4.823496078E-4,-8.525582528E-1,2.172619465E-2,-5.221802552E-1,1.799447268E2,-1.770395926E2,-6.291816844E1,-4.731051687E0
1.803217500E-1,5.496370514E-4,-8.524878676E-1,2.172155849E-2,-5.222952528E-1,1.799370162E2,-1.770235919E2,-6.293322951E1,-4.741000818E0
1.903447499E-1,5.921210747E-4,-8.524099380E-1,2.172117917E-2,-5.224222834E-1,1.799321479E2,-1.770121068E2,-6.295002090E1,-4.748849059E0
2.003667500E-1,5.860308551E-4,-8.523815311E-1,2.165846466E-2,-5.224712791E-1,1.799328458E2,-1.770207250E2,-6.295684820E1,-4.735486782E0
2.103887500E-1,5.579610540E-4,-8.524198004E-1,2.151288944E-2,-5.224149710E-1,1.799360624E2,-1.770469565E2,-6.294996476E1,-4.699488084E0
2.204107500E-1,5.400064965E-4,-8.525048527E-1,2.133528263E-2,-5.222836414E-1,1.799381198E2,-1.770766164E2,-6.293307595E1,-4.656585629E0
2.304327500E-1,5.643884484E-4,-8.526095877E-1,2.119033961E-2,-5.221184468E-1,1.799353258E2,-1.770934954E2,-6.291127952E1,-4.625670454E0
2.404557500E-1,6.436034502E-4,-8.527167671E-1,2.110583518E-2,-5.219466352E-1,1.799262485E2,-1.770907927E2,-6.288809443E1,-4.614808022E0
2.504777500E-1,7.823298021E-4,-8.527944859E-1,2.105053852E-2,-5.218217330E-1,1.799103516E2,-1.770706530E2,-6.287079111E1,-4.618836382E0
2.604997500E-1,9.963936456E-4,-8.528226400E-1,2.100679009E-2,-5.217769730E-1,1.798858217E2,-1.770313986E2,-6.286376981E1,-4.636621147E0
2.705217500E-1,1.198930326E-3,-8.528075936E-1,2.093518259E-2,-5.218040102E-1,1.798626127E2,-1.769969217E2,-6.286654307E1,-4.648234684E0
2.805437500E-1,1.237073224E-3,-8.527367447E-1,2.075121160E-2,-5.219271633E-1,1.798582418E2,-1.770105440E2,-6.288350236E1,-4.616040361E0
2.905667500E-1,1.031501970E-3,-8.525370108E-1,2.038356464E-2,-5.222682367E-1,1.798817986E2,-1.770965139E2,-6.293160480E1,-4.516396009E0
3.005887499E-1,6.481131630E-4,-8.523300698E-1,1.983278962E-2,-5.226276861E-1,1.799257317E2,-1.772447817E2,-6.298364243E1,-4.354001600E0
3.106107500E-1,4.521724642E-4,-8.523218933E-1,1.921643411E-2,-5.226642696E-1,1.799481849E2,-1.773674271E2,-6.299148205E1,-4.196292698E0
3.206327499E-1,6.673742727E-4,-8.525073815E-1,1.873229326E-2,-5.223788933E-1,1.799235245E2,-1.773897162E2,-6.295361844E1,-4.115838045E0
3.306547500E-1,1.164728159E-3,-8.527333308E-1,1.852058964E-2,-5.220166622E-1,1.798665320E2,-1.773168958E2,-6.290327869E1,-4.129714519E0
3.406777499E-1,1.666570684E-3,-8.528251266E-1,1.854570916E-2,-5.218644699E-1,1.798090250E2,-1.772086696E2,-6.288034119E1,-4.198272264E0
3.506997500E-1,1.986465264E-3,-8.527478715E-1,1.868062122E-2,-5.219849256E-1,1.797723677E2,-1.771203729E2,-6.289447238E1,-4.271110284E0
3.607217500E-1,2.135454374E-3,-8.526314619E-1,1.878421818E-2,-5.221707510E-1,1.797552948E2,-1.770715638E2,-6.291829218E1,-4.316066272E0
3.707437500E-1,2.228156367E-3,-8.526046565E-1,1.881043352E-2,-5.222130454E-1,1.797446719E2,-1.770474895E2,-6.292339309E1,-4.334581738E0
3.807657500E-1,2.378852424E-3,-8.526916476E-1,1.878708416E-2,-5.220712845E-1,1.797274033E2,-1.770208000E2,-6.290370547E1,-4.346823045E0
3.907887500E-1,2.605096706E-3,-8.528683693E-1,1.872795214E-2,-5.217835479E-1,1.797014776E2,-1.769852858E2,-6.286417455E1,-4.358661307E0
4.008107500E-1,2.840866177E-3,-8.531061197E-1,1.862465021E-2,-5.213970613E-1,1.796744603E2,-1.769553580E2,-6.281151587E1,-4.360467685E0
4.108327500E-1,3.029262590E-3,-8.533698325E-1,1.846360710E-2,-5.209701138E-1,1.796528715E2,-1.769438473E2,-6.275392369E1,-4.343004241E0
4.208547500E-1,3.177429836E-3,-8.536324074E-1,1.828102695E-2,-5.205452525E-1,1.796358927E2,-1.769436433E2,-6.269690058E1,-4.315781679E0
4.308777499E-1,3.316050821E-3,-8.538570922E-1,1.812832892E-2,-5.201811880E-1,1.796200079E2,-1.769404548E2,-6.264799435E1,-4.294807052E0
4.408997500E-1,3.448539439E-3,-8.539948281E-1,1.800972769E-2,-5.199582522E-1,1.796048257E2,-1.769316105E2,-6.261789842E1,-4.282788107E0
4.509217499E-1,3.559828192E-3,-8.540464580E-1,1.787936749E-2,-5.198771828E-1,1.795920729E2,-1.769262593E2,-6.260695462E1,-4.268012696E0
