"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.242041588E-3,6.516249390E0,4.417314148E0,-5.141208801E0
1.126504166E-2,6.357130280E0,4.586911469E0,-4.991370392E0
2.128804161E-2,6.313421173E0,4.681365051E0,-5.033283234E0
3.131104168E-2,6.289920044E0,4.637506256E0,-5.084327087E0
4.133404163E-2,6.342011719E0,4.508923645E0,-5.139711914E0
5.135704158E-2,6.578070831E0,4.413422241E0,-5.169350281E0
6.138004165E-2,6.899751892E0,4.234544220E0,-5.092859344E0
7.140304160E-2,7.077731781E0,4.056414642E0,-5.043162689E0
8.142604167E-2,7.226522369E0,4.050576782E0,-5.162913666E0
9.145004163E-2,7.340136108E0,4.060156860E0,-5.352269897E0
1.014730416E-1,7.331903229E0,3.968846741E0,-5.469326477E0
1.114960416E-1,7.152127075E0,3.888912964E0,-5.472619629E0
1.215190416E-1,6.997947693E0,3.921545105E0,-5.434898071E0
1.315420417E-1,6.886878662E0,4.013453979E0,-5.441634064E0
1.415650416E-1,6.778054962E0,4.106710052E0,-5.498665466E0
1.515880416E-1,6.638994141E0,4.206253052E0,-5.569767609E0
1.616110416E-1,6.483018494E0,4.291575623E0,-5.550906830E0
1.716340416E-1,6.537804565E0,4.381239166E0,-5.663472748E0
1.816570417E-1,6.653214569E0,4.416416016E0,-5.848637695E0
1.916810416E-1,6.612050171E0,4.315525818E0,-5.922284546E0
2.017040416E-1,6.511010284E0,4.261787567E0,-5.939349060E0
2.117270416E-1,6.461313629E0,4.335733795E0,-5.960604858E0
2.217500416E-1,6.388714600E0,4.425247650E0,-5.856421509E0
2.317730417E-1,6.422244873E0,4.490511932E0,-5.723647614E0
2.417960416E-1,6.641239471E0,4.480183411E0,-5.715115356E0
2.518190417E-1,6.882088623E0,4.410877533E0,-5.555397491E0
2.618420416E-1,7.044949951E0,4.323609009E0,-5.443430328E0
2.718650416E-1,7.015610962E0,3.805835724E0,-5.010979614E0
2.818880416E-1,6.666387177E0,3.669469299E0,-4.918621674E0
2.919120416E-1,6.534810791E0,3.948339386E0,-5.816005554E0
3.019350417E-1,6.500532074E0,4.195625153E0,-6.216572571E0
3.119580416E-1,6.406078491E0,4.211192780E0,-5.692961426E0
3.219810416E-1,6.070177002E0,4.289929047E0,-5.760920105E0
3.320040416E-1,5.548062744E0,4.196972351E0,-6.125861206E0
3.420270416E-1,5.085075531E0,4.184099121E0,-6.418203278E0
3.520500417E-1,5.030588837E0,4.352798309E0,-6.533463593E0
3.620730416E-1,5.480104065E0,4.363276520E0,-6.874903564E0
3.720960416E-1,6.298601990E0,4.337080994E0,-6.845265198E0
