"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
8.759041666E-3,6.883820568E0,4.433722605E0,-5.402895091E0
1.878204162E-2,6.882718368E0,4.421098758E0,-5.414621682E0
2.880504157E-2,6.880129221E0,4.406278113E0,-5.429975300E0
3.882804164E-2,6.874141672E0,4.391650134E0,-5.449379286E0
4.885204160E-2,6.863603235E0,4.378359705E0,-5.473301999E0
5.887504166E-2,6.849703234E0,4.366745380E0,-5.499929050E0
6.889804162E-2,6.835420241E0,4.356015155E0,-5.526143287E0
7.892104157E-2,6.821313833E0,4.345839246E0,-5.551526635E0
8.894404164E-2,6.806574172E0,4.337703722E0,-5.575925896E0
9.896704159E-2,6.791353869E0,4.333025365E0,-5.598081581E0
1.089900417E-1,6.777139288E0,4.331753595E0,-5.616258820E0
1.190130416E-1,6.765449535E0,4.332577176E0,-5.629705662E0
1.290360417E-1,6.756875178E0,4.333933145E0,-5.638948941E0
1.390600416E-1,6.751045504E0,4.335078322E0,-5.645046417E0
1.490830416E-1,6.746791070E0,4.335477395E0,-5.649830609E0
1.591060417E-1,6.743326594E0,4.333670020E0,-5.655346872E0
1.691290416E-1,6.739666822E0,4.329103053E0,-5.663203191E0
1.791520417E-1,6.734169270E0,4.322293678E0,-5.674933875E0
1.891750416E-1,6.726332247E0,4.313655001E0,-5.690779830E0
1.991980416E-1,6.716873206E0,4.303665910E0,-5.709478641E0
2.092210416E-1,6.705633103E0,4.293002928E0,-5.730682983E0
2.192440416E-1,6.691799176E0,4.280905623E0,-5.755848815E0
2.292670417E-1,6.675815227E0,4.265924180E0,-5.785452683E0
2.392910416E-1,6.659496818E0,4.247415988E0,-5.817786031E0
2.493140416E-1,6.644689913E0,4.225847656E0,-5.850333388E0
2.593370416E-1,6.629048027E0,4.202430727E0,-5.884847163E0
2.693600416E-1,6.601210603E0,4.180972030E0,-5.931237803E0
2.793830417E-1,6.557231939E0,4.163407579E0,-5.992065217E0
2.894060416E-1,6.516082159E0,4.151909614E0,-6.044701853E0
2.994290416E-1,6.480110673E0,4.144347995E0,-6.088403358E0
3.094520416E-1,6.445882827E0,4.132602108E0,-6.132560361E0
3.194750416E-1,6.413827806E0,4.111753861E0,-6.179997067E0
3.294980417E-1,6.386634160E0,4.081982470E0,-6.227713856E0
3.395220416E-1,6.370460177E0,4.047253810E0,-6.266820619E0
3.495450416E-1,6.368364535E0,4.013718858E0,-6.290479038E0
3.595680416E-1,6.374697654E0,3.985644037E0,-6.301905082E0
3.695910416E-1,6.382901298E0,3.965312684E0,-6.306421471E0
3.796140417E-1,6.390208563E0,3.952362563E0,-6.307148280E0
3.896370416E-1,6.393071360E0,3.945007935E0,-6.308855082E0
3.996600417E-1,6.386217254E0,3.938477764E0,-6.319867728E0
4.096830416E-1,6.374943237E0,3.927123933E0,-6.338289381E0
4.197060416E-1,6.372062899E0,3.911349900E0,-6.350927553E0
4.297290416E-1,6.384007591E0,3.896313200E0,-6.348168837E0
4.397530416E-1,6.407455510E0,3.885728570E0,-6.331013106E0
4.497760417E-1,6.435073079E0,3.879686058E0,-6.306662961E0
4.597990416E-1,6.462663167E0,3.877572581E0,-6.279694433E0
