"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
6.210791762E-3,4.982777237E-1,2.929797503E-1,-8.157286718E-1,-2.165460822E-2,1.202277592E2,1.469221715E2,-5.315208358E1,-1.235884499E2
1.623279171E-2,4.990931809E-1,2.935487116E-1,-8.150296452E-1,-2.149230071E-2,1.201199531E2,1.467777480E2,-5.321932835E1,-1.233848865E2
2.625579177E-2,4.997366369E-1,2.940950191E-1,-8.144416967E-1,-2.135308967E-2,1.200348449E2,1.466570375E2,-5.326908178E1,-1.232078170E2
3.627779172E-2,4.999570649E-1,2.945409749E-1,-8.141485653E-1,-2.123364550E-2,1.200056810E2,1.466048957E2,-5.328031739E1,-1.231071611E2
4.630079167E-2,4.996208384E-1,2.948086074E-1,-8.142597487E-1,-2.116260699E-2,1.200501639E2,1.466439265E2,-5.324144242E1,-1.231139593E2
5.632279173E-2,4.988873989E-1,2.948630822E-1,-8.146898784E-1,-2.115177525E-2,1.201471637E2,1.467510868E2,-5.316862941E1,-1.232103773E2
6.634579168E-2,4.980337988E-1,2.947358830E-1,-8.152575964E-1,-2.116901331E-2,1.202599956E2,1.468861589E2,-5.308935953E1,-1.233525496E2
7.636779174E-2,4.972928994E-1,2.945254648E-1,-8.157850432E-1,-2.119830537E-2,1.203578786E2,1.470087396E2,-5.302341032E1,-1.234914640E2
8.639079169E-2,4.968048599E-1,2.943500918E-1,-8.161435864E-1,-2.127292636E-2,1.204223292E2,1.470845895E2,-5.297804318E1,-1.235859685E2
9.641279175E-2,4.966323740E-1,2.942798119E-1,-8.162705117E-1,-2.140288617E-2,1.204451027E2,1.470980400E2,-5.295626017E1,-1.236153796E2
1.064347917E-1,4.967463390E-1,2.943038989E-1,-8.161896108E-1,-2.151141431E-2,1.204300560E2,1.470647185E2,-5.296013761E1,-1.235896973E2
1.164577918E-1,4.970531681E-1,2.943652647E-1,-8.159802252E-1,-2.152936886E-2,1.203895401E2,1.470121679E2,-5.298673097E1,-1.235352106E2
1.264797917E-1,4.974092457E-1,2.944776071E-1,-8.157246678E-1,-2.145849894E-2,1.203425108E2,1.469602165E2,-5.302136725E1,-1.234696864E2
1.365027918E-1,4.977704864E-1,2.946216018E-1,-8.154554127E-1,-2.133547229E-2,1.202947883E2,1.469118763E2,-5.305830317E1,-1.234006081E2
1.465247917E-1,4.981657395E-1,2.947665237E-1,-8.151647469E-1,-2.121472157E-2,1.202425594E2,1.468579610E2,-5.309836443E1,-1.233262942E2
1.565477917E-1,4.985387813E-1,2.948890868E-1,-8.148950914E-1,-2.110813219E-2,1.201932529E2,1.468070530E2,-5.313626169E1,-1.232580265E2
1.665697917E-1,4.988375392E-1,2.949799765E-1,-8.146819759E-1,-2.100780161E-2,1.201537561E2,1.467687693E2,-5.316775669E1,-1.232052504E2
1.765927917E-1,4.990752264E-1,2.950368326E-1,-8.145178139E-1,-2.092454051E-2,1.201223274E2,1.467398963E2,-5.319358565E1,-1.231659403E2
