"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.699500066E-3,1.008901978E1,-2.634521484E-1,-3.299139404E0
7.322499994E-3,9.863588562E0,-4.516108704E-1,-3.235821075E0
1.734549995E-2,9.743089142E0,-3.640429688E-1,-3.341800690E0
2.736850001E-2,9.601483612E0,-3.237767029E-1,-3.313958588E0
3.739049996E-2,9.318721619E0,-3.251239014E-1,-3.227438507E0
4.741350003E-2,8.958420868E0,-2.671943665E-1,-3.106939087E0
5.743649998E-2,8.712931366E0,-1.483415222E-1,-3.107238464E0
6.745850004E-2,8.802744598E0,-5.119354248E-2,-3.200195160E0
7.748149999E-2,9.080267487E0,1.556762695E-2,-3.291056213E0
8.750449994E-2,9.253756714E0,9.624984741E-2,-3.331771545E0
9.752650000E-2,9.282646637E0,2.351609802E-1,-3.274590454E0
1.075495000E-1,9.234446869E0,3.709286499E-1,-3.098257141E0
1.175725000E-1,9.243278503E0,4.309538269E-1,-2.947819977E0
1.275945000E-1,9.311386871E0,4.638853455E-1,-2.815345459E0
1.376175000E-1,9.409432983E0,4.189787292E-1,-2.784060516E0
1.476405000E-1,9.529932404E0,3.513194275E-1,-2.877466278E0
1.576624999E-1,9.623038788E0,3.327580261E-1,-2.931354218E0
1.676855000E-1,9.704918518E0,3.923341370E-1,-2.993175659E0
1.777090000E-1,9.838141479E0,4.706213379E-1,-3.057841187E0
1.877310000E-1,1.002435425E1,6.044430542E-1,-3.183280334E0
1.977540000E-1,1.019949005E1,6.924600220E-1,-3.287164307E0
2.077770000E-1,1.025008484E1,6.981481934E-1,-3.294049988E0
2.177990000E-1,1.024694138E1,5.593867493E-1,-3.235970764E0
2.278219999E-1,1.015952316E1,2.579136658E-1,-3.043022003E0
2.378450000E-1,9.888586578E0,-2.185455322E-2,-2.834206238E0
2.478669999E-1,9.676926727E0,-1.034349060E-1,-2.774330750E0
2.578900000E-1,9.522148590E0,-4.026626587E-2,-2.811303864E0
2.679130000E-1,9.406439209E0,5.792953491E-2,-2.963237915E0
2.779350000E-1,9.392667847E0,1.140628052E-1,-3.167563019E0
2.879580000E-1,9.392368469E0,1.279838562E-1,-3.378474426E0
2.979810000E-1,9.387578430E0,5.074447632E-2,-3.506458282E0
3.080030000E-1,9.330397339E0,-9.190887451E-2,-3.500171356E0
3.180259999E-1,9.238338776E0,-2.044747925E-1,-3.489842834E0
3.280480000E-1,9.199868774E0,-2.392025757E-1,-3.492088165E0
3.380709999E-1,9.165590057E0,-2.085163879E-1,-3.468886414E0
3.480940000E-1,9.099577332E0,-1.701960754E-1,-3.350033569E0
3.581170000E-1,8.985664215E0,-1.013392639E-1,-3.145858154E0
3.681390000E-1,8.771010590E0,-7.484436035E-2,-3.006348267E0
3.781620000E-1,8.602910156E0,-4.819976807E-2,-2.936144257E0
3.881849999E-1,8.542286224E0,-6.301895142E-2,-2.872975616E0
3.982070000E-1,8.512947235E0,-1.320254517E-1,-2.840493164E0
4.082299999E-1,8.532107391E0,-2.324665833E-1,-2.782413940E0
4.182520000E-1,8.610993347E0,-3.914360046E-1,-2.709814911E0
