"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.233449997E-2,9.307771538E0,9.676180769E-2,-3.097114888E0
2.235650003E-2,9.314145588E0,1.143691810E-1,-3.077282886E0
3.237949999E-2,9.320057123E0,1.286654954E-1,-3.058769432E0
4.240249994E-2,9.323956046E0,1.376860224E-1,-3.046471276E0
5.242450000E-2,9.325016146E0,1.402252214E-1,-3.043105034E0
6.244749995E-2,9.322904132E0,1.371768395E-1,-3.049711803E0
7.247050002E-2,9.317372081E0,1.321773148E-1,-3.066795613E0
8.249249996E-2,9.308876662E0,1.296184271E-1,-3.092588850E0
9.251550003E-2,9.298346996E0,1.318725470E-1,-3.124010910E0
1.025385000E-1,9.286435633E0,1.385559327E-1,-3.158956210E0
1.125604999E-1,9.273665898E0,1.470032681E-1,-3.195869974E0
1.225835000E-1,9.260296240E0,1.551813210E-1,-3.234028611E0
1.326064999E-1,9.247180935E0,1.620797016E-1,-3.271010204E0
1.426285000E-1,9.235297639E0,1.678893123E-1,-3.304120063E0
1.526515000E-1,9.224722365E0,1.721205403E-1,-3.333313749E0
1.626745000E-1,9.214839985E0,1.738373011E-1,-3.360447753E0
1.726965000E-1,9.205676814E0,1.729444861E-1,-3.385510673E0
1.827199999E-1,9.198198810E0,1.704539742E-1,-3.405902545E0
1.927430000E-1,9.193830940E0,1.677461469E-1,-3.417806015E0
2.027649999E-1,9.193454964E0,1.644694403E-1,-3.418983644E0
2.127880000E-1,9.197421130E0,1.604700179E-1,-3.408491108E0
2.228110000E-1,9.204457085E0,1.557831274E-1,-3.389657519E0
2.328330000E-1,9.212836145E0,1.500716220E-1,-3.367080834E0
2.428560000E-1,9.221801680E0,1.428618041E-1,-3.342764603E0
2.528790000E-1,9.230694711E0,1.337868706E-1,-3.318505383E0
2.629010000E-1,9.239039272E0,1.228452957E-1,-3.295625520E0
2.729239999E-1,9.246698540E0,1.106534308E-1,-3.274511517E0
2.829470000E-1,9.253770162E0,9.808686898E-2,-3.254879490E0
2.929689999E-1,9.260406168E0,8.545932256E-2,-3.236307856E0
3.029920000E-1,9.266637545E0,7.229391909E-2,-3.218743990E0
3.130140000E-1,9.272411086E0,5.774627038E-2,-3.202366231E0
3.230370000E-1,9.276985363E0,4.159327319E-2,-3.189344482E0
3.330600000E-1,9.279662803E0,2.523116266E-2,-3.181721759E0
3.430829999E-1,9.280390781E0,1.082164986E-2,-3.179677573E0
3.531050000E-1,9.279220169E0,-4.286912708E-4,-3.183106380E0
3.631279999E-1,9.276796498E0,-8.849548472E-3,-3.190153736E0
3.731510000E-1,9.274138353E0,-1.550287132E-2,-3.197849257E0
3.831730000E-1,9.271949741E0,-2.112295691E-2,-3.204156649E0
3.931960000E-1,9.270404322E0,-2.620733476E-2,-3.208590300E0
4.032180000E-1,9.269307384E0,-3.187893066E-2,-3.211705989E0
4.132410000E-1,9.268135017E0,-3.945091276E-2,-3.214998848E0
4.232640000E-1,9.266450434E0,-4.968754641E-2,-3.219704687E0
