"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
5.731625017E-3,9.595622363E0,7.631508127E-1,-1.891496496E0
1.575462497E-2,9.597290574E0,7.945109651E-1,-1.869996430E0
2.577762504E-2,9.595565060E0,8.210622943E-1,-1.867373954E0
3.579962498E-2,9.591964345E0,8.371504696E-1,-1.878696794E0
4.582262505E-2,9.588232067E0,8.431479587E-1,-1.895003509E0
5.584562500E-2,9.585114332E0,8.430149346E-1,-1.910763802E0
6.586762506E-2,9.582960802E0,8.413430694E-1,-1.922263375E0
7.589062501E-2,9.581746920E0,8.421260847E-1,-1.927972450E0
8.591362508E-2,9.580963978E0,8.468691999E-1,-1.929779386E0
9.593562502E-2,9.579564155E0,8.573091841E-1,-1.932109648E0
1.059586250E-1,9.576952204E0,8.741536237E-1,-1.937515398E0
1.159816250E-1,9.573041586E0,8.936272638E-1,-1.947927682E0
1.260036250E-1,9.567451648E0,9.092572367E-1,-1.968045173E0
1.360266251E-1,9.560031531E0,9.170075018E-1,-2.000246374E0
1.460496250E-1,9.551517985E0,9.170430967E-1,-2.040496268E0
1.560716251E-1,9.543018472E0,9.111787049E-1,-2.082465682E0
1.660946250E-1,9.535199575E0,9.020325632E-1,-2.121887025E0
1.761166251E-1,9.528282904E0,8.942290885E-1,-2.155994126E0
1.861396250E-1,9.521818807E0,8.918793118E-1,-2.185320836E0
1.961626250E-1,9.515116144E0,8.948485279E-1,-2.213132387E0
2.061846250E-1,9.507760347E0,8.998464355E-1,-2.242523562E0
2.162076250E-1,9.499977118E0,9.043347582E-1,-2.273483400E0
2.262306251E-1,9.493089682E0,9.072924992E-1,-2.300906549E0
2.362526250E-1,9.488372149E0,9.073403002E-1,-2.320268142E0
2.462756251E-1,9.486268321E0,9.035802481E-1,-2.330311612E0
2.562986250E-1,9.486715633E0,8.972697868E-1,-2.330932732E0
2.663206250E-1,9.489329923E0,8.919219234E-1,-2.322326362E0
2.763436250E-1,9.493204873E0,8.905019271E-1,-2.306982683E0
2.863666250E-1,9.496927210E0,8.926329448E-1,-2.290786188E0
2.963886251E-1,9.499488875E0,8.945077083E-1,-2.279404290E0
3.064116250E-1,9.500636684E0,8.920149672E-1,-2.275594098E0
3.164346251E-1,9.500490503E0,8.855681196E-1,-2.278714173E0
3.264566250E-1,9.501591534E0,8.787454422E-1,-2.276775236E0
3.364796251E-1,9.506566345E0,8.766058729E-1,-2.256742090E0
3.465026250E-1,9.516913578E0,8.841313125E-1,-2.209705918E0
3.565246250E-1,9.531780124E0,8.977007997E-1,-2.139015712E0
3.665476250E-1,9.547554157E0,9.081965518E-1,-2.062892420E0
3.765706250E-1,9.563049864E0,9.108155928E-1,-1.988624156E0
3.865926251E-1,9.577778415E0,9.076985152E-1,-1.917903837E0
3.966156250E-1,9.590389690E0,9.044666129E-1,-1.855395055E0
4.066386251E-1,9.599362242E0,9.049531013E-1,-1.808144729E0
4.166606250E-1,9.603784491E0,9.103119282E-1,-1.781781972E0
4.266836250E-1,9.603589779E0,9.188118064E-1,-1.778462216E0
4.367056250E-1,9.599430655E0,9.280086726E-1,-1.796065843E0
4.467286250E-1,9.592256121E0,9.364117793E-1,-1.829721832E0
4.567516251E-1,9.582819884E0,9.442429552E-1,-1.874592341E0
4.667736250E-1,9.571390917E0,9.527559165E-1,-1.927902868E0
4.767966251E-1,9.558429978E0,9.623667656E-1,-1.986542547E0
4.868196250E-1,9.545054473E0,9.726602771E-1,-2.044983275E0
4.968416251E-1,9.532513365E0,9.826993617E-1,-2.097992378E0
5.068646250E-1,9.521881957E0,9.922366089E-1,-2.141331064E0
5.168876250E-1,9.514042595E0,1.001616566E0,-2.171608531E0
5.269096250E-1,9.509360145E0,1.011506254E0,-2.187464426E0
5.369326250E-1,9.507629954E0,1.022131230E0,-2.190049333E0
5.469556251E-1,9.508218768E0,1.032690863E0,-2.182526160E0
5.569776250E-1,9.510290437E0,1.042255300E0,-2.168912087E0
5.670006251E-1,9.513200011E0,1.049957764E0,-2.152369583E0
5.770236250E-1,9.516214251E0,1.056153473E0,-2.135949871E0
5.870456250E-1,9.518094131E0,1.061951572E0,-2.124672785E0
5.970686250E-1,9.517438073E0,1.067811433E0,-2.124675562E0
6.070916250E-1,9.513408757E0,1.074559339E0,-2.139275767E0
6.171136250E-1,9.506002674E0,1.082323345E0,-2.168088069E0
6.271366250E-1,9.495912718E0,1.090022447E0,-2.208076299E0
6.371596251E-1,9.484394288E0,1.096615913E0,-2.253842456E0
6.471816250E-1,9.472944855E0,1.102078821E0,-2.298881658E0
6.572046251E-1,9.462588851E0,1.107662619E0,-2.338502684E0
6.672276250E-1,9.453385334E0,1.116202405E0,-2.371425724E0
6.772496250E-1,9.444772385E0,1.130139170E0,-2.398993884E0
6.872726250E-1,9.436070559E0,1.151041358E0,-2.423178991E0
6.972956250E-1,9.426784011E0,1.178767466E0,-2.445889430E0
7.073176251E-1,9.416880582E0,1.211643875E0,-2.467874669E0
7.173406250E-1,9.407160171E0,1.246806179E0,-2.487354960E0
7.273636251E-1,9.398210422E0,1.281496686E0,-2.503502923E0
7.373856250E-1,9.390372230E0,1.313347055E0,-2.516374107E0
7.474086250E-1,9.384055483E0,1.341052332E0,-2.525312745E0
7.574306250E-1,9.379667732E0,1.364616026E0,-2.528986259E0
7.674536250E-1,9.377193190E0,1.385199248E0,-2.526971016E0
