"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.731625017E-3,6.978008687E-2,3.634067917E-1,-2.345322584E-1
1.575462497E-2,-2.947347522E-1,7.772513732E-2,-3.468945470E-1
2.577762504E-2,-4.645530975E-1,-1.881782370E-1,-5.042931139E-1
3.579962498E-2,-2.665067339E-1,-3.270113826E-1,-4.208217716E-1
4.582262505E-2,5.965680242E-2,-2.786715737E-1,-2.606633189E-1
5.584562500E-2,2.346154350E-1,-2.541514210E-2,-1.359302223E-1
6.586762506E-2,3.021823508E-1,2.828190769E-1,3.813086271E-2
7.589062501E-2,2.957638621E-1,5.110599504E-1,1.942769560E-1
8.591362508E-2,1.660170704E-1,6.220262895E-1,1.902461779E-1
9.593562502E-2,-4.259755075E-2,5.177313311E-1,4.827709749E-2
1.059586250E-1,-3.245415187E-1,2.244118975E-1,-1.019932750E-1
1.159816250E-1,-6.923085791E-1,-2.677988224E-2,-1.517554191E-1
1.260036250E-1,-9.524178743E-1,-1.491379130E-1,-1.219083068E-1
1.360266251E-1,-1.012506786E0,-2.321818238E-1,-1.621560077E-1
1.460496250E-1,-7.815558010E-1,-3.166416380E-1,-1.840269332E-1
1.560716251E-1,-3.669502044E-1,-3.980458434E-1,-1.052346790E-1
1.660946250E-1,1.560972691E-1,-5.098481881E-1,-1.417131186E-2
1.761166251E-1,5.620852393E-1,-5.704523856E-1,2.532516807E-2
1.861396250E-1,7.312603909E-1,-5.658572050E-1,4.432277173E-2
1.961626250E-1,6.418634802E-1,-4.171916740E-1,8.530590624E-2
2.061846250E-1,4.805200893E-1,-2.254987487E-1,1.920865890E-1
2.162076250E-1,3.827721852E-1,-8.598652214E-2,2.856177735E-1
2.262306251E-1,2.937079811E-1,-4.523515664E-2,4.274022281E-1
2.362526250E-1,2.894447762E-1,-5.725798219E-2,5.256494844E-1
2.462756251E-1,3.033740133E-1,-5.259994403E-2,6.054487753E-1
2.562986250E-1,2.274835861E-1,3.514140062E-2,6.746271837E-1
2.663206250E-1,1.070642728E-1,1.082981814E-1,6.185687578E-1
2.763436250E-1,-6.233131886E-3,8.980957791E-2,3.851291978E-1
2.863666250E-1,-1.422791290E-1,-1.949856386E-2,1.388605544E-1
2.963886251E-1,-2.416905659E-1,-1.189703733E-1,1.889820099E-3
3.064116250E-1,-1.822144425E-1,-1.555464613E-1,-1.174799180E-1
3.164346251E-1,7.494610190E-2,-1.166171613E-1,-2.610546438E-1
3.264566250E-1,5.803952104E-1,-2.629259721E-1,-2.162914306E-1
3.364796251E-1,1.208153452E0,-5.478895153E-1,-1.019032279E-1
3.465026250E-1,1.594631018E0,-7.042054702E-1,-6.152235657E-2
3.565246250E-1,1.372144462E0,-4.721359860E-1,3.319478944E-2
3.665476250E-1,5.865230924E-1,-4.494169950E-2,1.140762538E-2
3.765706250E-1,-1.573579288E-1,4.333891922E-1,-1.571640936E-1
3.865926251E-1,-5.768459505E-1,7.248065997E-1,-5.088492644E-1
3.966156250E-1,-7.746210033E-1,7.915067388E-1,-6.735960272E-1
4.066386251E-1,-9.268480003E-1,6.787534907E-1,-6.579765062E-1
4.166606250E-1,-1.108950176E0,4.201212752E-1,-6.295533371E-1
4.266836250E-1,-1.256199439E0,1.558033734E-1,-6.078752236E-1
4.367056250E-1,-1.317751908E0,-3.526499614E-2,-5.682676466E-1
4.467286250E-1,-1.183491066E0,-1.218054689E-1,-4.912013443E-1
4.567516251E-1,-8.025280094E-1,-7.335397817E-2,-3.631050754E-1
4.667736250E-1,-2.721300012E-1,-2.273989476E-2,-2.858433299E-1
4.767966251E-1,2.208826643E-1,-2.052562729E-2,-1.793034062E-1
4.868196250E-1,5.833328515E-1,-6.839086153E-2,5.773686916E-3
4.968416251E-1,8.235505038E-1,-1.429456385E-1,1.701517828E-1
5.068646250E-1,9.807259995E-1,-2.140050962E-1,3.184221151E-1
5.168876250E-1,1.029283032E0,-2.570647962E-1,4.591698584E-1
5.269096250E-1,9.552274615E-1,-2.468962689E-1,5.423856774E-1
5.369326250E-1,7.984384668E-1,-1.724979781E-1,5.433244479E-1
5.469556251E-1,5.688259095E-1,-6.794713095E-2,5.244239080E-1
5.569776250E-1,3.703620547E-1,-1.104984887E-2,3.951001623E-1
5.670006251E-1,2.186613071E-1,2.765111737E-2,2.489281033E-1
5.770236250E-1,1.364617342E-1,2.669451289E-2,9.150088504E-2
5.870456250E-1,5.883994639E-2,1.610644788E-2,-9.086923957E-2
5.970686250E-1,6.548355281E-2,1.982666574E-2,-2.200479743E-1
6.070916250E-1,5.903641284E-2,3.313741364E-2,-1.967672852E-1
6.171136250E-1,3.425883651E-2,3.689914674E-2,-6.661498904E-2
6.271366250E-1,5.018606722E-2,7.046260312E-3,7.321649551E-2
6.371596251E-1,1.825032949E-1,-7.244561322E-2,1.788581407E-1
6.471816250E-1,3.651972091E-1,-1.590396611E-1,1.993476614E-1
6.572046251E-1,6.481357884E-1,-1.598334937E-1,1.760994244E-1
6.672276250E-1,9.014798552E-1,-1.194254328E-1,6.607046708E-2
6.772496250E-1,1.024606429E0,-1.245303445E-1,-7.027183771E-2
6.872726250E-1,9.713377100E-1,-3.476619210E-1,-7.452773362E-2
6.972956250E-1,7.330391139E-1,-6.807528730E-1,8.829149455E-2
7.073176251E-1,4.101845169E-1,-1.039352230E0,3.910933578E-1
7.173406250E-1,8.411219716E-3,-1.306831210E0,8.367374370E-1
7.273636251E-1,-3.686862427E-1,-1.444657246E0,1.241177649E0
7.373856250E-1,-6.816321480E-1,-1.436690560E0,1.394157475E0
7.474086250E-1,-8.482052886E-1,-1.315605103E0,1.155660951E0
7.574306250E-1,-7.878339565E-1,-1.066286260E0,6.017439795E-1
7.674536250E-1,-5.153215474E-1,-7.816541804E-1,3.360628724E-2
7.774766251E-1,-2.151734430E-1,-5.672245033E-1,-3.215579769E-1
7.874986250E-1,-3.763852715E-3,-3.687724891E-1,-3.439215302E-1
7.975216251E-1,7.905494034E-2,-9.508961365E-2,-2.451386690E-1
8.075446250E-1,8.199784398E-2,2.375171158E-1,-1.720101741E-1
8.175666251E-1,1.511727440E-1,5.795211978E-1,-8.159307048E-2
8.275896250E-1,2.642058545E-1,8.354906644E-1,3.295987755E-2
8.376126250E-1,2.110996878E-1,9.476629186E-1,2.014136289E-1
8.476346250E-1,-8.744335592E-2,8.755432145E-1,3.295514131E-1
8.576576250E-1,-4.406216133E-1,4.363556309E-1,5.442823680E-1
8.676806251E-1,-6.916554451E-1,-3.088611867E-1,7.468133998E-1
8.777026250E-1,-8.024274373E-1,-1.013543790E0,8.594351587E-1
8.877249584E-1,-7.524875379E-1,-1.462144075E0,7.963869712E-1
8.977479583E-1,-6.376113850E-1,-1.559165901E0,5.767062020E-1
9.077699584E-1,-6.131752861E-1,-1.369663343E0,3.241876160E-1
9.177929583E-1,-5.945367014E-1,-1.119807579E0,7.548170686E-2
9.278159584E-1,-4.947364247E-1,-8.596018043E-1,-2.238745384E-1
9.378379583E-1,-2.411380041E-1,-4.957134944E-1,-6.006692612E-1
9.478609584E-1,5.817745686E-2,-1.649894223E-2,-9.549657986E-1
9.578839584E-1,2.579429018E-1,4.121171679E-1,-1.215424319E0
9.679059584E-1,2.755710876E-1,6.406715253E-1,-1.436642906E0
9.779289584E-1,1.787049437E-1,6.157699880E-1,-1.488656666E0
9.879519583E-1,-3.985403717E-2,5.244285858E-1,-1.212660925E0
9.979739584E-1,-3.387993693E-1,4.704087916E-1,-8.615892729E-1
1.007996958E0,-6.909543639E-1,5.102303767E-1,-6.382270968E-1
1.018019958E0,-9.208838403E-1,6.390154476E-1,-6.463538495E-1
1.028041958E0,-9.310036165E-1,8.096839781E-1,-7.051423404E-1
1.038064958E0,-8.137236732E-1,8.717565577E-1,-5.967726767E-1
1.048086958E0,-7.294027305E-1,7.965319821E-1,-3.563211358E-1
1.058109958E0,-6.958075529E-1,6.446261434E-1,-1.488535921E-1
1.068132958E0,-6.030993640E-1,5.401818618E-1,1.722443551E-2
1.078154958E0,-4.044144845E-1,3.700704248E-1,1.862335262E-1
1.088177958E0,-5.477379262E-2,2.134056835E-1,2.519591537E-1
1.098200958E0,3.681319267E-1,1.200024068E-1,1.512604523E-1
1.108222958E0,7.128334755E-1,8.535122216E-2,-5.825697899E-2
1.118245958E0,9.763025808E-1,5.954424351E-2,-3.472670147E-1
1.128268958E0,1.062571231E0,-7.861157522E-2,-3.974855340E-1
1.138290958E0,9.508999372E-1,-3.191802067E-1,-1.609261921E-1
1.148313958E0,7.037872481E-1,-5.964861631E-1,1.378212118E-1
1.158336958E0,4.028760821E-1,-6.451317814E-1,3.808446506E-1
1.168358958E0,2.414058065E-1,-4.187770003E-1,5.996345964E-1
1.178381958E0,1.498477650E-1,-7.385618091E-2,7.278380156E-1
1.188404958E0,1.045476311E-1,2.390581495E-1,7.372227967E-1
1.198426958E0,1.530537933E-1,3.380908330E-1,7.648014817E-1
1.208449958E0,2.696624762E-1,2.521059188E-1,6.558316013E-1
1.218472958E0,3.279750037E-1,5.293601274E-2,4.269519925E-1
1.228494958E0,3.461703694E-1,-2.421389012E-1,1.605879307E-1
1.238517958E0,2.988014907E-1,-6.363568649E-1,-1.369447142E-2
1.248540958E0,3.252127790E-1,-1.004565975E0,-1.076849547E-1
1.258562958E0,3.362113917E-1,-1.325608081E0,-1.297041070E-1
1.268585958E0,1.207034880E-1,-1.490083825E0,-1.243732005E-2
1.278608958E0,-2.570915473E-1,-1.516928539E0,2.873064494E-1
1.288630958E0,-4.523388487E-1,-1.370758526E0,4.816304755E-1
1.298653958E0,-1.742593056E-1,-8.726861188E-1,3.295195457E-1
1.308676958E0,4.143009567E-1,-2.089540520E-1,-3.018420428E-2
1.318698958E0,7.277169782E-1,2.678877001E-1,-3.099910149E-1
1.328721958E0,5.004134864E-1,6.337718108E-1,-2.341280696E-1
1.338743958E0,-4.079193056E-2,7.164897394E-1,-2.366634223E-1
1.348766958E0,-7.709167922E-1,4.738298513E-1,-8.122893512E-2
1.358789958E0,-1.176980776E0,7.352946773E-2,2.448957172E-1
1.368811958E0,-8.923155141E-1,-3.235654722E-1,6.806977630E-2
1.378834958E0,-4.392334843E-1,-4.747830936E-1,-1.988912863E-1
1.388857958E0,-1.719964331E-1,-4.046374096E-1,-2.747898996E-2
1.398879958E0,1.188966984E-1,-2.251986404E-1,2.668286231E-1
1.408902958E0,3.926177269E-1,1.432538599E-2,3.565772438E-1
1.418925958E0,6.569761938E-1,2.963313344E-1,2.725881305E-1
1.428947958E0,9.385769302E-1,5.358740719E-1,3.724793315E-2
1.438970958E0,8.900842166E-1,6.331324178E-1,-4.020808607E-2
1.448993958E0,6.172081107E-1,6.011575037E-1,-1.549295801E-1
1.459015958E0,3.315248483E-1,4.597120415E-1,-2.647361970E-1
1.469038958E0,-1.154064953E-2,2.919118626E-1,-1.430322504E-1
1.479061958E0,-3.951033783E-1,1.844375539E-1,1.245097330E-1
1.489083958E0,-6.429341054E-1,1.673493585E-1,2.094189057E-1
1.499106958E0,-6.817859298E-1,2.614141014E-1,4.487767249E-2
1.509129958E0,-6.430995816E-1,4.666765139E-1,-2.399779165E-1
1.519151958E0,-5.284812909E-1,7.086278656E-1,-3.401544616E-1
1.529174958E0,-3.189597666E-1,7.046630149E-1,-3.949662611E-1
1.539197958E0,-4.106265664E-2,5.136996759E-1,-5.295305738E-1
1.549219958E0,3.115028125E-1,2.865352017E-1,-5.806118497E-1
1.559242958E0,5.402277625E-1,8.350949541E-2,-5.940408576E-1
1.569265958E0,5.599059820E-1,2.851745546E-2,-6.676081860E-1
1.579287958E0,4.152721792E-1,1.849795908E-2,-6.583353791E-1
1.589310958E0,3.128511804E-1,7.572699755E-2,-6.395912522E-1
1.599333958E0,2.601630896E-1,2.327219604E-1,-7.524615178E-1
1.609355958E0,2.005320150E-1,4.507178544E-1,-8.597254729E-1
1.619378958E0,1.424416816E-1,5.082163033E-1,-8.440862176E-1
1.629400958E0,4.021773398E-2,2.809340076E-1,-6.043141231E-1
1.639423958E0,1.299894512E-2,-3.002298193E-1,-3.164062876E-1
1.649446958E0,-5.878966033E-2,-8.998338640E-1,-2.022011027E-1
1.659468958E0,-1.660422134E-1,-1.111719271E0,-1.981600919E-1
1.669491958E0,-2.189460665E-1,-9.313081102E-1,-1.563858292E-1
1.679514958E0,-2.629504573E-1,-4.792126518E-1,-5.896098375E-2
1.689536958E0,-2.633392972E-1,1.011039135E-1,1.192887542E-1
1.699559958E0,-2.155710536E-1,6.056401254E-1,9.621681064E-2
1.709582958E0,-5.618589520E-2,9.329956166E-1,-4.670960516E-2
1.719604958E0,2.765364629E-1,1.000589722E0,-2.355790561E-1
1.729627958E0,7.624500239E-1,8.902137324E-1,-4.702883390E-1
1.739650958E0,1.311831602E0,5.930965322E-1,-6.975412524E-1
1.749672958E0,1.474280702E0,2.393149884E-1,-4.867906433E-1
1.759695958E0,1.304006858E0,-5.783364058E-2,-3.138528085E-1
1.769718958E0,1.010880091E0,-3.170328167E-1,-1.530271885E-1
1.779740958E0,6.729601425E-1,-5.177997436E-1,2.516474971E-1
1.789763958E0,4.737823427E-1,-6.778748734E-1,8.157017863E-1
1.799786958E0,4.097319424E-1,-7.069847980E-1,1.189890844E0
1.809808958E0,4.532024825E-1,-4.921994640E-1,1.197862353E0
1.819831958E0,5.418030024E-1,9.335766837E-2,1.004779106E0
1.829854958E0,6.298111993E-1,7.705750224E-1,8.803421706E-1
1.839876958E0,7.505854386E-1,1.170053434E0,8.131307656E-1
