"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.660999775E-2,5.238160954E1,4.859968230E0,4.411582591E0,NaN,NaN,2.444792266E1,3.000000000E0
1.181021094E0,5.238120026E1,4.860371925E0,2.525733082E0,NaN,NaN,2.057108990E1,3.000000000E1
3.551860332E0,5.238115810E1,4.860420351E0,3.155398178E1,3.259999990E0,1.838671875E2,1.915877858E1,4.800000000E1
4.551851273E0,5.238113549E1,4.860485113E0,6.130638123E-1,3.259999990E0,1.877343750E2,1.724905593E1,4.000000000E0
5.551842928E0,5.238116595E1,4.860678641E0,8.003196716E-1,1.620000005E0,NaN,1.252160564E1,4.000000000E0
6.551833749E0,5.238114574E1,4.860705440E0,1.470546722E0,6.700000167E-1,1.803515625E2,1.174426551E1,4.000000000E0
7.551824450E0,5.238116559E1,4.860653988E0,2.026943207E0,5.000000000E-1,NaN,1.180237553E1,4.000000000E0
8.551816583E0,5.238118343E1,4.860643611E0,3.793117523E0,0.000000000E0,NaN,1.147031058E1,4.000000000E0
9.552520037E0,5.238119208E1,4.860666283E0,3.963771820E0,0.000000000E0,NaN,1.216377568E1,4.000000000E0
1.055252004E1,5.238117252E1,4.860679282E0,3.942470551E0,0.000000000E0,1.367578125E2,1.227855540E1,4.000000000E0
1.155251133E1,5.238116378E1,4.860683553E0,5.848293304E0,5.799999833E-1,1.406250000E2,1.230774062E1,4.000000000E0
1.255251527E1,5.238115970E1,4.860685495E0,6.776699066E0,7.099999785E-1,1.402734375E2,1.232866182E1,4.000000000E0
1.355252492E1,5.238116838E1,4.860619717E0,8.828273773E0,1.190000057E0,1.458984375E2,1.105873152E1,4.000000000E0
1.455252135E1,5.238116145E1,4.860625953E0,8.860012054E0,7.099999785E-1,1.480078125E2,1.109907913E1,4.000000000E0
1.555252683E1,5.238114645E1,4.860762907E0,8.860012162E0,7.099999785E-1,1.480078169E2,4.598225172E0,4.089210965E0
