"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.414999995E-3,9.747430115E0,-4.067940674E0,-3.270698547E-1
7.606999949E-3,9.548493805E0,-4.385280762E0,-3.577560425E-1
1.762900001E-2,9.170679474E0,-4.293970642E0,-2.939886475E-1
2.765099995E-2,8.890013123E0,-3.979923706E0,-3.480262756E-1
3.767300001E-2,8.696764984E0,-3.740272064E0,-3.031196594E-1
4.769499996E-2,8.650960236E0,-3.630400543E0,-1.324745178E-1
5.771700002E-2,8.603808289E0,-3.680546265E0,-3.113525391E-2
6.773899996E-2,8.580606537E0,-3.808979187E0,-9.580078125E-2
7.776099991E-2,8.636590118E0,-3.923940125E0,-2.237846375E-1
8.778299997E-2,8.693022766E0,-3.887116699E0,-2.755769348E-1
9.780499991E-2,8.800199890E0,-3.825744324E0,-2.888992310E-1
1.078270000E-1,8.885672150E0,-3.784879303E0,-3.288661194E-1
1.178489999E-1,8.928034058E0,-3.743265839E0,-3.592529297E-1
1.278710000E-1,8.900042267E0,-3.700754242E0,-3.999682617E-1
1.378929999E-1,8.840765533E0,-3.852089539E0,-5.014572144E-1
1.479150000E-1,8.718619537E0,-4.140839081E0,-6.447093201E-1
1.579369999E-1,8.534801788E0,-4.180506592E0,-7.864645386E-1
1.679590000E-1,8.563242645E0,-4.071533203E0,-7.828720093E-1
1.779809999E-1,8.590785370E0,-3.964805145E0,-6.604266357E-1
1.880030000E-1,8.528215485E0,-3.781735840E0,-6.912625122E-1
1.980249999E-1,8.600066071E0,-3.949686584E0,-7.834707642E-1
2.080470000E-1,8.847351837E0,-4.522395630E0,-7.707472229E-1
2.180689999E-1,9.290280762E0,-4.885839844E0,-6.167175293E-1
2.280910000E-1,9.560319214E0,-4.882397003E0,-5.650749207E-1
2.381129999E-1,9.333391113E0,-4.546196136E0,-6.487509155E-1
2.481340000E-1,8.769813080E0,-4.237238617E0,-6.732998657E-1
2.581555833E-1,8.339757385E0,-4.215533752E0,-7.798782349E-1
2.681775833E-1,7.982749786E0,-4.404590607E0,-9.671388245E-1
2.781995833E-1,7.726931763E0,-4.391567688E0,-1.162183228E0
2.882215832E-1,7.649542694E0,-4.228406982E0,-1.222058716E0
2.982435833E-1,7.959248657E0,-3.991300049E0,-1.267115021E0
3.082655832E-1,7.883506165E0,-4.306843872E0,-1.172811127E0
3.182875833E-1,7.109166412E0,-5.017865295E0,-1.341210938E0
3.283095832E-1,8.299940186E0,-4.104165344E0,-1.629511414E0
3.383315833E-1,1.009485764E1,-2.767295380E0,-1.346150665E0
3.483535832E-1,1.058134598E1,-2.577340393E0,-1.186732178E0
3.583755833E-1,1.052850586E1,-3.354075165E0,-1.100960541E0
3.683975833E-1,1.065184937E1,-4.347708893E0,-8.472381592E-1
3.784195833E-1,1.115659973E1,-4.772974548E0,-8.939410400E-1
