"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.003041677E-2,9.671664233E0,1.144451692E0,1.176963015E0
2.005241672E-2,9.665794798E0,1.169116856E0,1.200699495E0
3.007541667E-2,9.662881131E0,1.188633327E0,1.204978633E0
4.009841674E-2,9.662654843E0,1.202886427E0,1.192578882E0
5.012041668E-2,9.663851768E0,1.214201520E0,1.171222511E0
6.014341675E-2,9.665860287E0,1.223880927E0,1.144264874E0
7.016641670E-2,9.668631867E0,1.232453165E0,1.111178550E0
8.018841676E-2,9.671823277E0,1.241387710E0,1.072797353E0
9.021141671E-2,9.675133971E0,1.251635541E0,1.030187450E0
1.002344167E-1,9.678316026E0,1.263256736E0,9.851299030E-1
1.102564167E-1,9.681302199E0,1.274979964E0,9.396366649E-1
1.202794167E-1,9.684117048E0,1.283670535E0,8.978635716E-1
1.303014167E-1,9.686637198E0,1.287464501E0,8.646326756E-1
1.403244167E-1,9.688625252E0,1.288710104E0,8.401592276E-1
1.503474168E-1,9.689954324E0,1.290966690E0,8.211540956E-1
1.603694167E-1,9.690842516E0,1.294850996E0,8.043870585E-1
1.703924168E-1,9.691138970E0,1.300854186E0,7.910229548E-1
1.804154167E-1,9.690530275E0,1.309757595E0,7.837583741E-1
1.904374167E-1,9.688867911E0,1.321831803E0,7.840296118E-1
2.004604167E-1,9.686072942E0,1.337416387E0,7.920856132E-1
2.104834167E-1,9.682742368E0,1.354481047E0,8.037502968E-1
2.205054167E-1,9.679805312E0,1.370485023E0,8.119314285E-1
2.305284167E-1,9.677947066E0,1.383689497E0,8.116739318E-1
2.405514168E-1,9.677336032E0,1.393663239E0,8.018491477E-1
2.505734167E-1,9.677855265E0,1.401764703E0,7.812054066E-1
2.605964167E-1,9.679375541E0,1.410234248E0,7.463595828E-1
2.706184167E-1,9.682049473E0,1.416938812E0,6.973769456E-1
2.806414167E-1,9.684925718E0,1.421712333E0,6.458053806E-1
2.906644167E-1,9.687196777E0,1.426122741E0,6.004116914E-1
3.006864167E-1,9.688978423E0,1.429348796E0,5.628162509E-1
3.107094167E-1,9.690681133E0,1.429531814E0,5.322154325E-1
3.207324167E-1,9.692500201E0,1.425735071E0,5.087492039E-1
3.307544168E-1,9.694099415E0,1.420217492E0,4.934964130E-1
3.407774167E-1,9.695122678E0,1.415574072E0,4.866635760E-1
3.508004167E-1,9.695510933E0,1.412702651E0,4.872493209E-1
3.608224167E-1,9.695453045E0,1.410352947E0,4.951640389E-1
3.708454167E-1,9.695096950E0,1.407269125E0,5.106645325E-1
3.808684167E-1,9.694627419E0,1.402553492E0,5.321070397E-1
3.908904167E-1,9.694071348E0,1.396700137E0,5.570580956E-1
4.009134168E-1,9.693551531E0,1.389864596E0,5.826064081E-1
4.109364167E-1,9.693173801E0,1.382783618E0,6.053228043E-1
4.209584168E-1,9.692551657E0,1.378919924E0,6.237987998E-1
4.309814167E-1,9.691662295E0,1.379825657E0,6.355071913E-1
4.410034167E-1,9.690949520E0,1.384010217E0,6.372816751E-1
4.510264167E-1,9.690763578E0,1.389181641E0,6.288040895E-1
4.610494167E-1,9.691147740E0,1.393325270E0,6.135326240E-1
4.710714167E-1,9.692100837E0,1.395069202E0,5.942024965E-1
4.810944167E-1,9.693846815E0,1.393263144E0,5.694389535E-1
4.911174168E-1,9.696009116E0,1.389675292E0,5.406615162E-1
5.011394167E-1,9.697628210E0,1.388471204E0,5.140773330E-1
5.111624167E-1,9.697883148E0,1.393321323E0,4.958153456E-1
5.211854167E-1,9.696326035E0,1.406428003E0,4.891927892E-1
5.312074167E-1,9.692978504E0,1.427643310E0,4.940545662E-1
5.412304167E-1,9.688048716E0,1.455515964E0,5.092155194E-1
5.512534167E-1,9.681828448E0,1.488066682E0,5.328945866E-1
5.612754168E-1,9.674672626E0,1.522929244E0,5.634951857E-1
5.712984167E-1,9.666688253E0,1.558921487E0,6.008301327E-1
5.813214168E-1,9.657740259E0,1.595859664E0,6.460767645E-1
5.913434167E-1,9.647823381E0,1.633373938E0,6.983643942E-1
6.013664167E-1,9.637325875E0,1.670666456E0,7.529575809E-1
6.113894167E-1,9.626223181E0,1.708789864E0,8.074531922E-1
6.214114167E-1,9.613616000E0,1.751604639E0,8.639277206E-1
6.314344167E-1,9.598947675E0,1.802418989E0,9.206461510E-1
6.414564167E-1,9.582930982E0,1.859382856E0,9.727336597E-1
6.514794168E-1,9.566853477E0,1.916742872E0,1.018576342E0
6.615024167E-1,9.551289359E0,1.969956189E0,1.062179395E0
6.715244168E-1,9.535296639E0,2.019476843E0,1.111725923E0
6.815474167E-1,9.517550924E0,2.070250556E0,1.168937054E0
6.915704167E-1,9.497286814E0,2.127257400E0,1.229812708E0
7.015924167E-1,9.475253336E0,2.190197268E0,1.287902749E0
7.116154167E-1,9.454382284E0,2.251886416E0,1.334076604E0
7.216384168E-1,9.436854671E0,2.308069680E0,1.361870612E0
7.316604167E-1,9.421326805E0,2.365243609E0,1.371247061E0
7.416834168E-1,9.405930501E0,2.432032114E0,1.360063384E0
7.517064167E-1,9.390466370E0,2.507251866E0,1.330006211E0
7.617284167E-1,9.377039993E0,2.580615126E0,1.283608116E0
7.717514167E-1,9.367848755E0,2.641222101E0,1.226166604E0
7.817744167E-1,9.361850097E0,2.687273602E0,1.170664321E0
7.917964167E-1,9.354719417E0,2.725978661E0,1.137700059E0
8.018194167E-1,9.342670645E0,2.764869955E0,1.142850067E0
8.118424168E-1,9.324647772E0,2.805484715E0,1.190081024E0
8.218644167E-1,9.302018462E0,2.843266498E0,1.274522274E0
8.318874167E-1,9.275259265E0,2.879206409E0,1.384140025E0
8.419094167E-1,9.245050210E0,2.919624703E0,1.496979154E0
8.519324167E-1,9.211372002E0,2.971210009E0,1.599580686E0
8.619554167E-1,9.173701900E0,3.037777635E0,1.688551335E0
8.719774167E-1,9.133479488E0,3.116709784E0,1.761187640E0
8.820004168E-1,9.091533902E0,3.203856979E0,1.820824855E0
8.920234167E-1,9.047489165E0,3.301824738E0,1.864665816E0
9.020454168E-1,8.999727353E0,3.413051351E0,1.895279059E0
9.120684167E-1,8.945540037E0,3.539671344E0,1.919410226E0
9.220914167E-1,8.884768755E0,3.683120501E0,1.931736010E0
9.321134167E-1,8.816780255E0,3.838955815E0,1.939823733E0
9.421364167E-1,8.740641906E0,4.005092169E0,1.948470595E0
9.521594167E-1,8.658453442E0,4.180403973E0,1.947183331E0
9.621814167E-1,8.574271079E0,4.359026471E0,1.927915732E0
9.722044168E-1,8.492992442E0,4.534868910E0,1.881529624E0
9.822274167E-1,8.416107404E0,4.700505619E0,1.819474002E0
9.922494168E-1,8.342197428E0,4.850465066E0,1.765451722E0
