"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.461952209E-3,5.238122332E1,4.860370459E0,2.461656687E0,NaN,NaN,2.565413207E1,3.000000000E1
5.129194260E-2,5.238122940E1,4.860435987E0,2.460672495E0,NaN,NaN,1.143592454E2,3.000893006E1
7.363979816E-1,5.238121537E1,4.860329485E0,2.470329730E0,NaN,NaN,2.535955407E1,3.000000000E1
3.067124009E0,5.238125794E1,4.860383769E0,2.460895179E0,0.000000000E0,NaN,2.121998397E1,3.000000000E1
4.570339680E0,5.238137023E1,4.860919872E0,2.680507660E0,1.110000014E0,1.167187500E2,1.400000000E1,4.000000000E0
5.570332170E0,5.238134818E1,4.860909479E0,3.770534515E0,1.110000014E0,1.269140625E2,1.400000000E1,4.000000000E0
6.570324302E0,5.238127396E1,4.860839909E0,2.885890961E0,1.730000019E0,2.330859375E2,1.400000000E1,4.000000000E0
7.571364641E0,5.238128523E1,4.860844184E0,2.624416351E0,1.730000019E0,NaN,1.400000000E1,4.000000000E0
8.571369052E0,5.238129110E1,4.860843262E0,2.468593597E0,4.900000095E-1,NaN,1.400000000E1,4.000000000E0
9.571305394E0,5.238129814E1,4.860853655E0,2.590236664E0,4.900000095E-1,NaN,1.400000000E1,4.000000000E0
1.057119596E1,5.238128800E1,4.860841250E0,2.535732269E0,6.000000238E-1,2.858203125E2,1.400000000E1,4.000000000E0
1.157119107E1,5.238128297E1,4.860809566E0,2.666347504E0,6.000000238E-1,2.460937500E2,1.400000000E1,4.000000000E0
1.257118261E1,5.238128653E1,4.860790120E0,2.682277679E0,6.000000238E-1,2.921484375E2,1.400000000E1,4.000000000E0
1.357118821E1,5.238128657E1,4.860816691E0,2.825344086E0,5.699999928E-1,8.613281250E1,1.489129556E1,4.000000000E0
1.457118893E1,5.238128657E1,4.860816691E0,2.825344154E0,5.699999928E-1,NaN,1.489129556E1,4.000000000E0
1.557117629E1,5.238129655E1,4.860807387E0,3.013637613E0,5.600000024E-1,NaN,1.012627971E1,4.000000000E0
1.657117319E1,5.238130149E1,4.860798921E0,3.280056069E0,0.000000000E0,NaN,9.843994627E0,4.000000000E0
1.757117224E1,5.238130372E1,4.860794311E0,3.519191812E0,4.300000072E-1,NaN,8.754179912E0,4.000000000E0
1.857115662E1,5.238130719E1,4.860796407E0,3.887661046E0,4.300000072E-1,NaN,7.414417632E0,4.000000000E0
1.957115138E1,5.238131260E1,4.860789953E0,4.399074622E0,2.000000030E-1,NaN,6.353668257E0,4.000000000E0
2.057114673E1,5.238131562E1,4.860788025E0,4.656581946E0,2.099999934E-1,NaN,5.946360349E0,4.000000000E0
2.157112885E1,5.238129107E1,4.860753190E0,4.392666306E0,2.190000057E0,2.190234215E2,5.760742691E0,4.000000000E0
2.257111204E1,5.238127844E1,4.860729576E0,4.259670703E0,2.190000057E0,2.249999820E2,6.151542600E0,4.000000000E0
2.357109404E1,5.238127023E1,4.860693336E0,4.123928513E0,2.190000057E0,2.401171654E2,7.075255969E0,4.000000000E0
