"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.003041677E-2,1.274693012E-2,-5.870109694E-1,-8.596231467E-1
2.005241672E-2,4.184349382E-1,-4.800997476E-1,-6.553834122E-1
3.007541667E-2,9.772100687E-2,-1.893115005E-1,-4.824310324E-1
4.009841674E-2,-1.746364510E-1,-2.992568426E-2,-5.716701414E-1
5.012041668E-2,-1.035337240E-1,3.001112670E-2,-7.699071242E-1
6.014341675E-2,5.791784048E-2,8.469772272E-2,-7.857606800E-1
7.016641670E-2,1.593307793E-1,2.132404996E-1,-6.493888468E-1
8.018841676E-2,1.772454786E-1,3.436661531E-1,-5.601135582E-1
9.021141671E-2,1.050773889E-1,3.762291509E-1,-4.818778858E-1
1.002344167E-1,9.987044334E-3,2.062374356E-1,-3.625747329E-1
1.102564167E-1,1.354337937E-1,-1.207300928E-1,-2.530142838E-1
1.202794167E-1,4.776508605E-1,-4.428691368E-1,-7.113262095E-2
1.303014167E-1,6.403870583E-1,-4.653741927E-1,1.529513939E-1
1.403244167E-1,6.843540269E-1,-3.938710776E-1,2.919368595E-1
1.503474168E-1,8.556160498E-1,-2.615573582E-1,3.119893008E-1
1.603694167E-1,9.358591443E-1,1.402732417E-2,2.938793045E-1
1.703924168E-1,7.468052137E-1,8.646102369E-2,1.864443183E-1
1.804154167E-1,5.763208705E-1,-4.771035612E-3,1.743991271E-1
1.904374167E-1,5.094246304E-1,-9.932387486E-2,2.637912869E-1
2.004604167E-1,3.060976464E-1,-1.749339281E-1,3.373158576E-1
2.104834167E-1,1.956665468E-1,-3.101028429E-1,3.343333391E-1
2.205054167E-1,1.789926267E-1,-5.114216007E-1,2.083467456E-1
2.305284167E-1,1.504628921E-1,-7.820909674E-1,1.033733641E-1
2.405514168E-1,-9.800693572E-2,-1.079616449E0,1.081085124E-1
2.505734167E-1,-3.281480813E-1,-1.113314538E0,1.808438551E-1
2.605964167E-1,-2.757792485E-1,-8.623733845E-1,2.502679197E-1
2.706184167E-1,-1.648394412E-1,-4.122278264E-1,1.580941663E-1
2.806414167E-1,-2.955510235E-1,1.094537374E-1,7.090392172E-2
2.906644167E-1,-1.837592769E-1,4.259759460E-1,6.510406852E-2
3.006864167E-1,6.369079649E-2,5.351659741E-1,-8.219431043E-3
3.107094167E-1,2.354773146E-1,5.346837249E-1,-1.413780731E-1
3.207324167E-1,2.679369628E-1,5.025548829E-1,-9.665622890E-2
3.307544168E-1,2.462806302E-1,4.943013918E-1,-4.463106617E-3
3.407774167E-1,3.127658111E-1,3.726073855E-1,1.436754441E-1
3.508004167E-1,4.012909019E-1,1.223548879E-1,3.041551282E-1
3.608224167E-1,3.631793350E-1,-2.345481920E-1,4.354508839E-1
3.708454167E-1,2.204330134E-1,-5.878732145E-1,4.891061042E-1
3.808684167E-1,5.938899994E-2,-7.659273630E-1,3.917716348E-1
3.908904167E-1,-1.564773381E-2,-7.284896877E-1,2.129409760E-1
4.009134168E-1,5.387799919E-2,-4.933791398E-1,5.776168328E-2
4.109364167E-1,5.470654964E-2,-1.728495419E-1,4.312855102E-2
4.209584168E-1,3.227546096E-2,1.104828474E-1,2.465303063E-2
4.309814167E-1,4.184676826E-2,3.508753315E-1,-4.573341250E-2
4.410034167E-1,3.341683745E-3,4.634482661E-1,-1.760905804E-1
4.510264167E-1,-5.664665580E-2,4.712994687E-1,-4.131027891E-1
4.610494167E-1,7.200085938E-2,4.084780070E-1,-5.647339549E-1
4.710714167E-1,2.638456661E-1,3.116814449E-1,-6.721900642E-1
4.810944167E-1,3.667321032E-1,1.804142310E-1,-5.993764418E-1
