"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.622500045E-3,2.900760248E-2,-4.778372124E-2,-4.660221934E-2
1.964449999E-2,3.541490063E-2,-2.747960985E-1,3.846306819E-3
2.966750006E-2,5.258693919E-2,-4.877092838E-1,1.220490318E-2
3.969050001E-2,4.213163257E-2,-5.111973286E-1,-2.208596095E-2
4.971349996E-2,3.091583773E-2,-4.187453985E-1,-2.416171320E-2
5.973650003E-2,2.383715473E-2,-3.367248178E-1,-8.711651899E-3
6.975849997E-2,1.432829909E-2,-2.707720101E-1,-1.189062186E-2
7.978150004E-2,2.501210198E-2,-2.102266252E-1,-1.612025499E-2
8.980449999E-2,4.251761734E-2,-1.689916253E-1,-1.873397641E-2
9.982750006E-2,5.105571076E-2,-1.970365793E-1,-1.856459863E-2
1.098505000E-1,6.802970171E-2,-2.991185784E-1,-1.529321447E-2
1.198725000E-1,6.721317768E-2,-4.330380261E-1,-3.240322322E-2
1.298955000E-1,6.354845315E-2,-5.941880345E-1,-3.497849405E-2
1.399185000E-1,6.970728189E-2,-7.475509644E-1,-3.779297927E-3
1.499415000E-1,8.690365404E-2,-8.924691677E-1,5.249480531E-2
1.599645000E-1,9.442681819E-2,-1.009983301E0,8.925468475E-2
1.699865001E-1,9.925959259E-2,-1.147884130E0,1.150535643E-1
1.800095000E-1,9.871897101E-2,-1.324746490E0,1.409317553E-1
1.900325000E-1,1.241862178E-1,-1.490744352E0,1.990382075E-1
2.000555000E-1,1.459106952E-1,-1.691916823E0,2.879025638E-1
2.100785000E-1,1.470002234E-1,-1.825179100E0,3.999730945E-1
2.201005000E-1,1.641653478E-1,-1.896844387E0,5.257166028E-1
2.301235000E-1,1.576862335E-1,-2.036906481E0,6.098285913E-1
2.401465001E-1,1.127733514E-1,-2.147503853E0,6.217076182E-1
2.501695000E-1,6.675584614E-2,-2.039682865E0,5.367498398E-1
2.601925000E-1,3.302504867E-2,-1.789991379E0,3.843384981E-1
2.702145000E-1,-2.874230966E-3,-1.607655764E0,2.068825513E-1
2.802375000E-1,-2.028757706E-2,-1.452818513E0,4.770967737E-2
2.902605000E-1,-1.642624661E-2,-1.201523900E0,-5.504391342E-2
3.002835000E-1,-8.014803752E-4,-8.263375163E-1,-1.214580834E-1
3.103065001E-1,1.288716868E-2,-4.196190834E-1,-1.798475385E-1
3.203285000E-1,1.819937676E-2,-7.006882876E-2,-2.472233772E-1
3.303515000E-1,5.490996409E-3,1.655410677E-1,-3.315721154E-1
3.403745000E-1,-3.539571539E-2,1.286179274E-1,-4.346236885E-1
3.503975000E-1,-5.254731327E-2,-1.003195494E-1,-4.884063303E-1
3.604205000E-1,-1.991213672E-2,-4.612005055E-1,-3.870424330E-1
3.704425000E-1,-2.328158170E-2,-7.084186673E-1,-2.117287219E-1
3.804655001E-1,-3.779660538E-2,-7.086349130E-1,-3.188785538E-2
3.904885000E-1,-2.619123086E-2,-5.911355615E-1,8.229050785E-2
4.005115000E-1,-3.556156158E-2,-5.257227421E-1,9.900956601E-2
4.105345000E-1,-6.945656240E-2,-5.464690328E-1,2.532536350E-2
4.205565000E-1,-1.059442684E-1,-6.032942533E-1,-9.737498313E-2
4.305795000E-1,-1.530479491E-1,-6.335285902E-1,-2.229584455E-1
4.406025000E-1,-2.176548988E-1,-5.998611450E-1,-3.057577014E-1
4.506255001E-1,-2.352204770E-1,-4.620143771E-1,-3.115115464E-1
4.606485000E-1,-2.002089620E-1,-3.106024861E-1,-2.636210024E-1
4.706705000E-1,-1.973242164E-1,-2.176782787E-1,-2.096597105E-1
4.806935000E-1,-2.622339725E-1,-1.842255145E-1,-1.913584620E-1
4.907165000E-1,-3.746385872E-1,-2.130327225E-1,-2.228015661E-1
5.007395000E-1,-4.990470707E-1,-2.967790067E-1,-2.911627889E-1
5.107625000E-1,-6.209495068E-1,-4.154775143E-1,-3.713862896E-1
