"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
4.514541710E-3,6.136685572E0,7.362592925E0,-2.090324486E0
1.453754166E-2,6.133785353E0,7.362607543E0,-2.098760995E0
2.456054173E-2,6.135209734E0,7.359906714E0,-2.104058426E0
3.458354168E-2,6.138885294E0,7.356037027E0,-2.106877222E0
4.460654175E-2,6.141905381E0,7.353023372E0,-2.108595719E0
5.462954170E-2,6.143366016E0,7.351480291E0,-2.109718677E0
6.465254177E-2,6.143182998E0,7.351369194E0,-2.110642829E0
7.467554172E-2,6.142131668E0,7.350937670E0,-2.115193132E0
8.469854167E-2,6.140854052E0,7.348622172E0,-2.126909929E0
9.472154174E-2,6.141600741E0,7.343516968E0,-2.142337516E0
1.047445417E-1,6.145260513E0,7.335379398E0,-2.159654191E0
1.147675418E-1,6.149963429E0,7.325395278E0,-2.180056296E0
1.247905417E-1,6.153470004E0,7.315357363E0,-2.203742782E0
1.348135417E-1,6.155062201E0,7.306401767E0,-2.228863443E0
1.448365417E-1,6.155633474E0,7.298475282E0,-2.253121787E0
1.548595417E-1,6.156983011E0,7.290264621E0,-2.275896399E0
1.648825418E-1,6.160870825E0,7.280225537E0,-2.297411229E0
1.749055417E-1,6.168755795E0,7.266785127E0,-2.318706058E0
1.849285418E-1,6.181033194E0,7.248955212E0,-2.341705057E0
1.949515417E-1,6.195627260E0,7.228594038E0,-2.365961062E0
2.049745417E-1,6.209567606E0,7.208942716E0,-2.389252861E0
2.149975417E-1,6.220173286E0,7.192270550E0,-2.411804110E0
2.250205417E-1,6.226441501E0,7.179857495E0,-2.432527958E0
2.350435418E-1,6.229248750E0,7.172140340E0,-2.448060502E0
2.450665417E-1,6.230370830E0,7.167879474E0,-2.457661630E0
2.550895417E-1,6.229793125E0,7.166220619E0,-2.463951479E0
2.651125417E-1,6.227171819E0,7.166685473E0,-2.469226545E0
2.751355417E-1,6.223396271E0,7.167840298E0,-2.475383956E0
2.851585418E-1,6.221228709E0,7.166603027E0,-2.484398316E0
2.951815417E-1,6.222764772E0,7.160742947E0,-2.497413048E0
3.052045418E-1,6.228302670E0,7.150333734E0,-2.513379163E0
3.152275417E-1,6.236768854E0,7.137055877E0,-2.530063608E0
3.252505417E-1,6.245558973E0,7.123510802E0,-2.546508025E0
3.352735417E-1,6.251550615E0,7.112223921E0,-2.563294796E0
3.452965417E-1,6.253203623E0,7.104069394E0,-2.581810589E0
3.553195418E-1,6.250402806E0,7.098222179E0,-2.604576724E0
3.653425417E-1,6.244349769E0,7.092531084E0,-2.634431145E0
3.753655417E-1,6.236740202E0,7.085265334E0,-2.671738427E0
3.853885417E-1,6.226349700E0,7.077142966E0,-2.717115160E0
3.954115417E-1,6.206644583E0,7.070997543E0,-2.777530638E0
4.054345418E-1,6.171027439E0,7.066057815E0,-2.867990573E0
4.154575417E-1,6.104526470E0,7.063110818E0,-3.013859892E0
4.254805417E-1,6.003371394E0,7.063448203E0,-3.209885750E0
4.355035417E-1,5.872303131E0,7.056092405E0,-3.458861070E0
4.455265417E-1,5.718452947E0,7.033961864E0,-3.749505402E0
4.555495417E-1,5.541593385E0,7.005122811E0,-4.056492118E0
4.655725417E-1,5.335563233E0,6.977789417E0,-4.367877109E0
4.755955418E-1,5.091967059E0,6.953490728E0,-4.685824430E0
