"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.449297905E-2,5.238160954E1,4.859968230E0,2.319462990E0,NaN,NaN,2.444792266E1,3.000871553E1
8.076490164E-1,5.238160954E1,4.859968230E0,2.422771409E0,NaN,NaN,2.444792266E1,3.000000000E1
2.696718335E0,5.238159490E1,4.859886699E0,2.977242661E1,4.600000083E-1,NaN,3.347369397E1,1.280000000E2
3.696710467E0,5.238160200E1,4.859836568E0,2.121230698E1,1.250000000E0,2.925000000E2,2.371204876E1,6.400000000E1
4.696701527E0,5.238163744E1,4.859823822E0,3.618740082E0,4.600000083E-1,2.685937500E2,1.850733178E1,2.400000000E1
5.696692228E0,5.238163190E1,4.859824982E0,2.367715073E1,4.900000095E-1,2.608593750E2,1.811695816E1,1.600000000E1
6.696683168E0,5.238162440E1,4.859827237E0,1.831838608E1,2.399999946E-1,NaN,1.815623090E1,1.600000000E1
7.696674824E0,5.238163871E1,4.859845709E0,2.501205063E1,1.800000072E-1,NaN,1.938330491E1,1.200000000E1
8.697098136E0,5.238164489E1,4.859866717E0,2.300167465E1,0.000000000E0,NaN,2.179609493E1,1.200000000E1
9.697100639E0,5.238161238E1,4.859868816E0,2.570943832E1,2.300000042E-1,NaN,1.714712041E1,1.200000000E1
1.069709396E1,5.238162543E1,4.859886676E0,2.425179672E1,2.300000042E-1,3.322265625E2,1.962577262E1,1.200000000E1
1.169709766E1,5.238163968E1,4.859900492E0,2.646773911E1,2.399999946E-1,NaN,1.513093219E1,1.200000000E1
1.269709742E1,5.238163705E1,4.859924180E0,2.638631821E1,1.509999990E0,1.149609375E2,1.921393800E1,1.200000000E1
1.369709074E1,5.238162901E1,4.859946834E0,1.868001938E1,6.800000072E-1,1.216406250E2,1.903994694E1,1.200000000E1
1.469709706E1,5.238162583E1,4.859955411E0,1.868001948E1,6.800000072E-1,1.216406317E2,1.907751210E1,1.200000000E1
1.569709980E1,5.238158844E1,4.859931891E0,1.848458492E1,7.699999809E-1,1.314843817E2,1.522352965E1,8.000000000E0
1.669709432E1,5.238158658E1,4.859935204E0,1.526638419E1,3.000000119E-1,NaN,1.529212439E1,8.000000000E0
1.769709647E1,5.238159967E1,4.859955698E0,1.571548087E1,5.000000000E-1,NaN,2.010662961E1,8.000000000E0
1.869710207E1,5.238160996E1,4.859970685E0,1.417232902E1,3.799999952E-1,NaN,2.074597373E1,8.000000000E0
1.969709694E1,5.238162293E1,4.859975607E0,1.325814445E1,5.000000000E-1,NaN,2.240979879E1,6.000000000E0
2.069709980E1,5.238164042E1,4.859989313E0,1.379818351E1,4.199999869E-1,NaN,2.334549470E1,6.000000000E0
