"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.146991667E-2,3.186028451E-2,-2.370272875E-1,-2.872605920E-1
2.149291662E-2,1.442545000E-2,-1.746481955E-1,-2.338547260E-1
3.151591658E-2,6.217321381E-3,-1.839476824E-1,-1.753384173E-1
4.153791664E-2,3.499821760E-3,-2.244109213E-1,-1.010280773E-1
5.156091659E-2,-6.321117748E-3,-2.368777096E-1,-2.175801992E-2
6.158391666E-2,-2.393152565E-2,-2.007208169E-1,9.928902611E-3
7.160591660E-2,-4.360163212E-2,-1.454364955E-1,-4.312084056E-3
8.162891667E-2,-5.466318876E-2,-8.542225510E-2,-2.889899351E-2
9.165191662E-2,-5.191028118E-2,-3.065940365E-2,-5.715193599E-2
1.016749166E-1,-5.057374388E-2,6.844846997E-3,-1.049603894E-1
1.116969166E-1,-6.614178419E-2,3.347512707E-2,-1.496751159E-1
1.217199166E-1,-8.344088495E-2,4.213132709E-2,-1.553913951E-1
1.317429167E-1,-8.133086562E-2,4.272761196E-2,-1.356896013E-1
1.417659166E-1,-6.305591762E-2,4.749804363E-2,-1.078885198E-1
1.517879167E-1,-4.384732991E-2,4.003906250E-2,-8.617443591E-2
1.618109166E-1,-1.971305162E-2,4.896510392E-3,-6.346561760E-2
1.718339166E-1,5.216532853E-3,-5.561210960E-2,-3.910435736E-2
1.818569166E-1,1.591898128E-2,-1.284054816E-1,-3.251430765E-2
1.918789166E-1,1.444731839E-2,-2.071575522E-1,-5.765561387E-2
2.019019166E-1,1.586059108E-2,-2.916572988E-1,-8.414476365E-2
2.119249166E-1,2.283008397E-2,-3.546368182E-1,-9.906565398E-2
2.219479167E-1,2.470005490E-2,-3.902058005E-1,-1.127765328E-1
2.319699166E-1,3.123998083E-2,-4.083430171E-1,-1.359535009E-1
2.419929166E-1,2.894941345E-2,-3.997439742E-1,-1.648118198E-1
2.520159166E-1,8.496336639E-3,-3.639351130E-1,-1.711661220E-1
2.620389166E-1,-1.816368662E-2,-2.982459664E-1,-1.406807452E-1
2.720609166E-1,-3.839066252E-2,-2.016579062E-1,-9.026976675E-2
2.820839166E-1,-4.405280575E-2,-1.315987855E-1,-4.567774013E-2
2.921069167E-1,-4.674073681E-2,-1.251526177E-1,-2.798289992E-2
3.021299166E-1,-4.123245925E-2,-1.450320035E-1,-4.608157277E-2
3.121519167E-1,-4.016559571E-2,-1.625140607E-1,-5.234905705E-2
3.221749166E-1,-5.740024149E-2,-1.134865880E-1,-5.040494725E-2
3.321979166E-1,-7.595369220E-2,-3.800621629E-2,-4.639049992E-2
3.422209166E-1,-8.165639639E-2,6.304609776E-2,-4.841302335E-2
3.522429166E-1,-9.115163237E-2,1.677184403E-1,-7.087545097E-2
3.622659167E-1,-9.483753145E-2,2.023102343E-1,-1.022357419E-1
3.722889166E-1,-9.181323647E-2,1.608136445E-1,-1.226078570E-1
3.823119166E-1,-8.992601931E-2,7.295115292E-2,-1.404926628E-1
3.923339166E-1,-8.276025206E-2,-2.704574913E-2,-1.598216295E-1
4.023569166E-1,-7.358618826E-2,-1.216188967E-1,-1.852496564E-1
4.123799166E-1,-6.117771938E-2,-2.100052238E-1,-2.031213343E-1
4.224029166E-1,-7.179350406E-2,-2.869623303E-1,-2.128839046E-1
4.324249167E-1,-1.038244069E-1,-3.252032101E-1,-2.128567398E-1
4.424479166E-1,-1.552564949E-1,-3.176947236E-1,-2.170083821E-1
4.524709167E-1,-2.034043223E-1,-2.781553268E-1,-2.451928556E-1
4.624939166E-1,-2.232277244E-1,-2.436456829E-1,-2.934243381E-1
4.725159166E-1,-2.406264246E-1,-2.139996439E-1,-3.543633223E-1
4.825389166E-1,-2.654610276E-1,-1.831768453E-1,-4.024529457E-1
4.925619166E-1,-2.960061431E-1,-1.530879289E-1,-4.339831471E-1
5.025849167E-1,-3.419886231E-1,-1.102240235E-1,-4.554229677E-1
5.126069166E-1,-3.880586326E-1,-4.420372844E-2,-4.736307561E-1
5.226299167E-1,-4.033072293E-1,2.577207983E-2,-4.936087728E-1
5.326529166E-1,-3.906295002E-1,8.727511764E-2,-5.141630173E-1
5.426759166E-1,-3.760461509E-1,1.175511852E-1,-5.239530206E-1
5.526979166E-1,-3.616568148E-1,1.171495765E-1,-5.140566826E-1
5.627209166E-1,-3.417438567E-1,9.730400145E-2,-4.837414622E-1
5.727439167E-1,-3.223448694E-1,7.796651870E-2,-4.514871240E-1
5.827669166E-1,-3.034926057E-1,8.484799415E-2,-4.385260344E-1
5.927889167E-1,-2.691069543E-1,1.176389679E-1,-4.491592348E-1
6.028119166E-1,-2.237845808E-1,1.609414518E-1,-4.721557796E-1
6.128349166E-1,-1.804128736E-1,2.203344703E-1,-4.811247885E-1
6.228579166E-1,-1.340196729E-1,3.185880184E-1,-4.582409263E-1
6.328799166E-1,-8.755683899E-2,4.618823528E-1,-3.985315263E-1
6.429029166E-1,-5.861081555E-2,6.328327060E-1,-3.189936578E-1
6.529259166E-1,-2.155799046E-2,7.767890692E-1,-2.320497185E-1
6.629489167E-1,3.357255831E-2,8.496034741E-1,-1.501459628E-1
6.729709166E-1,7.639432698E-2,8.594439030E-1,-8.882562816E-2
6.829939166E-1,1.133424491E-1,8.156412244E-1,-5.874677375E-2
6.930169166E-1,1.378272921E-1,7.297375202E-1,-4.203650355E-2
7.030399166E-1,1.542490721E-1,6.275680661E-1,-5.824663676E-3
7.130619166E-1,1.730872095E-1,4.774211943E-1,6.646897644E-2
7.230849166E-1,1.813984662E-1,2.812353373E-1,1.735969931E-1
7.331079167E-1,1.946817786E-1,1.138814762E-1,2.935377657E-1
7.431309166E-1,2.142664343E-1,-1.277663745E-3,4.107005000E-1
7.531529167E-1,2.188348174E-1,-7.286582887E-2,5.106294751E-1
7.631759166E-1,2.158549875E-1,-9.928155690E-2,5.929353833E-1
7.731989166E-1,2.130946219E-1,-1.009060815E-1,6.711524725E-1
7.832219166E-1,1.729099900E-1,-7.722827792E-2,7.401421070E-1
7.932439166E-1,1.282445192E-1,-5.823434889E-2,7.785350084E-1
8.032669167E-1,1.279886663E-1,-6.859003752E-2,7.882966995E-1
8.132899166E-1,1.943714023E-1,-1.143969446E-1,7.876088023E-1
8.233129166E-1,3.233573735E-1,-1.738583148E-1,8.113141656E-1
8.333349166E-1,4.793674946E-1,-1.898583174E-1,8.817987442E-1
8.433579166E-1,6.327975392E-1,-1.553948820E-1,9.959058762E-1
8.533809166E-1,6.801879406E-1,-1.469398737E-1,1.104710937E0
8.634039166E-1,5.614798069E-1,-2.115675509E-1,1.143920183E0
8.734259167E-1,4.376979172E-1,-3.220407963E-1,1.124792218E0
8.834489166E-1,4.792023003E-1,-3.817334771E-1,1.123243332E0
8.934719167E-1,6.065512300E-1,-2.914510071E-1,1.193571806E0
9.034949166E-1,6.511847973E-1,-1.254422963E-1,1.339190483E0
9.135169166E-1,6.625306606E-1,-8.123782277E-2,1.522271872E0
9.235399166E-1,7.147184610E-1,-2.079238296E-1,1.706348062E0
9.335629166E-1,8.197718859E-1,-3.130028546E-1,1.834319830E0
9.435859167E-1,9.523235559E-1,-2.608732879E-1,1.896587729E0
9.536079166E-1,1.025168419E0,-8.906133473E-2,1.932560086E0
9.636309167E-1,1.061110973E0,1.625858098E-1,1.974491954E0
9.736539166E-1,1.110328555E0,4.069955647E-1,2.014973640E0
9.836769166E-1,1.083801270E0,5.873991251E-1,2.039896488E0
9.936989166E-1,1.036434889E0,6.761151552E-1,2.039981365E0
1.003721917E0,1.003673315E0,5.736102462E-1,2.022136927E0
