"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.022624995E-3,6.956034266E0,6.815012289E0,1.185443378E0
1.304462506E-2,6.953570250E0,6.816508591E0,1.191283285E0
2.306762501E-2,6.947528906E0,6.821123798E0,1.200086122E0
3.309062507E-2,6.940460207E0,6.826894416E0,1.208148263E0
4.311262502E-2,6.933819525E0,6.832483184E0,1.214661696E0
5.313562497E-2,6.928801444E0,6.836506653E0,1.220641935E0
6.315762503E-2,6.926373096E0,6.838030438E0,1.225888057E0
7.318062498E-2,6.926703463E0,6.837096637E0,1.229232811E0
8.320262504E-2,6.929267467E0,6.834515092E0,1.229141302E0
9.322562499E-2,6.933698487E0,6.830857074E0,1.224457536E0
1.032486251E-1,6.938324804E0,6.827469197E0,1.217133021E0
1.132706250E-1,6.940406413E0,6.826485111E0,1.210771397E0
1.232936251E-1,6.939051613E0,6.828451529E0,1.207447401E0
1.333156250E-1,6.935028729E0,6.832558613E0,1.207313938E0
1.433386250E-1,6.929619470E0,6.837637505E0,1.209613356E0
1.533606250E-1,6.924390889E0,6.842385444E0,1.212710772E0
1.633836250E-1,6.920943371E0,6.845572761E0,1.214395501E0
1.734066251E-1,6.920111312E0,6.846222387E0,1.215477163E0
1.834286250E-1,6.920624113E0,6.845547034E0,1.216370325E0
1.934516251E-1,6.921453248E0,6.844869341E0,1.215463568E0
2.034736250E-1,6.922846055E0,6.844286959E0,1.210800779E0
2.134966251E-1,6.925208330E0,6.843451391E0,1.201979962E0
2.235186250E-1,6.927965877E0,6.842626349E0,1.190738324E0
2.335416250E-1,6.930188404E0,6.842290134E0,1.179692203E0
2.435646250E-1,6.931786448E0,6.842234586E0,1.170581949E0
2.535866250E-1,6.932896249E0,6.842109455E0,1.164716241E0
2.636096250E-1,6.933321927E0,6.842080804E0,1.162358132E0
2.736316250E-1,6.932267089E0,6.842665526E0,1.165210697E0
2.836546251E-1,6.929073924E0,6.844399810E0,1.173985759E0
2.936766250E-1,6.923303892E0,6.847806982E0,1.188068705E0
3.036996251E-1,6.917061405E0,6.850763919E0,1.207228057E0
3.137226250E-1,6.912196521E0,6.852117550E0,1.227249289E0
3.237446250E-1,6.909453592E0,6.851592470E0,1.245482369E0
3.337676250E-1,6.907707614E0,6.850031848E0,1.263616778E0
3.437896250E-1,6.905264647E0,6.848579400E0,1.284662369E0
3.538126250E-1,6.901321869E0,6.847974797E0,1.308861217E0
3.638356250E-1,6.896848165E0,6.847802305E0,1.333117368E0
3.738576251E-1,6.894102312E0,6.846535798E0,1.353668577E0
3.838806250E-1,6.893961979E0,6.843702237E0,1.368620930E0
3.939026251E-1,6.894829121E0,6.840582747E0,1.379798906E0
4.039256250E-1,6.894606342E0,6.838894072E0,1.389255754E0
4.139476250E-1,6.892370952E0,6.839480547E0,1.397440687E0
4.239706250E-1,6.888130551E0,6.842221722E0,1.404906704E0
4.339936250E-1,6.882328359E0,6.846571466E0,1.412136494E0
4.440156250E-1,6.875901099E0,6.851664391E0,1.418732592E0
4.540386250E-1,6.870105339E0,6.856499453E0,1.423431853E0
4.640606251E-1,6.866051465E0,6.860429367E0,1.424058236E0
4.740836250E-1,6.864709529E0,6.862788134E0,1.419159877E0
4.841056251E-1,6.866037431E0,6.863557042E0,1.408969642E0
4.941286250E-1,6.868807842E0,6.863688020E0,1.394757400E0
5.041516250E-1,6.871492299E0,6.864354018E0,1.378163732E0
5.141736250E-1,6.872525502E0,6.866519827E0,1.362132567E0
5.241966250E-1,6.870275493E0,6.871294663E0,1.349344853E0
5.342186250E-1,6.863944713E0,6.879373761E0,1.340371277E0
5.442416250E-1,6.854986778E0,6.889650242E0,1.333411629E0
5.542636251E-1,6.845903714E0,6.899761832E0,1.327772428E0
5.642866250E-1,6.837214751E0,6.908851329E0,1.325275813E0
5.743096250E-1,6.827977905E0,6.917664253E0,1.326926336E0
5.843316250E-1,6.817530100E0,6.927153114E0,1.331143348E0
5.943546250E-1,6.806722106E0,6.936842535E0,1.335982650E0
6.043766250E-1,6.796540350E0,6.945885254E0,1.340823998E0
6.143996250E-1,6.787131595E0,6.954160818E0,1.345580854E0
6.244216250E-1,6.778571856E0,6.961615434E0,1.350173403E0
6.344446250E-1,6.771474506E0,6.967658531E0,1.354608663E0
6.444676251E-1,6.766063492E0,6.972106508E0,1.358754192E0
6.544896250E-1,6.761775729E0,6.975491461E0,1.362718897E0
6.645126250E-1,6.757433587E0,6.978779351E0,1.367408803E0
6.745346250E-1,6.752431294E0,6.982506950E0,1.373096243E0
6.845576250E-1,6.746684065E0,6.987073041E0,1.378109938E0
6.945806250E-1,6.740326973E0,6.992589889E0,1.381222265E0
7.046026250E-1,6.733499764E0,6.999079129E0,1.381654228E0
7.146256251E-1,6.726587185E0,7.006373531E0,1.378344704E0
7.246476250E-1,6.720691438E0,7.013588410E0,1.370394976E0
7.346706251E-1,6.717497689E0,7.019190627E0,1.357308468E0
7.446926250E-1,6.717753212E0,7.022463314E0,1.338989434E0
7.547156250E-1,6.721051041E0,7.023500610E0,1.316823809E0
7.647386250E-1,6.726571398E0,7.022741057E0,1.292463724E0
7.747606250E-1,6.733303297E0,7.020788671E0,1.267781019E0
7.847836250E-1,6.739883754E0,7.018503579E0,1.245265438E0
7.948056250E-1,6.745239218E0,7.016547101E0,1.227155441E0
8.048286251E-1,6.749250408E0,7.014915728E0,1.214360637E0
8.148506250E-1,6.752085723E0,7.013541632E0,1.206512139E0
8.248736251E-1,6.753698385E0,7.012628297E0,1.202786658E0
8.348966250E-1,6.754243346E0,7.012244135E0,1.201969876E0
8.449187500E-1,6.754422855E0,7.012150580E0,1.201505387E0
8.549417501E-1,6.755842559E0,7.011492183E0,1.197350283E0
8.649637500E-1,6.759724526E0,7.009584237E0,1.186573426E0
8.749867501E-1,6.766160556E0,7.006285822E0,1.169239136E0
8.850087500E-1,6.774146098E0,7.002165290E0,1.147478357E0
8.950317500E-1,6.782773665E0,6.997574056E0,1.124291004E0
9.050547500E-1,6.791342760E0,6.992817931E0,1.101933883E0
9.150767500E-1,6.799388528E0,6.988306219E0,1.080736995E0
9.250997500E-1,6.806540258E0,6.984406126E0,1.060731112E0
9.351217500E-1,6.812679250E0,6.981219394E0,1.042147199E0
9.451447501E-1,6.817679204E0,6.978986342E0,1.024258739E0
9.551677500E-1,6.821801491E0,6.977580087E0,1.006236013E0
9.651897501E-1,6.826576912E0,6.975607236E0,9.873617852E-1
9.752127500E-1,6.833317582E0,6.971901855E0,9.666712665E-1
9.852347500E-1,6.842463212E0,6.966092062E0,9.435833162E-1
9.952577500E-1,6.852878857E0,6.959141477E0,9.189707775E-1
1.005279750E0,6.863027869E0,6.952547572E0,8.927706467E-1
1.015302750E0,6.872165898E0,6.947098551E0,8.644556511E-1
1.025325750E0,6.879826335E0,6.943063973E0,8.354310959E-1
1.035347750E0,6.885352539E0,6.940830921E0,8.080146711E-1
1.045370750E0,6.888651538E0,6.940246784E0,7.845560074E-1
1.055392750E0,6.890553052E0,6.940416353E0,7.661611055E-1
1.065415750E0,6.891937088E0,6.940574228E0,7.521371435E-1
1.075437750E0,6.893655585E0,6.940077800E0,7.409017917E-1
1.085460750E0,6.896820683E0,6.937912576E0,7.316624600E-1
1.095483750E0,6.901968572E0,6.933637092E0,7.236090899E-1
1.105505750E0,6.909030839E0,6.927419162E0,7.157154219E-1
1.115528750E0,6.917527428E0,6.919770420E0,7.075977324E-1
1.125550750E0,6.926787078E0,6.911366217E0,6.990969772E-1
1.135573750E0,6.936331488E0,6.902755022E0,6.894675632E-1
1.145595750E0,6.945846078E0,6.894343802E0,6.777688926E-1
1.155618750E0,6.955262434E0,6.886229036E0,6.635374276E-1
1.165641750E0,6.964135584E0,6.878794302E0,6.474058367E-1
1.175663750E0,6.972376649E0,6.871889325E0,6.318325818E-1
1.185686750E0,6.979754666E0,6.865453295E0,6.202203769E-1
1.195708750E0,6.986304717E0,6.859392655E0,6.134713013E-1
1.205731750E0,6.992463589E0,6.853527313E0,6.088443631E-1
1.215753750E0,6.998260519E0,6.848049642E0,6.038783228E-1
1.225776750E0,7.003118970E0,6.843482382E0,5.993246209E-1
1.235799750E0,7.006223842E0,6.840486268E0,5.972248127E-1
1.245821750E0,7.006747752E0,6.839849507E0,5.983702822E-1
1.255844750E0,7.004895355E0,6.841360427E0,6.027569730E-1
1.265866750E0,7.001973501E0,6.843770649E0,6.093057084E-1
1.275889750E0,6.998011428E0,6.847130460E0,6.170316710E-1
1.285912750E0,6.991129255E0,6.853099882E0,6.286781551E-1
1.295934750E0,6.979892660E0,6.862813861E0,6.473076034E-1
1.305957750E0,6.964632597E0,6.876026230E0,6.710209134E-1
1.315979750E0,6.947186260E0,6.891329563E0,6.944803812E-1
1.326002750E0,6.929677357E0,6.907049217E0,7.129798751E-1
1.336024750E0,6.913977583E0,6.921550312E0,7.246711636E-1
1.346047750E0,6.900544775E0,6.934352791E0,7.302956003E-1
1.356070750E0,6.888494248E0,6.946112711E0,7.323070425E-1
1.366092750E0,6.876277660E0,6.957994253E0,7.343238202E-1
1.376115750E0,6.862769423E0,6.970872161E0,7.385405398E-1
1.386137750E0,6.847411711E0,6.984996695E0,7.475767538E-1
1.396160750E0,6.829501104E0,7.000467843E0,7.664620909E-1
1.406182750E0,6.808906626E0,7.016994998E0,7.979190148E-1
1.416205750E0,6.787020498E0,7.033365448E0,8.391769684E-1
1.426228750E0,6.765384631E0,7.048366479E0,8.866718546E-1
1.436250750E0,6.744722909E0,7.061409863E0,9.387801209E-1
1.446273750E0,6.725033580E0,7.072398536E0,9.955770501E-1
1.456295750E0,6.705423188E0,7.081962242E0,1.057928176E0
1.466318750E0,6.684341052E0,7.090913744E0,1.128988146E0
1.476340750E0,6.661413535E0,7.099407994E0,1.208335812E0
1.486363750E0,6.638685408E0,7.106431085E0,1.289421418E0
1.496386750E0,6.618691438E0,7.110684350E0,1.366452344E0
1.506408750E0,6.603429036E0,7.111132246E0,1.436186384E0
1.516431750E0,6.593144369E0,7.107756649E0,1.498779658E0
1.526453750E0,6.586570929E0,7.101445164E0,1.556495624E0
1.536476750E0,6.582563832E0,7.093249122E0,1.609897075E0
1.546498750E0,6.580430183E0,7.084139745E0,1.658013666E0
1.556521750E0,6.579010479E0,7.075557202E0,1.699767756E0
1.566544750E0,6.577753327E0,7.068321857E0,1.734382980E0
1.576566750E0,6.578922771E0,7.061427405E0,1.757874900E0
1.586589750E0,6.585457619E0,7.052831998E0,1.767880509E0
1.596611750E0,6.597210522E0,7.042108789E0,1.766810323E0
1.606634750E0,6.610974283E0,7.031097897E0,1.759201780E0
1.616656750E0,6.623794888E0,7.021392689E0,1.749715257E0
1.626679750E0,6.633963196E0,7.013283185E0,1.743697741E0
1.636702750E0,6.641302621E0,7.005961302E0,1.745194775E0
1.646724750E0,6.645790944E0,6.998928271E0,1.756297321E0
1.656747750E0,6.646771522E0,6.993193322E0,1.775324746E0
1.666769750E0,6.644529115E0,6.990169142E0,1.795507142E0
