"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.022624995E-3,5.150253698E-2,9.078576416E-2,2.298672684E-2
1.304462506E-2,2.436588891E-2,1.414593458E-1,-4.832970724E-2
2.306762501E-2,-9.999809787E-3,1.189550981E-1,-7.945833355E-2
3.309062507E-2,-2.964250557E-2,7.258337736E-2,-9.031359851E-2
4.311262502E-2,-3.874891996E-2,4.959550127E-2,-8.077282459E-2
5.313562497E-2,-4.711816087E-2,3.673016652E-2,-4.944974929E-2
6.315762503E-2,-4.862231389E-2,1.807978377E-2,-1.174258441E-2
7.318062498E-2,-5.006315559E-2,-2.059840970E-2,1.826379076E-2
8.320262504E-2,-4.600289837E-2,-8.047638834E-2,3.724440560E-2
9.322562499E-2,-3.934404254E-2,-1.323342174E-1,4.987891763E-2
1.032486251E-1,-2.628310211E-2,-1.342746019E-1,3.236463666E-2
1.132706250E-1,-3.405691311E-2,-1.047302186E-1,-1.513895765E-2
1.232936251E-1,-6.081795320E-2,-8.243902773E-2,-5.699719116E-2
1.333156250E-1,-7.243505865E-2,-5.350386724E-2,-8.161615580E-2
1.433386250E-1,-7.997979224E-2,-3.184224665E-2,-8.944292367E-2
1.533606250E-1,-7.896359265E-2,-4.141115397E-2,-7.467378676E-2
1.633836250E-1,-7.474195212E-2,-5.961759016E-2,-4.104525223E-2
1.734066251E-1,-7.150686532E-2,-5.358494818E-2,-7.132426836E-3
1.834286250E-1,-5.888241902E-2,-5.380146205E-2,4.895403981E-4
1.934516251E-1,-3.676673025E-2,-7.202001661E-2,1.536653843E-3
2.034736250E-1,-2.390952036E-2,-1.232033074E-1,4.251214210E-3
2.134966251E-1,-2.927611768E-2,-1.805979311E-1,9.079879150E-3
2.235186250E-1,-3.515504301E-2,-1.981742680E-1,3.324254882E-3
2.335416250E-1,-2.728692442E-2,-1.790421009E-1,-5.197193008E-3
2.435646250E-1,-2.622432262E-2,-1.313733906E-1,-5.359113216E-3
2.535866250E-1,-2.756340802E-2,-8.943183720E-2,-1.978593180E-3
2.636096250E-1,-5.188339576E-2,-5.067458376E-2,-1.105624437E-2
2.736316250E-1,-1.051121056E-1,-1.812567562E-2,-3.236756846E-2
2.836546251E-1,-1.508976966E-1,1.521470398E-2,-6.298619509E-2
2.936766250E-1,-1.690229475E-1,7.849439979E-2,-7.944905758E-2
3.036996251E-1,-1.654511243E-1,1.334013343E-1,-6.344638765E-2
3.137226250E-1,-1.261870116E-1,1.498718262E-1,-2.715420350E-2
3.237446250E-1,-8.138891309E-2,1.734440029E-1,3.230598290E-3
3.337676250E-1,-5.027225241E-2,2.267636359E-1,1.475485414E-2
3.437896250E-1,-5.496793985E-2,2.761064172E-1,4.759476986E-3
3.538126250E-1,-8.839794993E-2,2.734505534E-1,-1.512758806E-2
3.638356250E-1,-1.258015186E-1,2.094862014E-1,-1.900887862E-2
3.738576251E-1,-1.408907324E-1,1.162088811E-1,4.503190052E-3
3.838806250E-1,-1.405810118E-1,4.028029740E-2,1.923606358E-2
3.939026251E-1,-1.175566837E-1,2.896858007E-2,1.479293033E-2
4.039256250E-1,-7.133486122E-2,5.788544565E-2,-5.250286311E-3
4.139476250E-1,-1.902941987E-2,9.190562367E-2,-3.026211262E-2
4.239706250E-1,2.031798661E-2,1.274151355E-1,-4.914472252E-2
4.339936250E-1,4.258682206E-2,1.443305910E-1,-6.241294369E-2
4.440156250E-1,5.388981104E-2,1.403009593E-1,-6.332241744E-2
4.540386250E-1,5.491380021E-2,9.981437773E-2,-5.390303582E-2
4.640606251E-1,4.664202034E-2,1.830221154E-2,-3.730035946E-2
4.740836250E-1,3.947977722E-2,-7.421716303E-2,-1.410799846E-2
4.841056251E-1,3.480353206E-2,-1.450990587E-1,3.880056087E-3
