"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.022624995E-3,5.668711853E-1,1.431176198E-1,-2.004918154E-1
1.304462506E-2,9.103261077E-1,4.887494606E-1,-9.855555072E-2
2.306762501E-2,6.274682200E-1,6.305298221E-1,3.710569963E-3
3.309062507E-2,1.802316517E-1,4.535158932E-1,1.550669897E-1
4.311262502E-2,-1.345093489E-1,1.067859453E-1,3.897021590E-1
5.313562497E-2,-3.547727931E-1,-1.135377252E-1,5.055682455E-1
6.315762503E-2,-4.670054197E-1,-1.746563315E-3,5.703765911E-1
7.318062498E-2,-4.080584693E-1,1.735751814E-1,5.323043467E-1
8.320262504E-2,-2.806926638E-1,2.486060679E-1,3.946819402E-1
9.322562499E-2,-1.520515805E-1,2.348990250E-1,1.625582962E-1
1.032486251E-1,1.771004677E-2,1.604493517E-1,-9.850921154E-2
1.132706250E-1,2.305814409E-1,-4.721041918E-3,-2.487218428E-1
1.232936251E-1,2.969011456E-1,-1.261390597E-1,-3.229364580E-1
1.333156250E-1,2.497299027E-1,-2.386213624E-1,-2.240092436E-1
1.433386250E-1,2.286442584E-1,-3.110601783E-1,-5.386703566E-2
1.533606250E-1,2.415894091E-2,-2.412631345E-1,1.234106757E-1
1.633836250E-1,-2.671306318E-1,1.600792229E-2,2.718638067E-1
1.734066251E-1,-4.610435987E-1,2.548602498E-1,3.216762368E-1
1.834286250E-1,-4.176970196E-1,2.993949831E-1,1.745376331E-1
1.934516251E-1,-1.939930737E-1,1.348157430E-1,-8.950515725E-2
2.034736250E-1,7.315568447E-2,-7.177047908E-2,-2.400697178E-1
2.134966251E-1,3.004153222E-1,-2.080503649E-1,-2.402300046E-1
2.235186250E-1,3.644195294E-1,-2.805722111E-1,-1.733044553E-1
2.335416250E-1,3.157940841E-1,-2.908638954E-1,-6.900240719E-2
2.435646250E-1,1.606148279E-1,-2.333278781E-1,-3.953360975E-2
2.535866250E-1,7.103840768E-2,-5.477437735E-2,-4.444600180E-2
2.636096250E-1,1.018982577E-1,1.896965396E-1,7.377139628E-2
2.736316250E-1,2.038432932E-1,3.774208134E-1,1.584870261E-1
2.836546251E-1,3.363675123E-1,4.726842356E-1,3.477497023E-1
2.936766250E-1,4.289575875E-1,3.623993164E-1,6.125367701E-1
3.036996251E-1,3.528706938E-1,3.657293057E-1,7.668670106E-1
3.137226250E-1,3.429169786E-1,1.649967313E-2,6.422132899E-1
3.237446250E-1,4.675059414E-1,-4.616803604E-1,3.747480512E-1
3.337676250E-1,6.713311082E-1,-2.469635850E-1,9.151462600E-2
3.437896250E-1,7.333496010E-1,-6.458834410E-3,-6.993883878E-2
3.538126250E-1,6.699342084E-1,1.106053466E-1,-1.065612660E-1
3.638356250E-1,3.205431926E-1,1.158666712E-1,-4.594391227E-2
3.738576251E-1,-1.551161063E-1,1.190791315E-1,6.687752903E-2
3.838806250E-1,-3.386444181E-1,7.775451958E-2,1.305116075E-1
3.939026251E-1,-2.537399232E-1,-7.390471280E-2,3.880080745E-2
4.039256250E-1,1.403331757E-3,-3.054304790E-1,-7.379127681E-2
4.139476250E-1,3.004714555E-1,-4.069071525E-1,-2.056190926E-1
4.239706250E-1,5.502007735E-1,-3.553113216E-1,-4.430066925E-1
4.339936250E-1,6.613844097E-1,-3.279270566E-1,-6.080086863E-1
4.440156250E-1,5.473128337E-1,-3.782253903E-1,-6.696902333E-1
