"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.925080299E-3,5.238117094E1,4.860397813E0,2.453237400E0,NaN,NaN,1.114902995E2,3.000811851E1
4.681503773E-2,5.238117240E1,4.860411168E0,2.453237400E0,NaN,NaN,1.455900691E2,3.001469035E1
5.504720211E-1,5.238122684E1,4.860272813E0,2.457807183E0,NaN,NaN,2.938565461E1,3.000000000E1
7.073567986E0,5.238124862E1,4.860274032E0,2.442963453E0,NaN,NaN,2.477198526E1,3.000000000E1
9.306490064E0,5.238126089E1,4.860279539E0,2.451937835E0,NaN,NaN,2.493015969E1,3.000000000E1
9.786965251E0,5.238125960E1,4.860281581E0,2.175991058E0,NaN,NaN,2.570927316E1,4.800000000E1
1.078695536E1,5.238125736E1,4.860287400E0,4.751308441E0,NaN,NaN,3.030680583E1,4.800000000E1
1.178694594E1,5.238124708E1,4.860315157E0,6.589870453E0,NaN,NaN,2.690911342E1,3.200000000E1
1.278693593E1,5.238124021E1,4.860348607E0,6.292934418E0,1.000000000E0,NaN,1.538251172E1,2.400000000E1
1.378692579E1,5.238123848E1,4.860346649E0,7.171287537E-1,1.590000033E0,3.216796875E2,1.392406065E1,4.000000000E0
1.478691614E1,5.238123264E1,4.860349270E0,9.848289490E-1,1.000000000E0,NaN,1.393966537E1,4.000000000E0
1.578818905E1,5.238122304E1,4.860358243E0,1.185451508E0,2.399999946E-1,NaN,1.390731199E1,4.000000000E0
1.678819478E1,5.238121458E1,4.860367789E0,1.222194672E0,2.099999934E-1,NaN,1.398995974E1,4.000000000E0
1.778819013E1,5.238120929E1,4.860377214E0,1.234096527E0,1.599999964E-1,NaN,1.316823596E1,4.000000000E0
1.878819656E1,5.238120561E1,4.860385227E0,2.167629242E0,0.000000000E0,NaN,1.391000139E1,4.000000000E0
1.978821194E1,5.238120191E1,4.860396790E0,2.589443207E0,2.399999946E-1,3.515625000E1,1.358943894E1,4.000000000E0
2.078821158E1,5.238119998E1,4.860407122E0,2.733486176E0,0.000000000E0,1.863281250E1,1.360184982E1,4.000000000E0
2.178822243E1,5.238120157E1,4.860402402E0,2.733486244E0,0.000000000E0,NaN,5.247271798E0,4.000000000E0
2.278823709E1,5.238119785E1,4.860418052E0,3.157436436E0,0.000000000E0,NaN,4.773854841E0,4.000000000E0
2.378823686E1,5.238121170E1,4.860429114E0,2.795620034E0,0.000000000E0,NaN,5.557361133E0,4.000000000E0
2.478824699E1,5.238125366E1,4.860444606E0,2.130703552E0,2.549999952E0,8.789067032E0,6.781251427E0,4.000000000E0
2.578825879E1,5.238127522E1,4.860453327E0,1.868984658E0,2.170000076E0,9.843754316E0,5.995879003E0,4.000000000E0
2.678825748E1,5.238129350E1,4.860461368E0,1.773281535E0,2.170000076E0,1.125000492E1,6.452459537E0,4.000000000E0
2.778826678E1,5.238131156E1,4.860469540E0,1.619289786E0,2.019999981E0,9.140628733E0,6.316798021E0,4.000000000E0
2.878827560E1,5.238133235E1,4.860472759E0,1.852077871E0,2.019999981E0,7.031252884E-1,6.987325369E0,4.000000000E0
2.978826857E1,5.238133674E1,4.860471943E0,1.691616124E0,8.999999762E-1,NaN,1.554592291E1,4.000000000E0
3.078826022E1,5.238134177E1,4.860470938E0,1.759670327E0,1.100000024E0,NaN,1.667872145E1,4.000000000E0
3.178825104E1,5.238133464E1,4.860500023E0,1.733303139E0,1.100000024E0,NaN,1.653980363E1,4.000000000E0
3.278824162E1,5.238132128E1,4.860540843E0,1.765895910E0,1.419999957E0,NaN,1.597455118E1,4.000000000E0
3.378823316E1,5.238130246E1,4.860568922E0,1.589565345E0,1.419999957E0,NaN,1.605681885E1,4.000000000E0
3.478822410E1,5.238128377E1,4.860609372E0,1.601894590E0,1.350000024E0,1.082812649E2,1.573256345E1,4.000000000E0
3.578821564E1,5.238126412E1,4.860631548E0,1.622829649E0,1.350000024E0,1.114453271E2,1.031328969E1,4.000000000E0
3.678820693E1,5.238125156E1,4.860627489E0,1.457363222E0,5.699999928E-1,1.117968812E2,7.791678003E0,4.000000000E0
3.778819680E1,5.238124060E1,4.860613430E0,1.184841225E0,2.399999946E-1,NaN,6.270772371E0,4.000000000E0
3.878818882E1,5.238122882E1,4.860599851E0,1.118740150E0,3.600000143E-1,NaN,5.754081618E0,4.000000000E0
3.978817892E1,5.238121977E1,4.860587865E0,1.341335365E0,0.000000000E0,NaN,5.164013209E0,4.000000000E0
4.078817070E1,5.238121135E1,4.860579316E0,9.605370257E-1,1.899999976E-1,NaN,5.174123769E0,4.000000000E0
4.178816187E1,5.238120411E1,4.860413272E0,3.316542413E-1,1.378970437E-1,NaN,4.382299285E1,4.901503067E0
4.278815293E1,5.238118602E1,4.860413213E0,2.724964209E-1,1.399085384E-1,NaN,1.103145684E1,3.000000000E0
4.378814447E1,5.238114870E1,4.860408218E0,3.406108329E-1,5.694511699E-1,NaN,1.048681295E1,3.000000000E0
4.478813481E1,5.238114698E1,4.860376301E0,3.728077598E-1,5.910382503E-1,NaN,1.028980829E1,3.000000000E0
4.578812563E1,5.238112720E1,4.860404824E0,3.718827106E-1,7.794416407E-1,1.312505857E2,1.538512514E1,3.000000000E0
4.678811753E1,5.238112927E1,4.860415996E0,3.269855371E-1,6.254454550E-1,NaN,1.379632795E1,3.000000000E0
4.778810823E1,5.238114397E1,4.860423376E0,2.440713365E-1,2.563515914E-1,NaN,1.371552227E1,3.000000000E0
4.878809965E1,5.238113377E1,4.860407202E0,4.206722165E-1,1.422085819E-1,NaN,1.525812453E1,3.190117079E0
4.978809035E1,5.238114391E1,4.860411244E0,3.890683679E-1,3.441947669E-1,NaN,1.525812453E1,3.176390657E0
5.078808129E1,5.238112930E1,4.860393003E0,5.037391111E-1,3.210590450E-1,NaN,1.513361754E1,3.170013176E0
5.178807306E1,5.238112640E1,4.860400289E0,4.997896077E-1,1.015337334E-1,NaN,2.355528282E1,4.452832956E0
5.278806245E1,5.238111685E1,4.860410384E0,4.593832847E-1,2.926021629E-1,NaN,2.454787759E1,4.080010382E0
5.378805399E1,5.238112205E1,4.860428896E0,4.614329245E-1,4.805211999E-1,NaN,2.268984064E1,4.311884490E0
5.478804493E1,5.238112231E1,4.860424987E0,4.066628795E-1,2.266690933E-1,NaN,2.255608685E1,4.338329789E0
5.578803599E1,5.238112234E1,4.860434883E0,4.069369892E-1,2.356535165E-1,NaN,2.166640082E1,4.534266992E0
5.678802681E1,5.238110617E1,4.860419452E0,4.794445336E-1,4.899868617E-1,NaN,2.083960188E1,4.427116525E0
5.778801823E1,5.238110657E1,4.860409113E0,5.131463734E-1,2.569189915E-1,NaN,1.987440563E1,4.666345567E0
5.878801000E1,5.238111460E1,4.860415542E0,4.328598147E-1,1.248263703E-2,NaN,1.886602202E1,4.574449897E0
5.978800023E1,5.238112374E1,4.860417899E0,3.987878198E-1,1.673679079E-1,NaN,1.886602202E1,4.611077667E0
6.078799152E1,5.238113346E1,4.860435869E0,3.414072059E-1,4.718823788E-1,NaN,1.857333174E1,4.653730712E0
6.178798246E1,5.238113753E1,4.860448833E0,2.073890083E-1,2.193524095E-1,NaN,1.820658601E1,5.217066148E0
6.278797317E1,5.238114644E1,4.860450340E0,3.568536323E-1,2.645695596E-1,NaN,1.762559800E1,5.449842870E0
6.378796470E1,5.238115541E1,4.860453469E0,3.019330213E-1,1.334419948E-1,NaN,1.716602313E1,5.024442004E0
6.478795552E1,5.238115259E1,4.860449904E0,2.569548953E-1,1.810999967E-1,NaN,1.683872022E1,4.860440322E0
6.578794670E1,5.238114473E1,4.860461416E0,2.500269869E-1,1.864281443E-1,NaN,1.673136442E1,4.641805722E0
6.678793764E1,5.238114651E1,4.860462152E0,3.381251944E-1,2.942243572E-1,NaN,1.703367025E1,4.194571248E0
6.778792858E1,5.238114452E1,4.860457301E0,4.789520064E-1,2.283393588E-1,NaN,1.697403725E1,4.351926094E0
6.878791988E1,5.238114843E1,4.860485452E0,3.227579342E-1,1.068796329E0,9.329610435E1,1.667813567E1,4.346059597E0
6.978791082E1,5.238114581E1,4.860471156E0,3.952915641E-1,1.445507929E-1,NaN,1.683133598E1,4.481408129E0
7.078790104E1,5.238114761E1,4.860467228E0,5.351710906E-1,5.653161853E-1,NaN,1.679002458E1,4.541600890E0
7.178789186E1,5.238114256E1,4.860473924E0,5.330849290E-1,9.052804899E-2,NaN,1.649695465E1,4.470951054E0
7.278788376E1,5.238113476E1,4.860483090E0,6.170251006E-1,1.201139451E-1,NaN,1.640775874E1,4.588793231E0
7.378787446E1,5.238113914E1,4.860482145E0,5.795514565E-1,2.432350301E-2,NaN,1.641925279E1,4.759913482E0
