"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.660220837E-2,8.927528858E-2,2.576312453E-2,3.307740659E-1
2.662420832E-2,5.624202847E-2,-1.271342558E-1,4.067691582E-1
3.664520837E-2,-3.171863061E-1,-1.405109310E-1,6.244826317E-3
4.666620831E-2,-7.774475473E-1,-7.755454481E-3,-1.395163196E-1
5.668820837E-2,-6.536543906E-1,1.729463133E-1,-1.323920721E-1
6.670920830E-2,-4.262631905E-1,2.240267122E-1,-8.587805629E-2
7.673120836E-2,-2.420571864E-1,1.210958362E-2,-6.344345927E-2
8.675220830E-2,1.273488486E-1,-8.612714767E-2,-5.359557867E-3
9.677420836E-2,2.693864876E-1,-2.468095109E-1,2.457818627E-2
1.067952083E-1,1.064935845E-1,-3.198380184E-1,-9.191823006E-3
1.168162083E-1,1.940164626E-2,-1.344187170E-1,-6.890241981E-2
1.268382083E-1,-1.849825144E-2,1.655238578E-1,-4.111118853E-2
1.368592083E-1,2.425202858E-1,1.974046317E-1,1.623163676E-1
1.468812083E-1,5.519859284E-1,1.789981815E-1,2.501152343E-1
1.569022083E-1,6.773864847E-1,1.717058265E-1,2.786128092E-1
1.669242084E-1,3.537062609E-1,-7.151407868E-2,2.101705652E-1
1.769452083E-1,-5.669226408E-2,-3.136832392E-1,9.395598471E-2
1.869662084E-1,-8.859701157E-2,-3.317373946E-1,5.841485381E-2
1.969882083E-1,9.747366965E-2,-1.294705108E-1,1.048090017E-1
2.070092084E-1,1.850456643E-1,9.783210397E-2,1.026987416E-1
2.170312083E-1,5.262026310E-2,2.545795834E-1,4.172631562E-2
2.270522084E-1,-6.630976439E-2,-1.109187573E-2,8.213466883E-2
2.370742083E-1,-1.160888654E-1,-2.824544299E-1,5.334648728E-2
2.470952084E-1,2.292985618E-2,-7.616524637E-2,1.791972792E-1
2.571162083E-1,7.783111811E-2,1.020903388E-1,3.506627852E-1
2.671382084E-1,1.412500191E-1,1.548029879E-1,3.165524679E-1
2.771592083E-1,1.819986802E-1,1.891305292E-1,1.823243701E-1
2.871812084E-1,-1.643728334E-1,1.622321677E-1,5.412358224E-2
2.972022083E-1,-5.276767141E-1,-9.468688667E-3,4.688765287E-2
3.072242084E-1,-7.511818546E-1,-1.907493308E-1,1.319014907E-1
3.172452083E-1,-8.104638505E-1,-2.981688219E-1,1.904642791E-1
3.272662084E-1,-7.537376726E-1,-1.878903347E-1,2.092695093E-1
3.372882083E-1,-9.596812856E-1,-1.845729169E-1,9.997569323E-2
3.473092084E-1,-1.196094739E0,-3.625224003E-1,-3.136446476E-2
3.573312083E-1,-1.170592693E0,-4.172190097E-1,-1.227441663E-1
3.673522084E-1,-1.165323767E0,-4.948940071E-1,-2.903984571E-1
3.773742083E-1,-1.207183399E0,-8.070753890E-1,-6.047640663E-1
3.873952084E-1,-1.416126049E0,-9.223418435E-1,-7.615109611E-1
3.974172083E-1,-1.542442864E0,-8.892071342E-1,-8.400419909E-1
4.074382083E-1,-1.753244929E0,-9.736985233E-1,-9.210048777E-1
4.174592084E-1,-2.185471694E0,-1.119054457E0,-9.848699212E-1
4.274812083E-1,-2.552461660E0,-1.498493437E0,-1.189041243E0
4.375022084E-1,-2.502524099E0,-1.645536585E0,-1.320705922E0
4.475242083E-1,-2.002679547E0,-1.420754413E0,-1.311381952E0
4.575452084E-1,-2.017166024E0,-1.235948192E0,-1.200658491E0
4.675672083E-1,-1.733676052E0,-1.375990469E0,-1.222441708E0
4.775882084E-1,-1.149242170E0,-6.582944486E-1,-1.164563921E0
4.876092083E-1,-1.440719438E0,5.640966815E-1,-1.047425481E0
4.976312084E-1,7.545229536E-1,5.944793987E-1,-5.932754570E-1
5.076522083E-1,4.338690147E0,4.538667262E-1,-2.633720416E-1
5.176742084E-1,5.097238324E0,1.702025366E0,4.191377735E-1
5.276952083E-1,4.616850967E0,2.608564525E0,9.741967061E-1
5.377172084E-1,3.532876588E0,2.581096352E0,8.502418739E-1
5.477382083E-1,3.205948235E0,1.967341899E0,8.286995620E-1
5.577592084E-1,3.167397543E0,1.214714613E0,7.560327047E-1
5.677812083E-1,3.065688150E0,6.054277253E-1,4.717764553E-1
5.778022084E-1,2.829959990E0,2.951235920E-1,2.541419193E-1
