"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.537787495E-2,1.988305922E0,9.475465005E0,1.580601794E0
2.540087490E-2,1.976654906E0,9.477658296E0,1.582072222E0
3.542287496E-2,1.966001864E0,9.479693711E0,1.583142409E0
4.544587492E-2,1.954182887E0,9.481803972E0,1.585143911E0
5.546787498E-2,1.940259643E0,9.484048718E0,1.588811138E0
6.548987492E-2,1.926137886E0,9.486013967E0,1.594254457E0
7.551287499E-2,1.915793723E0,9.487105057E0,1.600216717E0
8.553487493E-2,1.910698752E0,9.487313218E0,1.605058942E0
9.555787500E-2,1.909848274E0,9.487101549E0,1.607327224E0
1.055798749E-1,1.913263048E0,9.486499870E0,1.606812522E0
1.156018749E-1,1.921652926E0,9.485119928E0,1.604943168E0
1.256248750E-1,1.933035116E0,9.483083927E0,1.603303901E0
1.356468749E-1,1.943323876E0,9.481071315E0,1.602769027E0
1.456698750E-1,1.950686690E0,9.479532328E0,1.602932456E0
1.556918749E-1,1.955713542E0,9.478510235E0,1.602854834E0
1.657138750E-1,1.960003497E0,9.477640754E0,1.602754993E0
1.757368749E-1,1.964815756E0,9.476674209E0,1.602574899E0
1.857588750E-1,1.969377607E0,9.475740409E0,1.602498154E0
1.957818749E-1,1.972776302E0,9.474986703E0,1.602769758E0
2.058038750E-1,1.975089752E0,9.474326552E0,1.603817286E0
2.158258749E-1,1.976160816E0,9.473637750E0,1.606569863E0
2.258488749E-1,1.975485609E0,9.473032563E0,1.610971208E0
2.358708750E-1,1.972130623E0,9.472770608E0,1.616603539E0
2.458938749E-1,1.964087924E0,9.473247741E0,1.623580144E0
2.559158750E-1,1.949758152E0,9.474788482E0,1.631844453E0
2.659378749E-1,1.930779845E0,9.477225017E0,1.640239592E0
2.759608750E-1,1.908855125E0,9.480187801E0,1.648757085E0
2.859828749E-1,1.883139363E0,9.483783839E0,1.657629504E0
2.960058750E-1,1.853111571E0,9.488156971E0,1.666421378E0
3.060278749E-1,1.820575471E0,9.492886199E0,1.675326833E0
3.160498750E-1,1.789730385E0,9.497275704E0,1.683653999E0
3.260728749E-1,1.769359417E0,9.500705096E0,1.685843051E0
3.360948749E-1,1.763106550E0,9.502458091E0,1.682512477E0
3.461178750E-1,1.767874662E0,9.502337054E0,1.678186853E0
