"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.537787495E-2,7.303055376E-2,4.429360926E-1,-6.559537351E-2
2.540087490E-2,7.159750909E-2,4.013257921E-1,-4.649092257E-2
3.542287496E-2,5.736689270E-2,3.413755894E-1,-5.688965321E-2
4.544587492E-2,2.951076254E-2,2.814334333E-1,-8.971257508E-2
5.546787498E-2,-4.195601214E-3,2.240023911E-1,-1.177986637E-1
6.548987492E-2,-2.861678973E-2,1.711594164E-1,-1.074602753E-1
7.551287499E-2,-4.035885260E-2,1.048405766E-1,-6.140542403E-2
8.553487493E-2,-3.297284245E-2,3.627856448E-2,-2.262447216E-2
9.555787500E-2,-1.268314384E-2,-2.313439921E-2,5.350468680E-3
1.055798749E-1,-1.465643756E-3,-8.276124299E-2,4.827370122E-2
1.156018749E-1,-3.959378693E-3,-1.219776571E-1,9.050846845E-2
1.256248750E-1,-1.164286584E-2,-1.145961732E-1,1.014090553E-1
1.356468749E-1,-1.332619041E-2,-5.699820817E-2,8.310520649E-2
1.456698750E-1,-2.569948323E-3,-5.336608738E-3,6.174984947E-2
1.556918749E-1,8.075923659E-3,3.437064216E-2,5.098553374E-2
1.657138750E-1,1.467603631E-2,6.000729278E-2,5.802080780E-2
1.757368749E-1,1.946140453E-2,8.500400931E-2,6.615345180E-2
1.857588750E-1,2.148514241E-2,1.007225141E-1,5.899194628E-2
1.957818749E-1,1.543854922E-2,9.913575649E-2,4.607462883E-2
2.058038750E-1,4.201606382E-3,1.043904424E-1,3.555434197E-2
2.158258749E-1,-1.024248824E-2,1.371162981E-1,2.642223053E-2
2.258488749E-1,-2.240088582E-2,1.517229229E-1,7.100997027E-3
2.358708750E-1,-4.177797958E-2,1.094707996E-1,-3.536485508E-2
2.458938749E-1,-6.896006316E-2,7.093378901E-2,-1.057362184E-1
2.559158750E-1,-7.536004484E-2,6.276158988E-2,-1.710084677E-1
2.659378749E-1,-7.311660051E-2,7.723986357E-2,-2.044287473E-1
2.759608750E-1,-6.302432716E-2,1.272817552E-1,-2.255052179E-1
2.859828749E-1,-5.387237668E-2,2.101199031E-1,-2.574522495E-1
2.960058750E-1,-4.207102209E-2,2.417224497E-1,-2.926913202E-1
3.060278749E-1,-5.330343544E-2,2.669268847E-1,-3.001862764E-1
3.160498750E-1,-3.279036283E-2,1.425716728E-1,-2.595651448E-1
3.260728749E-1,-1.303024217E-2,-1.354189366E-1,-1.618561745E-1
3.360948749E-1,-5.154019687E-3,-2.924717963E-1,-5.147850513E-2
3.461178750E-1,-3.141385317E-2,-3.687433898E-1,3.075218759E-2
3.561398749E-1,-8.624194562E-2,-4.303182662E-1,6.628628075E-2
3.661618750E-1,-1.305649281E-1,-5.416858196E-1,8.103992790E-2
3.761848749E-1,-1.498516947E-1,-6.853469610E-1,1.065764576E-1
3.862068750E-1,-1.488335729E-1,-8.060269952E-1,1.528246552E-1
3.962298749E-1,-1.387980282E-1,-8.424051404E-1,1.999507695E-1
4.062518750E-1,-1.134468615E-1,-7.884494662E-1,2.481425256E-1
4.162748749E-1,-7.546237111E-2,-6.550487280E-1,3.004186153E-1
4.262968750E-1,-4.319338500E-2,-4.646955431E-1,3.278020322E-1
4.363188749E-1,-3.823832422E-2,-2.176448405E-1,3.042346835E-1
4.463418749E-1,-5.832654983E-2,5.461410806E-2,1.997458339E-1
4.563638750E-1,-5.410486087E-2,3.143396676E-1,4.842072353E-2
4.663858749E-1,-6.684248894E-2,5.356019735E-1,-8.690062165E-2
4.764088750E-1,-1.157824695E-1,7.533652186E-1,-1.851677597E-1
4.864308749E-1,-2.093779296E-1,9.444526434E-1,-2.531939447E-1
4.964538750E-1,-2.501496077E-1,1.052909017E0,-2.852688730E-1
5.064758749E-1,-2.604602873E-1,1.013292432E0,-2.858832777E-1
5.164988750E-1,-2.667911649E-1,9.417185783E-1,-2.759185135E-1
5.265208749E-1,-2.554391623E-1,1.001994729E0,-2.614495754E-1
5.365428750E-1,-2.206081152E-1,1.195631146E0,-2.433627397E-1
5.465658749E-1,-1.569495052E-1,1.425042152E0,-2.367578298E-1
5.565878749E-1,-8.394139260E-2,1.635458827E0,-2.468143553E-1
5.666108750E-1,-1.947459299E-3,1.814440370E0,-2.698637843E-1
5.766328749E-1,6.868248433E-2,1.953662157E0,-2.946369052E-1
5.866548750E-1,1.479123235E-1,2.034445047E0,-3.076405823E-1
5.966778749E-1,2.119038105E-1,2.073338509E0,-2.930980027E-1
6.066998750E-1,2.427176535E-1,2.042486429E0,-2.769227624E-1
6.167228749E-1,3.028897345E-1,1.949493766E0,-2.521431148E-1
6.267448750E-1,3.977499306E-1,1.840219975E0,-2.431197912E-1
6.367668749E-1,4.505701065E-1,1.709195256E0,-2.906255126E-1
6.467898750E-1,4.862508476E-1,1.571018219E0,-3.684420288E-1
6.568118749E-1,4.532172382E-1,1.364182115E0,-4.193674028E-1
6.668348749E-1,1.866742373E-1,1.138261437E0,-3.522123396E-1
6.768568750E-1,8.129280061E-2,1.408122897E0,-2.404061109E-1
6.868788749E-1,1.568352282E-1,2.074535847E0,-4.446945190E-1
6.969018750E-1,3.707133830E-1,2.873062849E0,-9.854812622E-1
7.069238749E-1,4.477016330E-1,3.672290802E0,-1.568687916E0
7.169468750E-1,4.395473599E-1,3.869198799E0,-1.965424538E0
7.269688749E-1,5.101534352E-2,3.436038494E0,-2.006394625E0
7.369908750E-1,-3.893202543E-1,2.653794527E0,-1.685985208E0
7.470138749E-1,-6.637563109E-1,1.927435756E0,-1.272499323E0
7.570358750E-1,-8.165315390E-1,1.235410094E0,-1.109984875E0
7.670588749E-1,-9.839285016E-1,4.058834016E-1,-1.168596029E0
7.770808749E-1,-1.142737031E0,-4.402132034E-1,-1.151650071E0
7.871028750E-1,-1.314033389E0,-9.654689431E-1,-9.229540229E-1
7.971258749E-1,-1.344774723E0,-1.053520799E0,-5.619556904E-1
8.071478750E-1,-1.220923543E0,-7.620144486E-1,-2.216287553E-1
8.171708749E-1,-1.037417769E0,-1.839462817E-1,2.933772840E-2
8.271928750E-1,-8.604441881E-1,6.464332342E-1,1.821488440E-1
8.372158749E-1,-6.767109036E-1,1.405249834E0,2.372649312E-1
8.472378750E-1,-4.556427300E-1,1.963427424E0,2.323865592E-1
8.572598749E-1,-2.160335779E-1,2.361389875E0,1.830026954E-1
8.672828750E-1,-2.133276779E-3,2.676589727E0,1.208474487E-1
8.773048749E-1,1.465824395E-1,2.999309063E0,5.847975239E-2
8.873278749E-1,1.696115881E-1,3.219448328E0,6.736325473E-2
8.973498750E-1,1.403453499E-1,3.168496609E0,2.537641525E-1
9.073718749E-1,-5.788038298E-2,2.942967653E0,5.589498878E-1
9.173948750E-1,-2.881998420E-1,2.516280890E0,7.971960902E-1
9.274168749E-1,-7.949839234E-1,2.049640894E0,8.303130269E-1
9.374429999E-1,-8.578971624E-1,1.787389278E0,5.966747999E-1
9.474650000E-1,-8.139653802E-1,1.873401761E0,2.108040899E-1
9.574869999E-1,-9.235522747E-1,1.853716850E0,-1.227177307E-1
9.675100000E-1,-1.205206633E0,1.681415558E0,-3.257334232E-1
9.775319999E-1,-1.422148585E0,1.493500113E0,-2.477207631E-1
9.875550000E-1,-1.538174033E0,1.103818893E0,-1.701645553E-2
9.975769999E-1,-1.582326531E0,7.056405544E-1,9.233246744E-2
1.007599000E0,-1.546059489E0,4.037117958E-1,6.898521446E-3
1.017622000E0,-1.435410857E0,2.006715387E-1,-1.557396203E-1
1.027644000E0,-1.340570092E0,-1.019143313E-2,-2.230259776E-1
1.037667000E0,-1.185352564E0,-2.516293824E-1,-1.153936759E-1
1.047689000E0,-9.876943827E-1,-2.758790553E-1,1.219182089E-1
1.057711000E0,-8.053573370E-1,-2.645974755E-1,3.822697699E-1
1.067734000E0,-6.847270727E-1,-3.411708176E-1,5.939998627E-1
1.077756000E0,-6.375551224E-1,-3.714926541E-1,7.614144087E-1
1.087779000E0,-7.565217614E-1,-1.502745450E-1,8.826721311E-1
1.097801000E0,-8.338755965E-1,4.029254317E-1,9.822734594E-1
1.107824000E0,-7.307001948E-1,9.794867635E-1,1.036092758E0
1.117846000E0,-5.404355526E-1,1.477348685E0,1.019011974E0
1.127868000E0,-3.846227825E-1,2.040030718E0,9.104542732E-1
1.137891000E0,-3.972417414E-1,2.341655016E0,8.167130947E-1
1.147913000E0,-7.047929168E-1,2.425218582E0,6.685172319E-1
1.157936000E0,-9.848026037E-1,2.543301821E0,3.506375849E-1
1.167958000E0,-9.867371321E-1,2.409190893E0,-8.946426213E-3
1.177980000E0,-1.020516634E0,1.704001665E0,-2.139580250E-1
1.188003000E0,-1.195084095E0,5.519210696E-1,-3.116355278E-3
1.198025000E0,-1.353958368E0,-6.526003480E-1,4.131615162E-1
1.208048000E0,-1.384560466E0,-1.530630112E0,7.506900430E-1
1.218070000E0,-1.393433094E0,-1.843813896E0,9.216299653E-1
1.228092000E0,-1.380633116E0,-1.601298451E0,8.610576987E-1
1.238115000E0,-1.272911906E0,-1.105668545E0,6.178348660E-1
1.248137000E0,-1.094816208E0,-5.906981230E-1,3.842050433E-1
1.258160000E0,-9.369264841E-1,-4.486367851E-2,2.524168491E-1
1.268182000E0,-7.978658080E-1,4.739145041E-1,2.027664483E-1
1.278204000E0,-6.905966401E-1,7.169615030E-1,2.186321318E-1
1.288227000E0,-6.917138696E-1,5.622659326E-1,2.828779519E-1
1.298249000E0,-7.950968146E-1,2.730050683E-1,3.542210460E-1
1.308272000E0,-9.202232957E-1,-4.049055278E-2,3.993083537E-1
1.318294000E0,-1.032921672E0,-4.714112580E-1,4.388283491E-1
1.328316000E0,-1.114227414E0,-9.516426325E-1,4.718470275E-1
1.338339000E0,-1.143580079E0,-1.321801782E0,4.646423757E-1
1.348361000E0,-1.152633786E0,-1.483771324E0,4.224970639E-1
1.358384000E0,-1.139524102E0,-1.526641965E0,3.766662478E-1
1.368406000E0,-1.100815296E0,-1.651994348E0,3.503454030E-1
1.378428000E0,-1.082683802E0,-1.788006186E0,3.594188094E-1
1.388451000E0,-1.069764018E0,-1.827691078E0,3.769064546E-1
1.398473000E0,-1.033330798E0,-1.799107671E0,4.124377370E-1
1.408496000E0,-9.701417685E-1,-1.679687500E0,4.890568852E-1
1.418518000E0,-8.938023448E-1,-1.493789077E0,5.604858398E-1
1.428540000E0,-8.035355806E-1,-1.354998946E0,6.033837795E-1
1.438563000E0,-7.128625512E-1,-1.302569270E0,6.203950047E-1
1.448585000E0,-6.593910456E-1,-1.304919243E0,5.862175822E-1
1.458608000E0,-6.635499001E-1,-1.395524144E0,5.228623748E-1
1.468630000E0,-7.328200340E-1,-1.504698038E0,4.741891026E-1
1.478652000E0,-8.103657365E-1,-1.590223074E0,4.550122321E-1
1.488675000E0,-8.725473285E-1,-1.694827557E0,4.470824301E-1
1.498697000E0,-9.271942377E-1,-1.822951317E0,4.536303878E-1
1.508720000E0,-9.617633820E-1,-1.880311012E0,4.929860532E-1
1.518742000E0,-9.578686953E-1,-1.804542542E0,5.588322282E-1
1.528765000E0,-9.351817369E-1,-1.627907395E0,6.153237224E-1
1.538787000E0,-8.898330331E-1,-1.338746548E0,6.159436703E-1
