"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.537787495E-2,2.149625047E-1,1.860437840E-1,1.875213754E-1
2.540087490E-2,2.921773262E-1,-2.454555881E-1,1.770696236E-1
3.542287496E-2,3.377072556E-1,-3.931398833E-1,2.044401477E-1
4.544587492E-2,1.791811994E-1,-2.334348822E-1,1.226548500E-1
5.546787498E-2,1.658608036E-1,1.160496891E-2,6.255468249E-2
6.548987492E-2,2.488392256E-1,1.066380107E-1,6.294936955E-2
7.551287499E-2,1.776031820E-1,-1.479345560E-3,1.117731817E-1
8.553487493E-2,3.884714663E-2,-1.367079020E-1,1.787815422E-1
9.555787500E-2,-1.228640342E-1,-1.450273204E-1,2.197735937E-1
1.055798749E-1,-3.463216661E-1,-9.937109113E-2,1.219423668E-1
1.156018749E-1,-4.753605062E-1,9.485353231E-3,-8.066307083E-2
1.256248750E-1,-4.615951373E-1,5.987081051E-2,-2.291612984E-1
1.356468749E-1,-2.190596487E-1,-1.849942088E-2,-2.567683424E-1
1.456698750E-1,6.741664231E-2,-4.001191199E-2,-1.867279083E-1
1.556918749E-1,1.391803971E-1,-3.674331844E-2,-7.917349264E-2
1.657138750E-1,7.501466051E-2,-1.217963326E-1,-5.048310578E-2
1.757368749E-1,-4.550683290E-2,-1.578029019E-1,-8.838651180E-3
1.857588750E-1,-7.177369505E-2,-9.923894405E-2,3.988619685E-2
1.957818749E-1,-4.519605339E-3,1.123600960E-2,4.260851428E-2
2.058038750E-1,7.175352216E-2,1.120367450E-1,4.440521747E-2
2.158258749E-1,1.738179870E-1,2.514881605E-1,8.191876039E-2
2.258488749E-1,2.164066207E-1,3.478958827E-1,1.604454048E-1
2.358708750E-1,2.179649037E-1,3.586342943E-1,1.998687945E-1
2.458938749E-1,2.743567671E-1,4.494666964E-1,3.021646629E-1
2.559158750E-1,2.889863545E-1,5.079517168E-1,5.822006844E-1
2.659378749E-1,1.656106889E-1,3.938473964E-1,8.014829658E-1
2.759608750E-1,-3.355497792E-2,2.429915714E-1,7.827864937E-1
2.859828749E-1,-4.346498519E-2,8.895953894E-2,6.388948488E-1
2.960058750E-1,2.004679880E-1,-1.869881094E-2,4.503268218E-1
3.060278749E-1,5.560324940E-1,-3.031372011E-2,2.691292101E-1
3.160498750E-1,7.256387316E-1,1.244696796E-2,-6.492017359E-2
3.260728749E-1,3.583159134E-1,2.317561466E-1,-2.156002897E-1
3.360948749E-1,-2.515498486E-1,4.831267780E-1,-4.504244703E-1
3.461178750E-1,-5.712630290E-1,3.759210026E-1,-7.158383596E-1
3.561398749E-1,-7.894409175E-1,3.312371653E-1,-8.280763949E-1
3.661618750E-1,-7.137706380E-1,2.453626174E-1,-8.190313371E-1
3.761848749E-1,-4.731531823E-1,7.861873806E-2,-6.253335477E-1
3.862068750E-1,-2.202646136E-1,-1.139300734E-1,-2.724441428E-1
3.962298749E-1,1.039035603E-2,-3.355915868E-1,-1.115701371E-1
4.062518750E-1,2.482597665E-1,-4.158639175E-1,-2.689251423E-2
4.162748749E-1,5.516483979E-1,-3.712379676E-1,9.022736147E-2
4.262968750E-1,8.228717883E-1,-2.808248109E-1,7.122537240E-2
4.363188749E-1,1.087041682E0,-1.668888903E-1,8.288837492E-2
4.463418749E-1,1.298712643E0,3.045990050E-2,1.372866301E-1
4.563638750E-1,1.345195815E0,3.751415688E-1,4.833514573E-1
4.663858749E-1,1.015886769E0,7.599708045E-1,9.187930222E-1
4.764088750E-1,4.041968219E-1,1.231662183E0,1.064029527E0
4.864308749E-1,-4.930562273E-2,1.478892986E0,9.840314305E-1
4.964538750E-1,-1.861887950E-1,1.322591649E0,1.189050014E0
5.064758749E-1,-2.421396321E-1,8.076911008E-1,1.640271606E0
5.164988750E-1,-3.138852605E-1,3.274095780E-1,1.875405543E0
5.265208749E-1,-3.592093679E-1,-5.186655700E-2,1.716851858E0
5.365428750E-1,-2.404421854E-1,-2.744630402E-1,1.432255447E0
5.465658749E-1,1.901999849E-1,-3.639213467E-1,1.076934332E0
5.565878749E-1,8.294246167E-1,-4.308310354E-1,6.067882262E-1
5.666108750E-1,1.329411256E0,-4.760802984E-1,8.423074946E-2
5.766328749E-1,1.639035505E0,-4.258416063E-1,-4.661201513E-1
5.866548750E-1,1.860537535E0,-2.106944758E-1,-7.955098888E-1
5.966778749E-1,1.917434598E0,1.496629930E-1,-1.113119241E0
6.066998750E-1,1.911911611E0,7.256090569E-1,-1.491701311E0
6.167228749E-1,2.078864235E0,1.256270775E0,-1.592594725E0
6.267448750E-1,2.189181899E0,1.518457586E0,-1.933788968E0
6.367668749E-1,2.329075656E0,1.294135589E0,-2.856921501E0
6.467898750E-1,2.487667786E0,8.439701504E-1,-3.648891778E0
6.568118749E-1,2.395432929E0,4.274782419E-1,-3.945412855E0
6.668348749E-1,2.331155657E0,7.879473925E-2,-4.017768055E0
6.768568750E-1,2.673709524E0,5.155782402E-1,-3.229476846E0
6.868788749E-1,3.153186762E0,1.469975397E0,-1.757919485E0
6.969018750E-1,3.703178498E0,2.675117533E0,-9.434847906E-2
7.069238749E-1,2.881295620E0,2.991111007E0,2.155937116E-1
7.169468750E-1,7.460189825E-1,2.528968132E0,2.618979585E-1
7.269688749E-1,-1.249867196E0,1.864231514E0,2.025232843E-1
7.369908750E-1,-3.410961556E0,9.208709764E-1,9.986974168E-1
7.470138749E-1,-5.442117044E0,-4.565447509E-1,2.086968330E0
7.570358750E-1,-5.549347962E0,-1.574765103E0,2.501622751E0
7.670588749E-1,-3.536012449E0,-1.379823026E0,2.131414186E0
7.770808749E-1,-1.297450668E0,3.815366685E-2,1.547901825E0
7.871028750E-1,-2.718458265E-1,1.641688240E0,3.032822120E-1
7.971258749E-1,8.158569568E-1,2.416629671E0,-7.444122407E-1
8.071478750E-1,2.469208711E0,1.733364395E0,-1.027673879E0
8.171708749E-1,4.292267641E0,3.017847401E-1,-1.085642882E0
8.271928750E-1,5.451156254E0,-1.006459596E0,-1.158778394E0
8.372158749E-1,5.639495071E0,-1.629541819E0,-1.149311752E0
8.472378750E-1,5.448563599E0,-1.334120019E0,-9.004308647E-1
8.572598749E-1,4.897993866E0,-8.515645140E-1,-9.962816396E-1
8.672828750E-1,4.381530358E0,-7.793823910E-1,-1.596364717E0
8.773048749E-1,3.859833006E0,-1.147675701E0,-2.245060084E0
8.873278749E-1,3.327569444E0,-1.611632382E0,-2.825923949E0
8.973498750E-1,2.357374280E0,-1.650059699E0,-2.995069865E0
9.073718749E-1,7.931907369E-1,-1.030206892E0,-2.415697040E0
9.173948750E-1,-8.194024891E-1,7.188040674E-2,-1.846886333E0
9.274168749E-1,-1.764769060E0,1.328905472E0,-9.235159644E-1
9.374429999E-1,-2.318525379E0,2.937846381E0,1.254853702E0
9.474650000E-1,-3.243939057E0,3.550743340E0,2.658168794E0
9.574869999E-1,-3.717504468E0,2.018082283E0,1.326063433E0
9.675100000E-1,-3.263205633E0,2.911042160E-1,-3.653954297E-2
9.775319999E-1,-2.666812733E0,-6.772654474E-2,-3.753342345E-1
9.875550000E-1,-2.954998603E0,6.759615183E-2,6.173022509E-2
9.975769999E-1,-2.672518446E0,2.083637756E-1,-3.623332429E-1
1.007599000E0,-2.066965444E0,1.168770701E-1,-1.021298367E0
1.017622000E0,-1.459564722E0,1.123144877E-1,-1.210995491E0
1.027644000E0,-5.667999955E-1,1.632811582E-1,-1.879952045E0
1.037667000E0,3.723030379E-1,2.151816291E-1,-2.108510057E0
1.047689000E0,5.843746792E-1,2.925204116E-1,-1.820378566E0
1.057711000E0,2.370176174E-1,-4.387341321E-2,-2.064961457E0
1.067734000E0,4.187354851E-1,-6.754884785E-1,-2.578463351E0
1.077756000E0,9.667284961E-1,-1.232481378E0,-2.740394679E0
1.087779000E0,1.335127787E0,-1.562366082E0,-2.443291220E0
1.097801000E0,1.792895629E0,-1.648023698E0,-1.851522006E0
1.107824000E0,2.254196797E0,-1.926310818E0,-7.837794971E-1
1.117846000E0,2.998565623E0,-2.664355148E0,5.684221593E-1
1.127868000E0,2.803950990E0,-3.062617192E0,1.479817430E0
1.137891000E0,1.352754511E0,-2.112686139E0,1.632388244E0
1.147913000E0,-3.210802594E-1,-5.682236463E-1,1.214437455E0
1.157936000E0,-2.197218605E0,9.346657276E-1,1.808145898E0
1.167958000E0,-5.088928261E0,2.220984759E0,3.232015123E0
1.177980000E0,-8.115337155E0,2.417438926E0,2.698125450E0
1.188003000E0,-9.405516518E0,1.795345466E0,-3.807806236E-1
1.198025000E0,-9.077975378E0,9.098618388E-1,-2.703270122E0
1.208048000E0,-6.010177553E0,-1.823530215E-1,-3.338540282E0
1.218070000E0,-2.604922586E0,-1.212783278E0,-3.556235629E0
1.228092000E0,-6.141595917E-1,-1.491257508E0,-4.020033851E0
1.238115000E0,1.136002904E0,-1.160010402E0,-3.795855696E0
1.248137000E0,2.605820426E0,-1.177856689E0,-2.587601087E0
1.258160000E0,2.814440018E0,-1.881524069E0,-1.235334819E0
1.268182000E0,1.873554899E0,-2.714221957E0,-5.349734545E-1
1.278204000E0,6.858566882E-1,-2.941492705E0,-4.149032199E-1
1.288227000E0,-4.835836648E-1,-2.380351791E0,-7.724347293E-1
1.298249000E0,-1.623131809E0,-1.289608090E0,-1.600870582E0
1.308272000E0,-2.540143038E0,-8.560733020E-2,-2.277150773E0
1.318294000E0,-2.899987414E0,9.003338009E-1,-2.314857713E0
1.328316000E0,-3.130741932E0,1.319861584E0,-1.953123225E0
1.338339000E0,-3.228543923E0,1.176552760E0,-1.652326080E0
1.348361000E0,-2.750306879E0,8.846884060E-1,-1.354913303E0
1.358384000E0,-1.771355802E0,7.245033485E-1,-1.337620747E0
1.368406000E0,-7.129116820E-1,5.538634694E-1,-1.241793653E0
1.378428000E0,-1.489302272E-2,-1.189323664E-3,-1.092001437E0
