"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.537787495E-2,6.936696283E-1,5.220116572E-1,-3.833315615E-1,-3.152509879E-1,9.215740328E1,8.052969062E1,-1.169381230E1,-5.879505753E1
2.540087490E-2,6.942087497E-1,5.230341819E-1,-3.818370764E-1,-3.141815749E-1,9.207160344E1,8.052319383E1,-1.162433026E1,-5.855495532E1
3.542287496E-2,6.946656848E-1,5.239427679E-1,-3.805177273E-1,-3.132568098E-1,9.199883482E1,8.051889928E1,-1.156081498E1,-5.834523903E1
4.544587492E-2,6.950323834E-1,5.247209409E-1,-3.793094878E-1,-3.126057885E-1,9.194040439E1,8.050920525E1,-1.149036516E1,-5.817184742E1
5.546787498E-2,6.953112481E-1,5.253576587E-1,-3.781800734E-1,-3.122842713E-1,9.189595030E1,8.048985866E1,-1.140739447E1,-5.803682081E1
6.548987492E-2,6.955489563E-1,5.258254571E-1,-3.771617529E-1,-3.121992189E-1,9.185804383E1,8.045981533E1,-1.132326650E1,-5.793404263E1
7.551287499E-2,6.957689628E-1,5.260837013E-1,-3.763979993E-1,-3.121957629E-1,9.182294935E1,8.042587723E1,-1.126165843E1,-5.786207155E1
8.553487493E-2,6.959310385E-1,5.261417797E-1,-3.759887534E-1,-3.122295014E-1,9.179708909E1,8.039765155E1,-1.123131810E1,-5.782627549E1
9.555787500E-2,6.959900231E-1,5.260875156E-1,-3.759109292E-1,-3.122833019E-1,9.178767632E1,8.038412332E1,-1.122625381E1,-5.782347041E1
1.055798749E-1,6.959457056E-1,5.259348861E-1,-3.761593164E-1,-3.123400105E-1,9.179474858E1,8.038654747E1,-1.124658746E1,-5.785159904E1
1.156018749E-1,6.958624024E-1,5.256326300E-1,-3.767080473E-1,-3.123729061E-1,9.180804114E1,8.039615194E1,-1.129655304E1,-5.790517638E1
1.256248750E-1,6.958076536E-1,5.252289791E-1,-3.773813537E-1,-3.123611471E-1,9.181677649E1,8.040375763E1,-1.136435281E1,-5.796567321E1
1.356468749E-1,6.958203188E-1,5.248720427E-1,-3.779137053E-1,-3.122893078E-1,9.181475578E1,8.040490124E1,-1.142565296E1,-5.800719450E1
1.456698750E-1,6.958979954E-1,5.246609712E-1,-3.781956677E-1,-3.121296134E-1,9.180236180E1,8.040241155E1,-1.146952891E1,-5.801728901E1
1.556918749E-1,6.960024142E-1,5.245923667E-1,-3.782960510E-1,-3.118904933E-1,9.178569883E1,8.040185204E1,-1.149948846E1,-5.800338588E1
1.657138750E-1,6.961475469E-1,5.246042995E-1,-3.782862255E-1,-3.115582286E-1,9.176253491E1,8.040157444E1,-1.152505818E1,-5.797053473E1
1.757368749E-1,6.963392729E-1,5.246578787E-1,-3.782240484E-1,-3.111146330E-1,9.173192749E1,8.040167252E1,-1.155374432E1,-5.792226000E1
1.857588750E-1,6.965617872E-1,5.247519241E-1,-3.780987300E-1,-3.106098191E-1,9.169639504E1,8.040119510E1,-1.158094052E1,-5.786233946E1
1.957818749E-1,6.967878208E-1,5.248725590E-1,-3.779129361E-1,-3.101245825E-1,9.166028965E1,8.039884922E1,-1.160120344E1,-5.779868847E1
2.058038750E-1,6.970135171E-1,5.249815981E-1,-3.776907748E-1,-3.097030718E-1,9.162422709E1,8.039203440E1,-1.161499749E1,-5.773755345E1
2.158258749E-1,6.973024127E-1,5.250969224E-1,-3.773445701E-1,-3.092791378E-1,9.157805024E1,8.037516573E1,-1.162138435E1,-5.766422880E1
2.258488749E-1,6.976470686E-1,5.252333465E-1,-3.768571470E-1,-3.088645181E-1,9.152293702E1,8.034868839E1,-1.161735803E1,-5.757832884E1
2.358708750E-1,6.979629803E-1,5.253542079E-1,-3.763073994E-1,-3.086151985E-1,9.147239753E1,8.031532022E1,-1.159735393E1,-5.750218986E1
2.458938749E-1,6.981639996E-1,5.254256626E-1,-3.757347343E-1,-3.087364339E-1,9.144022718E1,8.027480216E1,-1.154940556E1,-5.745908870E1
2.559158750E-1,6.982662690E-1,5.255346385E-1,-3.750211197E-1,-3.091871312E-1,9.142385702E1,8.022781008E1,-1.146399482E1,-5.743449887E1
2.659378749E-1,6.982976262E-1,5.257317067E-1,-3.741734728E-1,-3.098076171E-1,9.141883723E1,8.018098936E1,-1.135091772E1,-5.741425973E1
2.759608750E-1,6.983367385E-1,5.260446786E-1,-3.731520966E-1,-3.104195050E-1,9.141257569E1,8.013402468E1,-1.122034004E1,-5.737769171E1
2.859828749E-1,6.984326437E-1,5.265478909E-1,-3.718341014E-1,-3.109317789E-1,9.139722069E1,8.008567046E1,-1.106726000E1,-5.730496391E1
2.960058750E-1,6.985568294E-1,5.272555945E-1,-3.702252140E-1,-3.113731196E-1,9.137733482E1,8.003863881E1,-1.088861186E1,-5.719967463E1
3.060278749E-1,6.986725224E-1,5.280377978E-1,-3.684933578E-1,-3.118420033E-1,9.135880584E1,7.999136643E1,-1.069516167E1,-5.708640542E1
