"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.366999984E-3,-2.131385058E-1,4.157359302E-1,-1.989161372E-1
1.738999994E-2,-1.803848743E-1,4.388992488E-1,-2.270803005E-1
2.741200000E-2,-1.436188668E-1,4.092950225E-1,-1.786485910E-1
3.743499995E-2,-8.180782944E-2,2.935576737E-1,-8.600010723E-2
4.745800002E-2,-3.073398955E-2,1.281005293E-1,-8.093591779E-3
5.748099997E-2,-6.177033111E-2,1.824804991E-1,1.758105680E-2
6.750399992E-2,-1.943227798E-1,4.434023798E-1,-2.866446972E-2
7.752699999E-2,-1.625784039E-1,3.813910484E-1,-3.967717290E-2
8.754899993E-2,-7.955755293E-2,1.731291711E-1,-2.138072439E-2
9.757200000E-2,-2.546871826E-2,3.554052487E-2,-2.310032770E-2
1.075946250E-1,-7.418079302E-3,1.329381112E-2,-3.247545287E-2
1.176176249E-1,-1.133648027E-2,2.529503778E-2,-3.008473292E-2
1.276406250E-1,-1.160359476E-2,1.202690415E-2,-2.820108086E-2
1.376636249E-1,-8.580295369E-3,-2.747269161E-2,-2.954579890E-2
1.476856250E-1,-4.684090614E-3,-7.911671698E-2,-3.913078457E-2
1.577086250E-1,-1.622642577E-2,-1.210464165E-1,-4.327709973E-2
1.677316249E-1,-1.237336639E-2,-1.576877683E-1,-3.788499907E-2
1.777546250E-1,-2.295194380E-2,-1.961032450E-1,-2.224052697E-2
1.877776249E-1,-4.980166629E-2,-2.253324986E-1,-3.725697286E-3
1.978006250E-1,-6.377981603E-2,-2.476172000E-1,-2.930298448E-3
2.078226249E-1,-6.487970054E-2,-2.905681133E-1,-1.468229573E-2
2.178456250E-1,-9.450165182E-2,-3.368683159E-1,-2.770373225E-2
2.278686250E-1,-1.487246752E-1,-3.530347943E-1,-3.610227630E-2
2.378916249E-1,-2.186806947E-1,-3.356028199E-1,-3.811909258E-2
2.479146250E-1,-2.841196358E-1,-3.191881478E-1,-5.725310370E-2
2.579376249E-1,-2.730833292E-1,-3.349780142E-1,-8.117672056E-2
2.679596250E-1,-2.154511958E-1,-4.224575162E-1,-9.052574635E-2
2.779826249E-1,-2.018777877E-1,-5.256178379E-1,-8.092004061E-2
2.880056250E-1,-2.277653217E-1,-5.508750081E-1,-5.715531856E-2
2.980286250E-1,-2.732508481E-1,-5.337837934E-1,-3.454583883E-2
3.080516249E-1,-3.149514198E-1,-5.249993801E-1,-2.868715115E-2
3.180746250E-1,-3.257480562E-1,-5.430646539E-1,-3.641329333E-2
3.280966249E-1,-2.448372245E-1,-6.098535061E-1,-4.802121222E-2
3.381196250E-1,-1.286954880E-1,-6.724992394E-1,-7.089239359E-2
3.481426249E-1,-4.313478991E-2,-6.434680820E-1,-1.082461551E-1
3.581656250E-1,-4.543034732E-2,-4.728610814E-1,-1.343399435E-1
3.681886250E-1,-1.109225377E-1,-2.281158119E-1,-1.152847633E-1
3.782116249E-1,-1.714785099E-1,-3.448099131E-3,-6.215544790E-2
3.882346250E-1,-2.051531225E-1,1.594422758E-1,-5.368866492E-3
3.982566249E-1,-2.091214508E-1,2.839513719E-1,2.924543247E-2
4.082796250E-1,-2.178563625E-1,3.802582026E-1,4.349414632E-2
4.183026250E-1,-2.367009968E-1,4.529938400E-1,3.960344568E-2
4.283256250E-1,-2.473919988E-1,4.776216745E-1,3.360547498E-2
4.383486250E-1,-2.483949959E-1,4.307123125E-1,2.834737301E-2
4.483716249E-1,-2.218656540E-1,3.437262774E-1,3.031784669E-2
4.583936250E-1,-1.713714302E-1,2.259493768E-1,5.025147274E-2
4.684166249E-1,-1.072614342E-1,1.083678827E-1,9.401759505E-2
4.784396250E-1,-1.518286113E-2,-1.259947941E-2,1.484823972E-1
4.884626250E-1,6.465151906E-2,-1.463511437E-1,1.833245307E-1
4.984856250E-1,1.256264746E-1,-3.256062269E-1,1.725822687E-1
5.085086250E-1,1.792247295E-1,-5.373541713E-1,1.186340824E-1
5.185306249E-1,2.300379276E-1,-7.569429278E-1,4.064847156E-2
5.285536250E-1,2.486792505E-1,-9.322689772E-1,-3.083823062E-2
5.385766249E-1,2.498004138E-1,-1.044357896E0,-5.908127502E-2
5.485996250E-1,2.464152724E-1,-1.101727486E0,-5.312990770E-2
5.586226250E-1,2.326806337E-1,-1.056495190E0,-6.714359671E-2
5.686456250E-1,2.171195149E-1,-9.296004176E-1,-1.319215149E-1
5.786676250E-1,2.132029980E-1,-7.712596059E-1,-2.351868004E-1
5.886906249E-1,2.466381788E-1,-6.495853662E-1,-3.392229378E-1
5.987136250E-1,3.455547094E-1,-6.458230019E-1,-4.043327570E-1
6.087366249E-1,4.383123219E-1,-8.138343692E-1,-4.510611296E-1
6.187596250E-1,4.773418605E-1,-9.931563139E-1,-4.705864489E-1
6.287826250E-1,4.503429830E-1,-1.069145560E0,-4.215704203E-1
6.388046250E-1,3.720670640E-1,-1.006979823E0,-2.829942107E-1
6.488276250E-1,3.144168258E-1,-8.773334622E-1,-9.379420429E-2
6.588506249E-1,2.848882973E-1,-7.416043282E-1,3.486364335E-2
6.688736250E-1,2.578015625E-1,-6.236475706E-1,3.279063851E-2
6.788966249E-1,2.130757719E-1,-4.960490465E-1,-6.623744965E-2
6.889196250E-1,1.513556838E-1,-3.717657030E-1,-1.662977338E-1
6.989416250E-1,8.458516747E-2,-2.806767225E-1,-2.105124295E-1
